Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7.70,"745,100",7.79,7.80,7.70,100,"111,700",0
20/03/2025,7.70,"475,900",7.77,7.82,7.66,0,"43,800",-0.3
19/03/2025,7.77,"1,355,500",7.59,7.88,7.59,500,"17,600",-0.1
18/03/2025,7.58,"368,000",7.56,7.64,7.56,"25,900","5,100",0.2
17/03/2025,7.53,"593,300",7.55,7.58,7.48,0,"10,600",-0.1
14/03/2025,7.49,"638,600",7.52,7.55,7.45,0,0,0
13/03/2025,7.52,"809,100",7.64,7.67,7.52,"3,400",0,0.0
12/03/2025,7.60,"514,800",7.60,7.68,7.55,0,0,0
11/03/2025,7.59,"782,600",7.57,7.60,7.50,"1,100",0,0.0
10/03/2025,7.63,"943,200",7.74,7.77,7.60,0,"55,700",-0.4
07/03/2025,7.73,"824,200",7.75,7.88,7.70,"13,800","21,900",-0.1
06/03/2025,7.74,"456,200",7.73,7.77,7.70,0,"20,500",-0.2
05/03/2025,7.70,"1,083,300",7.84,7.86,7.69,"22,400","74,400",-0.4
04/03/2025,7.84,"1,370,700",7.95,7.96,7.79,"35,800","57,300",-0.2
03/03/2025,8,"714,000",8.08,8.15,8,800,"34,300",-0.3
28/02/2025,8.01,"1,909,100",7.78,8.10,7.78,"49,500","12,000",0.3
27/02/2025,7.78,"677,000",7.72,7.79,7.70,"9,000","1,018",0.1
26/02/2025,7.72,"622,400",7.78,7.78,7.70,0,0,0
25/02/2025,7.75,"582,500",7.80,7.83,7.73,"43,800","2,200",0.3
24/02/2025,7.75,"453,400",7.68,7.79,7.68,"4,700","2,000",0.0
21/02/2025,7.75,"783,400",7.95,7.98,7.74,0,"47,200",-0.4
20/02/2025,7.89,"1,176,700",7.74,7.99,7.74,"35,764","10,900",0.2
19/02/2025,7.71,"763,400",7.66,7.77,7.65,"52,200",500,0.4
18/02/2025,7.67,"740,500",7.60,7.71,7.60,"43,300",0,0.3
17/02/2025,7.60,"656,900",7.60,7.66,7.57,"35,600","14,800",0.2
14/02/2025,7.55,"965,900",7.37,7.57,7.37,"38,200",0,0.3
13/02/2025,7.36,"391,800",7.39,7.39,7.35,"6,600","1,600",0.0
12/02/2025,7.39,"373,000",7.42,7.43,7.37,0,"22,500",-0.2
11/02/2025,7.39,"393,500",7.44,7.44,7.39,0,"22,300",-0.2
10/02/2025,7.43,"437,800",7.55,7.55,7.43,0,0,0
07/02/2025,7.52,"489,200",7.46,7.58,7.46,0,"45,300",-0.3
06/02/2025,7.53,"504,900",7.61,7.63,7.50,0,"24,400",-0.2
05/02/2025,7.57,"453,800",7.60,7.60,7.52,"2,900","90,200",-0.7
04/02/2025,7.53,"601,800",7.37,7.54,7.37,"99,100","10,900",0.7
03/02/2025,7.35,"165,200",7.40,7.40,7.30,"10,900",0,0.1
24/01/2025,7.35,"533,200",7.36,7.44,7.35,"66,300","1,000",0.5
23/01/2025,7.35,"688,900",7.29,7.39,7.28,"78,200","21,200",0.4
22/01/2025,7.25,"860,700",7.78,7.78,7.25,0,"14,700",-0.1
21/01/2025,7.71,"259,200",7.88,7.88,7.69,0,"16,600",-0.1
20/01/2025,7.76,"435,900",7.71,7.83,7.70,"29,800",0,0.2
17/01/2025,7.70,"290,400",7.70,7.71,7.63,"13,200",0,0.1
16/01/2025,7.69,"229,400",7.68,7.76,7.68,0,0,0
15/01/2025,7.66,"292,200",7.54,7.69,7.54,"17,100","1,700",0.1
14/01/2025,7.53,"215,800",7.52,7.55,7.49,0,"4,600",-0.0
13/01/2025,7.52,"230,000",7.50,7.56,7.47,"1,100",500,0.0
10/01/2025,7.53,"503,700",7.64,7.76,7.53,0,"85,200",-0.6
09/01/2025,7.65,"321,600",7.64,7.79,7.64,"1,000","14,400",-0.1
08/01/2025,7.64,"428,400",7.57,7.70,7.56,500,"8,900",-0.1
07/01/2025,7.59,"963,400",7.89,7.93,7.59,"5,300","15,400",-0.1
06/01/2025,7.88,"1,043,900",8.18,8.18,7.88,"20,000","2,400",0.1
03/01/2025,8.18,"348,000",8.24,8.26,8.18,200,"17,400",-0.1
02/01/2025,8.23,"235,700",8.25,8.32,8.20,0,"23,000",-0.2
31/12/2024,8.23,"221,100",8.23,8.29,8.22,0,"43,300",-0.4
30/12/2024,8.23,"554,400",8.29,8.35,8.22,300,"85,100",-0.7
27/12/2024,8.32,"488,500",8.41,8.50,8.32,"2,300","43,700",-0.3
26/12/2024,8.44,"931,100",8.47,8.55,8.39,"75,200","11,800",0.5
25/12/2024,8.39,"1,089,700",8.22,8.52,8.22,"94,400","30,300",0.5
24/12/2024,8.22,"569,800",8.22,8.26,8.20,"63,400","5,400",0.5
23/12/2024,8.23,"322,300",8.25,8.32,8.23,0,"12,900",-0.1
20/12/2024,8.25,"393,000",8.20,8.35,8.20,100,"33,800",-0.3
19/12/2024,8.20,"631,100",8.22,8.27,8.16,0,0,0
18/12/2024,8.28,"319,800",8.28,8.29,8.23,0,0,0
17/12/2024,8.28,"328,900",8.30,8.31,8.25,0,"2,400",-0.0
16/12/2024,8.31,"169,400",8.30,8.33,8.27,0,"15,900",-0.1
13/12/2024,8.30,"358,400",8.38,8.38,8.30,"5,000","73,600",-0.6
12/12/2024,8.38,"489,800",8.37,8.43,8.32,0,"38,000",-0.3
11/12/2024,8.36,"554,200",8.50,8.52,8.35,"5,000","32,900",-0.2
10/12/2024,8.45,"764,400",8.46,8.60,8.43,"44,300","10,300",0.3
09/12/2024,8.46,"766,000",8.62,8.62,8.45,"92,000","11,000",0.7
06/12/2024,8.45,"801,300",8.45,8.70,8.43,"24,500","51,300",-0.2
05/12/2024,8.42,"1,007,500",8.17,8.43,8.10,"66,600","58,300",0.1
04/12/2024,8.17,"780,600",8.31,8.31,8.16,"10,400","88,300",-0.6
03/12/2024,8.32,"421,200",8.36,8.39,8.32,"9,200","36,100",-0.2
02/12/2024,8.39,"336,200",8.42,8.49,8.37,100,"59,200",-0.5
29/11/2024,8.41,"875,700",8.33,8.55,8.30,"6,500","65,000",-0.5
28/11/2024,8.26,"230,900",8.30,8.35,8.26,"1,600","24,100",-0.2
27/11/2024,8.30,"376,100",8.34,8.34,8.24,"2,600","3,800",-0.0
26/11/2024,8.33,"722,900",8.18,8.34,8.18,"166,000","1,000",1.4
25/11/2024,8.19,"404,300",8.16,8.26,8.16,"61,300","7,600",0.4
22/11/2024,8.16,"464,800",8.20,8.24,8.15,"1,700","7,500",-0.0
21/11/2024,8.20,"435,700",8.19,8.24,8.15,"95,100","13,700",0.7
20/11/2024,8.18,"555,500",8.13,8.31,8.12,"6,600","47,900",-0.3
19/11/2024,8.13,"346,200",8.30,8.32,8.13,"11,900","5,700",0.1
18/11/2024,8.28,"662,300",8.21,8.29,8.13,"86,400","11,400",0.6
15/11/2024,8.22,"766,800",8.39,8.39,8.19,"61,300",0,0.5
14/11/2024,8.38,"648,000",8.51,8.60,8.38,100,"51,000",-0.4
13/11/2024,8.51,"657,200",8.56,8.56,8.40,"17,300","3,200",0.1
12/11/2024,8.56,"568,300",8.70,8.82,8.55,0,"15,100",-0.1
11/11/2024,8.70,"1,247,600",8.49,8.72,8.47,"46,300","19,400",0.2
08/11/2024,8.47,"812,800",8.40,8.53,8.38,"6,400","28,300",-0.2
07/11/2024,8.39,"535,800",8.49,8.49,8.37,0,"9,800",-0.1
06/11/2024,8.43,"857,600",8.17,8.49,8.13,0,0,0
05/11/2024,8.13,"478,100",8.09,8.18,8.01,"10,400",0,0.1
04/11/2024,8.01,"1,208,800",8.26,8.27,8,"19,700","53,500",-0.3
01/11/2024,8.27,"1,002,000",8.45,8.45,8.27,"5,300","36,500",-0.3
31/10/2024,8.44,"506,600",8.53,8.53,8.41,"3,000",0,0.0
30/10/2024,8.49,"478,300",8.49,8.54,8.46,"50,700",0,0.4
29/10/2024,8.47,"357,900",8.42,8.50,8.40,"38,500","2,300",0.3
28/10/2024,8.42,"450,400",8.58,8.58,8.40,800,0,0.0
25/10/2024,8.44,"1,122,700",8.66,8.70,8.44,200,"7,400",-0.1
24/10/2024,8.62,"782,500",8.83,8.90,8.62,"3,600",0,0.0
23/10/2024,8.83,"372,100",8.84,8.87,8.82,200,0,0.0
22/10/2024,8.83,"609,800",8.98,9,8.75,"4,200",0,0.0
21/10/2024,8.99,"420,800",8.98,9.04,8.98,200,"50,000",-0.4
18/10/2024,9.02,"382,100",9.19,9.19,9.02,0,0,0
17/10/2024,9.06,"439,800",9.01,9.07,8.96,200,0,0.0
16/10/2024,9,"626,900",9.05,9.11,9,"4,400",0,0.0
15/10/2024,9.09,"637,800",9.20,9.24,9.09,"5,400",0,0.0
14/10/2024,9.20,"767,000",9.14,9.25,9.14,"10,000",0,0.1
11/10/2024,9.16,"339,200",9.14,9.18,9.13,"5,000",0,0.0
10/10/2024,9.16,"591,400",9.17,9.23,9.15,"5,000",0,0.0
09/10/2024,9.16,"484,000",9.10,9.18,9.10,0,0,0
08/10/2024,9.10,"607,100",9.11,9.14,9.06,100,0,0.0
07/10/2024,9.12,"642,500",9.13,9.25,9.06,200,"8,100",-0.1
04/10/2024,9.10,"949,400",9.20,9.25,9.10,300,"5,400",-0.0
03/10/2024,9.22,"1,032,700",9.25,9.45,9.17,"8,400","10,100",-0.0
02/10/2024,9.28,"1,315,600",9.40,9.40,9.28,"5,000","43,100",-0.4
01/10/2024,9.40,"1,501,400",9.41,9.55,9.40,"13,500","18,300",-0.0
