Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,30.65,"11,600",30.60,30.65,30.45,"2,000",200,0
20/03/2025,30.65,"47,400",31.05,31.50,30.65,"23,100",88,0.7
19/03/2025,31.90,"11,700",32.50,32.50,31,0,0,0
18/03/2025,32.60,"18,300",31.60,32.80,30.50,0,100,-0.0
17/03/2025,31.50,"7,600",33,33,31,0,300,-0.0
14/03/2025,33,"32,600",33.50,33.50,32.80,"16,900",0,0.6
13/03/2025,33.50,"1,700",33.60,33.80,33.50,0,0,0
12/03/2025,33.80,"14,000",33.65,33.80,33.50,"6,000",0,0.2
11/03/2025,34,"12,900",33.05,34.40,33.05,0,0,0
10/03/2025,34.20,"25,800",32.80,34.25,32.80,"12,400","6,000",0.2
07/03/2025,34.25,"74,900",32.65,34.60,32.65,"46,100",0,1.6
"06/03/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  1000/55 (Volume + 5.50%, Ratio=0.06)Quyá»n mua cá» phiáº¿u:  1000/504  GiÃ¡:  20 (Volume + 50.40%, Ratio=0.50)",,,,,,,,
06/03/2025,34.35,"49,700",34.90,34.90,33.50,"31,800","1,200",1.0
05/03/2025,33.31,"132,500",32.00,33.35,32.00,"65,000",0,2.6
04/03/2025,32.08,"67,900",32.08,32.08,31.60,"40,200",0,1.6
03/03/2025,31.60,"79,600",31.04,31.84,31.04,"30,500",0,1.2
28/02/2025,31.04,"14,800",30.25,31.12,30.25,"7,400",0,0.3
27/02/2025,30.25,"10,100",30.40,30.48,30.25,"6,000",400,0.2
26/02/2025,30.60,"2,200",30.64,30.64,30.60,0,700,-0.0
25/02/2025,31.00,"20,800",30.64,31.00,30.60,0,"10,000",-0.4
24/02/2025,30.60,"55,100",29.85,30.72,29.77,"18,300","16,000",0.1
21/02/2025,29.49,"5,800",28.93,29.53,28.93,"2,100",0,0.1
20/02/2025,29.37,"10,100",30.05,30.05,29.33,"3,000",0,0.1
19/02/2025,30.05,"1,500",29.17,30.05,29.17,0,0,0
18/02/2025,30.29,"2,000",30.29,30.29,30.29,"2,000",300,0.1
17/02/2025,30.29,"3,200",29.45,30.29,29.45,900,0,0.0
14/02/2025,30.21,"7,900",30.09,30.25,29.61,"4,600",0,0.2
13/02/2025,30.09,"2,300",29.29,30.13,29.29,200,100,0.0
12/02/2025,30.13,"26,400",29.13,30.13,29.13,"13,300",0,0.5
11/02/2025,29.69,"20,200",30.09,30.09,29.69,"13,000",0,0.5
10/02/2025,29.29,"8,100",30.25,30.25,29.17,"5,300",100,0.2
07/02/2025,30.88,"13,500",31.12,31.12,30.88,"8,300",200,0.3
06/02/2025,30.25,"58,100",29.21,30.64,29.21,"14,200",0,0.5
05/02/2025,28.69,"17,300",27.82,28.81,27.82,"6,200",0,0.2
04/02/2025,27.78,"1,900",27.86,27.86,27.78,0,0,0
03/02/2025,27.78,"7,200",26.74,28.49,25.23,0,0,0
24/01/2025,27.06,"2,500",27.06,27.06,26.90,500,0,0.0
23/01/2025,27.46,"2,800",26.66,27.46,26.66,0,0,0
22/01/2025,26.82,"8,600",26.66,27.02,26.66,"2,400",0,0.1
21/01/2025,26.74,"4,600",26.90,26.90,26.74,"4,000",0,0.1
20/01/2025,26.66,"13,800",26.35,26.66,26.35,"5,000",0,0.2
17/01/2025,26.50,0,26.50,26.50,26.50,0,0,0
16/01/2025,26.50,0,26.50,26.50,26.50,0,0,0
15/01/2025,26.50,"1,600",26.50,26.50,26.50,0,0,0
14/01/2025,26.42,0,26.42,26.42,26.42,0,0,0
13/01/2025,26.42,"10,300",26.90,26.98,26.42,"6,000",0,0.2
10/01/2025,26.42,400,26.46,26.46,26.42,0,0,0
09/01/2025,26.35,"2,000",26.46,26.46,26.35,0,0,0
08/01/2025,27.02,"3,100",27.02,27.02,27.02,"3,000",0,0.1
07/01/2025,27.06,900,26.11,27.06,26.11,100,100,0.0
06/01/2025,27.38,200,27.38,27.38,27.38,0,100,-0.0
03/01/2025,26.58,200,26.58,26.58,26.58,0,0,0
02/01/2025,26.98,"3,600",26.94,26.98,26.94,"2,000",0,0.1
31/12/2024,27.38,600,26.66,27.38,26.66,0,0,0
30/12/2024,26.66,"1,100",26.42,26.90,26.42,100,0,0.0
27/12/2024,26.66,"3,300",26.66,26.66,26.66,800,0,0.0
26/12/2024,26.66,500,26.66,26.66,26.66,0,0,0
25/12/2024,26.50,"4,900",26.66,26.66,26.42,0,0,0
24/12/2024,26.66,0,26.66,26.66,26.66,0,0,0
23/12/2024,26.66,"3,300",26.58,26.90,26.58,0,0,0
20/12/2024,27.46,100,27.46,27.46,27.46,0,0,0
19/12/2024,27.46,"16,100",27.50,27.50,27.42,"10,100",0,0.3
18/12/2024,27.54,0,27.54,27.54,27.54,0,0,0
17/12/2024,27.54,"4,200",27.70,27.70,27.54,"2,200",0,0.1
16/12/2024,27.74,"17,600",26.19,27.74,26.19,"2,000",0,0.1
13/12/2024,26.27,"3,000",26.27,26.27,26.27,0,0,0
12/12/2024,26.27,"14,300",26.19,26.27,26.15,0,0,0
11/12/2024,26.19,"3,900",25.83,26.19,25.83,0,0,0
10/12/2024,25.87,"7,200",25.47,25.87,25.47,800,0,0.0
09/12/2024,25.47,"1,200",25.35,25.47,25.35,0,0,0
06/12/2024,25.35,"6,700",25.87,26.03,25.35,"5,000",0,0.2
05/12/2024,25.87,700,25.79,25.87,25.79,0,0,0
04/12/2024,26.11,"3,800",25.79,26.11,25.79,"2,000",0,0.1
03/12/2024,25.59,"5,500",25.15,25.59,25.15,200,0,0.0
02/12/2024,25.07,0,25.07,25.07,25.07,0,0,0
29/11/2024,25.07,300,25.15,25.15,25.07,0,300,-0.0
28/11/2024,25.87,"2,200",25.79,25.87,25.79,0,0,0
27/11/2024,25.79,500,25.79,25.79,25.79,0,0,0
26/11/2024,25.79,500,25.79,25.79,25.79,0,0,0
25/11/2024,25.79,"2,000",25.35,25.79,25.35,0,0,0
22/11/2024,25.31,900,25.31,25.35,25.31,0,0,0
21/11/2024,25.31,100,25.31,25.31,25.31,0,0,0
20/11/2024,25.39,400,24.83,25.39,24.83,0,0,0
19/11/2024,25.39,"2,600",25.15,25.39,24.75,0,0,0
18/11/2024,25.71,700,25.79,26.03,25.71,0,0,0
15/11/2024,25.79,600,24.79,25.79,24.79,"1,016,900",100,31.7
14/11/2024,25.87,"1,500",25.19,25.87,25.19,0,100,-0.0
13/11/2024,25.87,0,25.87,25.87,25.87,"100,000",0,0
12/11/2024,25.87,"6,300",25.95,25.95,25.87,"5,200",0,0.2
11/11/2024,26.03,"6,000",25.87,26.03,25.87,"3,000",0,0.1
08/11/2024,25.87,"7,800",26.03,26.03,25.87,"7,300",100,0.2
07/11/2024,26.03,0,26.03,26.03,26.03,0,0,0
06/11/2024,26.03,"5,200",26.11,26.11,26.03,0,0,0
05/11/2024,25.51,"1,700",25.47,25.51,25.47,0,0,0
04/11/2024,25.87,"3,100",25.55,26.19,25.55,"1,400",0,0.0
01/11/2024,25.55,"1,400",25.55,25.79,25.55,400,0,0.0
31/10/2024,25.71,300,25.71,25.71,25.71,0,0,0
30/10/2024,25.71,"3,600",24.79,25.71,23.96,"2,000",0,0.1
29/10/2024,25.63,"1,400",25.71,25.71,25.63,900,0,0.0
28/10/2024,25.63,0,25.63,25.63,25.63,0,0,0
25/10/2024,25.63,0,25.63,25.63,25.63,0,0,0
24/10/2024,25.63,100,25.63,25.63,25.63,0,0,0
23/10/2024,25.75,200,25.71,25.75,25.71,0,0,0
22/10/2024,25.75,0,25.75,25.75,25.75,0,0,0
21/10/2024,25.75,0,25.75,25.75,25.75,0,0,0
18/10/2024,25.75,0,25.75,25.75,25.75,0,0,0
17/10/2024,25.75,0,25.75,25.75,25.75,0,0,0
16/10/2024,25.75,"2,600",24.87,25.75,24.87,"2,100",0,0.1
15/10/2024,25.39,"2,800",25.47,25.47,25.39,"1,600",0,0.1
14/10/2024,25.51,"3,800",25.51,25.51,25.51,"3,000",0,0.1
11/10/2024,25.99,0,25.99,25.99,25.99,0,0,0
10/10/2024,25.99,900,25.87,25.99,25.87,0,100,-0.0
09/10/2024,26.03,"3,200",24.83,26.03,24.75,"2,000",0,0.1
08/10/2024,26.19,"9,500",25.51,26.27,25.47,"5,000",0,0.2
07/10/2024,25.79,"9,300",25.87,25.87,25.79,"6,000",0,0.2
04/10/2024,25.91,"4,400",25.87,25.91,25.87,"4,000",0,0.1
03/10/2024,25.95,"36,300",25.95,26.03,25.95,"25,100",0,0.8
02/10/2024,26.11,"2,500",26.11,26.11,24.59,"2,100",400,0.1
01/10/2024,25.79,"7,200",25.95,26.07,25.63,"4,000",0,0.1
30/09/2024,25.71,"12,900",25.79,25.87,25.67,"11,100",0,0.4
27/09/2024,25.87,"3,000",25.87,25.87,25.79,"1,200",0,0.0
26/09/2024,26.27,"1,300",26.27,27.06,26.27,"1,000",0,0.0
