Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,57.50,800,57.90,57.90,57,0,0,0
20/03/2025,56.50,"1,100",56.50,56.50,56.50,0,0,0
19/03/2025,58.50,0,58.50,58.50,58.50,0,0,0
18/03/2025,58.50,0,58.50,58.50,58.50,0,0,0
17/03/2025,58.50,800,58.50,58.70,57.10,0,0,0
14/03/2025,57.50,"7,300",58,58,57.50,0,0,0
13/03/2025,58,"2,800",58,60,58,"1,800",0,0.1
12/03/2025,58,"3,200",58.20,58.20,57.50,0,0,0
11/03/2025,58.20,"5,200",58,58.20,58,0,0,0
10/03/2025,59,"21,100",58.50,59,58.50,0,0,0
07/03/2025,58,"1,100",57.70,58,57.70,0,0,0
06/03/2025,58,"1,200",58,58,58,0,0,0
05/03/2025,58,"2,100",57.10,58,57.10,0,0,0
04/03/2025,58,200,58,58,58,0,0,0
03/03/2025,58,"1,000",58,58,58,0,0,0
28/02/2025,58.30,100,58.30,58.30,58.30,0,0,0
27/02/2025,58,0,58,58,58,0,0,0
26/02/2025,58,"2,400",58,58,58,400,0,0.0
25/02/2025,60.70,100,60.70,60.70,60.70,0,0,0
24/02/2025,57,0,57,57,57,0,0,0
21/02/2025,57,0,57,57,57,0,0,0
20/02/2025,57,"2,700",57.50,57.90,57,0,0,0
19/02/2025,57,"1,500",57.50,57.50,57,0,0,0
18/02/2025,57.50,"16,900",55.80,57.50,55.80,200,0,0.0
17/02/2025,55.50,"33,600",55.40,55.50,55.40,0,0,0
14/02/2025,55.50,"20,900",55,55.50,55,0,0,0
13/02/2025,55,500,55,55,55,0,0,0
12/02/2025,55.50,"4,700",54.50,55.50,54.50,0,0,0
11/02/2025,54.50,"2,000",54.50,54.50,54.50,0,0,0
10/02/2025,55.40,"2,500",55.50,55.50,55.40,0,0,0
07/02/2025,55.40,500,55.50,55.50,54.60,0,0,0
06/02/2025,55.50,"14,800",54.50,55.50,54.50,0,0,0
05/02/2025,55.50,"10,500",54,55.50,54,0,0,0
04/02/2025,55.50,"9,000",54.50,55.50,54.20,700,0,0.0
03/02/2025,55,"10,700",54,55,53,0,0,0
24/01/2025,54,"24,300",55,55,54,0,0,0
23/01/2025,54,0,54,54,54,0,0,0
22/01/2025,54,"1,000",54,54,54,0,0,0
21/01/2025,53.50,0,53.50,53.50,53.50,0,0,0
20/01/2025,53.50,100,53.50,53.50,53.50,0,0,0
17/01/2025,53.50,"8,300",53.50,53.60,53.50,0,0,0
16/01/2025,53.50,"2,600",53.50,53.60,53.50,0,0,0
15/01/2025,53.50,"6,000",53.60,54.50,53.50,0,0,0
14/01/2025,53.50,"2,800",53.60,53.60,53.50,0,0,0
13/01/2025,53.50,"2,000",54,54,53.50,0,0,0
10/01/2025,54.80,100,54.80,54.80,54.80,0,0,0
09/01/2025,55.90,100,55.90,55.90,55.90,0,0,0
08/01/2025,53.50,0,53.50,53.50,53.50,0,0,0
07/01/2025,53.50,0,53.50,53.50,53.50,0,0,0
06/01/2025,53.50,"11,400",54,54.70,53.50,0,0,0
03/01/2025,53.50,"12,800",54.40,54.40,53.50,0,0,0
02/01/2025,54.40,"12,500",54,54.40,53.60,0,0,0
31/12/2024,54.50,"1,500",54.50,54.50,54.50,0,0,0
30/12/2024,54.50,"9,800",54,54.50,54,0,0,0
27/12/2024,54.50,"2,100",54.80,54.80,54,0,0,0
26/12/2024,55,600,54.60,55,54.60,0,0,0
25/12/2024,54.60,800,54,54.60,54,0,0,0
24/12/2024,54.50,"5,100",54.50,54.50,54.20,0,0,0
