Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,32.40,"2,157,000",32.10,32.45,32.10,"941,700","666,888",0
20/03/2025,32.40,"3,146,100",32.75,32.75,31.90,"300,200","593,000",-9.4
19/03/2025,32.60,"3,087,500",32.55,32.60,32,"117,800","660,304",-17.4
18/03/2025,32.60,"3,018,400",33.35,33.35,32.60,"1,025,800","481,300",17.9
17/03/2025,33.20,"4,357,500",32.40,33.20,32,"289,437","865,841",-18.5
14/03/2025,32.15,"3,042,000",32.10,32.70,31.95,"35,300","868,520",-26.8
13/03/2025,32.35,"2,273,500",32,32.35,32,"159,600","521,800",-11.6
12/03/2025,32.40,"5,390,500",33,33,31.85,"158,500","2,377,000",-71.2
11/03/2025,32.85,"4,327,300",33.05,33.25,32.40,"12,500","1,719,812",-56.0
10/03/2025,33.15,"3,241,800",33.85,33.85,33.10,"586,700","2,091,665",-50.1
07/03/2025,33.55,"3,904,400",33.60,34.20,33.55,"554,200","932,300",-12.7
06/03/2025,33.55,"1,647,500",33.60,33.65,33.25,"2,200","632,400",-21.0
05/03/2025,33.50,"2,222,300",33.80,34,33.50,"207,200","746,200",-18.1
04/03/2025,33.75,"2,161,000",33.60,34,33.50,"132,200","638,500",-17.1
03/03/2025,33.60,"1,577,200",33.55,33.85,33.50,"113,900","203,900",-3.0
28/02/2025,33.50,"1,942,400",33.60,33.85,33.40,200,"837,400",-28.1
27/02/2025,33.50,"1,787,000",33.25,33.50,33.10,"197,700","488,600",-9.7
26/02/2025,33.20,"2,661,000",33.35,33.50,33,"205,200","1,266,404",-35.2
25/02/2025,33.35,"2,461,400",33.80,33.90,33.35,110,"1,256,800",-42.2
24/02/2025,33.65,"1,297,700",33.65,33.70,33.40,"12,500","263,062",-8.4
21/02/2025,33.65,"3,108,100",34.20,34.20,33.60,"7,300","1,622,340",-54.5
20/02/2025,34.20,"2,722,800",34.30,34.45,34,"106,300","537,600",-14.7
19/02/2025,34.20,"1,990,700",33.90,34.20,33.70,"159,200","275,001",-3.9
18/02/2025,33.85,"844,500",33.85,34.10,33.75,"39,900","72,601",-1.1
17/02/2025,33.85,"1,002,500",33.85,34,33.65,"22,200","82,200",-2.0
14/02/2025,33.85,"1,067,300",33.80,34,33.65,"29,000","36,600",-0.3
13/02/2025,33.80,"2,486,000",34,34,33.30,500,"400,900",-13.4
12/02/2025,34,"1,506,300",34.30,34.30,33.75,100,"455,120",-15.4
11/02/2025,34.15,"1,802,000",34,34.15,33.75,"281,800","189,200",3.1
10/02/2025,34,"1,730,300",34.30,34.55,34,"623,500","829,700",-7.0
07/02/2025,34.55,"1,668,700",34.60,34.60,34.15,"114,300","366,100",-8.6
06/02/2025,34.60,"2,190,200",34.85,34.90,34.20,"30,300","936,600",-31.2
05/02/2025,34.85,"2,720,000",34.80,35.25,34.80,"580,700","466,493",4.0
04/02/2025,34.75,"1,985,200",34.55,34.75,34.35,"348,800","370,793",-0.7
03/02/2025,34.40,"1,051,800",34.50,34.55,34.25,"500,000","195,000",10.5
24/01/2025,34.75,"1,954,100",34.70,34.75,34.45,"330,900","269,900",2.1
23/01/2025,34.55,"1,472,700",34.45,34.55,34.15,"176,800","191,700",-0.5
22/01/2025,34.30,"911,000",34.40,34.40,34.05,"111,700","284,600",-5.9
21/01/2025,34.40,"619,200",34.55,34.55,34.20,"65,400","9,000",1.9
20/01/2025,34.55,"963,100",34.40,34.55,34.30,"114,200","3,700",3.8
17/01/2025,34.40,"1,152,500",34.10,34.45,34,"57,900","404,300",-11.9
16/01/2025,34.35,"1,846,700",34.05,34.45,33.75,"58,300","782,700",-24.6
15/01/2025,34.20,"1,116,600",34.35,34.55,34.15,"437,200","275,400",5.6
14/01/2025,34.15,"831,800",34.30,34.50,34,"191,900","154,500",1.3
13/01/2025,34.45,"1,272,600",33.95,34.60,33.55,"630,801","372,500",8.8
10/01/2025,34,"918,100",33.85,34.25,33.85,"15,130","59,400",-1.5
09/01/2025,33.95,"722,300",33.95,34.25,33.85,"48,983","59,400",-0.4
08/01/2025,33.80,"1,752,700",34,34,33.50,"270,400","1,053,380",-26.4
07/01/2025,33.85,"2,148,000",34.60,34.90,33.85,"106,600","704,300",-20.5
06/01/2025,34.80,"1,638,900",34.65,35.20,34.65,"977,501","464,000",18.0
03/01/2025,34.80,"1,607,100",34.95,35.10,34.70,"806,477","253,913",19.3
02/01/2025,35.15,"2,535,400",35.60,35.80,34.75,"170,588","622,644",-15.8
31/12/2024,36.10,"2,588,100",36.20,36.20,35.35,"82,700","6,500",2.7
30/12/2024,36.15,"2,774,000",35.60,36.15,35.50,"782,900","60,500",25.9
27/12/2024,35.80,"2,505,200",35.90,35.90,35.55,"1,169,200","713,910",16.3
26/12/2024,35.85,"2,449,900",35.65,35.90,35.50,"894,500","630,100",9.5
25/12/2024,35.90,"2,258,500",35.95,35.95,35.35,"158,400","792,600",-22.5
24/12/2024,35.95,"2,556,900",35.85,35.95,35.15,"262,800","32,900",8.1
23/12/2024,35.90,"1,911,300",35.90,35.95,35.55,"216,900","377,500",-5.7
20/12/2024,35.85,"5,112,500",35.55,35.95,35.45,"1,708,747","572,800",40.7
19/12/2024,35.60,"4,800,100",34.60,35.60,34.50,"1,648,100","558,775",38.5
18/12/2024,35,"1,958,400",35.25,35.25,34.75,"235,814","412,200",-6.2
17/12/2024,35,"4,368,800",34.60,35.30,34.60,"1,243,257","865,466",13.2
16/12/2024,34.60,"2,000,300",34.45,34.80,34.35,"871,756","68,100",27.7
13/12/2024,34.45,"1,408,700",34.30,34.45,34.10,"34,591","104,500",-2.4
12/12/2024,34.55,"1,835,500",34.50,34.55,34.25,"251,780","326,205",-2.5
11/12/2024,34.50,"2,364,400",34.80,34.80,34.25,"93,747","699,100",-20.8
10/12/2024,34.50,"2,356,700",34.40,34.50,34.25,"129,347","465,300",-11.5
09/12/2024,34.40,"4,053,200",33.70,34.60,33.70,"478,947","41,300",15.0
06/12/2024,33.80,"2,269,300",33.45,33.80,33.40,"246,000","259,164",-0.4
05/12/2024,33.30,"3,812,000",32.85,33.85,32.75,"668,600","1,105,722",-14.6
04/12/2024,32.85,"1,504,600",32.90,32.95,32.65,"32,200","340,600",-10.1
03/12/2024,32.90,"1,383,200",32.60,32.90,32.60,"54,100","365,653",-10.2
02/12/2024,32.85,"2,671,900",33.15,33.15,32.45,"120,600","1,895,810",-58.1
29/11/2024,33.15,"1,423,900",33,33.15,32.70,"56,200","223,365",-5.5
28/11/2024,33.05,"1,642,300",33.15,33.20,32.90,"210,000","609,400",-13.2
27/11/2024,33.15,"1,509,100",33.20,33.20,32.90,"3,000","483,299",-15.8
26/11/2024,33.20,"2,267,100",32.80,33.30,32.60,"325,900","355,935",-1.0
25/11/2024,32.80,"1,655,500",32.60,32.80,32.50,"283,200","308,809",-0.8
22/11/2024,32.60,"2,003,300",32.60,32.65,32.10,"3,300","678,350",-21.9
21/11/2024,32.80,"1,643,900",32.40,32.85,32.35,"588,100","1,601",19.1
20/11/2024,32.55,"2,182,300",31.70,33,31.50,"67,900","112,048",-1.5
19/11/2024,32,"2,426,600",32.40,32.60,31.65,"1,500","1,439,300",-46.0
18/11/2024,32.60,"1,414,500",32.65,32.65,31.85,"32,400","61,500",-0.9
15/11/2024,32.65,"3,474,100",32.85,32.95,31.90,"390,200","459,871",-2.2
14/11/2024,33.35,"1,608,200",33.40,33.60,33,"333,600","98,353",7.9
13/11/2024,33.50,"1,744,900",33.05,33.60,33.05,"685,600","39,876",21.5
12/11/2024,33.45,"1,648,400",33.35,33.50,33,"510,700","540,100",-0.9
11/11/2024,33.50,"1,148,900",33.55,33.55,33.10,"257,900","52,100",6.9
08/11/2024,33.55,"1,276,200",33.70,33.70,33.25,"101,000","411,000",-10.3
07/11/2024,33.60,"2,148,100",33.55,34.05,33.40,"214,300","366,400",-5.1
06/11/2024,33.40,"1,659,000",33.20,33.40,32.80,0,0,0
05/11/2024,32.95,"1,452,100",33,33.05,32.65,"580,200","663,600",-2.8
04/11/2024,33,"2,603,400",33.30,33.30,32.55,"600,000","1,059,400",-15.0
01/11/2024,33.15,"2,005,200",33.30,33.60,33.15,"593,800","700,500",-3.6
31/10/2024,33.50,"3,204,700",33.50,33.65,33.30,"1,416,200","1,473,400",-1.9
30/10/2024,33.50,"1,562,900",33.50,33.50,33.25,"410,000","535,900",-4.2
29/10/2024,33.50,"2,236,100",33.70,33.75,33.15,"336,000","588,500",-8.4
28/10/2024,33.50,"1,522,300",33.10,33.55,33.10,"535,200","267,000",9.0
25/10/2024,33.15,"2,212,100",33.65,33.75,33.15,"391,100","872,200",-16.1
