Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,15.40,400,15.40,15.40,15.40,0,0,0
20/03/2025,15.40,0,15.40,15.40,15.40,0,0,0
19/03/2025,15.40,0,15.40,15.40,15.40,0,0,0
18/03/2025,15.40,0,15.40,15.40,15.40,0,0,0
17/03/2025,15.40,0,15.40,15.40,15.40,0,0,0
14/03/2025,15.40,"8,300",15,15.40,15,0,0,0
13/03/2025,13.40,0,13.40,13.40,13.40,0,0,0
12/03/2025,13.40,0,13.40,13.40,13.40,0,0,0
11/03/2025,13.40,0,13.40,13.40,13.40,0,0,0
10/03/2025,13.40,0,13.40,13.40,13.40,0,0,0
07/03/2025,13.90,"41,600",12.10,15.30,12.10,0,0,0
06/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
05/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
04/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
03/03/2025,13.90,0,13.90,13.90,13.90,0,0,0
28/02/2025,13.80,"11,700",13.80,14,13.80,0,0,0
27/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
26/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
25/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
24/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
21/02/2025,15,"7,500",12,15,12,0,0,0
20/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
19/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
18/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
17/02/2025,13.80,0,13.80,13.80,13.80,0,0,0
14/02/2025,14.10,"7,200",13,14.10,13,0,0,0
13/02/2025,12.30,0,12.30,12.30,12.30,0,0,0
12/02/2025,12.30,0,12.30,12.30,12.30,0,0,0
11/02/2025,12.30,0,12.30,12.30,12.30,0,0,0
10/02/2025,12.30,0,12.30,12.30,12.30,0,0,0
07/02/2025,12.50,"8,095",12.50,12.50,12,0,0,0
06/02/2025,12.50,0,12.50,12.50,12.50,0,0,0
05/02/2025,12.50,0,12.50,12.50,12.50,0,0,0
04/02/2025,12.50,0,12.50,12.50,12.50,0,0,0
03/02/2025,12.50,0,12.50,12.50,12.50,0,0,0
24/01/2025,12.50,0,12.50,12.50,12.50,0,0,0
23/01/2025,12.50,0,12.50,12.50,12.50,0,0,0
22/01/2025,12.50,0,12.50,12.50,12.50,0,0,0
21/01/2025,12.50,0,12.50,12.50,12.50,0,0,0
20/01/2025,12.50,0,12.50,12.50,12.50,0,0,0
17/01/2025,12.50,"2,312",12.50,12.50,12.50,0,0,0
16/01/2025,12.90,0,12.90,12.90,12.90,0,0,0
15/01/2025,12.90,0,12.90,12.90,12.90,0,0,0
14/01/2025,12.90,0,12.90,12.90,12.90,0,0,0
13/01/2025,12.90,0,12.90,12.90,12.90,0,0,0
10/01/2025,12.10,"17,391",11.50,13.20,11.50,0,0,0
09/01/2025,11.50,0,11.50,11.50,11.50,0,0,0
08/01/2025,11.50,0,11.50,11.50,11.50,0,0,0
07/01/2025,11.50,0,11.50,11.50,11.50,0,0,0
06/01/2025,11.50,0,11.50,11.50,11.50,0,0,0
03/01/2025,11.60,"1,082",11,11.60,11,0,0,0
02/01/2025,12.30,0,12.30,12.30,12.30,0,0,0
31/12/2024,12.30,0,12.30,12.30,12.30,0,0,0
30/12/2024,12.30,0,12.30,12.30,12.30,0,0,0
27/12/2024,12.80,"5,600",11.20,12.80,11.20,0,0,0
26/12/2024,11.20,0,11.20,11.20,11.20,0,0,0
25/12/2024,11.20,0,11.20,11.20,11.20,0,0,0
24/12/2024,11.20,0,11.20,11.20,11.20,0,0,0
23/12/2024,11.20,0,11.20,11.20,11.20,0,0,0
20/12/2024,11.20,"48,440",11,11.50,11,0,0,0
19/12/2024,10,0,10,10,10,0,0,0
18/12/2024,10,0,10,10,10,0,0,0
17/12/2024,10,0,10,10,10,0,0,0
16/12/2024,10,0,10,10,10,0,0,0
13/12/2024,10,"3,360",10,10,10,0,0,0
12/12/2024,8.70,0,8.70,8.70,8.70,0,0,0
11/12/2024,8.70,0,8.70,8.70,8.70,0,0,0
10/12/2024,8.70,0,8.70,8.70,8.70,0,0,0
09/12/2024,8.70,0,8.70,8.70,8.70,0,0,0
06/12/2024,9,"13,238",9.90,9.90,8.50,0,0,0
05/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
04/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
03/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
02/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
29/11/2024,11.80,"26,184",9.40,11.80,9.40,0,0,0
28/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
27/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
26/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
25/11/2024,10.90,0,10.90,10.90,10.90,0,0,0
22/11/2024,11.10,"135,101",8.30,11.10,8.30,0,0,0
21/11/2024,9.70,0,9.70,9.70,9.70,0,0,0
20/11/2024,9.70,0,9.70,9.70,9.70,0,0,0
19/11/2024,9.70,0,9.70,9.70,9.70,0,0,0
18/11/2024,9.70,0,9.70,9.70,9.70,0,0,0
15/11/2024,9.80,"4,300",9.10,10.30,9.10,0,0,0
14/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
13/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
12/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
11/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
08/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
07/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
06/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
05/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
04/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
01/11/2024,9.10,0,9.10,9.10,9.10,0,0,0
31/10/2024,9.10,0,9.10,9.10,9.10,0,0,0
30/10/2024,9.10,0,9.10,9.10,9.10,0,0,0
29/10/2024,9.10,0,9.10,9.10,9.10,0,0,0
28/10/2024,9.10,0,9.10,9.10,9.10,0,0,0
25/10/2024,9.10,"38,701",8.60,10.20,8.60,0,0,0
24/10/2024,10.10,0,10.10,10.10,10.10,0,0,0
23/10/2024,10.10,0,10.10,10.10,10.10,0,0,0
22/10/2024,10.10,0,10.10,10.10,10.10,0,0,0
21/10/2024,10.10,0,10.10,10.10,10.10,0,0,0
18/10/2024,10.20,"44,915",10,10.20,10,0,0,0
17/10/2024,9,0,9,9,9,0,0,0
16/10/2024,9,0,9,9,9,0,0,0
15/10/2024,9,0,9,9,9,0,0,0
14/10/2024,9,0,9,9,9,0,0,0
11/10/2024,9,"8,100",9,9,9,0,0,0
10/10/2024,7.90,0,7.90,7.90,7.90,0,0,0
09/10/2024,7.90,0,7.90,7.90,7.90,0,0,0
08/10/2024,7.90,0,7.90,7.90,7.90,0,0,0
07/10/2024,7.90,0,7.90,7.90,7.90,0,0,0
04/10/2024,8,"10,600",8,8,7.20,0,0,0
03/10/2024,8,0,8,8,8,0,0,0
02/10/2024,8,0,8,8,8,0,0,0
01/10/2024,8,0,8,8,8,0,0,0
