Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.77,"6,517,300",5.68,5.88,5.67,"178,500","225,600",0
20/03/2025,5.68,"4,377,800",5.65,5.80,5.60,"123,100","132,600",-0.1
19/03/2025,5.70,"5,761,600",5.76,5.76,5.60,"120,100","233,144",-0.7
18/03/2025,5.77,"8,164,500",5.99,6.05,5.75,"158,214","958,000",-4.8
17/03/2025,5.93,"11,669,200",6.06,6.06,5.82,"186,200","1,347,400",-6.9
14/03/2025,6.01,"15,172,500",5.98,6.23,5.81,"235,100",300,1.4
13/03/2025,5.92,"20,413,600",5.75,6.09,5.70,"1,208,200","103,100",6.7
12/03/2025,5.70,"22,257,600",5.55,5.75,5.51,"1,463,400","532,200",5.3
11/03/2025,5.50,"5,944,900",5.48,5.53,5.42,"7,200","41,700",-0.2
10/03/2025,5.54,"6,512,300",5.61,5.61,5.50,"102,300","27,500",0.4
07/03/2025,5.51,"9,774,900",5.42,5.52,5.42,"553,000","384,500",0.9
06/03/2025,5.43,"7,223,600",5.43,5.44,5.36,"40,700","25,900",0.1
05/03/2025,5.42,"4,013,600",5.49,5.58,5.42,"45,400","3,300",0.2
04/03/2025,5.46,"12,858,700",5.49,5.49,5.32,"384,400","875,200",-2.7
03/03/2025,5.49,"5,944,500",5.56,5.56,5.46,"25,900","281,700",-1.4
28/02/2025,5.56,"3,171,200",5.60,5.63,5.54,"22,600","85,000",-0.3
27/02/2025,5.60,"8,229,500",5.55,5.65,5.50,"309,300","447,600",-0.8
26/02/2025,5.54,"3,554,900",5.54,5.55,5.50,"31,400","315,600",-1.6
25/02/2025,5.58,"8,323,000",5.55,5.65,5.51,"382,700","552,500",-1.0
24/02/2025,5.54,"5,085,300",5.52,5.56,5.48,0,"473,200",-2.6
21/02/2025,5.57,"5,809,500",5.62,5.65,5.49,"192,910","375,500",-1.0
20/02/2025,5.68,"8,878,500",5.70,5.74,5.58,"783,500","857,900",-0.5
19/02/2025,5.69,"20,535,100",5.38,5.70,5.35,"1,443,700","158,700",7.1
18/02/2025,5.34,"2,568,300",5.34,5.39,5.34,"205,200","1,000",1.1
17/02/2025,5.35,"4,909,900",5.36,5.37,5.32,"1,041,500","6,400",5.5
14/02/2025,5.33,"3,868,000",5.29,5.35,5.28,"159,500",0,0.8
13/02/2025,5.30,"2,604,400",5.30,5.31,5.25,"9,900","46,400",-0.2
12/02/2025,5.31,"3,115,000",5.30,5.32,5.27,"129,300","139,700",-0.1
11/02/2025,5.30,"2,157,200",5.33,5.33,5.28,0,"66,600",-0.4
10/02/2025,5.33,"3,118,600",5.35,5.39,5.29,"44,500","155,600",-0.6
07/02/2025,5.39,"8,416,300",5.36,5.40,5.32,"137,000","380,000",-1.3
06/02/2025,5.39,"4,410,800",5.36,5.43,5.34,"71,200","28,100",0.2
05/02/2025,5.40,"5,891,700",5.37,5.45,5.34,"115,900","136,600",-0.1
04/02/2025,5.35,"7,846,600",5.27,5.38,5.27,"432,800","123,900",1.6
03/02/2025,5.22,"1,765,800",5.28,5.29,5.22,"5,000","9,400",-0.0
24/01/2025,5.31,"3,244,900",5.27,5.31,5.25,"159,800","23,100",0.7
23/01/2025,5.29,"5,628,200",5.29,5.33,5.22,"121,900","111,800",0.0
22/01/2025,5.25,"4,570,300",5.25,5.30,5.17,"9,400","147,800",-0.7
21/01/2025,5.23,"3,132,200",5.32,5.32,5.19,"23,100","1,100",0.1
20/01/2025,5.31,"3,199,100",5.34,5.37,5.28,"111,300",0,0.6
17/01/2025,5.32,"4,224,300",5.28,5.38,5.26,"108,900","208,700",-0.5
16/01/2025,5.29,"3,087,800",5.28,5.40,5.23,"24,600","184,700",-0.9
15/01/2025,5.23,"3,035,400",5.23,5.25,5.19,"15,500","69,400",-0.3
14/01/2025,5.22,"1,231,000",5.22,5.23,5.17,100,"13,700",-0.1
13/01/2025,5.25,"3,335,100",5.21,5.25,5.14,"77,020","195,000",-0.6
10/01/2025,5.20,"3,074,800",5.26,5.28,5.20,100,"87,000",-0.5
09/01/2025,5.29,"1,758,600",5.29,5.30,5.26,0,"166,100",-0.9
08/01/2025,5.32,"2,733,300",5.29,5.32,5.22,"120,200","121,500",-0.0
07/01/2025,5.28,"2,251,300",5.31,5.35,5.26,0,"325,100",-1.7
06/01/2025,5.30,"4,935,900",5.45,5.47,5.30,400,"909,500",-4.9
03/01/2025,5.49,"3,564,100",5.55,5.57,5.47,100,"70,300",-0.4
02/01/2025,5.57,"3,023,900",5.50,5.57,5.50,"96,700","122,600",-0.1
31/12/2024,5.55,"2,023,700",5.56,5.57,5.50,"1,100","360,600",-2.0
30/12/2024,5.55,"4,049,600",5.69,5.69,5.53,"48,100","198,500",-0.8
27/12/2024,5.69,"4,559,500",5.73,5.73,5.66,"302,900","4,500",1.7
26/12/2024,5.68,"8,397,700",5.68,5.72,5.60,"607,700","33,000",3.2
25/12/2024,5.62,"7,979,700",5.58,5.75,5.50,"1,241,700","323,000",5.1
24/12/2024,5.55,"11,491,000",5.59,5.59,5.42,"483,000","283,800",1.1
23/12/2024,5.59,"6,369,800",5.68,5.68,5.53,"23,600","475,000",-2.5
20/12/2024,5.63,"10,644,700",5.62,5.65,5.50,"332,300","503,700",-1.0
19/12/2024,5.59,"10,928,400",5.45,5.65,5.41,"283,610","1,540,500",-7.0
18/12/2024,5.55,"9,641,500",5.41,5.55,5.38,"475,600","823,600",-1.9
17/12/2024,5.41,"7,282,300",5.56,5.60,5.39,"60,300","680,700",-3.4
16/12/2024,5.57,"2,892,500",5.65,5.66,5.53,100,"397,200",-2.2
13/12/2024,5.68,"4,598,200",5.77,5.77,5.60,0,"614,500",-3.5
12/12/2024,5.77,"6,276,700",5.73,5.86,5.71,"197,100","390,700",-1.1
11/12/2024,5.79,"5,411,100",5.89,5.92,5.71,"197,500","260,600",-0.4
10/12/2024,5.89,"4,727,900",5.94,5.98,5.80,"79,110","610,200",-3.1
09/12/2024,5.90,"6,458,800",5.73,5.90,5.65,"285,900","255,700",0.2
06/12/2024,5.73,"4,182,200",5.77,5.84,5.65,"24,500","309,400",-1.6
05/12/2024,5.77,"5,816,200",5.61,5.79,5.60,"618,700","554,200",0.4
04/12/2024,5.60,"3,643,600",5.79,5.79,5.60,"236,890","314,900",-0.5
03/12/2024,5.75,"6,346,700",5.84,5.88,5.70,"548,500","329,200",1.2
02/12/2024,5.84,"4,207,000",5.85,5.90,5.77,"160,100","148,400",0.1
29/11/2024,5.78,"6,578,300",5.63,5.80,5.58,"351,000","202,900",0.8
28/11/2024,5.74,"4,574,900",5.79,5.84,5.67,"339,800","36,400",1.7
27/11/2024,5.79,"7,078,400",5.78,5.84,5.66,"433,100","324,600",0.6
26/11/2024,5.73,"14,824,400",5.38,5.73,5.38,"2,587,300","485,200",11.7
25/11/2024,5.37,"6,145,000",5.30,5.39,5.29,"1,089,200","477,700",3.3
22/11/2024,5.28,"4,146,500",5.22,5.32,5.20,"436,800","162,700",1.5
21/11/2024,5.24,"3,170,900",5.16,5.25,5.15,"142,300","163,000",-0.1
20/11/2024,5.18,"4,976,200",5.13,5.30,5.12,"323,700","292,200",0.1
19/11/2024,5.19,"3,425,000",5.22,5.23,5.12,"121,600","302,400",-0.9
18/11/2024,5.22,"3,413,600",5.16,5.22,5.12,"150,200","381,300",-1.2
15/11/2024,5.22,"4,013,500",5.23,5.24,5.12,"6,500","299,600",-1.5
14/11/2024,5.26,"2,820,100",5.33,5.33,5.20,0,"355,800",-1.9
13/11/2024,5.26,"4,192,600",5.23,5.26,5.15,300,"561,900",-2.9
12/11/2024,5.27,"3,044,200",5.32,5.32,5.23,100,"326,100",-1.7
11/11/2024,5.32,"4,101,800",5.31,5.33,5.22,"93,600","280,900",-1.0
08/11/2024,5.35,"3,365,400",5.36,5.40,5.27,"28,700","305,900",-1.5
07/11/2024,5.37,"4,827,000",5.28,5.37,5.27,"192,800","117,400",0.4
06/11/2024,5.30,"2,448,000",5.27,5.31,5.25,0,0,0
05/11/2024,5.25,"1,735,800",5.27,5.30,5.23,"236,200","5,900",1.2
04/11/2024,5.26,"2,507,000",5.27,5.27,5.21,"328,000","5,200",1.7
01/11/2024,5.27,"3,349,600",5.25,5.28,5.21,"409,700","42,800",1.9
31/10/2024,5.27,"2,559,200",5.23,5.27,5.19,"171,500","27,000",0.8
30/10/2024,5.25,"1,538,600",5.26,5.29,5.22,"109,700","26,700",0.4
29/10/2024,5.27,"3,155,000",5.24,5.32,5.22,"345,800",200,1.8
28/10/2024,5.24,"1,428,800",5.25,5.26,5.21,"103,600","11,900",0.5
25/10/2024,5.24,"1,642,400",5.16,5.26,5.16,0,"154,800",-0.8
24/10/2024,5.25,"2,313,800",5.33,5.33,5.22,"134,400","129,500",0.0
23/10/2024,5.33,"2,913,600",5.25,5.33,5.24,"226,500","34,300",1.0
22/10/2024,5.26,"2,836,800",5.31,5.34,5.24,"105,800","16,800",0.5
21/10/2024,5.32,"1,956,200",5.36,5.36,5.30,"146,700",0,0.8
18/10/2024,5.36,"3,177,500",5.33,5.38,5.30,"636,400",0,3.4
17/10/2024,5.35,"4,458,900",5.33,5.35,5.22,"478,600","5,000",2.5
16/10/2024,5.29,"2,383,100",5.29,5.34,5.24,"28,800","63,900",-0.2
15/10/2024,5.27,"4,509,900",5.21,5.32,5.20,"1,900","50,300",-0.3
14/10/2024,5.19,"1,663,600",5.21,5.22,5.17,0,"48,500",-0.3
11/10/2024,5.19,"2,133,800",5.20,5.20,5.16,"45,300",0,0.2
10/10/2024,5.19,"2,023,200",5.19,5.23,5.17,0,0,0
09/10/2024,5.19,"1,885,800",5.20,5.21,5.16,"130,800",0,0.7
08/10/2024,5.19,"1,814,600",5.18,5.22,5.16,0,"2,100",-0.0
07/10/2024,5.18,"1,122,100",5.19,5.22,5.16,0,"51,900",-0.3
04/10/2024,5.19,"3,395,700",5.22,5.22,5.14,0,"530,500",-2.7
03/10/2024,5.22,"3,709,500",5.31,5.31,5.15,0,"637,600",-3.3
02/10/2024,5.29,"2,341,400",5.35,5.35,5.26,"33,600","104,400",-0.4
01/10/2024,5.35,"3,296,700",5.32,5.37,5.29,"533,100","63,500",2.5
30/09/2024,5.30,"2,393,500",5.35,5.35,5.29,"98,900","30,600",0.4
27/09/2024,5.36,"3,246,000",5.39,5.42,5.31,"196,600","18,400",1.0
26/09/2024,5.37,"4,743,500",5.33,5.44,5.27,"202,900","378,300",-0.9
25/09/2024,5.30,"3,779,900",5.32,5.34,5.27,"265,200","224,300",0.2
24/09/2024,5.30,"2,880,000",5.34,5.34,5.27,"14,600","332,900",-1.7
23/09/2024,5.34,"1,909,800",5.40,5.40,5.30,0,"352,200",-1.9
20/09/2024,5.38,"2,389,200",5.41,5.49,5.33,0,"115,800",-0.6
19/09/2024,5.38,"3,888,300",5.33,5.39,5.27,"664,400",0,3.5
18/09/2024,5.29,"2,877,700",5.31,5.32,5.26,"462,800","48,500",2.2
17/09/2024,5.30,"3,515,700",5.27,5.31,5.21,"26,400","377,300",-1.8
16/09/2024,5.26,"3,375,100",5.24,5.33,5.21,"104,100","29,100",0.4
13/09/2024,5.23,"2,616,100",5.23,5.24,5.18,"142,700","20,600",0.6
12/09/2024,5.23,"2,270,600",5.23,5.25,5.18,"312,800","82,600",1.2
11/09/2024,5.23,"2,615,700",5.24,5.25,5.16,"123,100","192,600",-0.4
10/09/2024,5.25,"2,041,400",5.31,5.34,5.19,"15,700","121,600",-0.6
09/09/2024,5.28,"2,215,100",5.25,5.32,5.24,0,0,0
06/09/2024,5.30,"2,084,700",5.30,5.30,5.23,"23,600","54,300",-0.2
05/09/2024,5.32,"2,292,200",5.32,5.39,5.27,"61,200","44,700",0.1
04/09/2024,5.31,"2,730,900",5.33,5.33,5.22,0,"186,500",-1.0
30/08/2024,5.37,"3,076,900",5.37,5.38,5.31,0,"140,700",-0.8
29/08/2024,5.37,"2,763,600",5.40,5.42,5.34,0,"407,100",-2.2
28/08/2024,5.44,"2,845,000",5.48,5.48,5.36,"59,200","293,500",-1.3
27/08/2024,5.48,"2,546,500",5.44,5.48,5.41,"24,600","137,200",-0.6
26/08/2024,5.49,"4,115,900",5.42,5.49,5.40,"770,400","2,300",4.2
23/08/2024,5.42,"4,125,600",5.45,5.48,5.34,"14,000","329,800",-1.7
22/08/2024,5.42,"2,203,700",5.47,5.48,5.38,"14,100","238,700",-1.2
21/08/2024,5.47,"2,823,500",5.49,5.50,5.39,"93,500","98,900",-0.0
20/08/2024,5.49,"5,438,400",5.37,5.50,5.33,"405,500","27,200",2.0
19/08/2024,5.40,"2,779,900",5.40,5.47,5.37,"245,500","39,000",1.1
16/08/2024,5.37,"5,764,300",5.23,5.39,5.20,"446,600","290,700",0.8
15/08/2024,5.20,"2,492,400",5.15,5.25,5.15,"47,100","209,900",-0.8
14/08/2024,5.25,"2,391,000",5.27,5.30,5.18,"70,600","42,700",0.1
13/08/2024,5.25,"2,135,200",5.17,5.25,5.17,"124,200","18,500",0.5
12/08/2024,5.18,"2,946,400",5.22,5.24,5.18,"557,000",0,2.9
09/08/2024,5.23,"2,070,200",5.21,5.27,5.18,0,0,0
08/08/2024,5.24,"1,766,100",5.23,5.24,5.16,"58,200",0,0.3
07/08/2024,5.25,"2,034,500",5.27,5.28,5.15,400,0,0.0
06/08/2024,5.25,"1,883,200",5.20,5.30,5.05,100,0,0.0
05/08/2024,5.12,"2,809,600",5.34,5.34,5.12,"1,100","1,000",0.0
02/08/2024,5.50,"3,028,800",5.17,5.50,4.98,0,"78,200",-0.4
01/08/2024,5.17,"2,534,400",5.30,5.34,5.16,0,"163,900",-0.9
31/07/2024,5.35,"3,220,000",5.36,5.38,5.29,0,"194,400",-1.0
30/07/2024,5.35,"2,573,200",5.38,5.38,5.27,"164,300","3,700",0.9
29/07/2024,5.38,"2,766,600",5.38,5.42,5.34,"164,300","3,700",0.9
26/07/2024,5.38,"2,655,400",5.38,5.43,5.31,"150,200","43,900",0.6
25/07/2024,5.38,"2,490,900",5.40,5.40,5.30,"67,700","43,400",0.1
24/07/2024,5.42,"3,089,100",5.35,5.42,5.20,"63,400","58,100",0.0
23/07/2024,5.40,"2,594,400",5.50,5.51,5.32,"6,700","17,700",-0.1
22/07/2024,5.49,"3,904,400",5.52,5.53,5.33,"74,300","73,600",0.0
19/07/2024,5.59,"3,575,000",5.65,5.66,5.46,"58,000","212,300",-0.9
18/07/2024,5.67,"4,744,100",5.60,5.67,5.41,"16,300","780,100",-4.2
17/07/2024,5.63,"4,851,500",5.75,5.77,5.40,"16,600","540,400",-3.0
16/07/2024,5.79,"3,378,400",5.90,5.90,5.70,"32,200","314,800",-1.6
15/07/2024,5.85,"7,291,300",5.63,5.95,5.63,"969,500","223,300",4.3
12/07/2024,5.61,"2,918,100",5.66,5.67,5.60,"351,800","4,200",2.0
11/07/2024,5.67,"3,147,900",5.61,5.71,5.60,"478,300","16,100",2.6
10/07/2024,5.63,"2,091,400",5.66,5.66,5.59,100,"86,000",-0.5
09/07/2024,5.65,"3,147,500",5.68,5.72,5.60,300,"221,900",-1.3
08/07/2024,5.69,"3,098,700",5.73,5.75,5.61,100,"240,100",-1.4
05/07/2024,5.74,"3,966,000",5.69,5.77,5.62,"278,700","169,800",0.6
04/07/2024,5.69,"2,631,400",5.60,5.69,5.59,"174,400","17,300",0.9
03/07/2024,5.65,"2,835,700",5.63,5.65,5.56,"210,700","49,200",0.9
02/07/2024,5.63,"3,107,200",5.59,5.64,5.52,"341,300","29,100",1.7
01/07/2024,5.58,"1,915,900",5.57,5.58,5.48,"30,000","133,400",-0.6
28/06/2024,5.55,"2,581,300",5.62,5.65,5.31,"21,200","50,300",-0.2
27/06/2024,5.65,"2,080,800",5.65,5.66,5.57,"4,800","162,700",-0.9
26/06/2024,5.66,"2,588,300",5.61,5.69,5.61,"46,000",0,0.3
25/06/2024,5.67,"2,464,700",5.67,5.72,5.58,300,"18,900",-0.1
24/06/2024,5.64,"4,246,300",5.60,5.74,5.58,"389,400",0,2.2
21/06/2024,5.64,"2,606,400",5.67,5.67,5.58,0,"12,500",-0.1
20/06/2024,5.66,"2,098,600",5.68,5.70,5.59,"21,100",0,0.1
