Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,15.60,"24,900",15.60,15.60,15.40,0,0,0
20/03/2025,15.60,"37,300",15.30,15.80,15.30,0,0,0
19/03/2025,15.30,"32,700",15.40,15.50,15.20,0,0,0
18/03/2025,15.50,"47,300",15.90,15.90,15.20,0,0,0
17/03/2025,15.90,"115,400",15.70,16.10,15.50,0,0,0
14/03/2025,15.50,"132,000",15.20,15.80,15,0,0,0
13/03/2025,15.20,"54,000",15.20,15.30,15.10,0,0,0
12/03/2025,15.20,"74,500",14.90,15.30,14.90,0,0,0
11/03/2025,14.90,"41,600",14.60,14.90,14.50,0,0,0
10/03/2025,14.80,"48,300",14.80,15,14.50,0,0,0
07/03/2025,14.80,"26,100",14.80,14.80,14.50,0,0,0
06/03/2025,14.80,"158,300",14.50,14.90,14.50,0,0,0
05/03/2025,14.40,"49,700",14.50,14.70,14.30,0,0,0
04/03/2025,14.40,"150,700",13.60,14.50,13.60,0,0,0
03/03/2025,13.60,"28,500",13.40,13.60,13.30,0,0,0
28/02/2025,13.50,"29,900",13.70,13.70,13.30,0,0,0
27/02/2025,13.30,"136,000",13.60,13.80,13.30,0,0,0
26/02/2025,14,"42,700",14.60,14.60,13.60,0,0,0
25/02/2025,14.10,"264,100",12.90,14.10,12.90,0,0,0
24/02/2025,12.90,"23,100",12.70,12.90,12.60,0,0,0
21/02/2025,12.70,"11,400",12.70,12.90,12.70,0,0,0
20/02/2025,12.90,"13,700",12.80,12.90,12.70,0,0,0
19/02/2025,12.90,"7,900",12.90,12.90,12.60,0,0,0
18/02/2025,12.70,"20,300",12.80,12.80,12.60,0,0,0
17/02/2025,12.80,"26,900",12.90,13.10,12.60,0,0,0
14/02/2025,12.80,"27,600",12.70,12.80,12.60,0,0,0
13/02/2025,12.70,"2,200",12.70,12.70,12.60,0,0,0
12/02/2025,12.60,"29,508",12.70,12.70,12.60,0,0,0
11/02/2025,12.80,"10,417",12.80,12.90,12.80,0,0,0
10/02/2025,12.80,"42,300",12.90,13,12.80,0,0,0
07/02/2025,12.90,"3,300",12.80,12.90,12.70,0,0,0
06/02/2025,12.80,"32,405",12.90,12.90,12.60,0,0,0
05/02/2025,13,"52,500",12.70,13,12.60,0,0,0
04/02/2025,12.90,"39,600",12.60,12.90,12.60,0,0,0
03/02/2025,12.90,"26,300",13,13.10,12.60,0,0,0
24/01/2025,13,"16,600",13.20,13.20,12.90,0,0,0
23/01/2025,13,"7,300",12.80,13,12.80,0,0,0
22/01/2025,12.90,"51,312",12.70,13.20,12.60,0,0,0
21/01/2025,12.80,"56,500",13.20,13.20,12.70,0,0,0
20/01/2025,13.10,"51,800",13.20,13.20,13,0,"2,700",-0.0
17/01/2025,13.20,"21,500",13,13.20,13,0,0,0
16/01/2025,13.10,"18,900",13.10,13.20,13.10,0,0,0
15/01/2025,13.10,"4,600",13,13.10,13,0,0,0
14/01/2025,13,"23,200",13,13.10,12.90,0,0,0
13/01/2025,13,"27,400",13,13,12.90,0,0,0
10/01/2025,13.20,"36,000",13.30,13.30,13,0,0,0
09/01/2025,13.40,"33,901",13.10,13.50,13,0,0,0
08/01/2025,13.20,"25,900",13.10,13.20,13.10,0,0,0
07/01/2025,13.10,"59,200",13.50,13.50,13,0,0,0
06/01/2025,13.50,"39,309",13.40,13.60,13.30,0,0,0
03/01/2025,13.40,"37,868",13.40,13.50,13.30,0,0,0
02/01/2025,13.50,"6,520",13.60,13.60,13.50,0,0,0
31/12/2024,13.50,"18,278",13.60,13.60,13.40,0,0,0
30/12/2024,13.70,"34,705",13.80,13.80,13.50,0,0,0
27/12/2024,13.80,"12,500",13.80,13.90,13.60,0,0,0
26/12/2024,13.80,"175,800",13.50,13.80,13.30,0,0,0
25/12/2024,13.50,"205,113",13.80,13.80,13.50,0,0,0
24/12/2024,13.90,"119,900",14,14.40,13.90,0,0,0
23/12/2024,14,"135,118",13.50,14.30,13.50,0,0,0
