Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.30,"673,700",12.60,12.80,11.80,0,0,0
20/03/2025,12.60,"449,400",12.60,12.80,12.50,0,0,0
19/03/2025,12.60,"267,500",12.80,12.80,12.40,0,0,0
18/03/2025,12.80,"559,800",12.80,13.20,12.60,0,0,0
17/03/2025,12.80,"1,350,800",12.50,12.90,12.40,400,0,0
14/03/2025,12.50,"678,000",12.70,12.90,12.40,0,0,0
13/03/2025,12.60,"1,015,100",12.60,13,12.50,0,0,0
12/03/2025,12.50,"754,300",12.10,12.80,12,0,0,0
11/03/2025,12.10,"171,400",12.10,12.20,12,0,0,0
10/03/2025,12.20,"1,258,300",12.20,12.40,12.10,0,0,0
07/03/2025,12,"369,600",12,12.20,12,0,0,0
06/03/2025,12,"96,900",11.90,12.10,11.80,0,0,0
05/03/2025,11.90,"95,600",12,12.10,11.90,0,0,0
04/03/2025,12.10,"103,400",12.20,12.20,11.90,0,0,0
03/03/2025,12.20,"197,900",12.50,12.50,12,0,0,0
28/02/2025,12.40,"203,200",12.60,12.70,12.30,0,0,0
27/02/2025,12.60,"132,100",12.70,12.90,12.60,0,0,0
26/02/2025,12.70,"961,400",12.50,13.10,12.50,0,0,0
25/02/2025,12.50,"188,800",12.70,12.80,12.40,0,0,0
24/02/2025,12.70,"46,600",12.60,12.80,12.60,0,0,0
21/02/2025,12.50,"224,800",12.60,12.90,12.50,0,0,0
20/02/2025,12.50,"176,700",12.80,12.80,12.50,0,0,0
19/02/2025,12.80,"147,300",13,13,12.70,"32,000",0,0.4
18/02/2025,12.80,"130,600",13,13.10,12.70,"63,900",0,0.8
17/02/2025,13,"176,700",13.20,13.20,12.80,"88,900",0,1.2
14/02/2025,12.80,"298,500",12.60,13.50,12.60,"88,000",0,1.1
13/02/2025,12.60,"122,900",12.50,12.60,12.50,"59,000",0,0.7
12/02/2025,12.50,"43,504",12.60,12.70,12.30,"2,000",0,0.0
11/02/2025,12.70,"123,951",12.70,12.80,12.50,"78,300",0,1.0
10/02/2025,12.60,"85,709",12.40,12.90,12.40,"35,900",400,0.4
07/02/2025,12.40,"200,152",12.70,13.10,12.30,"60,000","1,000",0.8
06/02/2025,12.70,"668,836",12,13,12,"477,000","9,000",5.9
05/02/2025,12.20,"189,440",11.90,12.30,11.90,"160,400",0,2.0
04/02/2025,11.90,"285,709",11.80,12.10,11.60,"245,000",0,2.9
03/02/2025,11.70,"89,800",11.60,11.70,11.50,"15,500",0,0
24/01/2025,11.40,"520,600",11.20,11.50,11.10,"346,800",0,3.9
23/01/2025,11.10,"36,000",11.10,11.20,11,0,0,0
22/01/2025,11,"51,106",11.10,11.20,11,0,0,0
21/01/2025,11.10,"13,000",11.10,11.10,11,0,0,0
20/01/2025,11,"66,607",11.20,11.20,11,0,0,0
17/01/2025,11.10,"36,313",11,11.20,11,0,0,0
16/01/2025,11,"24,000",11.10,11.10,11,0,0,0
15/01/2025,10.90,"17,700",11.10,11.10,10.90,"8,000",0,0.1
14/01/2025,11,"8,708",11,11.10,11,0,0,0
13/01/2025,11,"40,730",11,11.20,10.80,0,0,0
10/01/2025,11,"91,600",11.10,11.10,11,0,0,0
09/01/2025,11.20,"27,018",11.30,11.30,11.10,0,0,0
08/01/2025,11.20,"67,286",11.40,11.40,11,0,0,0
07/01/2025,11.30,"85,141",11.30,11.40,11.20,0,0,0
06/01/2025,11.30,"33,921",11.40,11.50,11.30,0,0,0
03/01/2025,11.30,"19,000",11.30,11.40,11.30,0,0,0
02/01/2025,11.40,"70,320",11.40,11.50,11.30,0,0,0
31/12/2024,11.40,"17,200",11.40,11.50,11.40,0,0,0
30/12/2024,11.50,"44,901",11.50,11.50,11.40,0,0,0
27/12/2024,11.50,"52,604",11.60,11.60,11.50,0,0,0
26/12/2024,11.60,"54,660",11.50,11.60,11.50,"34,700",0,0.4
25/12/2024,11.60,"110,505",11.40,11.80,11.40,"45,000",0,0.5
24/12/2024,11.40,"52,328",11.40,11.50,11.30,"30,000",0,0.3
23/12/2024,11.40,"67,379",11.40,11.50,11.10,"30,000",0,0.3
20/12/2024,11.40,"17,202",11.40,11.40,11.30,0,0,0
19/12/2024,11.40,"26,801",11.40,11.50,11.30,0,0,0
18/12/2024,11.40,"23,209",11.30,11.40,11.30,0,0,0
17/12/2024,11.40,"32,400",11.30,11.50,11.20,0,0,0
16/12/2024,11.50,"24,908",11.40,11.60,11.30,0,0,0
13/12/2024,11.50,"58,703",11.50,11.60,11.40,0,0,0
12/12/2024,11.50,"199,526",11.70,11.80,11.50,0,0,0
11/12/2024,11.90,"32,210",11.90,11.90,11.70,0,0,0
10/12/2024,11.90,"20,117",11.90,12,11.80,0,0,0
09/12/2024,11.80,"81,517",11.90,12,11.80,0,0,0
06/12/2024,11.90,"20,113",12,12,11.90,0,0,0
05/12/2024,12,"241,913",11.90,12,11.80,0,0,0
04/12/2024,11.90,"17,176",12,12,11.80,0,0,0
03/12/2024,12,"11,239",12,12,11.90,0,0,0
02/12/2024,11.90,"27,762",12.10,12.20,11.90,0,0,0
29/11/2024,12,"37,701",12,12.10,12,0,0,0
28/11/2024,12,"105,039",12.10,12.20,12,0,0,0
27/11/2024,12.20,"19,940",12.20,12.20,12.10,"1,200",0,0.0
26/11/2024,12.20,"35,510",12.20,12.20,12.10,"20,000",0,0.2
25/11/2024,12.10,"77,327",12.20,12.30,12.10,"41,000",0,0.5
22/11/2024,12.20,"20,110",12.20,12.20,12.10,"16,500",0,0.2
21/11/2024,12.20,"26,500",12.20,12.20,12.10,"26,200",0,0.3
20/11/2024,12.20,"41,301",12.20,12.30,12.10,"40,500",0,0.5
19/11/2024,12.10,"60,900",12.20,12.20,12,"34,600",0,0.4
18/11/2024,12.10,"46,700",12.10,12.20,12,"40,000",0,0.5
15/11/2024,12,"16,106",12.20,12.20,12,0,0,0
14/11/2024,12.20,"30,200",12.20,12.20,12.20,"30,000",0,0.4
13/11/2024,12.20,"37,001",12.20,12.30,12.10,"28,800",0,0.4
12/11/2024,12.20,"25,401",12.20,12.30,12.10,"22,500",0,0.3
11/11/2024,12.20,"60,610",12.30,12.30,11.90,"26,200",0,0.3
08/11/2024,12.30,"53,203",12.30,12.50,12.30,"46,000",0,0.6
07/11/2024,12.30,"24,073",12.30,12.30,12.30,"18,900",0,0.2
06/11/2024,12.20,"26,918",12.10,12.30,12.10,0,0,0
05/11/2024,12.10,"17,041",12.10,12.20,12.10,"12,000",0,0.1
04/11/2024,12.10,"85,013",12.10,12.30,12,"37,000",0,0.4
01/11/2024,12.10,"22,989",12.10,12.30,12.10,"15,000",0,0.2
31/10/2024,12.10,"37,658",12,12.20,12,"10,700",0,0.1
30/10/2024,12.10,"113,036",12.50,12.50,12,0,0,0
29/10/2024,12.30,"22,314",12.30,12.40,12.30,0,0,0
28/10/2024,12.40,"22,318",12.40,12.40,12.30,0,0,0
25/10/2024,12.40,"52,981",12.40,12.40,12.40,0,0,0
24/10/2024,12.40,"17,710",12.60,12.60,12.40,0,0,0
23/10/2024,12.50,"49,304",12.50,12.70,12.50,0,0,0
22/10/2024,12.50,"36,909",12.50,12.60,12.40,0,0,0
21/10/2024,12.60,"2,574,201",12.50,12.70,12.40,0,0,0
18/10/2024,12.50,"52,801",12.60,12.60,12.40,0,0,0
17/10/2024,12.50,"20,765",12.30,12.70,12.30,0,0,0
16/10/2024,12.40,"31,952",12.50,12.50,12.30,0,0,0
15/10/2024,12.50,"126,617",12.70,12.80,12.40,0,0,0
14/10/2024,12.80,"38,279",12.80,12.90,12.70,0,0,0
11/10/2024,12.80,"99,423",13,13,12.70,0,0,0
10/10/2024,12.90,"26,603",13.30,13.30,12.90,0,0,0
09/10/2024,13.10,"127,709",13.10,13.20,12.80,0,0,0
08/10/2024,13.10,"47,605",13.10,13.30,13.10,0,0,0
07/10/2024,13.10,"40,201",13.40,13.40,13.10,0,0,0
04/10/2024,13.40,"104,119",13.40,13.70,13.10,0,0,0
03/10/2024,13.30,"100,496",13.20,13.70,13.20,0,0,0
02/10/2024,13.30,"68,554",13.40,13.40,13.10,0,0,0
01/10/2024,13.30,"135,716",13.60,13.60,13.30,0,0,0
30/09/2024,13.50,"77,319",13.70,13.90,13.50,0,0,0
27/09/2024,13.70,"335,657",13.20,13.90,13.20,0,0,0
26/09/2024,13.30,"123,237",13.10,13.40,13,0,0,0
25/09/2024,13.10,"58,349",13.10,13.10,13.10,"7,000",0,0.1
24/09/2024,13.20,"100,021",13.10,13.20,13,"30,000",0,0.4
23/09/2024,13.20,"86,938",13.20,13.20,13.10,"55,000",0,0.7
20/09/2024,13.20,"124,248",13.20,13.30,13.20,"33,800",0,0.4
19/09/2024,13.30,"200,216",12.90,13.30,12.90,"31,000",0,0.4
18/09/2024,12.90,"41,844",12.90,13,12.90,"10,000",0,0.1
