Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,19.25,"962,900",19.50,19.55,19.20,0,"20,200",0
20/03/2025,19.50,"1,250,200",19.50,19.55,19.20,"4,300","1,900",0.0
19/03/2025,19.35,"1,525,300",19.50,19.65,19.30,"4,500","135,948",-2.6
18/03/2025,19.55,"1,275,800",19.75,19.75,19.55,"21,500","6,400",0.3
17/03/2025,19.60,"1,169,700",19.60,19.75,19.55,100,"11,500",-0.2
14/03/2025,19.55,"2,464,800",19.85,19.85,19.45,"53,900","122,500",-1.4
13/03/2025,19.75,"5,689,600",20.75,20.75,19.65,500,"931,800",-18.9
12/03/2025,20.60,"2,624,700",21,21,20.50,"34,800","247,122",-4.4
11/03/2025,20.95,"4,422,400",20.40,21.10,20.35,"148,400","80,892",1.4
10/03/2025,20.65,"5,666,000",20.15,20.75,19.95,"1,752,800","46,000",35.1
07/03/2025,20,"2,558,000",20.25,20.50,20,"199,700","118,200",1.7
06/03/2025,20.10,"2,079,400",19.95,20.10,19.90,0,"21,300",-0.4
05/03/2025,19.95,"2,566,600",20.40,20.45,19.95,0,"36,800",-0.7
04/03/2025,20.35,"3,087,800",20.15,20.55,20.15,"170,200","123,500",1.0
03/03/2025,20.15,"1,831,300",20,20.15,19.85,0,"392,300",-7.8
28/02/2025,19.95,"2,312,600",20.30,20.30,19.95,"35,800","589,700",-11.2
27/02/2025,20.20,"2,872,600",20.30,20.40,20.05,0,0,0
26/02/2025,20.30,"2,108,500",20.55,20.75,20.30,0,"76,600",-1.6
25/02/2025,20.55,"5,920,700",19.95,20.70,19.95,"974,500","48,800",19.0
24/02/2025,19.90,"2,075,200",20,20.25,19.90,"42,600","199,400",-3.2
21/02/2025,20,"2,578,900",19.75,20.35,19.75,"186,200","45,300",2.8
20/02/2025,19.80,"2,237,800",20.05,20.25,19.80,"88,900","26,800",1.2
19/02/2025,20,"2,586,700",19.80,20.15,19.80,"206,200","227,000",-0.4
18/02/2025,19.80,"3,028,200",19.95,20.20,19.80,"51,800",0,1.0
17/02/2025,19.95,"4,063,800",20.40,20.80,19.85,"37,000","63,100",-0.6
14/02/2025,20.35,"4,044,600",20.45,20.85,20.30,"279,700","6,900",5.6
13/02/2025,20.15,"2,138,000",20.35,20.35,20,0,"147,400",-3.0
12/02/2025,20.20,"2,991,000",20.25,20.60,19.90,"37,900","39,000",-0.0
11/02/2025,19.90,"2,687,800",19.95,20.35,19.90,"1,300","261,200",-5.2
10/02/2025,19.80,"2,787,800",19.85,20.25,19.55,"169,600","13,100",3.1
07/02/2025,19.80,"4,310,900",20.20,20.70,19.70,"68,500","565,100",-10.1
06/02/2025,20,"3,708,800",20,20.40,19.70,"278,800","127,900",3.0
05/02/2025,19.95,"1,503,800",20.10,20.10,19.80,"23,700",0,0.5
04/02/2025,20.05,"4,996,300",19.30,20.15,19.20,"445,400","133,500",6.2
03/02/2025,19.20,"3,167,100",18.65,19.65,18.65,"247,600","235,700",0.2
24/01/2025,19,"1,667,100",19.10,19.20,18.75,0,"112,200",-2.1
23/01/2025,19.05,"1,812,400",18.80,19.20,18.70,"35,400","58,700",-0.4
22/01/2025,18.70,"1,442,400",18.95,19.05,18.70,0,"117,700",-2.2
21/01/2025,18.90,"1,771,200",18.80,19,18.60,"264,900","58,400",3.9
20/01/2025,18.75,"2,281,000",19.10,19.40,18.70,0,"372,000",-7.1
17/01/2025,19.10,"2,427,700",18.90,19.30,18.65,"71,100","162,900",-1.8
16/01/2025,18.80,"1,969,000",19.10,19.10,18.65,"70,000","190,400",-2.3
15/01/2025,18.90,"3,775,900",18,19.15,18,"449,800","83,100",6.8
14/01/2025,17.95,"1,324,300",18.05,18.35,17.95,"169,200","117,800",0.9
13/01/2025,17.85,"1,575,900",17.80,18.35,17.75,"154,400","79,300",1.3
10/01/2025,17.80,"1,620,200",17.60,18.30,17.55,"145,600","100,100",0.8
09/01/2025,17.65,"1,389,300",18,18.15,17.65,0,"217,600",-3.9
08/01/2025,18,"1,022,800",17.90,18.10,17.80,"6,300","76,600",-1.3
07/01/2025,17.90,"2,234,700",18.70,18.80,17.75,"143,600","232,100",-1.7
06/01/2025,18.60,"3,470,400",18.95,19.45,18.60,"242,700","296,508",-1.1
03/01/2025,18.85,"2,159,400",18.90,19.30,18.75,"24,300","266,500",-4.6
02/01/2025,18.75,"1,498,000",18.70,19.05,18.60,"178,300","26,300",2.9
31/12/2024,18.55,"1,558,000",18.85,19.10,18.55,"72,700","140,700",-1.3
30/12/2024,19,"2,622,500",18.70,19.25,18.55,"320,300","17,100",5.8
27/12/2024,18.70,"2,341,200",19,19.30,18.70,"186,900","92,600",1.8
26/12/2024,18.95,"2,150,300",19,19.25,18.75,"98,401","1,000",1.8
25/12/2024,18.80,"6,092,900",17.80,18.80,17.80,"288,700",0,5.2
24/12/2024,17.60,"897,800",17.60,17.65,17.45,"100,800",0,1.8
23/12/2024,17.60,"493,500",17.70,17.75,17.60,0,0,0
20/12/2024,17.60,"908,000",17.55,17.90,17.45,0,"3,700",-0.1
19/12/2024,17.45,"1,528,900",17.65,17.80,17.40,0,"234,700",-4.1
18/12/2024,17.90,"828,800",18.05,18.10,17.90,0,"66,900",-1.2
17/12/2024,18,"695,400",18.30,18.30,18,0,"44,970",-0.8
16/12/2024,18.10,"912,000",18.30,18.40,18.05,0,"152,000",-2.8
13/12/2024,18.30,"1,642,000",18.20,18.50,18.15,"48,300","139,800",-1.7
12/12/2024,18.20,"1,767,600",18.30,18.60,18.15,"167,200","45,100",2.2
11/12/2024,18.10,"1,251,100",18.35,18.40,18.05,"135,800","16,900",2.2
10/12/2024,18.30,"1,898,600",18.40,18.70,18.20,0,"195,500",-3.6
09/12/2024,18.35,"3,069,300",17.65,18.50,17.60,"268,300",0,4.8
06/12/2024,17.60,"750,700",17.85,18,17.60,"57,400","2,900",1.0
