Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,4.90,0,4.90,4.90,4.90,0,0,0
20/03/2025,4.90,0,4.90,4.90,4.90,0,0,0
19/03/2025,4.90,0,4.90,4.90,4.90,0,0,0
18/03/2025,4.90,"6,900",5,5,4.90,0,0,0
17/03/2025,5,"3,500",5,5.10,4.90,0,0,0
14/03/2025,4.90,"4,700",4.60,5,4.50,0,0,0
13/03/2025,4.90,"1,400",4.90,5,4.90,0,0,0
12/03/2025,4.80,"1,500",5,5,4.80,0,0,0
11/03/2025,5,"16,800",4.70,5,4.40,0,0,0
10/03/2025,4.70,"16,100",5,5,4.50,0,0,0
07/03/2025,5,"19,500",5.40,5.40,5,0,0,0
06/03/2025,5.50,100,5.50,5.50,5.50,0,0,0
05/03/2025,5.30,"1,700",5.80,5.80,5.30,0,0,0
04/03/2025,5.70,"10,600",5.30,5.70,5.30,0,0,0
03/03/2025,5.20,800,5.20,5.20,4.70,0,0,0
28/02/2025,5.10,"3,600",5,5.10,5,0,0,0
27/02/2025,5.10,100,5.10,5.10,5.10,0,0,0
26/02/2025,5.60,"9,100",5.30,5.70,5.20,0,0,0
25/02/2025,5.70,"13,000",5.60,5.70,5.30,0,0,0
24/02/2025,5.80,"9,700",5.70,6,5.50,0,0,0
21/02/2025,5.50,"16,400",5,5.50,5,0,0,0
20/02/2025,5,"1,600",4.80,5,4.80,0,0,0
19/02/2025,4.80,700,4.80,4.80,4.80,0,0,0
18/02/2025,4.90,400,4.50,4.90,4.50,0,0,0
17/02/2025,5,0,5,5,5,0,0,0
14/02/2025,5,600,5,5,5,0,0,0
13/02/2025,5,0,5,5,5,0,0,0
12/02/2025,5,600,5,5,5,0,0,0
11/02/2025,5,0,5,5,5,0,0,0
10/02/2025,5,500,5,5,5,0,0,0
07/02/2025,5,0,5,5,5,0,0,0
06/02/2025,5,510,5,5,5,0,0,0
05/02/2025,5,"4,500",5,5,5,0,0,0
04/02/2025,4.90,"3,000",4.90,4.90,4.80,0,0,0
03/02/2025,4.70,200,4.80,4.80,4.70,0,0,0
24/01/2025,4.90,"2,000",4.90,4.90,4.90,0,0,0
23/01/2025,4.90,"1,000",4.90,4.90,4.90,0,0,0
22/01/2025,4.90,0,4.90,4.90,4.90,0,0,0
21/01/2025,4.90,0,4.90,4.90,4.90,0,0,0
20/01/2025,4.90,"3,800",4.90,4.90,4.80,0,0,0
17/01/2025,4.80,"1,800",4.80,4.80,4.80,0,0,0
16/01/2025,4.80,"3,500",4.80,4.80,4.80,0,0,0
15/01/2025,4.80,"6,500",4.80,4.90,4.80,0,0,0
14/01/2025,4.80,0,4.80,4.80,4.80,0,0,0
13/01/2025,4.80,"7,000",4.90,4.90,4.80,0,0,0
10/01/2025,4.90,"1,500",4.90,4.90,4.90,0,0,0
09/01/2025,4.80,"12,500",4.90,4.90,4.80,0,0,0
08/01/2025,4.80,"4,400",4.70,5,4.70,0,0,0
07/01/2025,4.70,"2,000",4.70,4.70,4.70,0,0,0
06/01/2025,4.70,"8,700",4.70,4.70,4.70,0,0,0
03/01/2025,4.70,"2,100",4.70,4.70,4.70,0,0,0
02/01/2025,4.70,0,4.70,4.70,4.70,0,0,0
31/12/2024,4.70,0,4.70,4.70,4.70,0,0,0
30/12/2024,4.70,0,4.70,4.70,4.70,0,0,0
27/12/2024,4.70,"4,000",4.70,4.80,4.70,0,0,0
26/12/2024,4.90,"12,800",4.70,4.90,4.70,0,0,0
25/12/2024,4.70,"14,600",4.70,4.70,4.70,0,0,0
24/12/2024,4.70,"7,200",4.70,4.70,4.70,0,0,0
23/12/2024,4.70,501,4.70,4.70,4.70,0,0,0
20/12/2024,4.70,"7,000",4.70,4.90,4.70,0,0,0
19/12/2024,4.70,"4,500",4.70,4.70,4.70,0,0,0
18/12/2024,4.70,"4,000",4.70,4.70,4.70,0,0,0
17/12/2024,4.70,"13,800",4.60,4.80,4.60,0,0,0
16/12/2024,4.90,"5,600",4.40,4.90,4.40,0,0,0
13/12/2024,4.70,0,4.70,4.70,4.70,0,0,0
12/12/2024,4.70,"8,600",4.70,4.70,4.70,0,0,0
11/12/2024,4.70,"15,500",4.60,4.70,4.60,0,0,0
10/12/2024,4.90,"4,900",4.80,4.90,4.80,0,0,0
09/12/2024,4.50,400,4.30,4.50,4.30,0,0,0
06/12/2024,4.50,300,4.50,4.50,4.50,0,0,0
05/12/2024,4.60,800,4.60,4.60,4.60,0,0,0
04/12/2024,5,"1,200",4.50,5,4.50,0,0,0
03/12/2024,5,0,5,5,5,0,0,0
02/12/2024,5,0,5,5,5,0,0,0
29/11/2024,5,936,4.90,5,4.90,0,0,0
28/11/2024,5.40,0,5.40,5.40,5.40,0,0,0
27/11/2024,5.40,"6,200",5.10,5.40,5.10,0,0,0
26/11/2024,5.10,"6,000",5.10,5.10,5.10,0,0,0
25/11/2024,4.80,0,4.80,4.80,4.80,0,0,0
22/11/2024,4.80,0,4.80,4.80,4.80,0,0,0
21/11/2024,4.80,7,4.80,4.80,4.80,0,0,0
20/11/2024,4.80,"14,800",5,5,4.80,0,0,0
19/11/2024,4.70,"11,100",4.80,4.80,4.70,0,0,0
18/11/2024,4.70,0,4.70,4.70,4.70,0,0,0
15/11/2024,4.70,"4,800",4.70,4.70,4.60,0,0,0
14/11/2024,4.60,0,4.60,4.60,4.60,0,0,0
13/11/2024,4.60,0,4.60,4.60,4.60,0,0,0
12/11/2024,4.60,0,4.60,4.60,4.60,0,0,0
11/11/2024,4.60,0,4.60,4.60,4.60,0,0,0
08/11/2024,4.60,100,4.60,4.60,4.60,0,0,0
07/11/2024,4.90,1,4.90,4.90,4.90,0,0,0
06/11/2024,4.90,"3,001",4.90,4.90,4.90,0,0,0
05/11/2024,4.80,"1,200",4.70,4.80,4.70,0,0,0
04/11/2024,4.70,"2,000",4.70,4.70,4.70,0,0,0
01/11/2024,4.70,"2,000",4.70,4.70,4.70,0,0,0
31/10/2024,4.90,"1,000",4.90,4.90,4.90,0,0,0
30/10/2024,4.90,"4,700",4.90,4.90,4.70,0,0,0
29/10/2024,5,"1,006",5,5,5,0,0,0
28/10/2024,5,102,5,5,5,0,0,0
25/10/2024,4.70,"3,101",4.80,5,4.70,0,0,0
24/10/2024,5.20,"7,302",4.70,5.20,4.70,0,0,0
23/10/2024,5,"13,900",4.70,5,4.70,0,0,0
22/10/2024,4.70,"23,000",4.70,4.70,4.60,0,0,0
21/10/2024,4.70,"10,100",4.80,4.90,4.70,0,0,0
18/10/2024,4.90,"20,100",4.70,4.90,4.70,0,0,0
17/10/2024,4.70,"23,300",4.80,4.80,4.70,0,0,0
16/10/2024,4.80,"10,500",4.70,4.80,4.70,0,0,0
15/10/2024,4.70,"7,500",4.70,5,4.70,0,0,0
14/10/2024,4.70,"3,600",4.70,4.70,4.70,0,0,0
