Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
10/05/2024,28.90,100,28.90,28.90,28.90,0,0,0
09/05/2024,28.11,"3,200",28.11,28.11,27.71,0,0,0
08/05/2024,28.50,"11,700",28.01,28.50,27.71,0,0,0
07/05/2024,28.01,"11,500",27.61,28.01,27.52,0,0,0
06/05/2024,27.61,"4,000",27.52,27.71,27.42,0,0,0
03/05/2024,27.52,"4,600",27.22,27.52,27.22,0,0,0
02/05/2024,27.42,"24,910",28.30,28.60,27.42,0,0,0
26/04/2024,27.42,"4,000",27.32,27.52,27.32,0,0,0
25/04/2024,27.52,"8,000",27.42,27.81,27.42,0,0,0
24/04/2024,27.91,421,27.32,27.91,27.32,0,0,0
23/04/2024,27.32,"3,310",28.01,28.01,27.32,0,0,0
22/04/2024,27.71,"2,720",27.61,27.71,27.52,0,0,0
19/04/2024,27.61,"4,800",27.61,27.61,27.12,0,0,0
17/04/2024,27.61,445,27.71,27.71,27.61,0,0,0
16/04/2024,26.73,"17,600",27.71,27.81,26.73,0,0,0
15/04/2024,27.52,"14,898",29.48,29.48,27.52,0,0,0
12/04/2024,28.40,"1,600",28.50,28.50,28.40,0,0,0
11/04/2024,28.11,"8,758",27.42,28.11,27.42,0,0,0
10/04/2024,27.71,"9,770",27.71,27.71,27.71,0,0,0
09/04/2024,27.71,"4,300",27.71,27.71,27.42,0,0,0
08/04/2024,27.71,"3,159",27.42,27.71,27.12,0,0,0
05/04/2024,27.42,"8,000",27.12,27.42,26.93,0,0,0
04/04/2024,27.42,"5,500",27.22,27.42,27.22,0,0,0
03/04/2024,27.42,"6,801",28.11,28.11,27.42,0,0,0
02/04/2024,27.71,"2,352",27.52,27.91,27.12,0,0,0
01/04/2024,27.71,"18,831",28.01,28.01,27.02,0,0,0
29/03/2024,27.61,"7,501",27.81,27.91,27.42,0,0,0
28/03/2024,27.91,"19,015",27.61,28.89,27.52,0,0,0
27/03/2024,27.52,"9,600",28.20,28.20,27.52,0,0,0
26/03/2024,28.20,"4,800",27.61,28.30,27.61,0,0,0
25/03/2024,28.50,"22,700",28.20,28.50,27.61,0,0,0
22/03/2024,28.20,"8,400",28.50,28.50,28.11,0,0,0
21/03/2024,28.50,"12,353",28.40,28.50,28.30,0,0,0
20/03/2024,28.40,"11,327",28.11,28.89,28.11,0,0,0
19/03/2024,28.50,"2,535",28.69,28.79,28.01,0,0,0
18/03/2024,28.50,"1,436",28.79,28.79,28.01,0,0,0
15/03/2024,28.60,"4,687",28.89,28.89,27.61,0,0,0
14/03/2024,28.50,"10,408",29.28,29.28,28.50,0,0,0
13/03/2024,28.79,"8,538",28.30,28.79,28.20,0,0,0
12/03/2024,28.30,"6,501",28.40,28.40,27.52,0,0,0
11/03/2024,28.40,"4,952",28.89,28.89,28.11,0,0,0
08/03/2024,28.89,"9,712",28.89,28.99,28.89,0,0,0
07/03/2024,28.89,"5,360",28.01,28.89,27.52,0,0,0
06/03/2024,28.40,"33,422",29.09,29.19,27.32,0,0,0
05/03/2024,29.09,"25,050",29.48,30.17,28.50,0,0,0
04/03/2024,30.37,"10,114",30.95,30.95,28.69,0,0,0
01/03/2024,30.66,"9,807",30.95,31.64,29.48,0,0,0
29/02/2024,30.95,"15,530",30.17,30.95,29.58,0,0,0
28/02/2024,30.27,"30,475",32.43,32.82,29.68,0,0,0
27/02/2024,32.13,"27,697",30.46,33.22,30.27,0,0,0
26/02/2024,30.27,"51,622",27.52,30.27,27.22,0,0,0
