Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.70,"2,000",3.60,3.80,3.60,0,0,0
20/03/2025,3.70,"18,100",3.60,3.70,3.60,0,0,0
19/03/2025,3.40,"9,500",3.60,3.60,3.40,0,0,0
18/03/2025,3.60,"11,300",3.50,3.70,3.50,0,0,0
17/03/2025,3.50,"28,800",3.50,3.60,3.50,0,0,0
14/03/2025,3.60,"4,200",3.60,3.60,3.60,0,0,0
13/03/2025,3.40,"3,100",3.40,3.40,3.40,0,0,0
12/03/2025,3.40,"5,300",3.50,3.50,3.40,0,0,0
11/03/2025,3.40,"5,600",3.40,3.40,3.40,0,0,0
10/03/2025,3.40,"7,300",3.40,3.60,3.40,0,0,0
07/03/2025,3.40,800,3.50,3.50,3.40,0,0,0
06/03/2025,3.40,"2,400",3.40,3.50,3.40,0,0,0
05/03/2025,3.40,"2,600",3.50,3.50,3.40,0,0,0
04/03/2025,3.40,"3,300",3.50,3.50,3.40,0,0,0
03/03/2025,3.40,"12,200",3.40,3.50,3.40,0,0,0
28/02/2025,3.40,"9,900",4.10,4.10,3.30,0,0,0
27/02/2025,3.60,"5,200",3.60,3.60,3.60,0,0,0
26/02/2025,3.40,"111,500",3.50,3.50,3.10,0,0,0
25/02/2025,3.50,"3,400",3.90,3.90,3.50,0,0,0
24/02/2025,3.60,"7,200",3.90,3.90,3.60,0,0,0
21/02/2025,3.70,"5,100",4.20,4.20,3.70,0,0,0
20/02/2025,3.90,"21,400",4.30,4.30,3.80,0,0,0
19/02/2025,3.90,"99,900",3.50,3.90,3.40,0,1,-0.0
18/02/2025,3.40,"1,300",3.40,3.50,3.30,0,0,0
17/02/2025,3.50,"5,700",3.40,3.50,3.30,0,0,0
14/02/2025,3.50,"44,200",3.60,3.70,3.40,0,0,0
13/02/2025,3.70,"6,000",3.70,3.90,3.60,1,0,0.0
12/02/2025,3.70,"42,252",3.40,3.70,3.40,0,0,0
11/02/2025,3.30,"8,900",3.30,3.30,3.20,0,0,0
10/02/2025,3.30,"12,300",3.30,3.40,3.20,0,0,0
07/02/2025,3.30,"8,704",3.30,3.40,3.30,0,0,0
06/02/2025,3.30,"5,700",3.20,3.30,3.20,0,0,0
05/02/2025,3.30,100,3.30,3.30,3.30,0,0,0
04/02/2025,3.30,500,3.30,3.30,3.30,0,0,0
03/02/2025,3.30,"2,500",3.30,3.30,3.20,0,0,0
24/01/2025,3.30,"6,002",3.30,3.30,3.20,0,0,0
23/01/2025,3.30,"5,800",3.20,3.30,3.20,0,0,0
22/01/2025,3.20,"4,300",3.30,3.30,3.20,0,0,0
21/01/2025,3.30,"4,150",3.20,3.30,3.20,0,0,0
20/01/2025,3.20,"11,000",3.20,3.20,3.20,0,0,0
17/01/2025,3.30,"4,600",3.30,3.30,3.30,0,0,0
16/01/2025,3.30,"3,502",3.20,3.30,3.20,0,0,0
15/01/2025,3.30,"5,100",3.30,3.50,3.30,0,0,0
14/01/2025,3.20,"12,100",3.20,3.30,3,0,0,0
13/01/2025,3.20,"3,700",3.30,3.30,3.20,0,0,0
10/01/2025,3.30,"4,100",3.30,3.30,3.20,0,0,0
09/01/2025,3.30,"14,300",3.30,3.30,3.20,0,0,0
08/01/2025,3.40,"2,000",3.30,3.40,3.30,0,0,0
07/01/2025,3.30,100,3.30,3.30,3.30,0,0,0
06/01/2025,3.30,"1,001",3.30,3.30,3.30,0,0,0
03/01/2025,3.30,"2,900",3.30,3.30,3.30,0,0,0
02/01/2025,3.30,"2,100",3.30,3.40,3.20,0,0,0
31/12/2024,3.30,"4,500",3.30,3.30,3.30,0,0,0
30/12/2024,3.50,"8,000",3.40,3.50,3.30,0,0,0
27/12/2024,3.50,601,3.50,3.50,3.50,0,0,0
26/12/2024,3.30,"1,900",3.60,3.60,3.30,0,0,0
25/12/2024,3.40,"13,801",3.30,3.70,3.30,0,0,0
24/12/2024,3.40,"10,000",3.30,3.40,3.20,0,0,0
23/12/2024,3.30,"7,300",3.30,3.40,3.20,0,0,0
20/12/2024,3.20,"25,500",3.30,3.40,3.20,0,0,0
19/12/2024,3.30,400,3.30,3.30,3.20,0,0,0
18/12/2024,3.20,"5,100",3.40,3.40,3.20,0,0,0
17/12/2024,3.30,"1,600",3.20,3.40,3.20,0,0,0
16/12/2024,3.40,"30,407",3.20,3.50,3.20,0,0,0
13/12/2024,3.20,"11,801",3.30,3.40,3.20,0,0,0
12/12/2024,3.50,"2,300",3.40,3.60,3.40,0,0,0
11/12/2024,3.30,"17,301",3.40,3.60,3.30,0,0,0
10/12/2024,3.40,"7,050",3.40,3.40,3.30,0,0,0
09/12/2024,3.40,"3,905",3.20,3.40,3.20,0,0,0
06/12/2024,3.50,"7,901",3.30,3.50,3.20,0,0,0
05/12/2024,3.20,"11,900",3.30,3.30,3.20,0,0,0
04/12/2024,3.30,"4,400",3.20,3.30,3.20,0,0,0
03/12/2024,3.20,"9,200",3.40,3.40,3.20,0,0,0
02/12/2024,3.30,"5,600",3.20,3.40,3.20,0,0,0
29/11/2024,3.40,"16,900",3.20,3.40,3.20,0,0,0
28/11/2024,3.20,900,3.20,3.30,3.20,0,0,0
27/11/2024,3.30,"24,500",3.40,3.40,3.10,0,0,0
26/11/2024,3.10,"32,506",3.20,3.20,3,0,0,0
25/11/2024,3.10,"11,800",3.20,3.30,3.10,0,0,0
22/11/2024,3.30,"10,800",3.40,3.40,3.30,0,0,0
21/11/2024,3.40,"1,200",3.40,3.40,3.30,0,0,0
20/11/2024,3.40,"10,100",3.40,3.40,3.30,0,0,0
19/11/2024,3.40,"2,600",3.50,3.50,3.40,0,0,0
18/11/2024,3.50,"41,300",3.70,3.70,3.40,0,0,0
15/11/2024,3.60,"8,900",3.70,3.90,3.60,0,0,0
14/11/2024,3.70,"112,050",3.50,3.70,3.50,0,0,0
13/11/2024,3.50,"27,600",3.30,3.50,3.30,0,0,0
12/11/2024,3.30,"16,801",3.30,3.40,3.30,0,0,0
11/11/2024,3.30,"24,410",3.40,3.50,3.30,0,0,0
08/11/2024,3.40,"35,000",3.40,3.40,3.30,0,0,0
07/11/2024,3.40,"15,600",3.50,3.60,3.30,0,0,0
06/11/2024,3.50,"74,690",3.80,3.90,3.30,0,0,0
05/11/2024,3.80,"9,000",3.50,4,3.50,0,0,0
04/11/2024,3.50,"73,300",3.80,3.80,3.40,0,0,0
01/11/2024,3.70,"19,800",4,4,3.60,0,0,0
31/10/2024,3.70,"67,800",4.30,4.40,3.60,0,0,0
30/10/2024,4.20,"73,401",4,4.40,3.80,0,0,0
29/10/2024,4.60,"90,100",4,5.10,4,0,0,0
28/10/2024,4.90,"86,802",4.20,5.40,4.20,0,0,0
25/10/2024,4.40,"112,201",4.90,5,4.30,0,0,0
24/10/2024,4.40,"87,128",4.40,4.40,4.30,0,0,0
23/10/2024,3.90,"12,420",3.70,3.90,3.70,0,0,0
22/10/2024,3.60,"15,800",3.40,3.60,3.40,0,0,0
21/10/2024,3.40,"14,800",3.40,3.40,3.40,0,0,0
18/10/2024,3.30,"45,100",3.50,3.60,3.30,0,0,0
17/10/2024,3.60,"92,300",3.50,3.70,3.50,0,"7,600",-0.0
16/10/2024,3.80,"17,120",5,5,3.80,0,0,0
15/10/2024,4.40,"31,501",4.40,4.40,4.40,0,0,0
14/10/2024,3.90,"57,127",3.60,3.90,3.60,"7,600",0,0.0
