Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,34.80,"17,900",34.50,34.80,34.40,0,0,0
20/03/2025,34.80,"44,200",34.20,34.80,34,0,0,0
19/03/2025,34.30,"24,700",34.10,34.30,34,0,0,0
18/03/2025,34.10,"22,500",34.60,34.60,34.10,0,0,0
17/03/2025,34.40,"27,200",34.50,34.90,34.30,0,0,0
14/03/2025,34.60,"71,100",35,35,34,0,0,0
13/03/2025,34.70,"44,900",35.30,35.50,34.60,0,0,0
12/03/2025,35.30,"96,700",34.60,35.70,34.50,0,0,0
11/03/2025,34.90,"39,700",34.70,34.90,34.40,0,0,0
10/03/2025,34.70,"32,300",35,35,34.60,0,0,0
07/03/2025,35,"28,500",35,35.20,34.70,0,0,0
06/03/2025,35,"43,700",34.80,35.50,34.50,0,0,0
05/03/2025,34.60,"108,600",40.10,40.10,34.50,0,0,0
04/03/2025,35.30,"75,900",35.60,35.60,34.80,0,0,0
03/03/2025,35.60,"324,900",34.80,36.50,34.60,0,0,0
28/02/2025,34.40,"79,300",35.30,35.30,34.30,0,0,0
27/02/2025,34.50,"249,100",34,35.90,34,0,0,0
26/02/2025,34.10,"38,900",33.70,34.10,33.60,0,0,0
25/02/2025,33.60,"60,200",33.90,33.90,33.50,0,0,0
24/02/2025,33.80,"27,000",33.50,34,33.30,0,0,0
21/02/2025,33.80,"23,600",34.10,34.10,33.70,0,0,0
20/02/2025,33.90,"68,000",33.90,34,33.50,0,0,0
19/02/2025,33.90,"106,600",34,34.20,33.50,0,0,0
18/02/2025,33.60,"49,700",38.60,38.60,33.50,0,0,0
17/02/2025,33.80,"81,600",34.30,34.30,33.70,0,0,0
14/02/2025,33.80,"55,400",34,34.40,33.30,0,0,0
13/02/2025,34,"97,200",33.20,34.40,33,0,0,0
12/02/2025,33.50,"50,800",33.10,33.70,33,0,0,0
11/02/2025,33,"25,002",32.80,33.40,32.60,0,0,0
10/02/2025,32.80,"90,100",33.30,33.80,32.80,0,0,0
07/02/2025,33.80,"76,807",39,39,33.60,0,0,0
06/02/2025,34.20,"332,900",33.70,35.80,33.10,0,0,0
05/02/2025,33.60,"90,693",32.90,34.40,31.80,0,0,0
04/02/2025,31.90,"44,620",32.10,32.30,31.60,0,0,0
03/02/2025,32,"11,100",32.40,32.40,32,0,0,0
24/01/2025,32.30,"10,511",32.20,32.70,32.10,0,0,0
23/01/2025,32.30,"27,700",31.80,32.50,31.80,0,0,0
22/01/2025,31.30,"28,300",32,32,31.20,0,0,0
21/01/2025,32,"36,300",32.10,32.30,31.40,0,0,0
20/01/2025,32.20,"33,012",31.20,32.50,31.20,0,0,0
17/01/2025,32.30,"33,100",32.60,32.80,32.30,0,0,0
16/01/2025,32.80,"8,710",32.80,33,32.60,0,0,0
15/01/2025,32.70,"21,600",32.50,32.80,32.40,0,0,0
14/01/2025,32.50,"15,709",32.80,32.80,32.30,0,0,0
13/01/2025,33,"14,300",32,33,32,0,0,0
10/01/2025,32.50,"46,300",33.30,33.30,32.10,0,0,0
09/01/2025,33.30,"122,800",34,34,33,0,0,0
08/01/2025,33.80,"129,300",35,35.80,33.50,0,0,0
07/01/2025,34.80,"60,900",34.80,35.10,34.60,0,0,0
06/01/2025,35,"210,942",34.60,36.70,34.60,0,0,0
03/01/2025,35,"19,306",34.50,35.50,34.40,0,0,0
02/01/2025,34.60,"11,900",39.90,39.90,34.60,0,0,0
31/12/2024,34.80,"28,900",34.80,35.40,34.50,0,0,0
30/12/2024,35,"14,402",35,35.10,34.40,0,0,0
27/12/2024,34.70,"52,742",33.80,36.30,33.80,0,0,0
26/12/2024,34,"35,302",33.60,34,33.60,0,0,0
25/12/2024,33.80,"26,200",33.80,33.90,33.70,0,0,0
24/12/2024,33.60,"39,600",34,34,33.60,0,0,0
23/12/2024,34,"42,100",33.60,34.20,33.60,0,0,0
20/12/2024,33.60,"191,000",33.20,33.60,33.20,0,0,0
19/12/2024,33.60,"58,500",33.80,33.80,33.10,0,0,0
18/12/2024,34,"9,900",34,34.10,33.80,0,0,0
17/12/2024,34,"25,700",33.60,34.50,33.50,0,0,0
16/12/2024,33.70,"42,100",33.70,33.70,33.40,0,0,0
13/12/2024,33.70,"36,100",38.80,38.80,33.50,0,0,0
12/12/2024,33.70,"43,200",33.90,34,33.70,0,0,0
11/12/2024,33.90,"34,400",34.90,34.90,33.70,0,0,0
10/12/2024,34.10,"158,200",33.90,34.50,33.80,0,0,0
09/12/2024,33.90,"35,662",33.40,34.20,33.40,0,0,0
06/12/2024,33.30,"41,600",33.60,34.40,33.30,0,0,0
05/12/2024,33,"108,800",33.50,33.60,33,0,0,0
04/12/2024,33.20,"94,600",34,34,33.20,0,0,0
03/12/2024,34.30,"129,900",34.50,34.60,34.10,0,0,0
02/12/2024,34.40,"94,100",35,35.50,34.30,0,0,0
29/11/2024,35.20,"184,200",34.60,36,34.50,0,0,0
28/11/2024,34.50,"206,602",33.80,34.80,33.80,0,0,0
27/11/2024,33.50,"68,500",33.30,33.80,32.90,0,0,0
26/11/2024,33.20,"37,100",32.90,33.20,32.60,0,0,0
25/11/2024,33,"39,300",33.30,33.50,32.80,0,0,0
22/11/2024,32.90,"85,100",32.80,33.30,32.20,0,0,0
21/11/2024,32,"3,000",31.80,32.20,31.80,0,0,0
20/11/2024,32,"34,200",32.20,32.20,31.50,0,0,0
19/11/2024,32.10,"28,600",33.60,33.60,31.70,0,0,0
18/11/2024,32.70,"35,400",33,33,32,0,0,0
15/11/2024,33.20,"19,600",38.60,38.60,32.50,0,0,0
14/11/2024,33.50,"57,800",33.60,34.40,33.30,0,0,0
13/11/2024,33,"51,789",36.80,36.80,32.70,0,0,0
12/11/2024,32.30,"38,200",32,32.90,32,0,0,0
11/11/2024,32,"49,500",31.60,32.50,31.50,0,0,0
08/11/2024,31.80,"18,320",31.50,31.80,31.30,0,0,0
07/11/2024,31.50,"12,300",31.80,31.90,31.30,0,0,0
06/11/2024,31.50,"12,400",34.90,34.90,31.30,0,0,0
05/11/2024,31.90,"6,600",31.40,31.90,31.30,0,0,0
04/11/2024,31.50,"14,500",31.10,32.50,31.10,0,0,0
01/11/2024,31.80,"34,712",32,33,31.80,0,0,0
31/10/2024,32.50,"8,300",32.50,32.50,32.10,0,0,0
30/10/2024,32.50,"13,700",32.10,32.70,32.10,0,0,0
29/10/2024,32.50,"7,900",32.40,32.50,32.10,0,0,0
28/10/2024,32.30,"8,700",32.30,33,32.10,0,0,0
25/10/2024,32.30,"24,600",32.50,32.70,32.30,0,0,0
24/10/2024,33,"19,400",32.80,33,32.70,0,0,0
23/10/2024,33,"1,700",33,33,33,0,0,0
22/10/2024,32.90,"16,550",33.80,33.80,32.90,0,0,0
21/10/2024,33.50,"2,100",33,33.50,32.80,0,0,0
18/10/2024,33.50,"16,000",35,35,33,0,0,0
17/10/2024,33.60,"27,600",33.70,33.80,33.10,0,0,0
16/10/2024,33.70,"9,200",33.90,34,33.60,0,0,0
15/10/2024,33.80,"8,000",34,34.20,33.70,0,0,0
14/10/2024,34,"21,100",34,34,33.60,0,0,0
11/10/2024,34,"7,600",34,34,33.80,0,0,0
10/10/2024,34.20,"14,200",33.50,34.40,33.50,0,0,0
09/10/2024,33.40,"1,200",33.40,33.40,33.40,0,0,0
08/10/2024,33.60,"11,100",33.60,33.60,32.80,0,0,0
07/10/2024,33.90,"8,300",34,34,33.10,0,0,0
04/10/2024,34.10,"2,230",33.70,34.30,33.70,0,0,0
03/10/2024,33.70,"18,400",33.70,33.70,33.50,0,0,0
02/10/2024,34.10,"19,900",34.70,34.70,33.50,0,0,0
01/10/2024,33.80,"8,700",33.60,34.40,33.60,0,0,0
30/09/2024,33.70,"18,800",34.20,34.30,33.50,0,0,0
27/09/2024,34.70,"3,400",34.90,35,34.70,0,0,0
26/09/2024,35,"14,700",34.10,35.20,34.10,0,0,0
25/09/2024,35,"32,500",35.20,35.90,34.60,0,0,0
24/09/2024,35.40,"11,300",35.70,36,35.40,0,0,0
23/09/2024,36,"17,200",41.30,41.30,36,0,0,0
20/09/2024,36.40,"27,201",37.60,37.60,35.80,0,0,0
19/09/2024,35.80,"34,404",40.10,40.10,35.40,0,0,0
18/09/2024,35,"256,800",38.80,38.80,34.50,0,0,0
17/09/2024,34,"38,800",38.60,38.60,33.30,0,0,0
16/09/2024,33.90,"19,400",33.80,33.90,33.50,0,0,0
13/09/2024,33.20,"42,000",33.80,33.80,33.20,0,0,0
12/09/2024,33,"101,895",32.80,34.90,31.30,0,0,0
11/09/2024,32.30,"8,500",32.80,32.80,32.10,0,0,0
10/09/2024,32.40,"7,500",33.10,33.10,32.40,0,0,0
09/09/2024,32.50,"5,200",32.60,32.80,32.50,0,0,0
06/09/2024,32.50,"15,600",32,33.70,32,0,0,0
05/09/2024,33.10,"28,800",34,34,33,0,0,0
04/09/2024,34,"19,600",34.90,34.90,34,0,0,0
30/08/2024,35.30,"271,000",31,35.40,31,0,0,0
29/08/2024,30.50,"6,100",31,31,30.50,0,0,0
28/08/2024,30.90,"9,900",31.70,31.70,30.80,0,0,0
27/08/2024,31.50,"9,205",30.50,31.80,30.50,0,0,0
26/08/2024,32,300,33.70,33.70,32,0,0,0
23/08/2024,31.10,"6,700",31.70,31.80,31.10,0,0,0
22/08/2024,32,"13,800",32.10,32.10,31.90,0,0,0
21/08/2024,32.20,"7,300",33,33,32.20,0,0,0
20/08/2024,32.60,"15,401",34,34,32.50,0,0,0
"19/08/2024: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  1/1 (Volume + 100%, Ratio=1)",,,,,,,,
19/08/2024,33.90,"27,900",36.90,36.90,33.30,0,0,0
16/08/2024,34.25,"41,810",31.90,34.50,31.75,0,0,0
15/08/2024,32,"17,600",32.50,32.50,31.50,0,0,0
14/08/2024,32.50,"20,500",32.70,32.70,32.45,0,0,0
13/08/2024,32.50,"27,400",32.70,32.85,32.50,0,0,0
12/08/2024,32.50,"3,500",33.75,33.75,32.50,0,0,0
09/08/2024,32.50,"37,700",33.95,33.95,32.50,0,0,0
08/08/2024,32.50,"15,900",32.50,32.50,32.40,0,0,0
07/08/2024,32.75,"11,000",33.40,33.40,32.75,0,0,0
06/08/2024,32.95,"10,600",33.60,33.60,32.95,0,0,0
05/08/2024,32.75,"12,502",34.25,34.50,32.50,0,0,0
02/08/2024,33.50,"8,401",34.40,34.40,33.25,0,0,0
01/08/2024,33,"12,600",34.70,34.70,33,0,0,0
31/07/2024,33.90,"6,000",33.80,34.70,33.80,0,0,0
30/07/2024,33.50,"9,000",34.50,34.95,33.40,0,0,0
29/07/2024,34.25,"13,700",35.40,35.40,34.15,0,0,0
26/07/2024,34.45,"11,000",34.85,34.85,34.05,0,0,0
25/07/2024,34.35,300,33.40,34.35,33.40,0,0,0
24/07/2024,33.60,"25,100",33.05,34.50,32.80,0,0,0
23/07/2024,33.75,"11,700",35.20,35.95,33.75,0,0,0
22/07/2024,34.50,"35,500",36.40,36.50,34.50,0,0,0
19/07/2024,35.45,"42,400",35.90,35.90,35.20,0,0,0
