Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.45,"836,300",10.45,10.55,10.45,"25,800","2,200",0
20/03/2025,10.45,"1,912,500",10.45,10.60,10.40,"121,700","3,700",1.2
19/03/2025,10.45,"2,059,200",10.60,10.60,10.40,0,"463,284",-4.8
18/03/2025,10.55,"2,475,000",10.65,10.70,10.50,"178,700","12,600",1.7
17/03/2025,10.60,"1,752,900",10.50,10.60,10.40,"56,200","24,000",0.3
14/03/2025,10.40,"3,163,800",10.45,10.50,10.35,"14,000","56,400",-0.4
13/03/2025,10.40,"5,145,800",10.85,10.85,10.40,"27,294","294,400",-2.9
12/03/2025,10.80,"3,398,300",11,11.10,10.80,0,"43,060",-0.5
11/03/2025,11,"4,275,400",10.80,11.15,10.80,"94,540","278,700",-2.0
10/03/2025,10.90,"5,630,800",10.70,11.05,10.65,"312,700","1,500",3.4
07/03/2025,10.70,"1,950,500",10.75,10.85,10.65,"35,900","10,500",0.3
06/03/2025,10.70,"1,996,300",10.65,10.70,10.60,0,"352,200",-3.7
05/03/2025,10.65,"1,906,200",10.75,10.80,10.65,"11,065","56,500",-0.5
04/03/2025,10.75,"3,029,600",10.75,10.90,10.65,0,"11,100",-0.1
03/03/2025,10.75,"2,497,400",10.80,10.85,10.65,"284,600","7,600",3.0
28/02/2025,10.70,"2,308,500",10.70,10.85,10.65,"313,300","60,100",2.7
27/02/2025,10.70,"3,360,200",10.80,10.85,10.60,"7,900","27,300",-0.2
26/02/2025,10.80,"1,538,800",10.85,10.95,10.75,"3,200","75,600",-0.8
25/02/2025,10.80,"3,260,400",10.85,10.95,10.75,"7,800","24,400",-0.2
24/02/2025,10.80,"2,794,200",10.95,11,10.80,600,"138,300",-1.5
21/02/2025,10.95,"4,742,100",10.90,11.30,10.85,"132,800","296,700",-1.8
20/02/2025,10.90,"2,125,200",11,11.05,10.85,"48,500","32,600",0.2
19/02/2025,10.95,"4,141,800",10.90,11.05,10.90,"157,800","18,800",1.5
18/02/2025,10.90,"2,248,000",10.90,11,10.80,"14,300","40,500",-0.3
17/02/2025,10.90,"3,271,000",11,11.10,10.80,"183,200","65,400",1.3
14/02/2025,10.90,"3,087,300",11.05,11.10,10.85,"21,700","48,000",-0.3
13/02/2025,11,"1,734,800",11,11.05,10.90,"1,200","55,100",-0.6
12/02/2025,11,"6,130,100",10.85,11.10,10.75,"13,100","245,900",-2.5
11/02/2025,10.75,"4,512,000",10.65,10.95,10.60,"122,300","114,100",0.1
10/02/2025,10.65,"2,666,300",10.70,10.75,10.50,"2,000","75,000",-0.8
07/02/2025,10.65,"3,556,300",10.60,10.80,10.55,"287,700","203,500",0.9
06/02/2025,10.60,"2,419,100",10.75,10.80,10.55,"149,100","140,300",0.1
05/02/2025,10.75,"2,188,800",10.75,10.80,10.60,0,"105,000",-1.1
04/02/2025,10.75,"4,800,400",10.55,10.85,10.50,"342,600","99,400",2.6
03/02/2025,10.50,"2,881,100",10.35,10.55,10.25,"246,700","29,900",2.3
24/01/2025,10.40,"1,455,200",10.45,10.50,10.30,"43,000","46,995",-0.0
23/01/2025,10.45,"1,695,200",10.45,10.55,10.30,"75,100","50,200",0.3
22/01/2025,10.35,"1,528,500",10.45,10.50,10.35,0,"65,100",-0.7
21/01/2025,10.45,"1,133,000",10.45,10.50,10.30,"55,100","14,500",0.4
20/01/2025,10.40,"1,638,600",10.65,10.70,10.40,0,"18,900",-0.2
17/01/2025,10.60,"2,642,500",10.45,10.65,10.35,"81,000","7,100",0.8
16/01/2025,10.45,"1,507,600",10.55,10.55,10.35,"51,300","19,700",0.3
15/01/2025,10.50,"4,180,500",9.99,10.60,9.98,"62,800","55,900",0.1
14/01/2025,9.95,"1,143,300",10.10,10.15,9.95,"6,300",0,0.1
13/01/2025,9.98,"1,221,500",9.92,10.15,9.92,"13,000","7,100",0.1
10/01/2025,9.91,"1,675,100",9.96,10.15,9.91,"109,700","5,700",1.0
09/01/2025,9.90,"902,900",10.05,10.15,9.90,500,"10,800",-0.1
08/01/2025,10.05,"707,200",10,10.10,9.96,0,900,-0.0
07/01/2025,10,"1,278,200",10.15,10.20,9.90,0,"80,100",-0.8
06/01/2025,10.10,"1,313,100",10.15,10.40,10.10,"30,300","65,100",-0.4
03/01/2025,10.15,"1,536,900",10.40,10.45,10.15,0,"132,700",-1.4
02/01/2025,10.35,"738,100",10.30,10.45,10.25,"35,500","49,100",-0.1
31/12/2024,10.35,"943,300",10.35,10.45,10.25,0,"42,800",-0.4
30/12/2024,10.35,"2,833,200",10.30,10.55,10.30,"123,900",0,1.3
27/12/2024,10.30,"1,851,300",10.45,10.55,10.25,"187,200","4,000",1.9
26/12/2024,10.45,"1,438,800",10.50,10.70,10.35,400,"121,000",-1.3
25/12/2024,10.50,"6,794,000",10,10.65,10,"53,800",100,0.6
24/12/2024,9.99,"570,700",10.05,10.05,9.97,200,"5,100",-0.0
23/12/2024,10.05,"695,500",10.05,10.10,9.98,0,0,0
20/12/2024,9.98,"992,900",9.98,10.05,9.96,200,"10,500",-0.1
19/12/2024,9.99,"971,200",10,10.05,9.95,600,"49,600",-0.5
18/12/2024,10.10,"650,600",10,10.15,10,0,"33,900",-0.3
17/12/2024,10.05,"695,500",10.05,10.10,10,0,402,-0.0
16/12/2024,10,"1,118,800",10.10,10.20,10,0,"126,500",-1.3
13/12/2024,10.05,"794,800",10.20,10.20,10.05,"3,800","70,400",-0.7
12/12/2024,10.15,"730,400",10.25,10.30,10.15,"9,900","67,300",-0.6
11/12/2024,10.20,"510,800",10.25,10.35,10.20,"7,500",0,0.1
10/12/2024,10.25,"1,237,800",10.30,10.40,10.20,"64,200","8,100",0.6
09/12/2024,10.30,"1,101,200",10.15,10.35,10.15,"161,500",0,1.7
06/12/2024,10.15,"1,363,600",10.30,10.35,10.10,"32,800","28,200",0.0
05/12/2024,10.30,"1,294,200",10.05,10.30,9.98,"27,400","33,200",-0.1
04/12/2024,10.05,"1,321,200",10.15,10.20,10,"30,500",0,0.3
03/12/2024,10.15,"697,600",10.30,10.35,10.15,0,0,0
02/12/2024,10.30,"1,848,500",10.10,10.45,10.05,"75,100",0,0.8
29/11/2024,10.05,"795,900",10.10,10.15,10,0,"20,100",-0.2
28/11/2024,10.05,"547,500",10.10,10.20,10.05,0,"4,900",-0.0
27/11/2024,10.10,"630,900",10.15,10.20,10.05,0,"31,800",-0.3
26/11/2024,10.15,"727,600",10.10,10.20,10.10,500,"10,000",-0.1
25/11/2024,10.10,"526,000",10.10,10.15,10.05,0,"8,600",-0.1
22/11/2024,10.05,"1,202,400",10.05,10.25,9.99,"1,000","9,739",-0.1
21/11/2024,10.05,"354,200",10.05,10.05,9.95,900,0,0.0
20/11/2024,10,"1,226,000",9.92,10.15,9.86,"45,300","72,400",-0.3
19/11/2024,9.90,"649,200",9.96,9.99,9.90,0,"6,100",-0.1
18/11/2024,9.97,"1,145,900",9.99,9.99,9.86,"16,500","29,900",-0.1
15/11/2024,9.90,"1,986,500",10,10.10,9.90,"33,700","19,800",0.1
14/11/2024,10.05,"1,324,800",10.40,10.45,10.05,"9,000","15,400",-0.1
13/11/2024,10.40,"1,319,100",10.50,10.50,10.30,"1,500","10,145",-0.1
12/11/2024,10.50,"771,000",10.55,10.70,10.45,0,"12,300",-0.1
11/11/2024,10.50,"1,255,100",10.45,10.55,10.30,"8,900","20,100",-0.1
08/11/2024,10.45,"588,700",10.55,10.55,10.40,"3,100","30,900",-0.3
07/11/2024,10.50,"761,800",10.60,10.65,10.50,"6,700",0,0.1
06/11/2024,10.55,"1,000,800",10.40,10.55,10.35,0,0,0
05/11/2024,10.35,"433,600",10.45,10.45,10.35,0,"14,600",-0.2
04/11/2024,10.35,"1,400,100",10.55,10.55,10.30,"8,200","47,800",-0.4
01/11/2024,10.50,"812,700",10.65,10.65,10.50,"3,800","15,700",-0.1
31/10/2024,10.60,"932,000",10.75,10.75,10.50,"15,100",0,0.2
30/10/2024,10.70,"1,262,100",10.65,10.85,10.50,"47,800",0,0.5
