Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.30,"261,500",3.09,3.30,3.09,0,0,0
20/03/2025,3.09,"86,300",2.95,3.16,2.95,0,0,0
19/03/2025,3.05,"44,700",3.05,3.16,3.03,0,"7,332",-0.0
18/03/2025,3.07,"42,600",3.22,3.22,3.07,0,0,0
17/03/2025,3.13,"64,300",3.08,3.16,3.06,0,0,0
14/03/2025,3.12,"62,800",3.19,3.19,3.06,0,0,0
13/03/2025,3.12,"167,300",3.15,3.20,3.07,0,0,0
12/03/2025,3.15,"52,400",3.06,3.15,3.06,0,0,0
11/03/2025,3.06,"14,100",3.03,3.06,2.85,0,0,0
10/03/2025,3.06,"31,000",3.04,3.13,3.03,0,0,0
07/03/2025,3.04,"48,000",2.90,3.04,2.88,0,0,0
06/03/2025,2.88,"311,200",3.06,3.06,2.86,0,"219,900",-0.6
05/03/2025,2.96,"365,200",3.02,3.10,2.94,0,"124,700",-0.4
04/03/2025,3.08,"129,300",3.16,3.16,3,0,"69,800",-0.2
03/03/2025,3.08,"159,500",3.09,3.13,3.01,0,"88,500",-0.3
28/02/2025,3.06,"51,500",3.24,3.28,3.06,0,"18,500",-0.1
27/02/2025,3.23,"214,400",3.22,3.37,3.22,0,"75,800",-0.2
26/02/2025,3.31,"181,600",3.31,3.39,3.25,0,"46,500",-0.2
25/02/2025,3.31,"232,300",3.26,3.40,3.26,0,0,0
24/02/2025,3.26,"109,400",3.18,3.33,3.18,0,0,0
21/02/2025,3.17,"98,500",3.10,3.25,3.10,0,0,0
20/02/2025,3.10,"62,100",3.06,3.12,3.01,0,0,0
19/02/2025,3.08,"56,100",3.12,3.15,3.08,0,0,0
18/02/2025,3.12,"27,900",3.16,3.20,3.05,0,0,0
17/02/2025,3.19,"92,800",3.17,3.25,3.17,0,0,0
14/02/2025,3.17,"201,200",3.11,3.20,3.09,0,0,0
13/02/2025,3.09,"196,900",3.08,3.14,3.03,0,0,0
12/02/2025,3.09,"204,500",3.10,3.23,2.95,0,0,0
11/02/2025,3.07,"173,100",2.96,3.07,2.88,0,0,0
10/02/2025,2.97,"244,300",3.07,3.07,2.90,0,"10,000",-0.0
07/02/2025,2.91,"286,600",2.91,2.91,2.81,0,"10,000",-0.0
06/02/2025,2.72,"684,800",2.55,2.72,2.55,0,0,0
05/02/2025,2.55,"207,300",2.43,2.56,2.43,0,0,0
04/02/2025,2.46,"55,900",2.44,2.47,2.37,0,0,0
03/02/2025,2.44,"11,200",2.42,2.51,2.42,0,0,0
24/01/2025,2.47,"32,300",2.45,2.50,2.42,0,0,0
23/01/2025,2.44,"9,000",2.44,2.44,2.41,0,0,0
22/01/2025,2.42,"14,800",2.41,2.43,2.40,0,0,0
21/01/2025,2.41,"62,300",2.47,2.47,2.40,0,0,0
20/01/2025,2.40,"64,000",2.50,2.50,2.40,0,0,0
17/01/2025,2.47,"39,600",2.49,2.49,2.45,0,0,0
16/01/2025,2.47,"5,200",2.49,2.50,2.45,0,0,0
15/01/2025,2.46,"48,800",2.49,2.49,2.46,0,0,0
14/01/2025,2.50,400,2.46,2.50,2.46,0,0,0
13/01/2025,2.49,"15,900",2.50,2.50,2.44,0,0,0
10/01/2025,2.52,"59,400",2.50,2.57,2.48,0,0,0
09/01/2025,2.54,"31,400",2.59,2.59,2.46,0,0,0
08/01/2025,2.50,"68,600",2.43,2.53,2.43,0,0,0
07/01/2025,2.52,"49,200",2.44,2.53,2.44,0,0,0
06/01/2025,2.50,"58,900",2.52,2.54,2.48,0,0,0
03/01/2025,2.52,"72,600",2.57,2.62,2.49,0,0,0
02/01/2025,2.57,"47,200",2.48,2.57,2.48,0,0,0
31/12/2024,2.55,"40,000",2.57,2.59,2.51,0,0,0
30/12/2024,2.59,"113,700",2.63,2.70,2.54,"4,800",0,0.0
27/12/2024,2.63,"121,100",2.74,2.74,2.61,0,0,0
26/12/2024,2.63,"446,600",2.47,2.63,2.45,0,0,0
25/12/2024,2.46,"33,500",2.42,2.49,2.42,0,0,0
24/12/2024,2.45,"89,500",2.45,2.47,2.42,0,0,0
23/12/2024,2.44,"36,300",2.42,2.45,2.41,"8,000",0,0.0
20/12/2024,2.41,"60,800",2.43,2.43,2.39,0,0,0
