Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,34.10,"145,400",34.45,34.60,34.05,"1,500","111,400",0
20/03/2025,34.50,"174,400",35.10,35.10,34.45,0,"101,000",-3.5
19/03/2025,35.15,"67,900",35.50,35.60,34.70,300,"3,200",-0.1
18/03/2025,35.50,"47,900",36,36.10,35.50,0,"3,400",-0.1
17/03/2025,35.80,"40,700",35.55,36,35.55,0,"6,300",-0.2
14/03/2025,35.55,"88,300",36,36,35.40,0,500,-0.0
13/03/2025,36,"87,200",36.20,36.30,36,800,0,0.0
12/03/2025,36.10,"54,500",36.30,36.30,36.05,200,0,0.0
11/03/2025,36.30,"66,600",36.10,36.60,36.10,"2,100",0,0.1
10/03/2025,36.55,"96,100",36.80,36.80,36.20,"1,400","2,300",-0.0
07/03/2025,36.20,"125,600",36.40,36.60,36,"1,600",100,0.1
06/03/2025,36.25,"104,800",36.50,36.85,36.20,"2,500","1,100",0.1
05/03/2025,36.70,"161,800",36.95,37.10,36,"3,100","20,700",-0.6
04/03/2025,36.95,"125,000",37.05,37.70,36.80,0,"11,400",-0.4
03/03/2025,37,"75,000",37,37.20,36.40,"1,200","4,200",-0.1
28/02/2025,37.10,"98,200",37.25,37.40,37.10,0,0,0
27/02/2025,37.50,"108,000",37,37.50,36.60,0,400,-0.0
26/02/2025,36.95,"200,400",36.90,37.40,36.60,"12,000","1,500",0.4
25/02/2025,36.60,"170,600",36.70,37,36.40,0,"4,400",-0.2
24/02/2025,36.35,"70,200",36.15,36.70,36,"1,000","1,900",-0.0
21/02/2025,36.15,"100,000",36.10,36.55,36.10,200,200,-0
20/02/2025,36.40,"113,500",36.30,36.90,36.30,"6,000","6,500",-0.0
19/02/2025,36.55,"190,100",35.80,36.60,35.60,"4,500","10,000",-0.2
18/02/2025,35.80,"60,100",35.65,35.85,35.60,"2,200",0,0.1
17/02/2025,35.50,"47,200",35.50,35.60,35.30,"3,500",0,0.1
14/02/2025,35.50,"54,900",35.20,35.50,35.15,"2,000",0,0.1
13/02/2025,35.20,"33,300",35.45,35.45,35.05,0,500,-0.0
12/02/2025,34.90,"68,600",35.40,35.40,34.70,"1,300",0,0.0
11/02/2025,35,"57,200",34.80,35.10,34.80,0,0,0
10/02/2025,35.10,"125,700",35.20,35.50,34.85,300,"18,700",-0.6
07/02/2025,35.60,"61,200",35.85,35.85,35.45,"2,200","1,600",0.0
06/02/2025,35.50,"61,600",35.70,35.85,35.50,"3,400","4,100",-0.0
05/02/2025,35.75,"111,600",35.30,35.80,35.30,"17,800","2,100",0.6
04/02/2025,35.30,"72,300",35.05,35.45,35,"19,000","3,800",0.5
03/02/2025,35.30,"51,800",34.95,35.40,34.80,"21,600",900,0.7
24/01/2025,34.90,"23,800",35.15,35.15,34.90,700,0,0.0
23/01/2025,34.90,"77,300",35,35,34.70,"10,500","1,500",0.3
22/01/2025,34.60,"47,700",34.50,35.05,34.50,"24,500",100,0.9
21/01/2025,35,"67,600",35.15,35.15,35,"2,800",800,0.1
20/01/2025,35,"62,100",35,35.15,34.90,"30,300","3,100",1.0
17/01/2025,34.65,"57,300",34.60,34.80,34.30,400,0,0.0
16/01/2025,34.60,"23,900",34.40,35,34.40,500,0,0.0
15/01/2025,34.90,"116,900",33.75,35.15,33.75,"10,000",900,0.3
14/01/2025,33.75,"29,800",33.75,34.25,33.75,"1,000","1,100",-0.0
13/01/2025,33.75,"55,400",33.75,34,33.60,100,"5,500",-0.2
10/01/2025,33.75,"150,300",34.50,34.50,33.50,"13,500","15,800",-0.1
09/01/2025,34.50,"63,000",34.50,34.70,34.45,"17,000",200,0.6
08/01/2025,34.50,"145,000",34.60,34.70,34.50,"19,200","41,300",-0.8
07/01/2025,34.50,"184,300",34.50,35.05,34.45,"5,800","21,300",-0.5
06/01/2025,34.50,"129,900",35.30,35.50,34.30,"13,500","3,100",0.4
03/01/2025,35.35,"96,400",35.70,35.70,35.10,0,"6,100",-0.2
02/01/2025,35.65,"55,600",35.40,35.70,35.40,"2,600","4,200",-0.1
