Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,31.70,"18,700",31.80,31.80,31.70,0,0,0
20/03/2025,31.70,"47,800",31.90,31.90,31.70,800,0,0.0
19/03/2025,31.85,"18,500",31.85,31.90,31.60,0,"2,520",-0.1
18/03/2025,31.80,"32,900",31.70,32,31.70,300,0,0.0
17/03/2025,31.85,"29,100",31.50,32.20,31.45,600,"3,300",-0.1
14/03/2025,31.55,"60,400",31.60,31.85,31.50,100,400,-0.0
13/03/2025,31.60,"69,900",32.30,32.30,31.60,"4,600",0,0.1
12/03/2025,32,"67,100",32.40,32.80,31.80,300,100,0.0
11/03/2025,32.70,"61,100",32.60,32.90,32.50,0,0,0
10/03/2025,32.55,"39,700",33,33,32.55,0,0,0
07/03/2025,32.80,"47,000",32.70,32.95,32.55,"1,200",0,0.0
06/03/2025,32.65,"41,400",32.45,33.20,32.45,0,0,0
05/03/2025,32.60,"28,700",32.85,32.90,32.60,0,400,-0.0
04/03/2025,32.85,"49,500",32.70,32.95,32.50,100,0,0.0
03/03/2025,32.70,"35,100",32.70,33,32.70,100,0,0.0
28/02/2025,32.70,"40,100",32.70,33.05,32.70,0,0,0
27/02/2025,32.70,"37,000",32.45,32.80,32.40,100,0,0.0
26/02/2025,32.45,"60,300",32.65,32.85,32.45,"2,400","2,300",0.0
25/02/2025,32.30,"47,100",32.90,33,32.30,200,0,0.0
24/02/2025,32.50,"90,400",32.20,32.90,32.15,"9,500",600,0.3
21/02/2025,32.20,"41,000",32.50,32.85,32.20,"8,000",0,0.3
20/02/2025,32.70,"80,500",32,32.90,32,"2,300",0,0.1
19/02/2025,32,"57,800",31.90,32.05,31.80,"14,000",0,0.4
18/02/2025,31.90,"72,400",31.65,32.60,31.65,"3,800","54,300",-1.6
17/02/2025,31.95,"68,400",31.75,32.25,31.65,0,0,0
14/02/2025,31.60,"58,400",32,32,31.55,"7,600",0,0.2
13/02/2025,31.85,"16,400",31.70,31.90,31.70,100,0,0.0
12/02/2025,31.95,"16,500",32.35,32.35,31.75,0,0,0
11/02/2025,31.80,"26,000",32,32,31.20,"4,100","2,600",0.0
10/02/2025,31.90,"71,100",31.60,32.55,31.10,0,"7,100",-0.2
07/02/2025,32.60,"17,700",33.35,33.35,32.05,500,0,0.0
06/02/2025,33,"94,600",31.60,33.40,31.55,"3,600","4,100",-0.0
05/02/2025,31.55,"76,800",31.90,31.95,31.50,300,"33,200",-1.0
04/02/2025,31.70,"41,800",31.80,31.90,31.60,0,"14,800",-0.5
03/02/2025,31.80,"26,900",32,32,31.50,0,"10,500",-0.3
24/01/2025,31.85,"11,500",31.95,31.95,31.60,0,100,-0.0
23/01/2025,31.95,"47,200",31.90,32.20,31.60,100,"1,700",-0.1
22/01/2025,31.90,"24,900",32,32.20,31.75,100,100,-0
21/01/2025,31.90,"10,400",32,32.30,31.90,0,"2,100",-0.1
20/01/2025,32,"12,700",32,32,31.85,400,100,0.0
17/01/2025,31.90,"10,100",31.90,31.95,31.80,0,"1,800",-0.1
16/01/2025,31.90,"12,600",31.90,31.90,31.75,"4,400",0,0.1
15/01/2025,31.65,"21,900",31.50,31.70,31.45,600,0,0.0
