Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,19,"5,700",18.80,19.40,17.90,0,0,0
20/03/2025,18,"9,400",18.40,18.80,17.70,0,0,0
19/03/2025,17.60,"20,200",18,18.30,17.50,0,0,0
18/03/2025,18,"18,900",19.20,19.20,17.50,0,0,0
17/03/2025,19,"23,200",22,22,18,0,0,0
14/03/2025,19.20,"8,300",19.80,20,18.20,0,0,0
13/03/2025,19.30,"5,300",19.90,19.90,18.30,0,0,0
12/03/2025,19,"9,800",20.50,20.50,18.30,0,0,0
11/03/2025,19.30,"35,200",20.20,20.20,19,0,0,0
10/03/2025,20.20,"20,800",21.90,21.90,19.30,0,0,0
07/03/2025,20,"15,300",19.90,20,19.30,0,0,0
06/03/2025,19.30,"69,000",23,23,17.20,0,0,0
05/03/2025,20,"23,100",21,21.50,20,0,0,0
04/03/2025,21,"20,800",21.80,23,20,0,0,0
03/03/2025,22.80,"14,100",26,26,21.10,0,0,0
28/02/2025,22,"46,600",21.80,24.20,21.80,0,0,0
27/02/2025,21.70,"32,300",20.90,21.70,20,0,0,0
26/02/2025,21,"52,400",21.50,21.50,20,0,0,0
25/02/2025,20,"33,900",20,21.70,19.30,0,0,0
24/02/2025,19.30,"21,800",20.40,20.40,18.60,0,0,0
21/02/2025,19.40,"59,000",21.50,21.50,18.90,10,0,0.0
20/02/2025,21.50,"61,100",21.70,21.70,20,0,0,0
19/02/2025,19,"68,800",18,19,18,0,0,0
18/02/2025,18,"16,000",16.40,18,16.40,0,0,0
17/02/2025,16.50,"21,500",17.60,17.60,16,0,0,0
14/02/2025,16.90,"10,400",17.20,18.20,16,0,0,0
13/02/2025,16.20,"7,700",17.40,17.40,15.90,0,0,0
12/02/2025,16.70,"5,616",18.60,18.60,15.80,0,0,0
11/02/2025,15.80,"5,100",18.40,18.40,15.80,0,0,0
10/02/2025,18,"30,006",18,18.50,16,0,0,0
07/02/2025,17.90,"10,302",20,20,17.20,0,0,0
06/02/2025,18,"42,010",16,18.40,16,0,0,0
05/02/2025,15.80,"7,100",15.50,16.80,15.50,0,0,0
04/02/2025,16.20,"18,002",16,16.80,15.20,0,0,0
03/02/2025,15.50,"24,500",16,16,14.40,0,0,0
24/01/2025,15.10,"1,700",13.30,15.10,13.30,0,0,0
23/01/2025,15.50,0,15.50,15.50,15.50,0,0,0
22/01/2025,15.50,1,15.50,15.50,15.50,0,0,0
21/01/2025,15.50,0,15.50,15.50,15.50,0,0,0
20/01/2025,15.50,0,15.50,15.50,15.50,0,0,0
17/01/2025,15.50,101,15.50,15.50,15.50,0,0,0
16/01/2025,14,"6,000",15.40,15.40,13.50,0,0,0
15/01/2025,15.40,303,14.60,15.40,14.60,0,0,0
14/01/2025,16.20,500,16.20,16.20,16.20,0,0,0
13/01/2025,15.90,100,15.90,15.90,15.90,0,0,0
10/01/2025,15.30,"2,500",14.60,15.30,14.60,0,0,0
09/01/2025,16.60,200,16,16.60,16,0,0,0
08/01/2025,15.70,"1,000",15.20,16.30,15.20,0,0,0
07/01/2025,16.80,"1,800",15.80,17,15.10,0,0,0
06/01/2025,14.60,601,17,17,14.60,0,0,0
03/01/2025,17,0,17,17,17,0,0,0
02/01/2025,17,103,17,17,17,0,0,0
31/12/2024,16.70,"1,100",16.70,16.70,16.70,0,0,0
30/12/2024,16.70,"1,100",17.60,17.60,14.50,0,0,0
27/12/2024,16.80,600,17,17,16.80,0,0,0
26/12/2024,16.30,"6,400",17.10,17.10,15.20,0,0,0
25/12/2024,15.50,"14,604",14.80,16,14.60,0,0,0
24/12/2024,14.90,"4,401",18,18,13.70,0,0,0
