Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.80,"175,100",10.85,10.90,10.75,0,0,0
20/03/2025,10.80,"235,200",10.90,10.95,10.75,0,0,0
19/03/2025,10.90,"320,100",11.05,11.10,10.85,0,"32,231",-0.4
18/03/2025,11,"826,500",11.10,11.20,10.90,0,0,0
17/03/2025,10.90,"386,300",10.85,10.90,10.75,0,0,0
14/03/2025,10.85,"182,900",10.80,10.85,10.75,0,0,0
13/03/2025,10.85,"312,700",10.95,11,10.80,0,0,0
12/03/2025,10.85,"240,900",11,11,10.85,0,0,0
11/03/2025,10.95,"494,600",10.90,10.95,10.65,0,0,0
10/03/2025,10.90,"500,800",10.95,11.05,10.85,0,0,0
07/03/2025,10.90,"478,100",11.10,11.10,10.90,0,0,0
06/03/2025,11.05,"495,400",11,11.15,10.95,0,0,0
05/03/2025,10.95,"1,401,100",10.80,11.30,10.75,0,0,0
04/03/2025,10.80,"429,400",10.85,10.85,10.65,0,0,0
03/03/2025,10.80,"665,600",10.90,10.95,10.80,0,0,0
28/02/2025,10.95,"613,100",11.05,11.05,10.90,0,0,0
27/02/2025,11.05,"590,600",11.05,11.10,11,0,0,0
26/02/2025,11.10,"459,500",11.10,11.20,11.05,0,0,0
25/02/2025,11.10,"776,800",11.20,11.25,11,0,571,-0.0
24/02/2025,11.15,"386,000",11.10,11.20,11,0,0,0
21/02/2025,11.10,"519,200",11.10,11.20,11.05,0,0,0
20/02/2025,11.10,"638,400",11.40,11.40,11.05,0,0,0
19/02/2025,11.30,"832,800",11.30,11.45,11.25,0,0,0
18/02/2025,11.25,"614,800",11.25,11.45,11.20,0,0,0
17/02/2025,11.25,"1,152,200",11,11.40,11,0,0,0
14/02/2025,11,"591,100",11.20,11.20,10.90,0,0,0
13/02/2025,11,"405,300",10.80,11,10.80,0,0,0
12/02/2025,10.85,"431,500",11,11,10.80,0,0,0
11/02/2025,10.95,"574,500",10.90,11.15,10.85,0,0,0
10/02/2025,10.90,"483,700",10.95,11.05,10.75,0,0,0
07/02/2025,11,"1,544,500",10.65,11.05,10.65,0,0,0
06/02/2025,10.60,"388,500",10.60,10.70,10.60,0,0,0
05/02/2025,10.60,"366,300",10.55,10.65,10.45,0,0,0
04/02/2025,10.55,"378,700",10.45,10.55,10.40,0,200,-0.0
03/02/2025,10.50,"629,900",10.75,10.75,10.45,0,0,0
24/01/2025,10.80,"236,900",10.85,10.95,10.75,0,0,0
23/01/2025,10.90,"315,700",10.85,10.90,10.75,0,0,0
22/01/2025,10.80,"419,600",10.95,10.95,10.55,0,0,0
21/01/2025,10.95,"351,000",10.90,11.10,10.70,0,0,0
20/01/2025,11.05,"378,600",11.10,11.15,10.90,0,0,0
17/01/2025,11.10,"759,600",10.65,11.20,10.55,0,0,0
16/01/2025,10.65,"402,000",10.65,10.75,10.60,0,0,0
15/01/2025,10.65,"291,300",10.60,10.65,10.50,0,0,0
"14/01/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  5%ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  100/7 (Volume + 7%, Ratio=0.07)",,,,,,,,
14/01/2025,10.55,"169,100",10.50,10.60,10.45,0,0,0
13/01/2025,10.47,"393,800",10.47,10.51,10.29,0,0,0
10/01/2025,10.47,"195,800",10.51,10.56,10.38,0,0,0
09/01/2025,10.51,"165,100",10.51,10.56,10.38,0,0,0
08/01/2025,10.51,"121,500",10.47,10.51,10.38,0,0,0
07/01/2025,10.47,"382,100",10.51,10.56,10.38,0,0,0
06/01/2025,10.60,"428,500",10.69,10.74,10.24,0,0,0
03/01/2025,10.69,"315,800",10.87,10.87,10.60,0,0,0
02/01/2025,10.83,"387,500",10.74,10.83,10.69,0,0,0
31/12/2024,10.65,"307,700",10.65,10.69,10.56,0,0,0
30/12/2024,10.65,"159,100",10.65,10.74,10.56,0,0,0
27/12/2024,10.60,"621,600",10.65,10.69,10.47,0,0,0
26/12/2024,10.65,"459,800",10.87,10.87,10.65,0,0,0
25/12/2024,10.83,"483,400",10.87,10.87,10.74,0,0,0
24/12/2024,10.83,"741,800",10.51,11.00,10.47,0,0,0
23/12/2024,10.51,"202,300",10.47,10.51,10.42,0,0,0
20/12/2024,10.47,"283,900",10.47,10.47,10.33,0,0,0
19/12/2024,10.33,"292,500",10.42,10.51,10.29,0,0,0
18/12/2024,10.51,"286,600",10.38,10.51,10.38,0,0,0
17/12/2024,10.33,"231,800",10.29,10.38,10.29,0,0,0
16/12/2024,10.29,"644,600",10.51,10.60,10.29,0,0,0
13/12/2024,10.56,"153,500",10.56,10.60,10.51,0,0,0
12/12/2024,10.60,"219,100",10.65,10.65,10.56,0,0,0
11/12/2024,10.65,"282,800",10.65,10.69,10.51,0,0,0
10/12/2024,10.65,"361,300",10.78,10.78,10.56,0,"5,000",-0.1
09/12/2024,10.69,"304,300",10.42,10.69,10.42,0,0,0
06/12/2024,10.42,"564,700",10.60,10.60,10.42,0,0,0
05/12/2024,10.60,"345,200",10.60,10.60,10.38,0,0,0
04/12/2024,10.51,"271,000",10.60,10.65,10.47,0,0,0
03/12/2024,10.60,"187,100",10.65,10.74,10.56,0,0,0
02/12/2024,10.74,"250,600",10.83,10.96,10.74,0,0,0
29/11/2024,10.83,"304,800",10.83,10.91,10.74,0,0,0
28/11/2024,10.78,"178,900",10.83,10.83,10.69,0,0,0
27/11/2024,10.78,"746,300",10.51,10.87,10.51,0,0,0
26/11/2024,10.56,"153,900",10.51,10.60,10.47,0,0,0
25/11/2024,10.51,"215,400",10.47,10.56,10.42,0,0,0
22/11/2024,10.51,"166,200",10.65,10.69,10.47,0,0,0
21/11/2024,10.56,"426,700",10.33,10.74,10.29,0,0,0
20/11/2024,10.24,"239,000",10.24,10.29,10.15,0,0,0
19/11/2024,10.15,"178,600",10.42,10.42,10.15,0,0,0
18/11/2024,10.38,"178,900",10.15,10.38,10.06,0,0,0
15/11/2024,10.24,"188,800",10.42,10.42,10.15,0,0,0
14/11/2024,10.42,"317,800",10.15,10.47,10.15,0,0,0
13/11/2024,10.15,"239,000",10.24,10.29,10.11,0,0,0
12/11/2024,10.24,"224,700",10.29,10.38,10.24,0,0,0
11/11/2024,10.24,"212,300",10.24,10.24,10.15,0,0,0
08/11/2024,10.24,"187,100",10.29,10.29,10.11,0,0,0
07/11/2024,10.29,"208,100",10.38,10.42,10.20,0,0,0
06/11/2024,10.33,"160,200",10.11,10.33,10.11,0,0,0
05/11/2024,10.20,"201,300",10.11,10.29,10.11,0,0,0
04/11/2024,10.29,"167,600",10.38,10.38,10.02,0,0,0
01/11/2024,10.38,"200,000",10.47,10.51,10.38,0,0,0
31/10/2024,10.51,"191,400",10.51,10.56,10.38,0,0,0
30/10/2024,10.51,"197,400",10.56,10.60,10.42,0,0,0
29/10/2024,10.56,"257,000",10.60,10.60,10.33,0,0,0
28/10/2024,10.56,"95,300",10.47,10.56,10.38,0,0,0
25/10/2024,10.56,"288,000",10.60,10.60,10.47,0,0,0
24/10/2024,10.65,"122,000",10.65,10.74,10.51,0,0,0
23/10/2024,10.65,"181,900",10.56,10.65,10.38,0,0,0
22/10/2024,10.56,"237,100",10.74,10.74,10.29,0,0,0
21/10/2024,10.65,"240,100",10.69,10.74,10.47,0,0,0
18/10/2024,10.74,"121,700",10.60,10.74,10.60,0,0,0
17/10/2024,10.65,"265,200",10.78,10.78,10.60,0,0,0
16/10/2024,10.74,"100,100",10.78,10.78,10.65,0,0,0
15/10/2024,10.78,"306,100",10.74,10.83,10.65,0,0,0
14/10/2024,10.83,"217,900",10.83,10.87,10.74,0,0,0
11/10/2024,10.87,"211,800",10.87,10.91,10.78,0,0,0
10/10/2024,10.87,"213,000",10.91,10.96,10.83,0,0,0
09/10/2024,10.91,"90,400",10.83,10.91,10.83,0,0,0
08/10/2024,10.83,"318,800",10.78,10.87,10.69,0,0,0
07/10/2024,10.78,"211,500",10.78,10.91,10.74,0,0,0
04/10/2024,10.74,"401,200",11.00,11.00,10.74,0,0,0
03/10/2024,10.96,"315,600",10.96,11.05,10.56,0,0,0
02/10/2024,10.96,"304,500",10.96,11.05,10.87,0,0,0
01/10/2024,10.96,"694,200",11.00,11.14,10.91,0,0,0
30/09/2024,11.00,"644,700",11.27,11.32,11.00,0,0,0
27/09/2024,11.27,"621,200",11.45,11.45,11.27,0,0,0
26/09/2024,11.41,"1,009,300",11.45,11.85,11.27,0,0,0
25/09/2024,11.36,"461,000",11.41,11.45,11.27,0,0,0
24/09/2024,11.27,"460,800",11.45,11.50,11.18,0,0,0
23/09/2024,11.36,"1,101,100",11.18,11.45,11.14,0,0,0
20/09/2024,10.91,"609,000",11.00,11.09,10.87,0,0,0
19/09/2024,10.83,"876,600",10.60,11.05,10.60,0,0,0
18/09/2024,10.56,"416,000",10.69,10.78,10.56,0,0,0
17/09/2024,10.65,"201,300",10.56,10.69,10.42,0,0,0
16/09/2024,10.42,"184,700",10.74,10.74,10.42,0,0,0
13/09/2024,10.65,"392,200",10.56,10.87,10.47,0,0,0
12/09/2024,10.51,"253,300",10.29,10.56,10.29,0,0,0
11/09/2024,10.20,"230,600",10.20,10.29,10.11,0,0,0
10/09/2024,10.38,"465,100",10.38,10.47,10.11,0,0,0
09/09/2024,10.38,"184,500",10.38,10.51,10.33,0,0,0
06/09/2024,10.47,"132,600",10.38,10.51,10.38,0,0,0
05/09/2024,10.47,"448,600",10.56,10.65,10.38,0,0,0
04/09/2024,10.56,"260,300",10.42,10.56,10.38,0,0,0
30/08/2024,10.60,"281,700",10.69,10.78,10.60,0,0,0
29/08/2024,10.65,"353,200",10.74,10.83,10.60,0,0,0
28/08/2024,10.83,"619,900",10.87,11.00,10.69,0,0,0
27/08/2024,10.74,"621,500",10.78,10.91,10.56,0,0,0
26/08/2024,10.56,"537,600",10.83,10.87,10.56,0,0,0
23/08/2024,10.83,"193,300",10.83,11.00,10.74,0,0,0
22/08/2024,10.87,"619,900",10.74,11.09,10.74,0,0,0
21/08/2024,10.69,"395,900",10.78,10.83,10.65,0,0,0
20/08/2024,10.74,"530,000",10.69,10.78,10.51,0,0,0
19/08/2024,10.69,"500,200",10.65,10.83,10.60,0,0,0
16/08/2024,10.60,"486,100",10.38,10.60,10.38,0,0,0
15/08/2024,10.29,"275,000",10.65,10.65,10.29,0,0,0
14/08/2024,10.65,"639,900",10.42,10.74,10.42,0,0,0
13/08/2024,10.38,"235,500",10.38,10.47,10.29,0,0,0
12/08/2024,10.38,"231,500",10.38,10.42,10.29,0,0,0
09/08/2024,10.38,"287,800",10.29,10.47,10.29,0,0,0
08/08/2024,10.29,"327,800",10.38,10.42,10.11,0,0,0
07/08/2024,10.38,"212,600",10.42,10.42,10.11,0,0,0
06/08/2024,10.29,"552,800",10.06,10.42,10.02,0,0,0
05/08/2024,10.02,"995,300",10.56,10.65,10.02,0,0,0
02/08/2024,10.74,"821,400",10.60,10.74,10.02,0,0,0
01/08/2024,10.65,"1,461,800",11.27,11.41,10.65,0,0,0
31/07/2024,11.41,"542,300",11.41,11.59,11.27,0,0,0
30/07/2024,11.45,"629,800",11.63,11.68,11.36,0,0,0
29/07/2024,11.41,"491,800",11.27,11.45,11.23,0,0,0
26/07/2024,11.14,"378,700",11.00,11.18,10.87,0,0,0
25/07/2024,11.00,"297,000",10.74,11.00,10.74,0,0,0
24/07/2024,11.00,"560,800",10.33,11.05,10.33,0,0,0
23/07/2024,10.56,"884,600",11.27,11.45,10.56,0,0,0
22/07/2024,11.27,"806,600",11.90,11.90,11.27,0,0,0
19/07/2024,11.81,"633,800",11.90,12.08,11.59,0,0,0
18/07/2024,12.08,"958,000",11.72,12.08,11.45,0,0,0
17/07/2024,11.63,"1,238,800",12.39,12.44,11.59,0,0,0
16/07/2024,12.44,"987,300",12.52,12.75,12.12,0,"1,000",-0.0
15/07/2024,12.21,"628,600",11.85,12.44,11.85,0,0,0
12/07/2024,11.81,"958,600",12.17,12.17,11.81,0,0,0
11/07/2024,12.17,"1,123,100",12.70,12.70,11.94,0,0,0
10/07/2024,12.61,"2,204,300",12.44,12.88,12.35,0,0,0
09/07/2024,12.21,"1,584,700",11.94,12.44,11.81,0,0,0
08/07/2024,11.90,"811,100",11.99,12.03,11.63,0,0,0
05/07/2024,11.90,"535,500",11.68,11.99,11.45,0,"4,600",-0.1
04/07/2024,11.76,"756,700",11.54,11.90,11.45,0,0,0
03/07/2024,11.45,"583,600",11.36,11.59,11.36,0,0,0
02/07/2024,11.32,"482,600",11.36,11.41,11.18,0,0,0
01/07/2024,11.36,"379,600",11.36,11.36,11.14,0,0,0
28/06/2024,11.18,"1,486,200",11.18,11.68,11.09,0,0,0
27/06/2024,10.91,"367,400",11.00,11.05,10.87,0,0,0
26/06/2024,10.87,"881,000",11.18,11.32,10.78,0,0,0
25/06/2024,11.00,"926,500",11.36,11.36,10.74,0,0,0
24/06/2024,11.09,"1,752,200",11.90,12.08,11.09,0,0,0
21/06/2024,11.90,"918,100",12.17,12.26,11.90,0,"4,500",-0.1
20/06/2024,12.12,"2,314,600",11.72,12.39,11.72,0,0,0
19/06/2024,11.72,"706,900",11.59,11.76,11.54,0,0,0
18/06/2024,11.68,"749,300",11.54,11.81,11.45,0,0,0
17/06/2024,11.45,"616,400",11.45,11.59,11.36,0,0,0
14/06/2024,11.36,"1,116,700",11.81,12.03,11.36,0,0,0
13/06/2024,11.81,"452,300",12.12,12.12,11.81,0,0,0
12/06/2024,11.99,"831,100",11.63,12.03,11.45,0,0,0
11/06/2024,11.63,"1,107,500",11.81,11.90,11.27,0,0,0
10/06/2024,11.72,"1,523,200",11.81,12.21,11.68,0,0,0
07/06/2024,11.81,"933,100",11.99,12.03,11.72,0,0,0
06/06/2024,11.90,"1,562,900",12.17,12.52,11.63,0,0,0
05/06/2024,12.03,"2,249,700",11.50,12.03,11.32,0,0,0
04/06/2024,11.27,"820,400",11.50,11.54,11.18,0,0,0
03/06/2024,11.36,"919,000",11.27,11.63,11.05,0,0,0
31/05/2024,11.09,"964,500",11.27,11.36,11.00,0,0,0
30/05/2024,11.18,"1,475,600",11.09,11.23,10.78,0,0,0
29/05/2024,11.27,"1,609,000",11.81,11.81,11.23,0,0,0
28/05/2024,11.63,"1,369,200",11.59,11.63,11.23,0,0,0
27/05/2024,11.45,"1,161,000",11.45,11.54,11.23,0,0,0
24/05/2024,11.23,"2,885,700",11.36,12.12,11.09,0,0,0
23/05/2024,11.36,"2,385,600",11.14,11.36,10.78,0,0,0
22/05/2024,11.14,"4,032,600",10.65,11.14,10.60,0,0,0
21/05/2024,10.42,"2,646,200",10.02,10.42,10.02,0,0,0
20/05/2024,9.75,"439,200",9.66,9.80,9.62,0,200,-0.0
17/05/2024,9.57,"459,400",9.71,9.75,9.57,0,0,0
16/05/2024,9.71,"330,100",9.71,9.80,9.62,0,0,0
15/05/2024,9.71,"680,100",9.71,9.80,9.44,0,0,0
14/05/2024,9.71,"360,000",9.71,9.84,9.62,0,0,0
13/05/2024,9.66,"240,700",9.71,9.75,9.62,0,0,0
10/05/2024,9.71,"387,800",9.75,9.75,9.53,0,0,0
09/05/2024,9.71,"527,600",9.75,9.89,9.62,0,0,0
08/05/2024,9.75,"360,100",9.75,9.80,9.57,0,0,0
07/05/2024,9.75,"971,700",9.66,9.93,9.66,0,0,0
06/05/2024,9.62,"424,500",9.57,9.62,9.53,0,0,0
03/05/2024,9.39,"397,900",9.48,9.48,9.26,0,0,0
02/05/2024,9.44,"387,000",9.39,9.44,9.21,0,0,0
26/04/2024,9.13,"832,600",8.77,9.13,8.77,0,0,0
25/04/2024,8.80,"295,100",8.88,8.88,8.77,0,0,0
24/04/2024,8.89,"255,200",8.65,8.94,8.64,0,0,0
23/04/2024,8.64,"225,100",8.91,9.30,8.64,0,0,0
22/04/2024,8.91,"291,500",8.88,8.95,8.83,0,0,0
19/04/2024,8.88,"868,700",8.50,8.93,8.50,0,0,0
17/04/2024,9.13,"371,300",9.39,9.39,8.95,0,0,0
"16/04/2024: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  1000/75 (Volume + 7.50%, Ratio=0.08)",,,,,,,,
16/04/2024,9.35,"860,600",9.30,9.48,8.86,0,0,0
15/04/2024,9.32,"1,487,800",9.78,10.07,9.20,0,0,0
12/04/2024,9.86,"1,000,600",9.70,10.15,9.70,0,0,0
11/04/2024,9.70,"297,400",9.70,9.78,9.65,0,0,0
10/04/2024,9.74,"453,400",9.70,9.82,9.70,0,0,0
09/04/2024,9.70,"270,000",9.65,9.74,9.61,0,0,0
08/04/2024,9.65,"285,600",9.70,9.78,9.65,0,0,0
05/04/2024,9.70,"614,800",9.65,9.90,9.57,0,0,0
04/04/2024,9.70,"508,700",9.82,9.82,9.65,0,0,0
03/04/2024,9.82,"715,700",9.90,9.95,9.70,0,0,0
02/04/2024,9.90,"595,000",9.74,10.03,9.70,0,0,0
01/04/2024,9.70,"836,000",9.82,9.82,9.65,0,0,0
29/03/2024,9.82,"805,900",10.07,10.07,9.78,0,0,0
28/03/2024,10.03,"822,600",10.15,10.15,9.95,0,0,0
