Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,24.30,"15,567,500",24.30,24.50,24.20,"2,000,000","2,001,975",0
20/03/2025,24.25,"21,142,600",24,24.35,23.90,"1,320,020","1,319,600",0.0
19/03/2025,23.85,"20,386,000",23.90,24,23.70,"568,777","296,700",6.5
18/03/2025,23.90,"26,614,000",24.40,24.40,23.90,"1,532,975","1,533,275",-0.0
17/03/2025,24.30,"25,601,900",24.40,24.45,24.10,"1,104,600","1,105,020",-0.0
14/03/2025,24.30,"19,724,000",24.25,24.45,24.15,"310,000","599,577",-7.0
13/03/2025,24.30,"23,064,100",24.65,24.70,24.20,"2,550,000","2,555,355",-0.1
12/03/2025,24.60,"30,957,600",24.90,25,24.60,"2,600,000","2,601,000",-0.0
11/03/2025,24.80,"26,519,300",24.20,24.80,24.15,"1,720,216","1,693,416",0.6
10/03/2025,24.50,"19,419,600",24.75,24.90,24.45,"58,536","50,200",0.2
07/03/2025,24.50,"47,416,100",24.25,24.90,24.10,"429,500","446,972",-0.4
06/03/2025,24.10,"25,919,100",23.70,24.10,23.50,"551,777","617,116",-1.5
05/03/2025,23.55,"30,355,700",23.40,24.10,23.30,"3,236,400","3,236,936",-0.0
04/03/2025,23.40,"21,367,000",23.05,23.60,22.85,"12,854,986","12,843,038",0.3
03/03/2025,23.10,"9,195,600",23,23.10,22.95,"961,426","965,077",-0.1
28/02/2025,23,"11,052,800",23.10,23.15,22.95,"1,190,000","1,190,931",-0.0
27/02/2025,23.20,"12,766,600",23.20,23.25,22.95,"389,500","404,486",-0.3
26/02/2025,23.20,"8,376,800",23.50,23.55,23.20,"370,106","370,132",-0.0
25/02/2025,23.40,"37,696,200",23.05,23.55,23.05,"670,200","676,420",-0.1
24/02/2025,23,"13,460,200",22.80,23.05,22.80,"279,000","279,100",-0.0
21/02/2025,22.90,"20,513,900",22.90,23.15,22.80,"338,500","344,100",-0.1
20/02/2025,22.85,"10,831,800",23,23,22.85,"790,000","793,000",-0.1
19/02/2025,22.85,"9,166,500",22.80,22.95,22.70,"1,185,575","1,187,400",-0.0
18/02/2025,22.70,"10,082,500",22.65,22.95,22.60,"2,415,600","2,415,640",-0.0
17/02/2025,22.65,"8,679,000",22.90,22.90,22.60,"639,042","625,000",0.3
14/02/2025,22.85,"8,160,100",23,23,22.80,"45,000","46,175",-0.0
13/02/2025,22.90,"7,458,100",22.85,22.90,22.60,"100,000","104,690",-0.1
12/02/2025,22.70,"7,185,700",23,23.05,22.70,"574,500","588,542",-0.3
11/02/2025,23,"7,739,300",23,23,22.85,"45,000","45,046",-0.0
10/02/2025,22.90,"19,336,200",22.70,23.25,22.45,"523,700","523,700",0
07/02/2025,22.75,"14,192,900",22.70,23,22.40,"45,000","45,200",-0.0
06/02/2025,22.60,"10,756,200",22.55,22.95,22.55,"351,700","351,700",0
05/02/2025,22.50,"7,229,500",22.50,22.55,22.30,0,0,0
04/02/2025,22.45,"11,057,300",22.20,22.60,22.10,"501,825","512,042",-0.2
03/02/2025,22.10,"8,664,400",22.05,22.25,21.95,"751,066","743,200",0.2
24/01/2025,22.40,"9,798,300",22.05,22.45,22.05,69,0,0.0
23/01/2025,22.20,"13,735,100",21.90,22.25,21.80,"1,505,700","1,504,600",0.0
22/01/2025,21.80,"5,961,800",21.95,21.95,21.75,"2,061,100","2,068,966",-0.2
21/01/2025,21.85,"6,770,200",21.95,22.05,21.75,0,69,-0.0
20/01/2025,21.85,"8,238,800",21.50,21.95,21.50,"1,187,870","1,186,900",0.0
17/01/2025,21.50,"4,483,700",21.50,21.50,21.35,"3,481,700","3,481,700",0
16/01/2025,21.40,"7,329,100",21.50,21.60,21.35,"2,572,700","2,574,100",-0.0
15/01/2025,21.35,"4,726,200",21.45,21.50,21.30,"2,968,600","2,970,670",-0.0
14/01/2025,21.30,"5,736,000",21.40,21.50,21.15,"2,200,000","2,200,000",0
13/01/2025,21.50,"7,871,600",21.15,21.50,20.95,"324,900","324,900",0
10/01/2025,21.15,"8,681,700",21.45,21.50,21.15,"1,733,800","1,734,352",-0.0
09/01/2025,21.50,"4,367,500",21.60,21.70,21.45,"3,153,800","3,153,800",0
08/01/2025,21.60,"6,536,100",21.45,21.70,21.45,"1,880,465","1,880,465",0
"07/01/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u:  100/15 (Volume + 15%, Ratio=0.15)",,,,,,,,
07/01/2025,21.65,"11,801,300",21.70,21.70,21.20,"2,667,265","2,657,000",0.2
06/01/2025,21.22,"14,555,800",21.48,21.65,21.22,"80,048",0,0.0
03/01/2025,21.48,"11,035,600",21.91,21.91,21.48,"195,000","195,000",0
02/01/2025,21.91,"12,435,800",21.87,22.13,21.78,"37,898","27,563",0.3
31/12/2024,21.83,"11,241,300",21.57,21.83,21.57,"530,000","610,048",-2.0
30/12/2024,21.57,"11,064,900",21.87,21.87,21.57,"500,000","500,000",0
27/12/2024,21.78,"16,701,900",21.78,22,21.74,"1,796,300","1,813,600",-0.4
26/12/2024,21.65,"19,904,600",21.30,21.65,21.26,"1,347,600","1,366,500",-0.5
25/12/2024,21.26,"14,819,900",20.83,21.57,20.83,"1,001,700","1,000,000",0.0
24/12/2024,20.78,"3,479,800",20.91,20.91,20.74,"204,000","204,200",-0.0
23/12/2024,20.91,"3,290,600",20.87,21,20.87,"4,153,300","4,154,400",-0.0
20/12/2024,20.87,"4,123,400",20.74,20.87,20.70,"831,919","624,100",-0.0
19/12/2024,20.74,"10,456,300",20.70,20.91,20.70,"72,090","72,000",0.0
18/12/2024,21.04,"3,778,700",21,21.04,20.91,"402,000","152,000",0
17/12/2024,21,"3,867,900",20.91,21.04,20.91,"28,817","200,019",-4.8
16/12/2024,20.96,"5,691,600",21.09,21.17,20.87,"705,731","704,790",0.0
13/12/2024,21.09,"4,396,300",21.09,21.17,21.04,"152,109","250,000",-6.1
12/12/2024,21.13,"5,748,500",21.22,21.35,21.13,"1,717","28,817",-0.7
11/12/2024,21.13,"5,623,000",21.09,21.22,20.96,"1,052,900","1,034,931",0.4
10/12/2024,21.09,"5,009,700",21.22,21.30,21.09,"1,858,061","1,852,109",-3.7
09/12/2024,21.22,"5,848,600",21.22,21.35,21.09,"555,500","551,717",0.1
06/12/2024,21.17,"6,119,000",21.39,21.39,21.17,"9,775,187","9,794,125",-0.5
05/12/2024,21.35,"10,559,800",20.74,21.39,20.70,38,"158,061",-3.8
04/12/2024,20.74,"6,135,700",20.78,20.87,20.70,"1,379,266","1,379,300",-0.0
03/12/2024,20.83,"6,576,600",21,21.04,20.83,"301,500","300,062",0.0
02/12/2024,21,"4,110,300",21.04,21.13,20.91,"2,001,139","2,001,177",-0.0
29/11/2024,21,"4,338,100",20.91,21,20.83,"2,290,100","2,292,366",-0.1
28/11/2024,20.87,"6,587,200",21.04,21.09,20.87,"2,325,900","2,327,400",-0.0
27/11/2024,20.96,"4,073,600",20.87,21.09,20.78,"210,700","210,700",0
26/11/2024,20.96,"4,436,300",20.91,21.04,20.87,"781,000","781,100",-0.0
25/11/2024,20.83,"4,808,800",20.87,20.91,20.78,"276,400","236,500",1.0
22/11/2024,20.87,"7,345,500",20.83,21.04,20.78,"1,712,120","401,500",0.0
21/11/2024,20.87,"6,580,200",20.52,20.87,20.35,0,"9,315",-0.2
20/11/2024,20.48,"9,713,500",20.13,20.61,20.13,"1,273,200","1,413,200",-3.3
19/11/2024,20.13,"7,581,900",20.43,20.52,20.13,"290,000","1,742,620",-34.0
18/11/2024,20.35,"15,027,600",20.43,20.57,20.09,"949,400","961,505",-0.3
15/11/2024,20.43,"11,785,200",20.61,20.70,20.43,"8,134,100","8,134,100",0
14/11/2024,20.70,"8,429,800",20.96,20.96,20.70,"12,161,773","12,162,700",-0.0
13/11/2024,21,"10,658,900",20.96,21.09,20.74,"3,099,752","3,128,968",-0.7
12/11/2024,20.96,"8,810,800",21.13,21.17,20.96,0,"7,000",-0.2
11/11/2024,21.13,"17,138,000",21.35,21.39,20.83,300,"1,200",-0.0
08/11/2024,21.35,"7,681,300",21.61,21.65,21.22,"1,300",0,0.0
07/11/2024,21.57,"4,721,700",21.74,21.74,21.57,0,0,0
06/11/2024,21.61,"6,561,400",21.43,21.65,21.30,0,0,0
05/11/2024,21.26,"6,496,400",21.35,21.39,21.22,"15,700","1,300",0.4
04/11/2024,21.26,"11,901,500",21.48,21.52,21.22,0,0,0
01/11/2024,21.39,"9,317,300",21.70,21.78,21.39,"4,100",0,0.1
31/10/2024,21.78,"6,662,200",21.74,21.91,21.57,"2,000","15,700",-0.3
30/10/2024,21.74,"6,320,000",21.74,21.87,21.48,200,0,0.0
29/10/2024,21.74,"5,342,200",21.65,21.83,21.61,"11,000","4,000",0.2
28/10/2024,21.57,"3,872,900",21.52,21.61,21.43,0,"2,000",-0.0
25/10/2024,21.43,"10,606,300",21.57,21.57,21.35,0,200,-0.0
24/10/2024,21.48,"16,246,700",21.96,22.09,21.48,0,"11,000",-0.3
23/10/2024,21.96,"11,634,500",21.96,22.04,21.87,"1,000",0,0.0
22/10/2024,21.96,"20,327,200",22.17,22.30,21.87,"8,700",0,0.2
21/10/2024,22.22,"9,410,500",22.39,22.52,22.22,0,0,0
18/10/2024,22.39,"18,478,000",22.61,22.78,22.35,"1,500","1,000",0.0
17/10/2024,22.52,"11,681,000",22.22,22.52,22.04,"7,500","8,700",-0.0
16/10/2024,22.17,"10,829,400",22.30,22.30,22.09,"4,200",0,0.1
15/10/2024,22.30,"15,413,400",22.57,22.70,22.30,"3,000","1,500",0.0
14/10/2024,22.48,"15,572,800",22.30,22.70,22.17,0,"7,400",-0.2
11/10/2024,22.22,"6,485,000",22.17,22.26,22.04,0,"4,200",-0.1
10/10/2024,22.17,"12,327,300",22.35,22.57,22.17,100,"3,000",-0.1
09/10/2024,22.26,"14,336,900",22,22.30,21.96,"2,600","3,000",-0.0
08/10/2024,21.91,"11,968,400",21.91,22.17,21.83,"4,000",0,0.1
07/10/2024,21.91,"10,186,200",22,22.09,21.74,"11,400",100,0.3
04/10/2024,21.83,"18,601,300",22.17,22.17,21.83,"4,500","2,600",0.0
03/10/2024,22.17,"20,995,600",22.30,22.70,22.09,0,"4,000",-0.1
02/10/2024,22.35,"12,817,100",22.22,22.48,22.17,0,"11,400",-0.3
01/10/2024,22.30,"18,768,300",22.39,22.74,22.30,"2,400","4,500",-0.1
30/09/2024,22.35,"14,401,600",22.13,22.43,22.13,0,0,0
27/09/2024,22.35,"18,136,400",22.35,22.74,22.26,"3,200",0,0.1
26/09/2024,22.35,"26,475,400",22.39,22.57,22.17,0,"2,400",-0.1
25/09/2024,22.39,"32,046,100",22.09,22.52,22.04,300,"41,900",-1.1
24/09/2024,21.96,"17,579,900",21.65,22,21.57,0,"3,000",-0.1
23/09/2024,21.57,"18,841,400",21.57,22.09,21.57,0,"1,000",-0.0
20/09/2024,21.52,"26,323,600",21.35,21.74,21.35,100,300,-0.0
19/09/2024,21.22,"6,720,200",21.26,21.35,21.17,0,"60,000",-1.5
18/09/2024,21.22,"13,554,500",21.13,21.39,21,0,0,0
17/09/2024,21.09,"8,279,900",20.87,21.09,20.70,"12,200",0,0.3
16/09/2024,20.78,"8,418,300",20.78,21.09,20.74,0,0,0
13/09/2024,20.78,"4,397,400",20.91,20.91,20.74,0,0,0
12/09/2024,20.87,"5,629,000",20.87,21,20.83,0,"12,200",-0.3
11/09/2024,20.78,"9,689,000",20.65,20.91,20.43,0,"246,800",-5.8
10/09/2024,20.65,"12,381,300",20.91,21.04,20.57,0,"182,900",-4.4
09/09/2024,20.83,"7,767,200",20.78,20.83,20.65,0,0,0
06/09/2024,20.87,"14,681,100",20.78,20.91,20.65,0,500,-0.0
05/09/2024,20.83,"16,458,100",21.22,21.48,20.78,0,"266,500",-6.5
04/09/2024,21.22,"15,149,200",21.26,21.39,21.17,0,"47,600",-1.2
30/08/2024,21.61,"8,869,300",21.61,21.74,21.57,0,"36,800",-0.9
29/08/2024,21.61,"22,617,900",21.43,21.91,21.43,500,"22,100",-0.5
28/08/2024,21.43,"12,094,000",21.26,21.48,21.17,"9,700","30,100",-0.5
