Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10.10,"55,200",11.80,11.80,10.10,0,0,0
20/03/2025,10.80,"74,700",10.20,10.80,9.90,0,200,-0.0
19/03/2025,9.90,"17,200",10.10,10.10,9.90,0,100,-0.0
18/03/2025,10,"8,300",10.40,10.40,9.90,0,0,0
17/03/2025,9.90,"36,400",10,10.10,9.90,0,200,0
14/03/2025,9.90,"19,500",10.10,10.10,9.80,0,200,-0.0
13/03/2025,9.80,"6,200",9.90,10.10,9.80,400,300,0.0
12/03/2025,10,"30,300",10.20,10.20,9.90,300,100,0.0
11/03/2025,10.30,"10,100",10.30,10.30,9.70,200,200,-0.0
10/03/2025,10.30,"4,500",10.40,10.40,10.20,0,200,-0.0
07/03/2025,10.20,"25,300",10.40,10.40,9.70,100,0,0.0
06/03/2025,10.30,"22,100",10.10,10.40,10.10,200,100,0.0
05/03/2025,10.20,"14,300",10.30,10.30,10.20,0,0,0
04/03/2025,10.20,"35,100",10.20,10.30,10.10,200,0,0.0
03/03/2025,10.30,"38,400",10.30,10.40,10.20,0,0,0
28/02/2025,10.40,"35,100",10.50,10.60,10.20,100,100,-0
27/02/2025,10.40,"42,700",10.40,10.40,10.10,0,200,-0.0
26/02/2025,10.30,"44,400",10.40,10.40,10.10,0,0,0
25/02/2025,10.30,"53,500",10.40,10.40,10.20,0,0,0
24/02/2025,10.30,"36,000",10.50,10.50,10.20,0,0,0
21/02/2025,10.50,"49,900",10.70,10.70,10.30,0,0,0
20/02/2025,10.60,"64,300",10.50,10.70,10.40,0,0,0
19/02/2025,10.30,"195,300",11,11.40,10.20,500,0,0.0
18/02/2025,11.30,"77,900",11,11.50,10.90,0,0,0
17/02/2025,11.30,"115,400",11.80,11.80,10.90,0,0,0
14/02/2025,11.70,"77,500",11.50,12,11.50,0,0,0
13/02/2025,11.30,"30,100",11.30,11.70,11.30,0,0,0
12/02/2025,11.60,"67,280",11.90,11.90,11.20,0,0,0
11/02/2025,11.90,"120,943",12.20,12.80,11.40,0,"1,100",-0.0
10/02/2025,11.90,"202,854",11,11.90,10.90,0,"2,000",-0.0
07/02/2025,10.90,"104,309",10.30,11,10.10,0,900,-0.0
06/02/2025,10.30,"98,567",9.50,10.40,9.30,0,200,-0.0
05/02/2025,9.50,"22,434",9.60,9.60,9.30,0,0,0
04/02/2025,9.40,"31,050",9.70,9.70,9.30,0,0,0
03/02/2025,9.60,"11,100",9.50,10,9.30,100,200,0
24/01/2025,9.30,"7,823",9.50,9.50,9.20,0,0,0
23/01/2025,9.40,"17,401",9.40,9.50,9.40,0,0,0
