Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,4.30,100,4.30,4.30,4.30,0,0,0
20/03/2025,4.60,800,5,5,4.40,0,0,0
19/03/2025,4.90,500,4.90,4.90,4.90,0,0,0
18/03/2025,5,300,5,5,4.50,0,0,0
17/03/2025,5,500,4.30,5,4.30,0,0,0
14/03/2025,5,600,5,5,4,0,0,0
13/03/2025,5,200,4,5,4,0,0,0
12/03/2025,5.10,500,5.10,5.10,4.40,0,0,0
11/03/2025,4.90,"2,000",4.50,5,4.50,0,0,0
10/03/2025,5.10,"2,000",4.40,5.10,4.40,0,0,0
07/03/2025,5.10,0,5.10,5.10,5.10,0,0,0
06/03/2025,5.10,0,5.10,5.10,5.10,0,0,0
05/03/2025,5.10,200,5.10,5.10,5.10,0,0,0
04/03/2025,5.10,300,4.20,5.10,4.10,0,0,0
03/03/2025,5.20,800,4.60,5.20,4.50,0,0,0
28/02/2025,5.20,100,5.20,5.20,5.20,0,0,0
27/02/2025,5.10,300,5.10,5.10,5.10,0,0,0
26/02/2025,5.20,900,5.10,5.20,4.50,0,0,0
25/02/2025,5.10,700,5.20,5.20,5.10,0,0,0
24/02/2025,4.70,"10,600",4.70,4.70,4.70,0,0,0
21/02/2025,4.60,300,4,4.60,3.60,0,0,0
20/02/2025,4,100,4,4,4,0,0,0
19/02/2025,4.20,200,4.40,4.40,4.20,0,0,0
18/02/2025,4.40,"4,400",5,5,4.30,0,0,0
17/02/2025,5,0,5,5,5,0,0,0
14/02/2025,5,"2,000",4,5,4,0,0,0
13/02/2025,4.30,200,4.90,4.90,4.30,0,0,0
12/02/2025,4.20,400,5.20,5.20,4.10,0,0,0
11/02/2025,4.50,700,5.50,5.50,4.50,0,0,0
10/02/2025,5,400,5,5,5,0,0,0
07/02/2025,5.50,"3,400",5.70,5.70,4.30,0,0,0
06/02/2025,5,"1,900",5,5,5,0,0,0
05/02/2025,4.40,"3,500",4.60,4.60,4.30,0,0,0
04/02/2025,3.60,400,4.40,4.40,3.60,0,0,0
03/02/2025,4.30,200,3.40,4.30,3.40,0,0,0
24/01/2025,3.90,"1,305",3.90,3.90,3.20,0,0,0
23/01/2025,3.70,233,3,3.70,3,0,0,0
22/01/2025,2.90,200,3.60,3.60,2.90,0,0,0
21/01/2025,3.50,400,2.90,3.50,2.90,0,0,0
20/01/2025,3.60,"1,400",3,3.60,3,0,0,0
17/01/2025,3.20,100,3.20,3.20,3.20,0,0,0
16/01/2025,3.30,"1,400",3.20,4.10,3.20,0,0,0
15/01/2025,4,200,3.10,4,3.10,0,0,0
14/01/2025,3.10,200,3.90,3.90,3.10,0,0,0
13/01/2025,3.40,100,3.40,3.40,3.40,0,0,0
10/01/2025,3.50,300,3.30,4.20,3.30,0,0,0
09/01/2025,3.70,500,3.70,3.70,3.70,0,0,0
08/01/2025,3.30,100,3.30,3.30,3.30,0,0,0
