Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,29.10,"18,000",29.60,29.60,28.90,0,0,0
20/03/2025,29.10,"16,700",29.50,29.50,29,200,0,0.0
19/03/2025,29.10,"46,200",29.70,29.70,28.80,0,500,-0.0
18/03/2025,29.50,"51,400",29.80,29.90,29.40,0,0,0
17/03/2025,29.70,"60,300",30,30,29.70,100,0,0
14/03/2025,29.80,"173,000",30.70,30.80,29.60,0,0,0
13/03/2025,30.60,"90,200",30.70,31.50,30.50,0,0,0
12/03/2025,30.10,"81,000",31.80,31.90,30,100,0,0.0
11/03/2025,30.60,"117,700",30.80,31,30,0,0,0
10/03/2025,30.90,"112,000",32.50,32.90,30.80,0,0,0
07/03/2025,32,"108,500",32.30,32.50,32,0,0,0
06/03/2025,32.30,"70,000",31.50,32.30,31.30,"4,200",0,0.1
05/03/2025,31.40,"32,400",31,31.90,31,0,0,0
04/03/2025,31.40,"175,800",31.80,31.80,29.90,0,"36,600",-1.1
03/03/2025,31.80,"171,400",32.70,33.80,31.80,0,0,0
28/02/2025,32.70,"149,900",35,35,32.70,0,0,0
27/02/2025,34.60,"68,900",34.50,35.20,34,0,0,0
26/02/2025,34.30,"103,400",35.40,35.90,34,0,0,0
25/02/2025,35.60,"226,500",36,37.50,35,0,"97,600",-3.5
24/02/2025,35.90,"273,200",33,36,33,300,"37,600",-1.3
21/02/2025,33.60,"84,000",33.40,34.30,33,0,"1,000",-0.0
20/02/2025,33.60,"113,200",34.60,35.30,33.40,0,0,0
19/02/2025,34.60,"74,500",33.70,35,33.50,600,0,0.0
18/02/2025,33.80,"117,700",35,35.30,33.40,0,"6,301",-0.2
17/02/2025,34.30,"331,000",35.50,37.80,33,0,"153,900",-5.6
14/02/2025,35.50,"211,400",33.30,36,33.10,"18,800","25,800",-0.3
13/02/2025,33.30,"198,100",32,34,31.50,1,900,-0.0
12/02/2025,32,"111,650",31.10,32,30,0,0,0
11/02/2025,30.10,"159,530",32,33.30,30.10,0,0,0
10/02/2025,32.70,"234,812",34,35.80,30,"1,000","15,000",-0.5
07/02/2025,34.10,"352,067",30.70,34.10,30.70,"58,300","55,000",0.1
06/02/2025,30.60,"238,551",27.60,31.20,27.60,"45,600","40,000",0.2
05/02/2025,27.60,"26,129",27.80,27.90,27.40,0,0,0
04/02/2025,28.10,"78,140",28,28.70,27.70,"1,000","10,000",-0.3
03/02/2025,28.10,"145,300",26.40,28.30,25.50,"58,300","45,000",0
24/01/2025,27,"121,055",25.60,27,25.50,"31,900","15,000",0.5
23/01/2025,25.70,"24,905",25.70,26,25.20,"5,000","1,000",0.1
22/01/2025,25.50,"96,309",25,26.10,25,"5,000",0,0.1
21/01/2025,25,"71,791",23.60,25.40,23.60,"24,700",0,0.6
20/01/2025,23.60,"7,996",23.70,23.70,23.60,0,0,0
17/01/2025,23.60,"14,676",23.60,24.20,23.30,0,0,0
16/01/2025,23.40,"7,108",23.70,23.70,23.40,0,0,0
15/01/2025,23.50,"11,316",24,24,23.30,0,0,0
14/01/2025,23.50,"2,900",23.40,23.50,23.40,0,0,0
13/01/2025,23.30,"4,100",23,23.40,23,0,0,0
10/01/2025,23,"26,212",23.40,23.70,23,0,0,0
09/01/2025,23.50,"3,600",23.50,23.50,23.40,0,0,0
08/01/2025,23.40,"9,167",23.90,23.90,23.40,0,0,0
07/01/2025,23.60,"11,003",23.80,23.80,23.40,0,0,0
06/01/2025,23.70,"18,413",23.70,24,23.60,0,0,0
03/01/2025,23.50,"11,159",24.10,24.10,23.50,0,0,0
02/01/2025,24.10,"22,355",23.90,24.10,23.60,0,0,0
31/12/2024,23.70,"28,252",24.80,25.10,23.70,0,0,0
30/12/2024,24.80,"10,551",25,25.30,24.40,0,0,0
27/12/2024,24.40,"41,551",23.20,25.10,23.20,0,0,0
26/12/2024,23.40,"8,773",23.40,23.40,23,0,0,0
25/12/2024,23.20,"15,202",23.10,23.50,23.10,0,0,0
24/12/2024,23,"10,719",23,23.10,22.80,0,0,0
23/12/2024,23,"22,526",23,23.40,23,0,0,0
20/12/2024,23.30,"28,000",23,23.30,22.90,0,0,0
19/12/2024,23,"18,600",23,23.40,22.90,0,0,0
18/12/2024,22.90,"58,642",23.20,23.20,22.90,0,0,0
17/12/2024,23.20,"6,504",23.20,23.30,23,0,0,0
16/12/2024,23,"47,700",23.10,23.50,23,0,0,0
13/12/2024,23.10,"14,403",23.20,23.30,22.80,0,0,0
12/12/2024,22.80,"21,335",23.10,23.10,22.70,0,700,-0.0
11/12/2024,23,"6,750",23,23.50,23,0,0,0
10/12/2024,22.80,"9,051",22.80,23,22.70,0,0,0
09/12/2024,23,"31,246",23.40,23.40,22.50,0,0,0
06/12/2024,23,"60,965",23.50,23.50,23,0,0,0
05/12/2024,23.70,"16,227",23,23.70,23,0,0,0
04/12/2024,22.90,"55,988",23.80,23.80,22.90,0,0,0
03/12/2024,23.50,"13,793",23.70,24,23.50,0,0,0
02/12/2024,23.70,"5,150",23.40,23.90,23.30,0,0,0
29/11/2024,23.40,"23,911",23.50,23.50,23.30,0,0,0
28/11/2024,23.30,"21,441",23.90,24,23.30,0,0,0
27/11/2024,23.50,"17,159",23.50,23.90,23.40,0,0,0
26/11/2024,23.40,"26,000",23.60,23.90,23.40,0,0,0
25/11/2024,23.80,"14,700",23.80,24,23.70,0,0,0
22/11/2024,23.70,"11,304",24,24,23.60,0,0,0
21/11/2024,23.70,"4,511",23.70,23.80,23.60,0,0,0
20/11/2024,24,"13,641",23.50,24.10,23.50,0,0,0
19/11/2024,24,"5,030",24.60,24.60,23.70,0,0,0
18/11/2024,23.20,"27,395",24.50,24.50,23.20,0,0,0
15/11/2024,24.40,"7,540",24.60,24.60,24.20,0,0,0
14/11/2024,24.70,"13,925",24.90,24.90,24.50,0,0,0
13/11/2024,25,"15,902",24.90,25,24.50,0,0,0
12/11/2024,24.90,"6,291",25,25,24.80,0,0,0
11/11/2024,25,"10,450",25,25.10,24.80,0,0,0
08/11/2024,25.20,"27,246",25.50,25.50,24.80,0,0,0
07/11/2024,25.50,"3,543",25.30,25.50,25.30,0,0,0
06/11/2024,25.20,"13,684",25.20,25.60,25,0,0,0
05/11/2024,25.10,"11,800",25.40,25.80,24.90,0,0,0
04/11/2024,25.40,"6,825",25.30,25.40,24.70,0,0,0
