Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11.80,"6,333,000",11.85,11.95,11.80,"1,082,300","1,748,200",0
20/03/2025,11.85,"9,317,100",12.15,12.20,11.75,"36,400","327,600",-3.5
19/03/2025,12.10,"10,847,500",11.95,12.10,11.85,"2,094,888","54,900",24.4
18/03/2025,12,"8,535,600",12.10,12.15,11.85,"9,300","59,400",-0.6
17/03/2025,12.10,"29,992,900",11.70,12.40,11.65,"995,814","1,527,200",-6.8
14/03/2025,11.60,"9,775,900",11.40,11.70,11.35,"83,400","165,500",-1.0
13/03/2025,11.40,"11,120,800",11.65,11.65,11.40,"84,400","553,800",-5.4
12/03/2025,11.65,"8,618,700",11.80,11.85,11.60,"66,700","202,600",-1.6
11/03/2025,11.75,"9,251,000",11.70,11.75,11.60,"33,500","62,400",-0.3
10/03/2025,11.80,"9,706,500",11.95,11.95,11.70,"114,500","68,729",0.5
07/03/2025,11.85,"27,765,700",11.50,11.90,11.45,"1,084,400","428,100",7.6
06/03/2025,11.45,"5,446,400",11.35,11.45,11.30,"74,700","255,900",-2.1
05/03/2025,11.30,"8,374,800",11.40,11.55,11.30,"32,600","667,500",-7.2
04/03/2025,11.40,"7,666,400",11.35,11.45,11.25,"189,400","534,300",-3.9
03/03/2025,11.35,"4,777,400",11.35,11.40,11.30,"114,400","151,500",-0.4
28/02/2025,11.35,"5,946,000",11.40,11.40,11.30,"62,600","425,299",-4.1
27/02/2025,11.40,"7,381,000",11.45,11.50,11.30,0,"7,800",-0.1
26/02/2025,11.45,"7,633,300",11.55,11.60,11.40,"168,100","109,540",0.7
25/02/2025,11.55,"6,873,800",11.60,11.65,11.50,"851,700","81,800",8.9
24/02/2025,11.55,"5,029,800",11.50,11.65,11.50,"448,500","32,400",4.8
21/02/2025,11.55,"6,494,300",11.55,11.60,11.45,"233,000","75,550",1.8
20/02/2025,11.55,"4,632,900",11.55,11.60,11.50,"11,300","62,700",-0.6
19/02/2025,11.50,"7,068,900",11.45,11.55,11.40,"321,400","94,700",2.6
18/02/2025,11.45,"7,391,100",11.40,11.60,11.40,"20,600","74,200",-0.6
17/02/2025,11.40,"5,754,600",11.45,11.50,11.35,"188,200","509,700",-3.7
14/02/2025,11.40,"6,692,300",11.40,11.50,11.30,"63,400",0,0.7
13/02/2025,11.35,"4,011,500",11.40,11.40,11.30,"173,300","3,730",1.9
12/02/2025,11.40,"5,647,700",11.45,11.55,11.35,0,"87,600",-1.0
11/02/2025,11.40,"11,251,200",11.35,11.55,11.25,"313,300","28,000",3.3
10/02/2025,11.30,"5,982,500",11.30,11.40,11.25,"8,000","81,500",-0.8
07/02/2025,11.35,"7,003,300",11.35,11.45,11.25,"157,200","123,029",0.4
06/02/2025,11.35,"5,921,600",11.40,11.45,11.25,"18,840","390,190",-4.2
