Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,67.90,"3,804,100",68.60,68.60,67.50,"936,716","794,398",0
20/03/2025,68.40,"3,437,000",68.50,69.10,68.20,"671,700","887,483",-14.8
19/03/2025,68.50,"6,651,600",69.50,69.60,68.50,"1,296,520","1,564,941",-18.5
18/03/2025,69.60,"6,175,200",70.70,71.30,69.60,"818,540","987,290",-11.8
17/03/2025,70.50,"4,528,900",71.40,71.40,70.30,"880,914","412,220",33.1
14/03/2025,71.10,"7,301,100",70.50,71.90,70.40,"1,507,465","211,432",92.5
13/03/2025,70.40,"11,573,600",68.70,71.20,68.70,"1,348,584","432,160",64.6
12/03/2025,68.70,"4,987,800",68.90,69.70,68.70,"304,917","685,800",-26.3
11/03/2025,68.90,"4,533,500",68.20,68.90,68.10,"117,700","1,380,676",-86.5
10/03/2025,68.90,"5,117,800",69,69.90,68.70,"119,259","1,140,268",-70.5
07/03/2025,69,"4,410,100",69.20,70,68.40,"25,316","1,180,541",-79.6
06/03/2025,69.20,"4,342,500",68.40,69.20,68.20,"1,085,700","562,800",35.9
05/03/2025,68.20,"6,222,600",69.30,70.20,68.20,"775,917","1,211,500",-29.9
04/03/2025,69.10,"5,946,400",68,69.10,67.40,"694,708","744,680",-3.0
03/03/2025,68,"2,758,100",67.80,68.40,67.70,"117,000","661,000",-36.9
28/02/2025,67.70,"3,925,400",68.40,68.50,67.50,"22,900","1,012,500",-67.2
27/02/2025,68.40,"4,565,500",68.50,69.30,68.20,"36,946","1,092,291",-72.3
26/02/2025,68.30,"2,082,800",68.40,68.60,68,"64,700","492,172",-29.2
25/02/2025,68.40,"5,119,200",67.80,68.90,67.80,"581,161","97,912",33.1
24/02/2025,67.60,"3,245,600",67.20,67.70,66.80,"256,000","543,500",-19.3
21/02/2025,67.60,"2,315,500",68,68,67.20,"36,215","314,500",-18.8
20/02/2025,68,"2,935,400",68,68,67.50,"280,546","448,800",-11.3
19/02/2025,67.70,"3,261,800",66.60,67.70,66.60,"564,900","111,300",30.4
18/02/2025,66.40,"2,602,400",66.40,67.20,66,"98,328","343,092",-16.3
17/02/2025,66.40,"5,693,000",68.10,68.40,66.20,"66,813","408,508",-23.0
14/02/2025,68.10,"2,983,400",69.20,69.40,67.80,"51,018","69,256",-1.2
13/02/2025,68.90,"1,824,000",68.80,69,68.30,"536,030","132,130",27.8
12/02/2025,69,"2,088,500",68.70,69.10,68.30,"376,900","26,416",24.1
11/02/2025,68.70,"2,435,600",68.80,68.90,68.10,"1,000,900","332,860",45.8
10/02/2025,68.80,"6,909,800",67.80,69.70,67.80,"1,836,625","630,800",83.1
07/02/2025,67.70,"2,265,600",67.70,68,67.20,"39,200","13,272,648",-890.7
06/02/2025,67.40,"2,799,000",67.50,68.10,67.20,"164,500","462,308",-20.1
05/02/2025,67.50,"4,852,700",68.70,68.70,67.30,"1,089,420","1,505,254",-28.1
04/02/2025,68.60,"3,948,000",68.10,68.80,68.10,"1,879,900","1,869,080",0.8
03/02/2025,67.90,"4,054,000",67.80,68.40,67,"1,643,001","1,193,640",30.3
24/01/2025,68,"6,680,300",65.50,68,65.40,"1,841,830","136,140",114.6
23/01/2025,65.40,"3,685,200",65.30,66.10,65.20,"1,055,800","2,108,140",-68.9
22/01/2025,65.20,"2,338,800",65.80,66.20,65.20,"317,816","602,900",-18.7
21/01/2025,65.70,"2,258,500",65.60,66.40,65.40,"433,300","210,822",14.7
20/01/2025,65.50,"1,814,200",66,66.30,65.50,"105,520","424,291",-20.9
17/01/2025,65.90,"1,689,700",66.30,66.40,65.70,"170,800","351,000",-11.9
16/01/2025,66.30,"2,458,700",66.50,66.50,65.30,"142,800","364,072",-14.5
15/01/2025,65.80,"4,159,100",64.50,66.40,64,"526,700","53,476",30.7
14/01/2025,63.70,"3,586,600",65,65.30,63.70,"181,000","806,136",-40.4
13/01/2025,65,"3,672,000",65.40,65.50,64.40,"189,470","333,300",-9.3
10/01/2025,65.50,"2,905,200",67.30,67.40,65.50,"168,921","310,980",-9.4
09/01/2025,67.30,"1,886,700",67.80,68.10,66.80,"174,319","76,700",6.6
08/01/2025,67.70,"2,812,900",66.90,68,66.60,"762,250","165,660",40.0
07/01/2025,66.80,"5,735,600",67.30,68.20,66.50,"768,698","721,106",3.5
06/01/2025,67.20,"5,156,900",69.80,70.20,67.20,"292,000","100,984",13.3
03/01/2025,69.70,"2,679,200",70.80,70.80,69.60,"123,516","134,544",-0.8
02/01/2025,70.80,"2,326,400",70.10,70.90,70,"731,449","91,804",45.1
31/12/2024,70,"2,800,400",70.20,70.80,70,"764,200","177,312",41.3
30/12/2024,70.10,"1,654,300",70.30,70.80,70,"101,320","173,960",-5.1
27/12/2024,70.40,"2,398,100",70.50,71.10,70.40,"67,400","197,000",-9.2
26/12/2024,70.50,"2,134,200",71.10,71.30,70.50,"66,759","351,374",-20.2
25/12/2024,70.70,"3,713,100",70.20,71.20,70.20,"104,800","10,700",6.7
24/12/2024,70.20,"3,833,400",70.40,70.60,69.90,"187,400","127,500",4.2
23/12/2024,70.30,"1,755,400",70.90,71,70.30,"42,010","66,996",-1.8
20/12/2024,70.30,"2,753,800",70.50,70.60,70,"102,061","185,207",-5.8
19/12/2024,70.40,"3,513,100",71,71.20,70.30,"13,300","284,828",-19.2
18/12/2024,71.40,"2,486,900",71.10,71.40,71,"15,028","357,176",-24.3
17/12/2024,71,"1,652,300",71,71.30,71,"39,300","168,602",-9.2
16/12/2024,71.10,"2,462,600",71.20,71.70,70.90,"20,250","475,436",-32.4
13/12/2024,71.10,"3,536,600",72,72,71,"115,080","272,970",-11.3
12/12/2024,72.10,"2,674,500",72.50,72.70,72.10,"59,914","717,580",-47.6
11/12/2024,72.70,"2,857,600",73,73.70,72.20,"44,800","490,912",-32.4
10/12/2024,72.70,"2,512,300",73,73.30,72.70,"542,000","292,959",18.2
09/12/2024,73.20,"2,810,900",73.40,73.60,73.10,"673,700","125,100",40.2
06/12/2024,73.40,"5,635,400",74.10,74.20,73.20,"1,355,970","127,996",90.3
05/12/2024,73.70,"5,390,800",71.90,73.70,71.80,"1,498,100","449,330",76.5
04/12/2024,72.10,"4,106,400",72.50,72.50,71.40,"1,026,700","163,840",62.2
03/12/2024,72.70,"2,928,400",72.40,73,72.40,"1,019,800","44,700",70.9
02/12/2024,72.60,"2,724,700",73.20,73.50,72.50,"1,182,200","1,356,000",-12.6
29/11/2024,73.20,"4,424,300",72.50,73.60,72.20,"3,560,700","2,330,376",89.4
