Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,6.50,"2,500",6,6.50,6,0,0,0
20/03/2025,6,200,6,6,6,0,0,0
19/03/2025,5.90,"9,500",5.90,5.90,5.90,0,0,0
18/03/2025,5.90,"3,500",5.90,5.90,5.90,0,0,0
17/03/2025,5.90,0,5.90,5.90,5.90,0,0,0
14/03/2025,5.90,"4,700",5.90,5.90,5.90,0,0,0
13/03/2025,5.70,"19,900",5.90,5.90,5.70,0,0,0
12/03/2025,5.80,"6,300",5.80,5.80,5.80,0,0,0
11/03/2025,5.80,"6,000",5.70,5.80,5.70,0,0,0
10/03/2025,5.80,"1,900",5.70,5.80,5.70,0,0,0
07/03/2025,5.70,0,5.70,5.70,5.70,0,0,0
06/03/2025,5.70,"3,900",5.70,5.70,5.70,0,0,0
05/03/2025,5.70,"6,200",5.70,5.70,5.70,0,0,0
04/03/2025,6,0,6,6,6,0,0,0
03/03/2025,6,0,6,6,6,0,0,0
28/02/2025,6,100,6,6,6,0,0,0
27/02/2025,5.90,"7,100",5.80,5.90,5.80,0,0,0
26/02/2025,5.80,"10,000",5.80,5.80,5.80,0,0,0
25/02/2025,5.80,500,5.80,5.80,5.80,0,0,0
24/02/2025,5.80,"4,700",5.70,5.80,5.70,0,0,0
21/02/2025,5.80,"3,900",5.70,5.80,5.60,0,0,0
20/02/2025,5.80,"10,700",5.70,5.90,5.70,0,0,0
19/02/2025,5.70,"8,800",5.60,5.70,5.60,0,0,0
18/02/2025,5.60,"5,000",5.70,5.70,5.60,0,0,0
17/02/2025,5.60,"4,800",5.60,5.60,5.50,0,0,0
14/02/2025,5.60,"27,100",5.60,5.60,5.60,0,0,0
13/02/2025,5.60,"9,100",5.70,5.70,5.60,0,0,0
12/02/2025,5.60,"2,100",5.70,5.70,5.60,0,0,0
11/02/2025,5.50,"75,600",5.50,5.60,5.50,0,0,0
10/02/2025,5.50,300,5.50,5.50,5.50,0,0,0
07/02/2025,5.50,"16,900",5.40,5.60,5.40,0,"7,100",-0.0
06/02/2025,5.30,0,5.30,5.30,5.30,0,0,0
05/02/2025,5.30,100,5.30,5.30,5.30,0,0,0
04/02/2025,5.30,100,5.30,5.30,5.30,0,0,0
03/02/2025,5.30,0,5.30,5.30,5.30,0,0,0
24/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
23/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
22/01/2025,5.30,"1,600",5.30,5.30,5.30,0,0,0
21/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
20/01/2025,5.30,"6,000",5.30,5.30,5.30,0,0,0
17/01/2025,5.30,401,5.30,5.30,5.30,0,0,0
16/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
15/01/2025,5.30,401,5.30,5.30,5.30,0,0,0
14/01/2025,5.30,"2,000",5.30,5.30,5.30,0,0,0
13/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
10/01/2025,5.30,"10,500",5.30,5.30,5.30,0,0,0
09/01/2025,5.30,"8,500",5.30,5.30,5.30,0,0,0
08/01/2025,5.30,"4,400",5.30,5.30,5.30,0,0,0
07/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
06/01/2025,5.30,"14,600",5.30,5.30,5.30,0,0,0
03/01/2025,5.30,300,5.40,5.40,5.30,0,0,0
02/01/2025,5.50,"22,100",5.30,5.50,5.30,0,0,0
31/12/2024,5.10,"38,600",5.30,5.70,5.10,0,0,0
30/12/2024,5.20,"6,000",5.20,5.20,5.20,0,0,0
27/12/2024,5.20,"9,200",5.20,5.20,5.20,0,0,0
26/12/2024,5.10,"7,400",5.10,5.10,5.10,0,0,0
25/12/2024,5.20,"19,600",5.10,5.20,5.10,0,0,0
24/12/2024,5.10,0,5.10,5.10,5.10,0,0,0
23/12/2024,5.20,"13,300",5.10,5.20,5.10,0,0,0
20/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
19/12/2024,5.20,"1,800",5.20,5.20,5.20,0,0,0
18/12/2024,5.20,"1,100",5.20,5.20,5.20,0,0,0
17/12/2024,5.20,300,5.20,5.20,5.20,0,0,0
16/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
13/12/2024,5.20,900,5.20,5.20,5.20,0,0,0
12/12/2024,5.20,"1,400",5.20,5.20,5.20,0,0,0
11/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
10/12/2024,5.20,309,5.20,5.20,5.20,0,0,0
09/12/2024,5.10,"3,500",5.30,5.30,5.10,0,0,0
06/12/2024,5.10,700,5.10,5.10,5.10,0,0,0
05/12/2024,5.10,"1,000",5.10,5.10,5.10,0,0,0
04/12/2024,5.20,"1,700",5.20,5.20,5.20,0,0,0
03/12/2024,5.20,0,5.20,5.20,5.20,0,0,0
02/12/2024,5.20,"1,800",5.10,5.20,5.10,0,0,0
29/11/2024,5.10,"5,700",5.10,5.10,5.10,0,0,0
28/11/2024,5,0,5,5,5,0,0,0
27/11/2024,5,"5,100",5,5,5,0,0,0
26/11/2024,5.10,0,5.10,5.10,5.10,0,0,0
25/11/2024,5.10,0,5.10,5.10,5.10,0,0,0
22/11/2024,5.10,100,5.10,5.10,5.10,0,0,0
21/11/2024,5,100,5,5,5,0,0,0
20/11/2024,5,"3,800",5,5,5,0,0,0
19/11/2024,5.30,0,5.30,5.30,5.30,0,0,0
18/11/2024,5.30,0,5.30,5.30,5.30,0,0,0
15/11/2024,5.30,100,5.30,5.30,5.30,0,0,0
14/11/2024,5.20,500,5.20,5.20,5.20,0,0,0
13/11/2024,5.10,0,5.10,5.10,5.10,0,0,0
12/11/2024,5.10,"6,100",5.10,5.10,5,0,0,0
11/11/2024,5.10,500,5.10,5.10,5.10,0,0,0
08/11/2024,5.10,0,5.10,5.10,5.10,0,0,0
07/11/2024,5.10,0,5.10,5.10,5.10,0,0,0
06/11/2024,5.10,"1,700",5.10,5.10,5.10,0,0,0
05/11/2024,5.10,"5,210",5.10,5.10,5.10,0,0,0
04/11/2024,5.10,"9,600",5.10,5.10,5.10,"7,100",0,0.0
01/11/2024,5.10,"3,200",5.10,5.10,5,0,0,0
31/10/2024,5,0,5,5,5,0,0,0
30/10/2024,5.40,"10,201",5.10,5.40,5,0,0,0
29/10/2024,5.50,"5,800",5.10,5.50,5,0,0,0
28/10/2024,5.50,"19,600",5.40,5.50,5,0,0,0
25/10/2024,5.50,800,5.50,5.50,5.50,0,0,0
24/10/2024,6.10,900,5.50,6.10,5.50,0,0,0
23/10/2024,5.40,"2,000",5.50,5.50,5.40,0,0,0
22/10/2024,6.10,"1,200",5.50,6.10,5.50,0,0,0
21/10/2024,5.50,"1,000",5.50,5.50,5.50,0,0,0
18/10/2024,6,200,5.90,6,5.90,0,0,0
17/10/2024,5.80,"8,537",5.50,5.90,5.50,0,0,0
16/10/2024,6.20,0,6.20,6.20,6.20,0,0,0
15/10/2024,6.20,100,6.20,6.20,6.20,0,0,0
14/10/2024,6.10,0,6.10,6.10,6.10,0,0,0
11/10/2024,6.10,37,6.10,6.10,6.10,0,0,0
10/10/2024,6.10,"22,308",5.50,6.50,5.50,0,"12,400",-0.1
09/10/2024,5.90,0,5.90,5.90,5.90,0,0,0
08/10/2024,5.90,0,5.90,5.90,5.90,0,0,0
07/10/2024,5.90,0,5.90,5.90,5.90,0,0,0
04/10/2024,5.90,0,5.90,5.90,5.90,0,0,0
03/10/2024,6,600,5.70,6,5.70,0,0,0
02/10/2024,5.80,0,5.80,5.80,5.80,0,0,0
01/10/2024,6.10,"15,800",5.70,6.10,5.70,0,0,0
30/09/2024,6.30,"2,000",6,6.30,6,0,0,0
27/09/2024,6,"8,400",5.60,6,5.60,0,0,0
26/09/2024,5.30,200,5.30,5.30,5.30,0,0,0
25/09/2024,5.80,100,5.80,5.80,5.80,0,0,0
24/09/2024,5.80,"5,000",5.40,5.80,5.30,0,0,0
23/09/2024,5.20,300,5.20,5.20,5.20,0,0,0
20/09/2024,5.20,600,5.20,5.20,5.20,0,0,0
19/09/2024,5.20,"2,800",5.30,5.30,5.20,0,0,0
18/09/2024,5.30,"2,100",5.70,5.70,5.30,0,0,0
