Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,20.90,100,20.90,20.90,20.90,0,0,0
20/03/2025,20.95,"1,600",20.10,20.95,19.60,0,0,0
19/03/2025,21,0,21,21,21,0,0,0
18/03/2025,21,"1,900",20.80,21,20.80,0,0,0
17/03/2025,20.80,600,19.60,20.80,19.60,0,0,0
14/03/2025,20.65,500,19.35,20.65,19.35,0,0,0
13/03/2025,20.80,0,20.80,20.80,20.80,0,0,0
12/03/2025,20.80,0,20.80,20.80,20.80,0,0,0
11/03/2025,20.80,700,20.80,20.80,20.60,0,0,0
10/03/2025,20,"1,700",19.60,20.40,19.60,0,100,-0.0
07/03/2025,19.60,"2,300",19.40,19.60,19.40,0,0,0
06/03/2025,19.50,700,18.05,19.50,18.05,0,0,0
05/03/2025,18.70,"1,200",18.60,18.80,18.60,100,0,0.0
04/03/2025,19.50,0,19.50,19.50,19.50,0,0,0
03/03/2025,19.50,700,19.50,19.50,18.50,0,0,0
28/02/2025,19,"1,100",19,19,19,0,0,0
27/02/2025,18.70,200,19.90,19.90,18.70,0,50,-0.0
26/02/2025,19,"2,800",19,19,19,0,0,0
25/02/2025,19,"4,300",19,19.30,19,0,0,0
24/02/2025,19,"1,100",19,19,18.95,900,0,0.0
21/02/2025,18.40,600,18.40,18.40,18.40,0,0,0
20/02/2025,18.75,400,18.75,18.75,18.75,0,0,0
19/02/2025,18.50,"3,700",18.60,18.60,18.50,200,0,0.0
18/02/2025,18.50,"1,000",18.90,18.90,18.50,800,0,0.0
17/02/2025,18.30,600,18.05,18.30,18.05,0,0,0
14/02/2025,18.20,"1,700",18.30,18.30,18.20,0,0,0
13/02/2025,18.05,100,18.05,18.05,18.05,0,0,0
12/02/2025,18.10,"5,000",18.60,18.90,18.10,200,0,0.0
11/02/2025,18.10,"2,900",18.20,19,18.10,300,0,0.0
10/02/2025,18.10,"4,300",18.30,18.30,18.05,0,0,0
07/02/2025,18.25,500,18.15,18.25,18.10,0,0,0
06/02/2025,17.90,400,19,19,17.90,0,0,0
05/02/2025,19,0,19,19,19,0,0,0
04/02/2025,19,0,19,19,19,0,0,0
03/02/2025,19,100,19,19,19,0,0,0
24/01/2025,19,100,19,19,19,0,0,0
23/01/2025,19,0,19,19,19,0,0,0
22/01/2025,19,0,19,19,19,0,0,0
21/01/2025,19,"1,100",17.90,19,17.90,400,0,0.0
20/01/2025,18,100,18,18,18,0,0,0
17/01/2025,19,"1,600",18.85,19,18.85,0,0,0
16/01/2025,18.90,0,18.90,18.90,18.90,0,0,0
15/01/2025,18.90,0,18.90,18.90,18.90,0,0,0
14/01/2025,18.90,100,18.90,18.90,18.90,0,0,0
13/01/2025,18.90,100,18.90,18.90,18.90,0,0,0
10/01/2025,18.50,700,18.50,18.50,18.50,0,0,0
09/01/2025,18.50,0,18.50,18.50,18.50,0,0,0
08/01/2025,18.50,400,19.25,19.25,18.50,0,0,0
07/01/2025,18.10,"2,200",18.10,18.10,18.10,0,0,0
06/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
03/01/2025,18.80,"1,700",18.80,18.80,18.80,0,0,0
02/01/2025,19.30,0,19.30,19.30,19.30,0,0,0
31/12/2024,19.30,"2,600",19.30,19.30,19.30,0,0,0
30/12/2024,19.30,800,19.20,19.30,19.20,0,0,0
27/12/2024,19.25,600,19.30,19.30,19.25,0,0,0
26/12/2024,19.35,100,19.35,19.35,19.35,0,0,0
25/12/2024,19.50,0,19.50,19.50,19.50,0,0,0
24/12/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
24/12/2024,18.50,0,18.50,18.50,18.50,0,0,0
23/12/2024,18.50,"3,500",19.16,19.40,18.12,0,500,-0.0
20/12/2024,19.16,"2,800",18.97,19.16,18.97,0,600,-0.0
19/12/2024,19.40,"2,300",18.50,19.54,18.50,0,0,0
18/12/2024,18.83,500,18.88,18.88,18.83,0,0,0
17/12/2024,18.88,"1,800",18.97,18.97,18.78,0,0,0
16/12/2024,19.35,"8,100",19.21,19.59,19.21,0,500,-0.0
13/12/2024,18.31,"7,500",18.22,18.31,18.22,0,0,0
12/12/2024,18.31,"2,300",18.59,18.59,18.31,0,0,0
11/12/2024,19.31,600,19.16,19.31,19.02,0,500,-0.0
10/12/2024,19.31,"13,300",17.60,19.31,17.50,0,100,-0.0
09/12/2024,18.78,0,18.78,18.78,18.78,0,0,0
