Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,22,"2,300",22,22.10,21.70,0,0,0
20/03/2025,22.05,"8,100",22.10,22.50,22,0,0,0
19/03/2025,22.30,"16,900",22.55,23,22.30,"1,000",0,0.0
18/03/2025,22.55,"18,200",22.95,22.95,22.05,0,300,-0.0
17/03/2025,22.95,"102,800",21.90,23,21.90,0,0,0
14/03/2025,21.75,"2,400",21.50,21.75,21.50,0,0,0
13/03/2025,21.60,"7,200",21.95,22.20,21.60,"1,100",0,0.0
12/03/2025,21.95,"11,900",22.40,22.40,21.80,0,0,0
11/03/2025,21.90,"4,000",21.95,21.95,21.90,0,0,0
10/03/2025,22,"7,800",21.90,22.40,21.80,0,0,0
07/03/2025,21.95,"10,400",22.40,22.40,21.90,0,0,0
06/03/2025,22.30,"5,300",22.45,22.45,21.80,0,0,0
05/03/2025,21.80,"8,200",22,22,21.80,0,0,0
04/03/2025,22,"74,200",22.20,22.50,21.80,0,0,0
03/03/2025,21.90,"24,800",22,22.50,21.90,0,0,0
28/02/2025,22,"102,700",21.70,22.80,21.60,0,0,0
27/02/2025,21.90,"33,200",21.55,21.95,21.50,"1,100","1,200",-0.0
26/02/2025,21.70,"27,100",21.80,22.10,21.70,200,0,0.0
25/02/2025,22.20,"15,300",22.20,22.30,21.75,0,0,0
24/02/2025,22.20,"7,900",22.10,22.20,21.75,0,0,0
21/02/2025,22.15,"3,300",22.15,22.15,21.95,0,0,0
20/02/2025,22.15,"39,800",21.85,22.15,21.85,0,"2,800",-0.1
19/02/2025,21.85,"117,400",22,22.05,21.80,0,0,0
18/02/2025,21.80,"17,900",21.70,22,21.65,0,0,0
17/02/2025,21.70,"21,800",21.30,21.80,21.30,0,0,0
14/02/2025,21.70,"13,700",21.70,21.75,21.30,100,0,0.0
13/02/2025,21.90,"10,400",21.65,21.90,21.30,0,0,0
12/02/2025,21.65,"10,800",21.50,22,21.40,0,100,0
11/02/2025,21.50,"8,100",21.80,21.95,21.35,0,0,0
10/02/2025,21.80,"9,000",21.25,22.20,21.25,500,0,0.0
07/02/2025,22.15,"47,300",21.75,22.50,21.70,400,500,-0.0
06/02/2025,21.25,"6,400",21.50,21.80,21.25,0,0,0
05/02/2025,21.55,"8,900",21.80,22,21.50,0,400,-0.0
04/02/2025,21.80,"45,600",21.10,22.10,21.10,200,0,0.0
03/02/2025,22.50,"26,000",21.60,22.50,21.60,0,0,0
24/01/2025,21.95,"13,300",21.95,21.95,21.45,0,0,0
23/01/2025,21.95,"21,100",21.35,22.10,21.35,0,0,0
22/01/2025,21.85,"9,600",21.50,22.10,21.40,0,0,0
21/01/2025,21.50,"5,600",21.70,22.35,21.30,0,0,0
20/01/2025,21.70,"4,900",22.10,23,21.65,0,0,0
17/01/2025,22,"16,000",21.45,22.10,21.35,0,400,-0.0
16/01/2025,21.95,"10,100",21.15,22,21.15,400,0,0.0
15/01/2025,21.80,"10,000",21,22.50,20.80,0,100,-0.0
14/01/2025,21.80,100,21.80,21.80,21.80,0,0,0
13/01/2025,21.75,"19,100",20.30,21.80,20.30,0,0,0
10/01/2025,21,"8,000",21.15,22.25,21,200,100,0.0
09/01/2025,21.50,"10,100",21.55,22.20,21.45,0,300,-0.0
08/01/2025,22.20,"18,400",20.85,22.45,20.85,0,"2,100",-0.0
07/01/2025,21.80,"83,100",20.70,21.80,20.30,0,"26,500",-0.6
06/01/2025,20.70,"5,700",22.40,22.40,20.70,0,0,0
03/01/2025,21.85,"4,400",21.90,21.90,21.85,0,0,0
02/01/2025,22.30,"3,600",21.90,22.60,21.90,0,0,0
31/12/2024,22.60,"21,600",21.85,22.60,21.35,"2,400",0,0.1
30/12/2024,22.15,"8,200",22.30,22.60,22.15,0,900,-0.0
27/12/2024,23,"21,100",22,23.20,22,300,800,-0.0
