Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.80,"1,500",12.60,12.80,12.60,0,0,0
20/03/2025,12.90,"14,400",12.90,12.90,12.60,0,0,0
19/03/2025,13,"27,900",13.30,13.30,12.60,0,0,0
18/03/2025,13,"5,500",13.50,13.50,12.70,0,0,0
17/03/2025,12.80,"12,300",13,13,12.50,0,0,0
14/03/2025,12.90,"10,700",13.20,13.20,12.90,"3,600",0,0.0
13/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  11%,,,,,,,,
13/03/2025,13,"24,000",13.70,13.70,13,300,0,0.0
12/03/2025,13.80,"54,400",14.17,14.63,13.24,"3,300",0,0.0
11/03/2025,13.71,"64,400",14.82,14.82,13.52,0,0,0
10/03/2025,14.17,"34,500",14.73,14.73,13.61,0,0,0
07/03/2025,14.73,"100,300",14.36,15.00,13.99,"1,000","4,000",-0.0
06/03/2025,13.89,"37,900",12.69,14.45,12.60,0,0,0
05/03/2025,12.60,"11,900",12.60,12.78,12.60,0,0,0
04/03/2025,12.50,"9,700",12.41,12.60,12.41,0,0,0
03/03/2025,12.41,"26,500",12.41,12.50,12.32,0,0,0
28/02/2025,12.32,"18,300",12.23,12.32,12.23,0,0,0
27/02/2025,12.13,"23,100",12.50,12.50,12.13,0,0,0
26/02/2025,12.23,"22,700",12.23,12.23,12.13,0,0,0
25/02/2025,12.13,"23,700",12.13,12.32,12.04,"1,200",0,0.0
24/02/2025,12.13,"20,100",12.23,12.41,12.04,0,0,0
21/02/2025,12.32,"3,300",12.41,12.60,12.32,0,0,0
20/02/2025,12.41,"8,500",12.41,12.50,12.41,"5,000",0,0.1
19/02/2025,12.78,"3,800",12.41,12.78,12.41,0,0,0
18/02/2025,12.32,"4,500",12.41,12.41,12.32,0,0,0
17/02/2025,12.41,"1,200",12.32,12.41,12.32,0,0,0
14/02/2025,12.41,100,12.41,12.41,12.41,0,0,0
13/02/2025,12.50,"1,800",12.32,12.50,12.32,0,0,0
12/02/2025,12.23,"1,071",12.32,12.32,12.23,0,0,0
11/02/2025,12.13,"3,769",12.04,12.50,12.04,0,0,0
10/02/2025,12.50,"2,900",11.95,12.50,11.95,0,0,0
07/02/2025,12.04,"12,200",12.23,12.23,11.95,"3,000",0,0.0
06/02/2025,12.04,0,12.04,12.04,12.04,0,0,0
05/02/2025,12.04,"5,700",11.95,12.04,11.95,0,0,0
04/02/2025,11.86,200,11.86,11.86,11.86,0,0,0
03/02/2025,11.86,"4,400",11.86,11.86,11.76,0,0,0
24/01/2025,11.86,"1,000",11.67,11.86,11.67,0,0,0
23/01/2025,11.76,500,11.76,11.76,11.76,0,0,0
22/01/2025,11.58,"3,500",11.76,11.76,11.58,0,0,0
21/01/2025,11.76,"1,200",11.76,11.76,11.76,0,0,0
20/01/2025,11.76,"19,200",11.58,11.86,11.11,0,"1,800",-0.0
17/01/2025,11.86,0,11.86,11.86,11.86,0,0,0
16/01/2025,11.86,900,11.86,11.86,11.86,0,0,0
15/01/2025,11.86,"4,200",11.76,11.86,11.67,0,0,0
14/01/2025,11.67,0,11.67,11.67,11.67,0,0,0
13/01/2025,11.67,0,11.67,11.67,11.67,0,0,0
10/01/2025,11.67,"1,100",11.67,11.67,11.67,0,0,0
09/01/2025,11.58,"1,200",11.67,11.67,11.58,0,0,0
08/01/2025,11.67,"2,700",11.58,11.67,11.58,0,0,0
07/01/2025,11.58,"11,600",11.58,11.58,11.58,0,0,0
06/01/2025,11.58,"1,100",11.58,11.67,11.58,0,0,0
03/01/2025,11.67,"4,700",11.67,11.67,11.58,0,0,0
02/01/2025,11.76,"1,100",11.67,11.76,11.67,0,0,0
31/12/2024,11.76,"4,000",11.58,11.76,11.58,0,0,0
30/12/2024,11.67,"15,500",11.58,11.67,11.58,0,0,0
27/12/2024,11.67,"6,905",11.48,11.67,11.39,0,0,0
26/12/2024,11.58,"6,000",11.58,11.58,11.58,0,0,0
25/12/2024,11.58,"7,600",11.48,11.58,11.48,0,0,0
24/12/2024,11.48,"2,100",11.30,11.48,11.30,0,0,0
23/12/2024,11.48,"7,500",11.30,11.48,11.30,0,0,0
20/12/2024,11.30,558,11.30,11.30,11.30,0,0,0
19/12/2024,11.30,526,11.21,11.30,11.21,0,0,0
18/12/2024,11.30,"2,100",11.39,11.39,11.30,0,0,0
17/12/2024,11.39,"7,600",11.30,11.39,11.21,0,0,0
16/12/2024,11.30,"4,320",11.30,11.30,10.93,0,0,0
13/12/2024,11.30,"3,600",11.39,11.39,11.30,0,0,0
12/12/2024,11.39,"7,300",11.30,11.39,11.30,0,0,0
11/12/2024,11.39,"8,800",11.30,11.39,11.21,0,0,0
10/12/2024,11.39,700,11.39,11.39,11.30,0,0,0
09/12/2024,11.39,"4,400",11.39,11.39,11.30,0,0,0
06/12/2024,11.39,"3,300",11.39,11.39,11.39,0,0,0
05/12/2024,11.30,900,11.21,11.30,11.21,0,200,-0.0
04/12/2024,11.39,"10,800",11.39,11.39,11.39,0,0,0
03/12/2024,11.39,"10,100",11.39,11.39,11.39,0,0,0
02/12/2024,11.39,"7,400",11.39,11.39,11.39,0,0,0
29/11/2024,11.39,"11,700",11.11,11.39,11.11,0,0,0
28/11/2024,11.30,"2,700",11.21,11.30,11.21,0,0,0
27/11/2024,11.21,200,11.21,11.21,11.21,0,0,0
26/11/2024,11.11,0,11.11,11.11,11.11,0,0,0
25/11/2024,11.11,200,11.11,11.11,11.11,0,0,0
22/11/2024,11.21,200,11.21,11.21,11.21,0,0,0
21/11/2024,11.11,"7,400",11.11,11.21,11.11,0,0,0
20/11/2024,11.11,"6,200",11.21,11.21,11.11,0,0,0
19/11/2024,11.21,"2,800",11.21,11.21,11.11,0,0,0
18/11/2024,11.21,"1,100",11.30,11.30,11.21,0,0,0
15/11/2024,11.21,"16,200",11.21,11.30,10.93,0,0,0
14/11/2024,11.30,"1,401",11.30,11.30,11.30,0,0,0
13/11/2024,11.30,"17,500",11.30,11.30,11.21,0,0,0
12/11/2024,11.30,"7,200",11.30,11.30,11.30,0,0,0
11/11/2024,11.30,"4,600",11.30,11.30,11.30,0,0,0
08/11/2024,11.30,"2,400",11.30,11.30,11.30,0,0,0
07/11/2024,11.30,"5,700",11.30,11.30,11.21,0,0,0
06/11/2024,11.30,1,11.30,11.30,11.30,0,0,0
05/11/2024,11.30,0,11.30,11.30,11.30,0,0,0
04/11/2024,11.30,501,11.30,11.30,11.30,0,0,0
01/11/2024,11.30,0,11.30,11.30,11.30,0,0,0
31/10/2024,11.30,"1,300",11.30,11.30,11.30,0,0,0
30/10/2024,11.30,"3,200",11.39,11.39,11.30,0,0,0
