Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.10,"10,200",8,8.10,8,0,0,0
20/03/2025,8.10,"17,600",8,8.10,8,0,0,0
19/03/2025,8,"9,000",8,8.40,8,0,0,0
18/03/2025,8.10,"4,200",8.10,8.10,7.90,0,0,0
17/03/2025,8.10,"2,000",8.10,8.10,8.10,0,0,0
14/03/2025,8.30,"13,400",8.20,8.40,8,0,0,0
13/03/2025,8,"10,300",8.10,8.10,8,0,0,0
12/03/2025,8,"4,700",8.20,8.20,8,0,"1,000",-0.0
11/03/2025,8,"14,100",8,8.10,8,0,0,0
10/03/2025,8,"1,800",8.20,8.20,8,0,0,0
07/03/2025,8.20,"17,400",8.30,8.30,7.90,"1,000",0,0.0
06/03/2025,8.30,"39,500",8.20,8.30,7.80,0,0,0
05/03/2025,8.20,"25,900",8.30,8.60,8.20,"1,200",0,0.0
04/03/2025,8.40,"15,700",8.70,8.70,8.40,0,0,0
03/03/2025,8.50,"13,200",8.40,8.70,8.40,0,0,0
28/02/2025,8.90,"30,300",8.80,8.90,8.50,0,0,0
27/02/2025,8.60,"16,300",8.50,9,8.50,0,0,0
26/02/2025,8.80,"11,800",8.40,8.80,8.30,0,0,0
25/02/2025,8.70,"6,900",8.70,8.80,8.50,0,0,0
24/02/2025,8.70,"21,300",9.10,9.10,8.50,0,0,0
21/02/2025,9.20,"14,500",9.30,9.40,8.80,0,0,0
20/02/2025,9,"53,300",8.50,9.20,8.40,0,"2,000",-0.0
19/02/2025,8.50,"12,500",8.30,8.50,8.20,0,500,-0.0
18/02/2025,8.20,"13,000",8.10,8.40,8,0,500,-0.0
17/02/2025,8.20,"8,000",8.10,8.30,8,0,"2,000",-0.0
14/02/2025,8.10,"11,700",8.10,8.50,8,0,0,0
13/02/2025,8.30,"4,000",8.10,8.30,8.10,0,0,0
12/02/2025,8.30,"8,400",8.60,8.60,8.10,0,0,0
11/02/2025,8.40,"4,510",8.40,8.40,8.10,0,0,0
10/02/2025,8.60,"33,600",10,10,8.20,0,0,0
07/02/2025,9.40,"98,103",9,9.50,9,0,500,-0.0
06/02/2025,8.60,"55,737",7.50,8.60,7.50,500,0,0.0
05/02/2025,7.40,"3,501",7.50,7.50,7.40,"1,000",0,0.0
04/02/2025,7.40,"7,803",7.30,7.50,7.30,"1,000",0,0.0
03/02/2025,7.30,"5,100",7.30,7.40,7.20,0,0,0
24/01/2025,7.30,"12,800",7.30,7.30,7.10,0,0,0
23/01/2025,7.20,"6,225",6.90,7.30,6.80,0,0,0
22/01/2025,6.90,"16,500",7.30,7.30,6.80,0,0,0
21/01/2025,7.20,"3,100",7,7.20,7,0,0,0
20/01/2025,7,"9,800",7.10,7.30,7,0,0,0
17/01/2025,7.20,"1,700",7.20,7.20,7.20,0,0,0
16/01/2025,7.20,"5,000",7.20,7.20,7.20,0,0,0
15/01/2025,7.10,"2,600",7.50,7.50,7.10,0,0,0
14/01/2025,7.20,"4,708",7.60,7.60,7.20,0,0,0
13/01/2025,7.10,"6,300",7.40,7.40,7.10,0,0,0
10/01/2025,7.50,"12,100",7.70,7.70,7.50,"1,400",0,0.0
09/01/2025,7.60,"2,200",7.50,7.90,7.50,0,0,0
08/01/2025,7.60,"4,800",7.50,7.80,7.50,0,0,0
07/01/2025,7.50,"16,600",7.50,7.50,7.40,0,0,0
06/01/2025,7.50,"16,900",7.50,7.60,7.40,0,0,0
03/01/2025,7.50,"13,600",7.60,7.60,7.50,0,0,0
02/01/2025,7.60,"30,600",7.70,7.70,7.50,0,0,0
31/12/2024,7.60,"10,972",7.70,7.70,7.60,0,0,0
30/12/2024,7.60,"19,215",7.70,7.80,7.50,0,0,0
27/12/2024,7.70,"4,501",7.70,7.70,7.50,0,0,0
26/12/2024,7.60,"14,812",7.60,7.70,7.50,0,0,0
25/12/2024,7.70,"11,117",7.70,7.80,7.70,0,0,0
24/12/2024,7.80,"4,100",7.80,7.80,7.80,0,0,0
23/12/2024,7.90,"3,500",7.80,7.90,7.80,0,0,0
20/12/2024,7.90,"11,100",7.80,7.90,7.70,0,0,0
19/12/2024,7.80,"7,900",7.60,7.90,7.60,0,0,0
18/12/2024,7.90,"5,300",7.90,7.90,7.70,0,0,0
17/12/2024,7.90,"7,500",8.20,8.20,7.50,0,0,0
16/12/2024,8,"4,200",8.10,8.10,7.90,0,0,0
13/12/2024,8,"4,500",8,8,7.70,0,0,0
12/12/2024,8.10,"1,901",8.20,8.20,8.10,0,0,0
11/12/2024,8.10,"103,500",8.20,8.20,7.80,0,0,0
10/12/2024,8.30,"1,704",8.30,8.40,8.30,0,0,0
09/12/2024,8.30,"9,600",8.40,8.40,8.10,0,0,0
06/12/2024,8.40,"26,200",8.60,8.60,8,0,0,0
05/12/2024,8.20,"10,230",8.40,8.40,8.10,0,0,0
04/12/2024,8.40,"10,702",8.30,8.40,8.20,0,0,0
03/12/2024,8.60,"3,410",8.60,8.60,8.50,0,0,0
02/12/2024,8.20,"14,458",8.50,8.70,8.20,500,0,0.0
29/11/2024,8.30,300,8.50,8.50,8.30,0,0,0
28/11/2024,8.50,"12,043",8.20,8.70,8.20,"1,000",0,0.0
27/11/2024,8.30,"9,108",8.30,8.30,8,700,0,0.0
26/11/2024,8.50,"4,639",8.50,8.50,8.20,0,0,0
25/11/2024,8.40,"7,800",8.80,8.80,8.40,0,0,0
22/11/2024,8.80,"9,800",8.40,8.80,8.40,0,0,0
21/11/2024,8.80,800,8.80,8.80,8.40,0,0,0
20/11/2024,8.80,"5,200",8.70,8.80,8.70,0,0,0
19/11/2024,8.80,400,8.40,8.90,8.30,0,0,0
18/11/2024,8.60,"21,308",8.20,9,8.10,0,0,0
15/11/2024,8.30,"2,500",8.40,8.80,7.70,0,0,0
14/11/2024,8.50,"2,612",8.90,8.90,8.50,0,0,0
13/11/2024,8.90,"4,600",9,9,8.60,0,0,0
12/11/2024,8.90,"2,200",9,9,8.60,"1,200",0,0.0
11/11/2024,8.90,"5,400",8.70,8.90,8.70,0,0,0
08/11/2024,8.80,"1,400",8.90,8.90,8.70,0,0,0
07/11/2024,8.90,"2,701",9.10,9.10,8.90,0,0,0
06/11/2024,9,"4,301",8.80,9,8.80,0,0,0
05/11/2024,9,"2,901",9.20,9.20,8.70,0,0,0
04/11/2024,9,"3,300",9.20,9.20,8.60,"1,000",0,0.0
01/11/2024,9,"4,000",9.20,9.30,9,0,0,0
31/10/2024,8.80,"8,600",9.20,9.20,8.80,0,0,0
30/10/2024,9,"2,100",9.20,9.20,8.90,0,0,0
29/10/2024,8.90,"12,000",8.80,9,8.60,600,0,0.0
28/10/2024,8.70,"3,100",9.20,9.20,8.50,"1,100",0,0.0
25/10/2024,8.70,"8,421",9.20,9.20,8.50,"1,200",0,0.0
24/10/2024,8.70,602,8.70,8.70,8.70,0,0,0
23/10/2024,9.10,"1,500",9.20,9.20,8.50,600,0,0.0
22/10/2024,8.90,"9,019",9.20,9.20,8.50,0,0,0
