Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,141.70,0,141.70,141.70,141.70,0,0,0
20/03/2025,141.70,0,141.70,141.70,141.70,0,0,0
19/03/2025,141.70,0,141.70,141.70,141.70,0,0,0
18/03/2025,141.70,"1,400",141.70,141.70,141.70,0,0,0
17/03/2025,141.70,0,141.70,141.70,141.70,0,0,0
14/03/2025,141.70,100,141.70,141.70,141.70,0,0,0
13/03/2025,123.30,500,123.30,123.30,123.30,0,0,0
12/03/2025,136,100,136,136,136,100,0,0.0
11/03/2025,136,0,136,136,136,0,0,0
10/03/2025,136,"1,400",136,136,135.90,0,0,0
07/03/2025,136,900,135.90,136,135.90,0,0,0
06/03/2025,136,0,136,136,136,0,0,0
05/03/2025,136,200,136,136,136,0,0,0
04/03/2025,136,0,136,136,136,0,0,0
03/03/2025,136,0,136,136,136,0,0,0
28/02/2025,136,100,136,136,136,0,0,0
27/02/2025,125.80,0,125.80,125.80,125.80,0,0,0
26/02/2025,126,"1,000",125.40,126,125.40,0,0,0
25/02/2025,125,0,125,125,125,0,0,0
24/02/2025,125,0,125,125,125,0,0,0
21/02/2025,125,0,125,125,125,0,0,0
20/02/2025,125,0,125,125,125,0,0,0
19/02/2025,125,200,125,125,125,0,0,0
18/02/2025,119.20,200,119.20,119.20,119.20,0,0,0
17/02/2025,128.20,0,128.20,128.20,128.20,0,0,0
14/02/2025,128.20,0,128.20,128.20,128.20,0,0,0
13/02/2025,128.20,100,128.20,128.20,128.20,0,0,0
12/02/2025,128.20,0,128.20,128.20,128.20,0,0,0
11/02/2025,129,400,126.80,129,126.80,0,0,0
10/02/2025,123,200,122.50,123,122.50,0,0,0
07/02/2025,122,100,122,122,122,0,0,0
06/02/2025,118.10,100,118.10,118.10,118.10,0,0,0
05/02/2025,118.10,0,118.10,118.10,118.10,0,0,0
04/02/2025,118.80,600,118,118.80,118,0,0,0
03/02/2025,110.20,100,110.20,110.20,110.20,0,0,0
24/01/2025,119,0,119,119,119,0,0,0
23/01/2025,119,0,119,119,119,0,0,0
22/01/2025,119,0,119,119,119,0,0,0
21/01/2025,119,0,119,119,119,0,0,0
20/01/2025,119,101,119,119,119,0,0,0
17/01/2025,117,600,115.50,117,115.50,500,0,0.1
16/01/2025,115,200,116,116,115,100,0,0.0
15/01/2025,115,"1,900",115.10,115.10,115,600,0,0.1
14/01/2025,128.90,100,128.90,128.90,128.90,0,0,0
13/01/2025,114.70,0,114.70,114.70,114.70,0,0,0
10/01/2025,114.70,"4,100",114.70,114.70,114.70,0,0,0
09/01/2025,115,"2,100",112,115,112,0,0,0
08/01/2025,113,500,101.20,113,101.20,0,0,0
07/01/2025,116.30,600,117,117,116.30,0,0,0
06/01/2025,117,100,117,117,117,0,0,0
03/01/2025,118,"1,000",118,118,118,700,0,0.1
02/01/2025,118,"32,600",118,118,118,0,0,0
31/12/2024,118,"1,200",118,118,118,0,0,0
30/12/2024,118,"28,300",118,118.10,118,"2,400",0,0.3
27/12/2024,117,400,117,117,117,0,0,0
26/12/2024,118,100,118,118,118,0,0,0
25/12/2024,117.80,"1,700",119.50,119.50,117.80,0,0,0
24/12/2024,118,"7,000",120,120,118,0,0,0
23/12/2024,118,"1,500",121,121,118,0,0,0
20/12/2024,121,600,116.10,121,116.10,0,0,0
19/12/2024,121,0,121,121,121,0,0,0
18/12/2024,121,0,121,121,121,0,0,0
17/12/2024,121,300,121,121,121,0,0,0
16/12/2024,122,600,122,122,122,0,0,0
13/12/2024,122,100,122,122,122,0,0,0
12/12/2024,122,100,122,122,122,0,0,0
11/12/2024,122,100,122,122,122,0,0,0
10/12/2024,120.90,200,120.90,120.90,120.90,0,0,0
09/12/2024,122.20,"1,200",121,122.20,121,0,0,0
06/12/2024,122.20,0,122.20,122.20,122.20,0,0,0
05/12/2024,122.20,0,122.20,122.20,122.20,0,0,0
04/12/2024,122.20,0,122.20,122.20,122.20,0,0,0
03/12/2024,120,200,150,150,120,0,0,0
02/12/2024,134,0,134,134,134,0,0,0
29/11/2024,134,0,134,134,134,0,0,0
28/11/2024,134,100,134,134,134,0,0,0
27/11/2024,120,300,120,120,120,0,0,0
26/11/2024,120,0,120,120,120,0,0,0
25/11/2024,120,"17,900",123,123,116.60,0,0,0
22/11/2024,130,0,130,130,130,0,0,0
21/11/2024,130,"4,800",130,130,130,0,0,0
20/11/2024,130,500,130,130,130,0,0,0
19/11/2024,130,0,130,130,130,0,0,0
18/11/2024,130,600,130,130,130,0,0,0
15/11/2024,129,0,129,129,129,0,0,0
14/11/2024,129,0,129,129,129,0,0,0
13/11/2024,129,0,129,129,129,0,0,0
12/11/2024,129,0,129,129,129,0,0,0
11/11/2024,129,0,129,129,129,0,0,0
08/11/2024,129,400,129,129,129,0,0,0
07/11/2024,126,0,126,126,126,0,0,0
06/11/2024,126,0,126,126,126,0,0,0
05/11/2024,126,0,126,126,126,0,0,0
04/11/2024,126,300,126,126,126,0,0,0
01/11/2024,126,0,126,126,126,0,0,0
31/10/2024,126,100,126,126,126,0,0,0
30/10/2024,120,"1,300",131,131,120,0,0,0
29/10/2024,131.90,0,131.90,131.90,131.90,0,0,0
28/10/2024,131.90,0,131.90,131.90,131.90,0,0,0
25/10/2024,131,15,131.90,131.90,131.90,0,0,0
24/10/2024,131,"1,150",132,132,131,0,0,0
23/10/2024,153.60,2,153.60,153.60,153.60,0,0,0
22/10/2024,153.60,100,153.60,153.60,153.60,0,0,0
21/10/2024,180.60,0,180.60,180.60,180.60,0,0,0
18/10/2024,180.60,0,180.60,180.60,180.60,0,0,0
17/10/2024,180.60,0,180.60,180.60,180.60,0,0,0
16/10/2024,180.60,0,180.60,180.60,180.60,0,0,0
15/10/2024,180.60,0,180.60,180.60,180.60,0,0,0
14/10/2024,180.60,0,180.60,180.60,180.60,0,0,0
