Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,16,0,16,16,16,0,0,0
20/03/2025,16,0,16,16,16,0,0,0
19/03/2025,16,0,16,16,16,0,0,0
18/03/2025,16,0,16,16,16,0,0,0
17/03/2025,16,0,16,16,16,0,0,0
14/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  5%,,,,,,,,
14/03/2025,16,100,16,16,16,0,0,0
13/03/2025,18.70,0,18.70,18.70,18.70,0,0,0
12/03/2025,18.70,100,18.70,18.70,18.70,0,0,0
11/03/2025,21.91,0,21.91,21.91,21.91,0,0,0
10/03/2025,21.91,0,21.91,21.91,21.91,0,0,0
07/03/2025,21.91,0,21.91,21.91,21.91,0,0,0
06/03/2025,21.91,0,21.91,21.91,21.91,0,0,0
05/03/2025,21.91,0,21.91,21.91,21.91,0,0,0
04/03/2025,21.91,"10,900",21.91,21.91,21.91,0,0,0
03/03/2025,20.55,0,20.55,20.55,20.55,0,0,0
28/02/2025,20.55,0,20.55,20.55,20.55,0,0,0
27/02/2025,20.55,100,20.55,20.55,20.55,0,0,0
26/02/2025,22.69,"2,400",22.69,22.69,22.69,0,0,0
25/02/2025,26.59,100,26.59,26.59,26.59,0,0,0
24/02/2025,23.28,700,23.28,23.28,23.28,0,0,0
21/02/2025,20.26,0,20.26,20.26,20.26,0,0,0
20/02/2025,20.26,"2,500",20.26,20.26,20.26,0,0,0
19/02/2025,20.06,100,20.06,20.06,20.06,0,0,0
18/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
17/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
14/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
13/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
12/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
11/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
10/02/2025,23.37,5,23.37,23.37,23.37,0,0,0
07/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
06/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
05/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
04/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
03/02/2025,23.37,0,23.37,23.37,23.37,0,0,0
24/01/2025,23.37,1,23.37,23.37,23.37,0,0,0
23/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
22/01/2025,23.37,1,23.37,23.37,23.37,0,0,0
21/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
20/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
17/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
16/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
15/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
14/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
13/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
10/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
09/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
08/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
07/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
06/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
03/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
02/01/2025,23.37,0,23.37,23.37,23.37,0,0,0
31/12/2024,23.37,"2,000",23.37,23.37,23.37,0,0,0
30/12/2024,24.93,0,24.93,24.93,24.93,0,0,0
27/12/2024,24.93,18,24.93,24.93,24.93,0,0,0
26/12/2024,24.93,100,24.93,24.93,24.93,0,0,0
25/12/2024,21.82,0,21.82,21.82,21.82,0,0,0
24/12/2024,21.82,0,21.82,21.82,21.82,0,0,0
23/12/2024,21.82,0,21.82,21.82,21.82,0,0,0
20/12/2024,21.82,0,21.82,21.82,21.82,0,0,0
19/12/2024,21.82,0,21.82,21.82,21.82,0,0,0
18/12/2024,21.82,107,21.82,21.82,21.82,0,0,0
17/12/2024,25.62,0,25.62,25.62,25.62,0,0,0
16/12/2024,25.62,0,25.62,25.62,25.62,0,0,0
13/12/2024,26.30,600,24.35,26.30,24.35,0,0,0
12/12/2024,23.37,0,23.37,23.37,23.37,0,0,0
11/12/2024,23.37,"2,000",23.37,23.37,23.37,0,0,0
10/12/2024,23.37,0,23.37,23.37,23.37,0,0,0
09/12/2024,23.37,"1,100",23.37,23.37,23.37,0,0,0
06/12/2024,23.37,0,23.37,23.37,23.37,0,0,0
05/12/2024,23.37,0,23.37,23.37,23.37,0,0,0
04/12/2024,23.37,"6,045",23.37,23.37,23.37,0,0,0
