Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,26,100,26,26,26,0,0,0
20/03/2025,26.60,"1,500",26.60,26.60,26.60,0,0,0
19/03/2025,26.50,200,26.50,26.50,26.50,0,0,0
18/03/2025,26.90,0,26.90,26.90,26.90,0,0,0
17/03/2025,26.90,"15,200",25,26.90,25,0,0,0
14/03/2025,25,200,25,25,25,0,0,0
13/03/2025,25,"1,300",25,25,24.80,200,0,0.0
12/03/2025,25,200,25,25,25,0,0,0
11/03/2025,25,"3,100",25,25,24.50,0,0,0
10/03/2025,24.60,"5,600",23.50,24.60,23.50,0,0,0
07/03/2025,24,400,23,24,23,0,0,0
06/03/2025,24,0,24,24,24,0,0,0
05/03/2025,24,100,24,24,24,0,0,0
04/03/2025,23.50,100,23.50,23.50,23.50,0,0,0
03/03/2025,24.80,"2,200",24,24.80,24,0,0,0
28/02/2025,23,"2,200",23.50,23.50,22.50,0,0,0
27/02/2025,25,"1,200",25,25,25,200,0,0.0
26/02/2025,24,200,24,24,24,0,0,0
25/02/2025,23,"46,700",24.10,24.70,23,"1,200",0,0.0
24/02/2025,22.50,200,23.20,23.20,22.50,0,0,0
21/02/2025,22.90,0,22.90,22.90,22.90,0,0,0
20/02/2025,22.90,"8,600",24,24.50,22.70,0,0,0
19/02/2025,24.20,"25,400",22.50,24.30,22.30,0,200,-0.0
18/02/2025,22.10,0,22.10,22.10,22.10,0,0,0
17/02/2025,22.10,0,22.10,22.10,22.10,0,0,0
14/02/2025,22.10,200,22,22.10,22,0,0,0
13/02/2025,22.70,"1,100",21.90,22.70,21.90,0,0,0
12/02/2025,23.50,101,23.50,23.50,23.50,0,0,0
11/02/2025,24.20,"18,302",22,24.20,21.70,0,0,0
10/02/2025,22,"3,600",20,22.30,20,"1,200",0,0.0
07/02/2025,21.60,600,21.80,21.80,21.40,0,0,0
06/02/2025,20.60,"2,000",22,22,20.60,0,0,0
05/02/2025,22.20,"3,500",22.20,22.30,22,0,0,0
04/02/2025,21.80,"27,600",20.50,22,20.50,800,0,0.0
03/02/2025,20.20,"1,700",18.80,20.20,18.50,0,0,0
24/01/2025,18.50,300,17.80,18.50,17.80,0,0,0
23/01/2025,17.70,0,17.70,17.70,17.70,0,0,0
22/01/2025,17.70,"1,000",17.70,17.70,17.60,0,0,0
21/01/2025,17.60,500,17.60,17.60,17.60,0,0,0
20/01/2025,17.50,700,17.50,17.50,17.50,0,0,0
17/01/2025,17.50,500,17.50,17.50,17.50,0,0,0
16/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
15/01/2025,17.50,1,17.50,17.50,17.50,0,0,0
14/01/2025,17.50,200,17.50,17.50,17.50,0,0,0
13/01/2025,17.50,600,17.50,17.50,17.50,0,0,0
10/01/2025,18.10,200,17.80,18.10,17.80,0,0,0
09/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
08/01/2025,17.50,300,17.50,17.50,17.50,0,0,0
07/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
06/01/2025,17.50,544,17.50,17.50,17.50,0,0,0
03/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
02/01/2025,17.50,401,17.50,17.50,17.50,100,0,0.0
31/12/2024,16.90,"1,100",18,18,16.90,0,0,0
30/12/2024,17,545,17,17,17,0,0,0
27/12/2024,16.30,100,16.30,16.30,16.30,0,0,0
26/12/2024,18,"4,300",18,18,16.70,0,"2,000",-0.0
25/12/2024,17.50,500,17.50,17.50,17.50,0,0,0
24/12/2024,17.90,0,17.90,17.90,17.90,0,0,0
23/12/2024,17.90,"1,000",17.90,17.90,17.90,0,0,0
20/12/2024,17.70,0,17.70,17.70,17.70,0,0,0
19/12/2024,17.70,0,17.70,17.70,17.70,0,0,0
18/12/2024,17.70,0,17.70,17.70,17.70,0,0,0
17/12/2024,17.70,100,17.70,17.70,17.70,0,0,0
16/12/2024,17.70,0,17.70,17.70,17.70,0,0,0
13/12/2024,17.70,"2,000",17.80,17.90,17.70,0,0,0
12/12/2024,17.80,"2,400",17.70,17.80,17.70,0,0,0
11/12/2024,16.60,"1,400",16.50,16.80,16.50,100,0,0.0
10/12/2024,17.60,"3,300",17.60,17.60,17.60,0,0,0
09/12/2024,17.10,0,17.10,17.10,17.10,0,0,0
06/12/2024,17.10,0,17.10,17.10,17.10,0,0,0
05/12/2024,17.10,"2,700",17.10,17.10,17.10,0,0,0
04/12/2024,17.50,100,17.50,17.50,17.50,0,0,0
03/12/2024,17.80,"7,300",16.90,17.80,16,100,0,0.0
02/12/2024,17,401,17,17,17,0,0,0
29/11/2024,16.70,"1,500",16.90,16.90,16.60,0,0,0
28/11/2024,16.60,"1,000",17,17,16.60,0,0,0
27/11/2024,16.50,0,16.50,16.50,16.50,0,0,0
26/11/2024,16.50,"1,100",16.50,16.50,16.50,0,0,0
25/11/2024,16.60,"1,200",16.80,16.80,16.60,0,0,0
22/11/2024,17.50,100,17.50,17.50,17.50,0,0,0
21/11/2024,16.70,"2,000",16.70,16.70,16.70,0,0,0
20/11/2024,16.60,0,16.60,16.60,16.60,0,0,0
