Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,19.70,"188,300",19.80,19.90,19.70,"40,300","71,900",0
20/03/2025,19.85,"257,500",19.85,19.95,19.60,"23,800","102,700",-1.6
19/03/2025,19.85,"300,700",20.10,20.40,19.85,0,"69,600",-1.4
18/03/2025,20.05,"658,100",19.90,20.50,19.75,"16,300","227,324",-4.3
17/03/2025,19.90,"323,300",19.55,19.95,19.55,"91,500","146,800",-1.1
14/03/2025,19.55,"468,000",19.75,19.80,19.55,"98,400","137,900",-0.8
13/03/2025,19.75,"511,600",19.95,20.15,19.75,"102,900","78,000",0.5
12/03/2025,19.95,"462,100",20.10,20.20,19.90,"4,900","77,600",-1.5
11/03/2025,20.10,"292,400",20.10,20.15,19.95,"48,100","62,400",-0.3
10/03/2025,20.15,"580,600",20.30,20.35,20,"81,200","218,800",-2.8
07/03/2025,20.20,"532,100",20.15,20.35,20.15,"151,300","223,500",-1.5
06/03/2025,20.15,"708,600",20.35,20.50,20.15,"87,900","317,300",-4.6
05/03/2025,20.30,"493,000",20.60,20.65,20.30,400,"113,700",-2.3
04/03/2025,20.60,"403,200",20.80,20.85,20.55,300,"129,500",-2.7
03/03/2025,20.75,"328,200",20.55,20.95,20.55,0,"65,900",-1.4
28/02/2025,20.70,"415,600",20.75,20.95,20.45,"14,100","96,900",-1.7
27/02/2025,20.70,"412,100",20.75,20.90,20.65,500,"51,100",-1.1
26/02/2025,20.85,"509,500",21.25,21.25,20.85,"12,000","128,100",-2.4
25/02/2025,21.25,"908,500",20.95,21.25,20.80,"128,700","8,400",2.5
24/02/2025,20.75,"348,400",20.75,20.90,20.55,"17,300","63,200",-1.0
21/02/2025,20.85,"495,000",20.70,20.85,20.60,"7,600","59,600",-1.1
20/02/2025,20.75,"482,800",21.35,21.35,20.75,"1,400","102,700",-2.1
19/02/2025,21.15,"736,100",21.20,21.35,20.80,"201,700","124,100",1.6
18/02/2025,21,"537,100",21,21,20.65,"57,100","105,500",-1.0
17/02/2025,21,"775,100",21.10,21.40,21,"178,200","66,200",2.4
14/02/2025,21.10,"595,400",21.20,21.50,21.05,"125,700","95,300",0.6
13/02/2025,21.30,"1,985,100",20,21.30,20,"240,200","133,400",2.2
12/02/2025,20,"428,100",19.80,20,19.70,"32,500","60,208",-0.6
11/02/2025,19.70,"234,900",19.55,19.75,19.50,"150,000","54,600",1.9
10/02/2025,19.55,"276,500",19.80,19.80,19.55,"2,200","59,600",-1.1
07/02/2025,19.85,"377,500",19.90,20.10,19.85,"59,700","69,400",-0.2
06/02/2025,19.90,"220,200",20,20,19.80,200,"53,300",-1.1
05/02/2025,19.95,"400,900",19.75,20.20,19.70,"11,300","61,191",-1.0
04/02/2025,19.70,"310,200",19.60,19.70,19.35,"69,500","169,600",-2.0
03/02/2025,19.60,"132,900",19.45,19.60,19.45,"8,300","52,500",-0.9
24/01/2025,19.60,"127,300",19.70,19.70,19.50,0,"5,900",-0.1
