Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,67.30,"143,100",68,68.80,67.20,"2,300","17,900",-1.1
20/03/2025,68,"555,300",66.50,68.20,65.70,"32,500","13,800",1.2
19/03/2025,66.10,"236,700",65.50,67.30,65.40,"4,000","8,000",-0.3
18/03/2025,65.80,"260,500",66.60,66.60,65.60,"35,200","5,700",2.0
17/03/2025,66.60,"498,900",65.40,66.60,64,"60,600","4,300",0
14/03/2025,65.20,"398,600",66.30,67.10,65.20,"1,800","5,400",-0.2
13/03/2025,66.30,"629,700",62.10,69,62.10,"20,500","6,900",0.9
12/03/2025,68.90,"297,300",70,70.10,68.80,"4,400","34,700",-2.1
11/03/2025,70,"889,600",67.10,70,66,"279,300","16,600",18.2
10/03/2025,67.20,"420,900",68.40,69.10,67,0,"63,400",-4.3
07/03/2025,68.40,"651,400",66.50,68.40,66.30,"194,200","19,600",11.8
06/03/2025,67,"981,200",66.30,68.80,66.30,"135,500","44,800",6.1
05/03/2025,66.30,"1,171,200",64.50,66.80,64,"220,100","24,900",12.7
04/03/2025,64.30,"284,400",63.50,64.70,63.40,"42,000","14,300",1.8
03/03/2025,63.50,"475,100",64.40,65.10,63.20,0,"45,800",-2.9
28/02/2025,64.70,"396,300",65.70,66,64.20,100,"38,500",-2.5
27/02/2025,65.90,"885,300",65,67.40,64.80,"39,800","4,900",2.3
26/02/2025,64.80,"770,800",63.50,65.70,63.50,"80,600",0,5.2
25/02/2025,63.50,"408,100",64.20,65.30,63.30,"42,700","2,300",2.6
24/02/2025,64.20,"420,200",64.50,64.50,63.10,"14,900","7,200",0.5
21/02/2025,64.50,"438,200",64,65.50,63.80,"4,100","21,100",-1.1
20/02/2025,64,"344,300",64.10,65.20,63.70,0,"17,700",-1.1
19/02/2025,64.10,"467,000",63.50,64.50,62.70,"9,600","16,500",-0.4
18/02/2025,62.90,"280,900",64.40,64.40,62.60,0,"6,300",-0.4
17/02/2025,63.80,"991,800",64,65.50,62.20,"17,600","1,400",1.0
14/02/2025,62.60,"469,500",61.30,62.60,61.30,"33,600","8,200",1.6
13/02/2025,61.20,"134,500",60.60,61.50,60.30,"6,300",400,0.4
12/02/2025,60.60,"51,442",61,61,60.60,"1,800",400,0.1
11/02/2025,61,"265,963",59.60,62,59.50,"1,700","18,000",-1.0
10/02/2025,59.70,"196,733",61,61,59.70,300,"3,900",-0.2
07/02/2025,61,"127,324",61.80,61.80,61,0,"2,700",-0.2
06/02/2025,61.80,"216,588",62.70,62.70,61,"23,300","4,500",1.2
05/02/2025,61.70,"184,363",62.40,62.40,61.10,"6,800","11,100",-0.3
04/02/2025,61.90,"224,841",60.90,62.30,60.50,"9,100","3,900",0.3
03/02/2025,60.60,"120,200",61.20,61.30,59.90,"4,100","7,300",0
24/01/2025,61,"296,794",60.80,61.80,60.70,"8,600","8,900",-0.0
23/01/2025,60.20,"163,371",59.20,60.90,59.20,0,"1,500",-0.1
22/01/2025,59.20,"164,345",60.40,60.60,59,0,"7,900",-0.5
21/01/2025,60.30,"265,998",59.90,60.80,59.30,"27,700",500,1.6
20/01/2025,58.90,"51,158",59.50,61,58.80,0,"3,100",-0.2
17/01/2025,59.30,"129,891",58.70,59.30,58.20,"7,400","4,800",0.2
16/01/2025,58.70,"173,744",58.90,60,58.40,"2,300","14,400",-0.7
15/01/2025,58.70,"105,600",58,59.20,57.80,"4,700","7,400",-0.2
14/01/2025,57.70,"112,042",58.10,58.50,57.30,"4,500",300,0.2
13/01/2025,58,"232,198",57.90,58.40,56.70,"17,800","5,000",0.7
10/01/2025,57.90,"382,817",60.10,60.40,57.90,"7,700","7,600",-0.0
09/01/2025,60.30,"131,046",61.30,61.30,60.10,0,"7,100",-0.4
08/01/2025,60.40,"132,824",60.60,61.30,60.20,"5,200",100,0.3
07/01/2025,60.60,"263,936",60.50,61.70,60.50,"1,400","5,000",-0.2
06/01/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  15%,,,,,,,,
06/01/2025,60.50,"480,315",64.70,64.70,60,"12,400","27,100",-0.9
03/01/2025,63.50,"365,254",63.89,64.48,63.21,0,"26,433",-1.7
02/01/2025,63.89,"228,717",63.01,63.89,62.62,0,"7,800",-0.5
31/12/2024,62.52,"250,878",62.33,63.70,62.23,"2,180","22,800",-1.3
30/12/2024,62.43,"250,107",62.91,63.01,62.23,200,"14,800",-0.9
27/12/2024,62.91,"327,439",63.79,63.79,62.82,0,"14,700",-1.0
26/12/2024,63.79,"256,622",63.99,64.77,63.60,300,"23,800",-1.5
25/12/2024,63.79,"835,219",65.06,65.36,63.30,"21,600","16,300",0.3
24/12/2024,65.06,"419,056",65.84,66.82,64.87,"13,200","8,700",0.3
23/12/2024,65.75,"1,225,443",62.13,66.92,62.13,"102,600","10,400",6.0
20/12/2024,61.94,"307,920",62.52,62.72,61.55,"16,200",0,1.0
19/12/2024,62.52,"724,757",62.72,63.50,61.16,"4,600","70,200",-4.2
18/12/2024,62.82,"173,090",63.40,63.50,62.72,0,"2,300",-0.1
17/12/2024,63.40,"222,954",62.82,64.09,62.62,"19,900","15,800",0.3
16/12/2024,62.91,"244,916",63.89,63.99,62.62,"9,900","7,300",0.2
13/12/2024,63.50,"238,883",64.48,64.48,63.30,"14,500","7,400",0.5
12/12/2024,64.38,"1,030,897",62.52,64.77,62.23,"85,800","5,011",5.3
11/12/2024,62.13,"292,335",62.13,63.11,61.94,"8,500","8,800",-0.0
10/12/2024,62.13,"321,005",62.03,62.91,61.74,"3,900",449,0.2
09/12/2024,62.03,"314,132",62.43,63.01,62.03,0,"6,400",-0.4
