Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,19,"1,100",19,19,19,0,0,0
20/03/2025,18.90,300,18.90,18.90,18.90,0,0,0
19/03/2025,18.90,"2,000",18.90,18.90,18.90,0,0,0
18/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
17/03/2025,18.90,300,18.90,18.90,18.90,0,0,0
14/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
13/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
12/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
11/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
10/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
07/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
06/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
05/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
04/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
03/03/2025,18.90,0,18.90,18.90,18.90,0,0,0
28/02/2025,18.90,0,18.90,18.90,18.90,0,0,0
27/02/2025,18.90,800,18.90,18.90,18.90,0,0,0
26/02/2025,18.90,0,18.90,18.90,18.90,0,0,0
25/02/2025,18.90,0,18.90,18.90,18.90,0,0,0
24/02/2025,18.90,0,18.90,18.90,18.90,0,0,0
21/02/2025,18.90,0,18.90,18.90,18.90,0,0,0
20/02/2025,18.90,100,18.90,18.90,18.90,0,0,0
19/02/2025,18.50,0,18.50,18.50,18.50,0,0,0
18/02/2025,18.50,0,18.50,18.50,18.50,0,0,0
17/02/2025,18.50,0,18.50,18.50,18.50,0,0,0
14/02/2025,18.50,"3,200",18.50,18.50,18.50,0,0,0
13/02/2025,18.50,"6,100",16,18.50,16,0,0,0
12/02/2025,18.70,0,18.70,18.70,18.70,0,0,0
11/02/2025,18.70,"3,404",18.70,18.70,18.70,0,0,0
10/02/2025,18.70,"2,000",18.70,18.70,18.70,0,0,0
07/02/2025,18.70,"2,000",18.70,18.70,18.70,0,0,0
06/02/2025,18.70,"13,200",18.70,18.70,18.70,0,0,0
05/02/2025,18.70,7,18.70,18.70,18.70,0,0,0
04/02/2025,18.70,200,18.70,18.70,18.70,0,0,0
03/02/2025,17.50,0,17.50,17.50,17.50,0,0,0
24/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
23/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
22/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
21/01/2025,17.50,100,17.50,17.50,17.50,0,0,0
20/01/2025,18.60,0,18.60,18.60,18.60,0,0,0
17/01/2025,18.60,100,18.60,18.60,18.60,0,0,0
16/01/2025,19.20,100,19.20,19.20,19.20,0,0,0
15/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
14/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
13/01/2025,18.80,9,18.80,18.80,18.80,0,0,0
10/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
09/01/2025,18.80,100,18.80,18.80,18.80,0,0,0
08/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
07/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
06/01/2025,18.70,700,18.80,18.80,18.70,0,0,0
03/01/2025,18.80,0,18.80,18.80,18.80,0,0,0
02/01/2025,18.80,200,18.80,18.80,18.80,0,0,0
31/12/2024,18,0,18,18,18,0,0,0
30/12/2024,18,0,18,18,18,0,0,0
27/12/2024,18,0,18,18,18,0,0,0
26/12/2024,18,100,18,18,18,0,0,0
25/12/2024,18.40,0,18.40,18.40,18.40,0,0,0
24/12/2024,18.40,201,18.40,18.40,18.40,0,0,0
23/12/2024,18.10,"1,500",18,18.10,18,0,0,0
20/12/2024,18,300,18,18,18,0,0,0
19/12/2024,17.90,"1,000",17.90,17.90,17.90,0,0,0
18/12/2024,18.40,0,18.40,18.40,18.40,0,0,0
17/12/2024,18.40,400,18.40,18.40,18.40,0,0,0
16/12/2024,18.40,0,18.40,18.40,18.40,0,0,0
13/12/2024,18.40,700,18.50,18.50,18.40,0,0,0
12/12/2024,18.50,0,18.50,18.50,18.50,0,0,0
11/12/2024,18.50,101,18.50,18.50,18.50,0,0,0
10/12/2024,19.80,502,19.80,19.80,19.80,0,0,0
09/12/2024,18.40,"1,000",18.30,18.40,18.30,0,0,0
06/12/2024,20.90,102,20.90,20.90,20.90,0,0,0
05/12/2024,18.30,100,18.30,18.30,18.30,0,0,0
04/12/2024,18.20,"9,508",18.40,18.40,18.20,0,0,0
03/12/2024,21.20,110,21.20,21.20,21.20,0,0,0
02/12/2024,18.50,"2,416",22.30,22.30,18.50,0,0,0
29/11/2024,19.10,"3,336",19.10,23.10,19.10,0,0,0
28/11/2024,19.70,626,19.70,26.40,19.70,0,0,0
27/11/2024,23.10,111,23.10,23.10,23.10,0,0,0
26/11/2024,20.20,119,20.20,20.20,20.20,0,0,0
25/11/2024,23.70,202,23.70,23.70,23.70,0,0,0
22/11/2024,21,600,19.10,21,19.10,0,0,0
21/11/2024,19.60,0,19.60,19.60,19.60,0,0,0
20/11/2024,19.60,105,19.60,19.60,19.60,0,0,0
19/11/2024,19.70,"2,000",18.50,19.90,18.40,0,0,0
18/11/2024,18.50,"2,800",18.50,18.50,18.50,0,0,0
15/11/2024,19,323,18.60,19,18.60,0,0,0
14/11/2024,18.50,"5,000",18.50,18.50,18.50,0,0,0
13/11/2024,19.90,600,18.50,19.90,18.50,0,0,0
12/11/2024,20.40,300,20.40,20.40,20.40,0,0,0
11/11/2024,18.50,"1,800",20.90,20.90,18.50,0,0,0
08/11/2024,19.10,50,19.70,19.70,19.70,0,0,0
07/11/2024,19.10,600,19.80,19.80,19.10,0,0,0
06/11/2024,20.90,"2,631",19,20.90,18.40,0,0,0
05/11/2024,20.70,"3,600",18.80,20.90,18.80,0,0,0
04/11/2024,18.70,"15,600",18.80,18.80,18.40,0,0,0
01/11/2024,18.80,"1,900",18.90,18.90,18.30,0,0,0
31/10/2024,18.80,"4,610",18.80,18.80,18.20,0,0,0
30/10/2024,18.50,"26,800",18.80,18.80,18,0,0,0
29/10/2024,18.20,"2,300",18,18.80,18,0,0,0
28/10/2024,18,"2,000",18,18,18,0,0,0
25/10/2024,18,"9,700",18.80,18.80,18,0,0,0
24/10/2024,18,"5,300",18,18,17.90,0,0,0
23/10/2024,18.80,"5,100",18,18.80,17.90,0,0,0
22/10/2024,18,"2,000",17.90,18,17.90,0,0,0
21/10/2024,18.50,"9,500",18,18.50,18,0,0,0
18/10/2024,18.30,0,18.30,18.30,18.30,0,0,0
17/10/2024,18.30,"5,900",18,18.30,18,0,0,0
16/10/2024,16.40,700,17.70,17.70,16.40,0,0,0
15/10/2024,17.80,"5,100",17.80,17.80,17.70,0,0,0
14/10/2024,17.70,300,18,18,17.70,0,0,0
11/10/2024,17.50,"1,800",18.80,18.80,17.50,0,0,0
10/10/2024,17,500,17,17,17,0,0,0
09/10/2024,17.90,"15,600",18.60,18.80,17.90,0,0,0
08/10/2024,18.80,"3,700",18.30,18.80,17.90,0,0,0
07/10/2024,17,"10,400",17.60,18.80,17,0,0,0
04/10/2024,17.50,0,17.50,17.50,17.50,0,0,0
03/10/2024,17.50,"1,700",17.50,17.50,17.50,0,0,0
02/10/2024,17.90,"4,800",17.80,18.40,16.50,0,100,-0.0
01/10/2024,18,"3,800",18,18,18,0,0,0
30/09/2024,18,0,18,18,18,0,0,0
27/09/2024,18,500,18,18,18,500,0,0.0
26/09/2024,18.40,101,18.40,18.40,18.40,0,"1,492,405",-31.3
25/09/2024,18.50,600,18.90,18.90,18.40,100,0,0.0
24/09/2024,18.50,"8,600",18,20,16.30,0,0,0
23/09/2024,18,"8,300",16.40,18,16,0,0,0
20/09/2024,16.20,"1,200",15,16.20,15,0,600,-0.0
19/09/2024,14.10,6,14.10,14.10,14.10,0,0,0
18/09/2024,14.10,"1,601",14.10,14.10,14.10,0,0,0
17/09/2024,15.90,400,15.90,15.90,15.90,0,0,0
16/09/2024,15,0,15,15,15,0,0,0
13/09/2024,15,0,15,15,15,0,0,0
12/09/2024,15,0,15,15,15,0,0,0
11/09/2024,15,0,15,15,15,0,0,0
10/09/2024,15,121,15,15,15,0,0,0
09/09/2024,16,700,15.80,16,15.50,0,0,0
06/09/2024,16,0,16,16,16,0,0,0
05/09/2024,16,200,16,16,16,0,0,0
04/09/2024,16,0,16,16,16,0,0,0
30/08/2024,16,0,16,16,16,0,0,0
29/08/2024,15.90,"1,000",16,16,15.90,0,0,0
28/08/2024,15.60,0,15.60,15.60,15.60,0,0,0
27/08/2024,15.60,"1,200",15.60,15.60,15.60,0,0,0
26/08/2024,16.60,0,16.60,16.60,16.60,0,0,0
23/08/2024,16.60,0,16.60,16.60,16.60,0,0,0
22/08/2024,15.80,"1,400",17.80,17.80,15.80,0,0,0
21/08/2024,16,700,16,16,16,0,0,0
20/08/2024,15.60,1,17.10,17.10,17.10,0,0,0
19/08/2024,15.60,301,17.80,17.80,15.60,0,0,0
16/08/2024,15.30,"3,500",16.90,16.90,15.30,0,0,0
15/08/2024,17.80,"3,802",19.90,19.90,17.80,0,0,0
14/08/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
14/08/2024,19.50,"3,000",17.70,19.50,17.70,0,0,0
13/08/2024,17.00,500,20.97,20.97,17.00,0,0,0
12/08/2024,18.32,500,18.32,18.32,18.32,0,0,0
09/08/2024,16.06,0,16.06,16.06,16.06,0,0,0
08/08/2024,16.06,"2,600",16.06,16.06,15.96,0,0,0
07/08/2024,16.53,41,16.53,16.53,16.53,0,0,0
06/08/2024,16.53,100,16.53,16.53,16.53,0,0,0
05/08/2024,15.58,0,15.58,15.58,15.58,0,0,0
02/08/2024,15.58,0,15.58,15.58,15.58,0,0,0
01/08/2024,15.58,"5,901",15.58,15.58,15.58,0,0,0
31/07/2024,14.92,0,14.92,14.92,14.92,0,0,0
30/07/2024,14.92,0,14.92,14.92,14.92,0,0,0
29/07/2024,14.92,0,14.92,14.92,14.92,0,0,0
26/07/2024,14.92,100,14.92,14.92,14.92,0,0,0
25/07/2024,14.92,0,14.92,14.92,14.92,0,0,0
24/07/2024,14.92,0,14.92,14.92,14.92,0,0,0
23/07/2024,14.92,100,14.92,14.92,14.92,0,0,0
22/07/2024,14.64,"2,000",14.64,14.64,14.64,0,0,0
19/07/2024,14.54,100,14.54,14.54,14.54,0,0,0
18/07/2024,14.64,0,14.64,14.64,14.64,0,0,0
17/07/2024,14.45,"1,541",15.58,15.58,14.45,0,0,0
16/07/2024,14.83,0,14.83,14.83,14.83,0,0,0
15/07/2024,14.83,0,14.83,14.83,14.83,0,0,0
12/07/2024,14.83,0,14.83,14.83,14.83,0,0,0
11/07/2024,14.73,"1,001",14.83,14.83,14.73,0,0,0
10/07/2024,15.11,0,15.11,15.11,15.11,0,0,0
