Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,44.50,"20,600",44.90,44.90,44.50,0,0,0
20/03/2025,44.80,"18,600",44.70,44.90,44.60,0,0,0
19/03/2025,44.80,"17,300",45,45,44.70,0,0,0
18/03/2025,45,"18,700",45.10,45.30,44.90,0,0,0
17/03/2025,45.20,"17,800",44.90,45.30,44.90,0,0,0
14/03/2025,45.20,"18,800",45,45.30,44.80,0,0,0
13/03/2025,44.90,"19,800",44.60,45.10,44.50,0,0,0
12/03/2025,44.80,"18,800",44.40,44.80,44.40,0,0,0
11/03/2025,44.40,"20,300",44.50,44.50,44.20,0,0,0
10/03/2025,44.30,"22,700",44.40,44.50,44.30,0,0,0
07/03/2025,44.40,"19,500",44.20,44.40,44.10,0,0,0
06/03/2025,44.30,"21,500",44,44.30,44,0,0,0
05/03/2025,44,"21,400",43.90,44.10,43.90,0,0,0
04/03/2025,44,"21,200",44.20,44.40,44,0,0,0
03/03/2025,44.30,"22,000",44.10,44.30,44.10,0,0,0
28/02/2025,44.20,"18,900",44.10,44.30,44,0,0,0
27/02/2025,44.10,"19,900",44.30,44.50,44.10,0,0,0
26/02/2025,44.40,"20,200",44.30,44.40,44.20,0,0,0
25/02/2025,44.30,"21,100",44.30,44.40,44.20,0,0,0
24/02/2025,44.40,"19,200",44.50,44.60,44.30,0,0,0
21/02/2025,44.60,"21,000",44.40,44.60,44.40,0,0,0
20/02/2025,44.40,"21,200",44.30,44.40,44.20,0,0,0
19/02/2025,44.40,"21,500",44.50,44.60,44.30,0,0,0
18/02/2025,44.50,"20,900",44.50,44.60,44.40,0,0,0
17/02/2025,44.50,"20,700",44.30,44.50,44.30,0,0,0
14/02/2025,44.40,"19,200",44.10,44.40,44.10,0,0,0
13/02/2025,44,"21,700",44.20,44.30,44,0,0,0
12/02/2025,44,"20,410",43.90,44.10,43.90,0,0,0
11/02/2025,44,"21,700",43.70,44,43.70,0,0,0
10/02/2025,43.80,"18,800",44,44.10,43.80,0,0,0
07/02/2025,44.10,"19,900",44.20,44.20,44,0,0,0
06/02/2025,44.30,"21,500",44.40,44.50,44.20,0,0,0
05/02/2025,44.40,"24,200",44.20,44.50,44.20,0,0,0
04/02/2025,44.20,"21,900",44,44.20,44,0,0,0
03/02/2025,43.90,"20,300",44,44.10,43.80,0,0,0
24/01/2025,44.20,"22,300",44.10,44.30,44.10,0,0,0
23/01/2025,44.10,"21,600",43.90,44.10,43.90,0,0,0
22/01/2025,43.80,"25,700",44,44.10,43.80,0,0,0
21/01/2025,43.90,"22,100",44,44.20,43.80,0,0,0
20/01/2025,44.10,"19,000",43.90,44.10,43.90,0,0,0
17/01/2025,43.90,"20,800",44,44.10,43.80,0,0,0
16/01/2025,44.20,"20,600",44.10,44.30,44.10,0,0,0
15/01/2025,44.20,"22,200",44,44.20,44,0,0,0
14/01/2025,43.90,"18,600",44.10,44.10,43.90,0,0,0
13/01/2025,43.90,"19,700",43.80,44,43.70,0,0,0
10/01/2025,43.80,"19,700",43.90,44.10,43.80,0,0,0
09/01/2025,43.80,"20,600",43.80,44,43.70,0,0,0
08/01/2025,43.70,"18,300",43.90,44,43.60,0,0,0
07/01/2025,44,"21,000",43.80,44.10,43.80,0,0,0
06/01/2025,43.80,"19,900",43.90,43.90,43.80,0,0,0
03/01/2025,44,"19,900",44.20,44.20,44,0,0,0
02/01/2025,44.10,"22,900",44,44.20,44,0,0,0
31/12/2024,43.90,"21,100",44,44.10,43.80,0,0,0
30/12/2024,44.10,"20,400",44.10,44.20,44,0,0,0
27/12/2024,44.20,"22,200",43.90,44.20,43.90,0,0,0
26/12/2024,44.10,"20,800",43.90,44.10,43.90,0,0,0
25/12/2024,43.90,"21,400",43.80,43.90,43.70,0,0,0
24/12/2024,43.60,"23,300",43.70,43.90,43.60,0,0,0
23/12/2024,43.70,"19,406",43.50,43.80,43.50,0,0,0
20/12/2024,43.60,"18,300",43.40,43.60,43.40,0,0,0
19/12/2024,43.50,"20,100",43.70,43.70,43.40,0,0,0
18/12/2024,43.70,"19,100",43.60,43.80,43.60,0,0,0
17/12/2024,43.80,"18,100",43.80,43.80,43.70,0,0,0
16/12/2024,43.50,"20,400",43.50,43.60,43.30,0,0,0
13/12/2024,43.30,"20,300",43.50,43.50,43.30,0,0,0
12/12/2024,43.50,"21,900",43.40,43.70,43.40,0,0,0
11/12/2024,43.40,"21,800",43.60,43.70,43.40,0,0,0
10/12/2024,43.50,"19,600",43.80,43.80,43.50,0,0,0
09/12/2024,43.60,"20,000",43.40,43.60,43.30,0,0,0
06/12/2024,43.30,"18,600",43.30,43.50,43.20,0,0,0
05/12/2024,43.40,"19,600",43.10,43.40,43.10,0,0,0
04/12/2024,43,"20,200",43.40,43.50,43,0,0,0
03/12/2024,43.60,"19,400",43.70,43.80,43.50,0,0,0
02/12/2024,43.60,"19,800",43.80,43.90,43.50,0,0,0
29/11/2024,43.80,"17,200",43.80,43.80,43.60,0,0,0
28/11/2024,43.70,"18,600",43.60,43.80,43.60,0,0,0
27/11/2024,43.80,"20,200",43.90,43.90,43.70,0,0,0
26/11/2024,43.80,"15,900",43.70,43.90,43.70,0,0,0
25/11/2024,43.80,"17,900",43.50,43.80,43.50,0,0,0
22/11/2024,43.60,"17,000",43.40,43.70,43.40,0,0,0
21/11/2024,43.50,"19,900",43.80,43.80,43.40,0,0,0
20/11/2024,43.80,"19,200",43.90,43.90,43.70,0,0,0
19/11/2024,43.80,"17,200",43.80,43.90,43.70,0,0,0
18/11/2024,43.60,"18,900",43.90,43.90,43.60,0,0,0
15/11/2024,43.90,"20,300",44,44.10,43.80,0,0,0
14/11/2024,43.90,"18,800",44.10,44.20,43.90,0,0,0
13/11/2024,44.10,"18,501",44.20,44.20,44,0,0,0
12/11/2024,44.10,"19,700",43.90,44.20,43.80,0,0,0
11/11/2024,43.80,"19,300",43.90,43.90,43.70,0,0,0
08/11/2024,43.80,"19,300",44,44.10,43.80,0,0,0
07/11/2024,44.10,"19,800",44,44.20,43.90,0,0,0
06/11/2024,43.90,"20,500",43.80,44,43.80,0,0,0
05/11/2024,43.80,"18,600",43.70,43.90,43.60,0,0,0
04/11/2024,43.80,"19,600",44,44.10,43.70,0,0,0
01/11/2024,43.90,"21,000",44,44.10,43.70,0,0,0
31/10/2024,44.10,"20,900",44,44.10,44,0,0,0
30/10/2024,43.90,"19,300",44,44.10,43.90,0,0,0
29/10/2024,44,"20,500",43.80,44.20,43.80,0,0,0
