Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,16.50,200,16.50,16.50,16.50,0,0,0
20/03/2025,17.90,"1,600",15,17.90,15,0,0,0
19/03/2025,19.60,200,15.50,19.60,15.50,0,0,0
18/03/2025,17.70,100,17.70,17.70,17.70,0,0,0
17/03/2025,17.70,"9,200",13.80,18,13.80,0,0,0
14/03/2025,17.40,"4,900",15.10,17.40,13.30,0,0,0
13/03/2025,15,"1,500",13.90,16.10,13.90,0,0,0
12/03/2025,15,200,12.90,15,12.90,0,0,0
11/03/2025,15.10,100,15.10,15.10,15.10,0,0,0
10/03/2025,15.20,200,15.40,15.40,15.20,0,0,0
07/03/2025,13.40,"2,700",13.40,13.40,13.30,0,0,0
06/03/2025,11.60,200,11.70,11.70,11.60,0,0,0
05/03/2025,14.40,200,12.50,14.40,12.50,0,0,0
04/03/2025,15.30,"1,600",14.30,15.30,13.80,0,0,0
03/03/2025,13.70,0,13.70,13.70,13.70,0,0,0
28/02/2025,12.80,800,14.50,14.50,12.80,0,0,0
27/02/2025,14.80,0,14.80,14.80,14.80,0,0,0
26/02/2025,15.80,"3,100",13.80,15.90,13.60,0,0,0
25/02/2025,18,"3,300",13.60,18.10,13.60,0,0,0
24/02/2025,17.80,"3,000",17.80,17.80,13.30,0,0,0
21/02/2025,18.20,"10,800",18.20,18.20,13.60,0,0,0
20/02/2025,19,"4,600",19,19,14.20,0,0,0
19/02/2025,18.50,"3,000",16.10,18.50,13.70,0,0,0
18/02/2025,16.60,400,16.60,16.60,15.50,0,0,0
17/02/2025,15.10,700,15.20,15.20,14.70,0,0,0
14/02/2025,14.80,"2,800",14.50,14.80,11.50,0,0,0
13/02/2025,14.40,"13,200",14.20,14.40,10.80,0,0,0
12/02/2025,12.60,"1,100",12.60,12.60,12.60,0,0,0
11/02/2025,14.10,"7,900",10.50,14.10,10.50,0,0,0
10/02/2025,11.30,"1,100",13.90,13.90,11.30,0,0,0
07/02/2025,14,200,12.30,14,12.30,0,0,0
06/02/2025,12,"1,000",12,12.30,12,0,0,0
05/02/2025,11.20,"3,200",9.80,11.20,9.80,0,0,0
04/02/2025,11,"1,600",9.50,11,9.50,0,0,0
03/02/2025,9.60,0,9.60,9.60,9.60,0,0,0
24/01/2025,9.50,"1,000",9.80,9.80,9.50,0,0,0
23/01/2025,9.30,100,9.30,9.30,9.30,0,0,0
22/01/2025,9.30,0,9.30,9.30,9.30,0,0,0
21/01/2025,9.30,700,9.30,9.30,9.30,0,0,0
20/01/2025,9.20,100,9.20,9.20,9.20,0,0,0
17/01/2025,9,0,9,9,9,0,0,0
16/01/2025,9,0,9,9,9,0,0,0
15/01/2025,9,100,9,9,9,0,0,0
14/01/2025,9.40,0,9.40,9.40,9.40,0,0,0
13/01/2025,9.50,"2,100",8.10,9.50,8.10,0,0,0
10/01/2025,9.50,"1,300",9.50,9.50,8.90,0,0,0
09/01/2025,10.40,0,10.40,10.40,10.40,0,0,0
08/01/2025,10.40,0,10.40,10.40,10.40,0,0,0
07/01/2025,10.40,0,10.40,10.40,10.40,0,0,0
06/01/2025,10.40,100,10.40,10.40,10.40,0,0,0
03/01/2025,8.20,"5,100",9.20,9.20,8.10,0,0,0
02/01/2025,8,0,8,8,8,0,0,0
31/12/2024,8,0,8,8,8,0,0,0
30/12/2024,8,0,8,8,8,0,0,0
27/12/2024,8,0,8,8,8,0,0,0
26/12/2024,8,0,8,8,8,0,0,0
25/12/2024,8,0,8,8,8,0,0,0
24/12/2024,8,"5,000",8,8,8,0,0,0
23/12/2024,9.20,"5,200",9.20,9.20,9.20,0,0,0
20/12/2024,9.20,0,9.20,9.20,9.20,0,0,0
19/12/2024,9.20,0,9.20,9.20,9.20,0,0,0
18/12/2024,9.20,0,9.20,9.20,9.20,0,0,0
17/12/2024,8.80,200,9.50,9.50,8.80,0,0,0
16/12/2024,9,600,10.80,10.80,9,0,0,0
13/12/2024,9.40,0,9.40,9.40,9.40,0,0,0
12/12/2024,9.50,"1,800",11.50,11.50,8.60,0,0,0
11/12/2024,10,100,10,10,10,0,0,0
10/12/2024,11.60,100,11.60,11.60,11.60,0,0,0
09/12/2024,10.10,100,10.10,10.10,10.10,0,0,0
06/12/2024,8.80,200,8.80,8.80,8.80,0,0,0
05/12/2024,7.70,0,7.70,7.70,7.70,0,0,0
04/12/2024,7.70,0,7.70,7.70,7.70,0,0,0
03/12/2024,7.70,0,7.70,7.70,7.70,0,0,0
02/12/2024,7.70,0,7.70,7.70,7.70,0,0,0
29/11/2024,7.70,100,7.70,7.70,7.70,0,0,0
28/11/2024,8.60,100,8.60,8.60,8.60,0,0,0
27/11/2024,9.80,0,9.80,9.80,9.80,0,0,0
26/11/2024,9.80,0,9.80,9.80,9.80,0,0,0
25/11/2024,8.40,"1,000",10,10,8.40,0,0,0
22/11/2024,8.70,100,8.70,8.70,8.70,0,0,0
21/11/2024,7.60,0,7.60,7.60,7.60,0,0,0
20/11/2024,7.60,0,7.60,7.60,7.60,0,0,0
19/11/2024,7.60,100,7.60,7.60,7.60,0,0,0
18/11/2024,8.50,100,8.50,8.50,8.50,0,0,0
15/11/2024,9.40,200,9.40,9.40,9.40,0,0,0
14/11/2024,10.90,"4,800",10.90,10.90,10.90,0,0,0
13/11/2024,11,0,11,11,11,0,0,0
12/11/2024,11,0,11,11,11,0,0,0
11/11/2024,11,0,11,11,11,0,0,0
08/11/2024,11,"1,800",10.90,11,10.90,0,0,0
07/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
06/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
05/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
04/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
01/11/2024,10.50,0,10.50,10.50,10.50,0,0,0
31/10/2024,10.50,0,10.50,10.50,10.50,0,0,0
30/10/2024,10.50,600,10.30,10.50,10.30,0,0,0
29/10/2024,9.20,100,9.20,9.20,9.20,0,0,0
28/10/2024,8,100,8,8,8,0,0,0
25/10/2024,7,100,7,7,7,0,0,0
24/10/2024,6.90,0,6.90,6.90,6.90,0,0,0
23/10/2024,6.70,"1,600",7.50,7.50,6.70,0,0,0
22/10/2024,7.80,0,7.80,7.80,7.80,0,0,0
21/10/2024,7.80,0,7.80,7.80,7.80,0,0,0
18/10/2024,7.80,0,7.80,7.80,7.80,0,0,0
17/10/2024,7.80,100,7.80,7.80,7.80,0,0,0
16/10/2024,8,100,8,8,8,0,0,0
15/10/2024,8.80,800,11.50,11.50,8.70,0,0,0
14/10/2024,10,"1,000",10,10,10,0,0,0
11/10/2024,9.60,"1,000",9.60,9.60,9.60,0,0,0
10/10/2024,12.40,700,9.50,12.40,9.50,0,0,0
09/10/2024,10.90,"11,100",9.90,10.90,9.90,0,0,0
08/10/2024,9.50,0,9.50,9.50,9.50,0,0,0
07/10/2024,9.50,"1,200",9.50,9.50,9.50,0,0,0
04/10/2024,9.50,800,9.50,9.50,9.50,0,0,0
03/10/2024,9.50,"4,100",9.50,9.50,9.50,0,0,0
02/10/2024,9.50,"2,000",9.50,9.50,9.50,0,0,0
01/10/2024,9.50,100,9.50,9.50,9.50,0,0,0
30/09/2024,9.50,0,9.50,9.50,9.50,0,0,0
27/09/2024,9.50,0,9.50,9.50,9.50,0,0,0
26/09/2024,9.50,0,9.50,9.50,9.50,0,0,0
25/09/2024,9.50,0,9.50,9.50,9.50,0,0,0
24/09/2024,9.50,0,9.50,9.50,9.50,0,0,0
23/09/2024,9.50,"2,700",9.50,9.50,9.50,0,0,0
20/09/2024,10,0,10,10,10,0,0,0
19/09/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  1.14%,,,,,,,,
19/09/2024,10,0,10,10,10,0,0,0
18/09/2024,10.69,300,10.69,10.69,10.69,0,0,0
17/09/2024,10.49,"2,100",11.87,11.87,10.49,0,0,0
16/09/2024,10.49,200,10.49,10.49,10.49,0,0,0
13/09/2024,9.20,100,9.20,9.20,9.20,0,0,0
12/09/2024,9.20,0,9.20,9.20,9.20,0,0,0
11/09/2024,9.20,0,9.20,9.20,9.20,0,0,0
10/09/2024,9.20,0,9.20,9.20,9.20,0,0,0
09/09/2024,9.20,0,9.20,9.20,9.20,0,0,0
06/09/2024,9.20,"8,400",9.20,9.20,9.20,0,0,0
05/09/2024,9.20,0,9.20,9.20,9.20,0,0,0
04/09/2024,9.20,0,9.20,9.20,9.20,0,0,0
30/08/2024,9.20,0,9.20,9.20,9.20,0,0,0
29/08/2024,9.20,"7,400",9.20,9.20,9.20,0,0,0
28/08/2024,8.01,0,8.01,8.01,8.01,0,0,0
27/08/2024,8.01,0,8.01,8.01,8.01,0,0,0
26/08/2024,8.01,0,8.01,8.01,8.01,0,0,0
23/08/2024,8.01,0,8.01,8.01,8.01,0,0,0
22/08/2024,8.01,200,8.01,8.01,8.01,0,0,0
21/08/2024,9.40,0,9.40,9.40,9.40,0,0,0
20/08/2024,9.40,0,9.40,9.40,9.40,0,0,0
19/08/2024,9.40,0,9.40,9.40,9.40,0,0,0
16/08/2024,9.70,200,9.00,9.70,9.00,0,0,0
15/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
14/08/2024,8.90,600,8.90,8.90,8.90,0,0,0
13/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
12/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
09/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
08/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
07/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
06/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
05/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
02/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
01/08/2024,8.90,0,8.90,8.90,8.90,0,0,0
31/07/2024,8.90,500,8.90,8.90,8.90,0,0,0
30/07/2024,8.90,0,8.90,8.90,8.90,0,0,0
29/07/2024,8.90,0,8.90,8.90,8.90,0,0,0
26/07/2024,8.90,0,8.90,8.90,8.90,0,0,0
25/07/2024,8.90,0,8.90,8.90,8.90,0,0,0
24/07/2024,8.90,0,8.90,8.90,8.90,0,0,0
23/07/2024,8.90,0,8.90,8.90,8.90,0,0,0
22/07/2024,8.90,100,8.90,8.90,8.90,0,0,0
19/07/2024,8.71,0,8.71,8.71,8.71,0,0,0
18/07/2024,8.71,0,8.71,8.71,8.71,0,0,0
17/07/2024,8.71,0,8.71,8.71,8.71,0,0,0
16/07/2024,8.71,0,8.71,8.71,8.71,0,0,0
15/07/2024,8.71,600,8.71,8.71,8.71,0,0,0
12/07/2024,7.62,0,7.62,7.62,7.62,0,0,0
11/07/2024,7.62,200,7.62,7.62,7.62,0,0,0
10/07/2024,8.51,100,8.51,8.51,8.51,0,0,0
09/07/2024,8.41,0,8.41,8.41,8.41,0,0,0
08/07/2024,8.41,"2,400",8.41,8.41,8.41,0,0,0
05/07/2024,9.20,0,9.20,9.20,9.20,0,0,0
04/07/2024,9.20,0,9.20,9.20,9.20,0,0,0
03/07/2024,9.20,"1,500",9.20,9.20,9.20,0,0,0
02/07/2024,9.00,"2,700",9.00,9.00,9.00,0,0,0
01/07/2024,9.00,0,9.00,9.00,9.00,0,0,0
28/06/2024,9.00,0,9.00,9.00,9.00,0,0,0
27/06/2024,9.00,100,9.00,9.00,9.00,0,0,0
26/06/2024,8.01,0,8.01,8.01,8.01,0,0,0
25/06/2024,8.01,0,8.01,8.01,8.01,0,0,0
24/06/2024,8.01,200,8.01,8.01,8.01,0,0,0
21/06/2024,8.71,800,8.71,8.71,8.71,0,0,0
20/06/2024,8.81,"2,000",8.81,8.81,8.81,0,0,0
19/06/2024,8.81,0,8.81,8.81,8.81,0,0,0
18/06/2024,8.81,0,8.81,8.81,8.81,0,0,0
17/06/2024,8.81,0,8.81,8.81,8.81,0,0,0
14/06/2024,8.81,0,8.81,8.81,8.81,0,0,0
13/06/2024,8.81,100,8.81,8.81,8.81,0,0,0
12/06/2024,8.71,"1,400",8.81,8.81,8.11,0,0,0
11/06/2024,8.81,0,8.81,8.81,8.81,0,0,0
10/06/2024,8.81,"6,900",8.81,8.81,8.81,0,0,0
07/06/2024,8.81,"2,700",8.81,8.81,8.41,0,0,0
06/06/2024,8.81,"2,800",9.89,9.89,8.81,0,0,0
05/06/2024,8.81,"3,900",8.90,8.90,7.72,0,300,-0.0
04/06/2024,8.90,"1,700",10.09,10.09,8.90,0,0,0
03/06/2024,8.90,200,8.90,8.90,8.90,0,0,0
31/05/2024,8.90,0,8.90,8.90,8.90,0,0,0
30/05/2024,8.90,400,8.90,8.90,8.90,0,0,0
29/05/2024,8.81,"1,200",8.81,8.90,8.81,0,0,0
28/05/2024,8.90,300,8.90,8.90,8.90,300,0,0.0
27/05/2024,8.90,0,8.90,8.90,8.90,0,0,0
24/05/2024,8.90,"1,300",8.81,8.90,8.81,0,0,0
23/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
22/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
21/05/2024,8.61,"3,700",8.61,8.61,8.41,0,0,0
20/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
17/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
16/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
15/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
14/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
13/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
10/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
09/05/2024,8.61,0,8.61,8.61,8.61,0,0,0
08/05/2024,8.61,200,8.61,8.61,8.61,0,0,0
07/05/2024,8.11,0,8.11,8.11,8.11,0,0,0
06/05/2024,8.11,0,8.11,8.11,8.11,0,0,0
03/05/2024,8.11,0,8.11,8.11,8.11,0,0,0
02/05/2024,8.11,0,8.11,8.11,8.11,0,0,0
26/04/2024,8.11,0,8.11,8.11,8.11,0,0,0
25/04/2024,8.11,0,8.11,8.11,8.11,0,0,0
24/04/2024,7.32,100,8.11,8.11,8.11,0,0,0
23/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
22/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
19/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
17/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
16/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
15/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
12/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
11/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
10/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
09/04/2024,7.32,600,7.32,7.32,7.32,0,0,0
08/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
05/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
04/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
03/04/2024,7.32,500,7.32,7.32,7.32,0,0,0
02/04/2024,7.32,0,7.32,7.32,7.32,0,0,0
01/04/2024,7.32,500,7.32,7.32,7.32,0,0,0
29/03/2024,7.32,0,7.32,7.32,7.32,0,0,0
28/03/2024,7.32,0,7.32,7.32,7.32,0,0,0
27/03/2024,7.32,500,7.32,7.32,7.32,0,0,0
26/03/2024,7.32,800,7.32,7.32,7.32,0,0,0
25/03/2024,7.32,600,7.32,7.32,7.32,0,0,0
22/03/2024,7.32,500,7.32,7.32,7.32,0,0,0
21/03/2024,7.32,100,7.32,7.32,7.32,0,0,0
20/03/2024,7.32,"1,400",7.32,7.42,7.32,0,0,0
19/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
18/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
15/03/2024,8.51,200,8.51,8.51,8.51,0,0,0
14/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
13/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
12/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
11/03/2024,8.51,500,8.51,8.51,8.51,0,0,0
08/03/2024,7.42,0,7.42,7.42,7.42,0,0,0
07/03/2024,7.42,0,7.42,7.42,7.42,0,0,0
06/03/2024,7.42,"4,000",7.42,7.42,7.42,0,0,0
05/03/2024,7.32,600,7.32,7.32,7.32,0,0,0
04/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
01/03/2024,8.51,0,8.51,8.51,8.51,0,0,0
29/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
28/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
27/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
26/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
23/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
22/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
21/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
20/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
19/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
16/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
15/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
07/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
06/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
05/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
02/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
01/02/2024,8.51,0,8.51,8.51,8.51,0,0,0
31/01/2024,8.51,0,8.51,8.51,8.51,0,0,0
30/01/2024,8.51,500,8.51,8.51,8.51,0,0,0
29/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
26/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
25/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
24/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
23/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
22/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
19/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
18/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
17/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
16/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
15/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
12/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
11/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
10/01/2024,7.42,0,7.42,7.42,7.42,0,0,0
