Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
20/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
19/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
18/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
17/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
14/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
13/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
12/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
11/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
10/03/2025,23.50,0,23.50,23.50,23.50,0,0,0
07/03/2025,23.50,100,23.50,23.50,23.50,0,0,0
06/03/2025,24.50,0,24.50,24.50,24.50,0,0,0
05/03/2025,24.50,100,24.50,24.50,24.50,0,0,0
04/03/2025,23,0,23,23,23,0,0,0
03/03/2025,23,0,23,23,23,0,0,0
28/02/2025,23,0,23,23,23,0,0,0
27/02/2025,23,100,23,23,23,0,0,0
26/02/2025,22.60,100,22.60,22.60,22.60,0,0,0
25/02/2025,25.30,0,25.30,25.30,25.30,0,0,0
24/02/2025,25.30,0,25.30,25.30,25.30,0,0,0
21/02/2025,25.30,700,25.30,25.30,25.30,0,0,0
20/02/2025,29.70,100,29.70,29.70,29.70,0,0,0
19/02/2025,26,0,26,26,26,0,0,0
18/02/2025,26,0,26,26,26,0,0,0
17/02/2025,26,0,26,26,26,0,0,0
14/02/2025,26,100,26,26,26,0,0,0
13/02/2025,26.60,0,26.60,26.60,26.60,0,0,0
12/02/2025,26.60,0,26.60,26.60,26.60,0,0,0
11/02/2025,26.60,0,26.60,26.60,26.60,0,0,0
10/02/2025,26.60,0,26.60,26.60,26.60,0,0,0
07/02/2025,28,967,21.70,28.50,21.70,0,0,0
06/02/2025,24.80,0,24.80,24.80,24.80,0,0,0
05/02/2025,24.80,17,24.80,24.80,24.80,0,0,0
04/02/2025,24.80,0,24.80,24.80,24.80,0,0,0
03/02/2025,24.80,0,24.80,24.80,24.80,0,0,0
24/01/2025,24.80,0,24.80,24.80,24.80,0,0,0
23/01/2025,24.80,0,24.80,24.80,24.80,0,0,0
22/01/2025,24.80,200,24.80,24.80,24.80,0,0,0
21/01/2025,22.70,0,22.70,22.70,22.70,0,0,0
20/01/2025,22.70,0,22.70,22.70,22.70,0,0,0
17/01/2025,22.70,34,22.70,22.70,22.70,0,0,0
16/01/2025,22.70,100,22.70,22.70,22.70,0,0,0
15/01/2025,21.70,30,21.70,21.70,21.70,0,0,0
14/01/2025,21.70,0,21.70,21.70,21.70,0,0,0
13/01/2025,21.70,300,21.70,21.70,21.70,0,0,0
10/01/2025,25,0,25,25,25,0,0,0
09/01/2025,25,0,25,25,25,0,0,0
08/01/2025,25,33,25,25,25,0,0,0
07/01/2025,25,0,25,25,25,0,0,0
06/01/2025,25,0,25,25,25,0,0,0
03/01/2025,25,0,25,25,25,0,0,0
02/01/2025,25,0,25,25,25,0,0,0
31/12/2024,25,"2,600",25,25,25,0,0,0
30/12/2024,25,0,25,25,25,0,0,0
27/12/2024,25,1,25,25,25,0,0,0
26/12/2024,25,0,25,25,25,0,0,0
25/12/2024,25,0,25,25,25,0,0,0
24/12/2024,25,"1,000",25,25,25,0,0,0
23/12/2024,25,0,25,25,25,0,0,0
20/12/2024,25,0,25,25,25,0,0,0
19/12/2024,25,838,25,25,25,0,0,0
18/12/2024,28.50,0,28.50,28.50,28.50,0,0,0
17/12/2024,28.50,0,28.50,28.50,28.50,0,0,0
16/12/2024,28.50,100,28.50,28.50,28.50,0,0,0
13/12/2024,26.50,1,26.50,26.50,26.50,0,0,0
12/12/2024,26.50,"7,201",26.50,26.50,26.50,0,0,0
11/12/2024,28.40,"17,036",26.50,28.40,26.50,0,0,0
10/12/2024,27.90,401,27.90,27.90,27.90,0,0,0
09/12/2024,25.90,0,25.90,25.90,25.90,0,0,0
06/12/2024,25.90,0,25.90,25.90,25.90,0,0,0
05/12/2024,25.90,1,25.90,25.90,25.90,0,0,0
04/12/2024,31,"1,000",31.50,31.50,24.50,0,0,0
03/12/2024,27.70,100,27.70,27.70,27.70,0,0,0
02/12/2024,24.50,"1,100",24.50,24.50,24.50,0,0,0
29/11/2024,26.30,0,26.30,26.30,26.30,0,0,0
28/11/2024,26.30,1,26.30,26.30,26.30,0,0,0
27/11/2024,26,"1,000",25.90,29,25.90,0,0,0
26/11/2024,30,101,30,30,30,0,0,0
25/11/2024,29,"2,434",30.20,30.20,23,0,0,0
22/11/2024,29.30,"2,500",22.90,30.30,22.90,0,0,0
21/11/2024,31.90,"1,107",26,31.90,26,0,0,0
20/11/2024,30.80,"1,729",26.30,30.80,26.30,0,0,0
19/11/2024,30.20,"1,200",30.80,31,30.20,0,0,0
18/11/2024,30.90,"1,308",31.50,31.50,27,0,0,0
15/11/2024,27.50,100,27.50,27.50,27.50,0,0,0
14/11/2024,25,"2,500",24,25,24,0,0,0
13/11/2024,24,200,24,24,24,0,0,0
12/11/2024,27.10,0,27.10,27.10,27.10,0,0,0
11/11/2024,27.10,100,27.10,27.10,27.10,0,0,0
08/11/2024,27.20,700,23.10,27.30,23.10,0,0,0
07/11/2024,28.50,2,27,27,27,0,0,0
06/11/2024,27,0,27,27,27,0,0,0
05/11/2024,28.50,3,27,27,27,0,0,0
04/11/2024,27,0,27,27,27,0,0,0
01/11/2024,28.50,7,27,27,27,0,0,0
31/10/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  15%,,,,,,,,
31/10/2024,27,0,27,27,27,0,0,0
30/10/2024,27.00,6,27.00,27.00,27.00,0,0,0
29/10/2024,27.00,20,27.00,27.00,27.00,0,0,0
28/10/2024,27.00,"1,601",26.91,27.09,26.91,0,0,0
25/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
24/10/2024,24.25,1,24.25,24.25,24.25,0,0,0
23/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
22/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
21/10/2024,24.25,30,24.25,24.25,24.25,0,0,0
18/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
17/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
16/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
15/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
14/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
11/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
10/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
09/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
08/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
07/10/2024,24.25,3,24.25,24.25,24.25,0,0,0
04/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
03/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
02/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
01/10/2024,24.25,0,24.25,24.25,24.25,0,0,0
30/09/2024,24.25,301,24.25,24.25,24.25,0,0,0
27/09/2024,24.25,0,24.25,24.25,24.25,0,0,0
26/09/2024,24.25,"2,094",24.25,24.25,24.25,0,0,0
25/09/2024,22.83,200,22.83,22.83,22.83,0,0,0
24/09/2024,22.83,0,22.83,22.83,22.83,0,0,0
23/09/2024,22.83,0,22.83,22.83,22.83,0,0,0
20/09/2024,22.83,0,22.83,22.83,22.83,0,0,0
19/09/2024,22.83,100,22.83,22.83,22.83,0,0,0
18/09/2024,19.89,100,19.89,19.89,19.89,0,0,0
17/09/2024,22.55,100,22.55,22.55,22.55,0,0,0
16/09/2024,19.71,0,19.71,19.71,19.71,0,0,0
13/09/2024,19.71,0,19.71,19.71,19.71,0,0,0
12/09/2024,19.71,0,19.71,19.71,19.71,0,0,0
11/09/2024,19.71,0,19.71,19.71,19.71,0,0,0
10/09/2024,19.71,0,19.71,19.71,19.71,0,0,0
09/09/2024,17.91,"1,500",19.89,23.31,17.24,0,0,0
06/09/2024,20.27,0,20.27,20.27,20.27,0,0,0
05/09/2024,20.27,400,20.27,20.27,20.27,0,0,0
04/09/2024,19.89,0,21.03,21.03,21.03,0,0,0
30/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
29/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
28/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
27/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
26/08/2024,19.89,0,21.03,21.03,21.03,0,0,0
23/08/2024,21.03,0,21.03,21.03,21.03,0,0,0
22/08/2024,19.89,500,19.80,25.58,19.80,0,0,0
21/08/2024,22.83,0,22.83,22.83,22.83,0,0,0
20/08/2024,22.83,500,22.83,22.83,22.83,0,0,0
19/08/2024,19.89,0,19.89,19.89,19.89,0,0,0
16/08/2024,19.89,0,19.89,19.89,19.89,0,0,0
15/08/2024,19.89,100,19.89,19.89,19.89,0,0,0
14/08/2024,23.40,0,23.40,23.40,23.40,0,0,0
13/08/2024,23.40,"6,500",23.40,23.40,23.40,0,0,0
12/08/2024,20.37,19,20.37,20.37,20.37,0,0,0
09/08/2024,20.37,1,20.37,20.37,20.37,0,0,0
08/08/2024,20.37,101,20.37,20.37,20.37,0,0,0
07/08/2024,24.06,"8,803",23.87,24.06,23.87,0,0,0
06/08/2024,20.94,100,20.94,20.94,20.94,0,0,0
05/08/2024,24.63,"5,200",24.63,24.63,24.63,0,0,0
02/08/2024,22.17,"1,000",22.17,22.17,22.17,0,0,0
01/08/2024,19.33,0,19.33,19.33,19.33,0,0,0
31/07/2024,19.33,0,19.33,19.33,19.33,0,0,0
30/07/2024,19.33,100,19.33,19.33,19.33,0,0,0
29/07/2024,23.12,"1,100",18.09,23.12,18.09,0,0,0
26/07/2024,18.76,300,18.57,23.31,18.57,0,0,0
25/07/2024,23.12,200,20.37,23.12,20.37,0,0,0
24/07/2024,23.31,6,23.02,23.02,23.02,0,0,0
23/07/2024,23.31,"1,100",19.89,23.31,19.89,0,0,0
22/07/2024,23.31,"5,000",23.31,23.31,23.31,0,0,0
19/07/2024,20.27,126,20.27,20.27,20.27,0,0,0
18/07/2024,23.78,0,23.78,23.78,23.78,0,0,0
17/07/2024,24.16,10,23.78,23.78,23.78,0,0,0
16/07/2024,23.78,0,23.78,23.78,23.78,0,0,0
15/07/2024,24.16,"1,200",23.68,24.16,23.68,0,0,0
12/07/2024,21.51,0,21.51,21.51,21.51,0,0,0
11/07/2024,21.51,0,21.51,21.51,21.51,0,0,0
10/07/2024,21.51,0,21.51,21.51,21.51,0,0,0
09/07/2024,21.51,0,21.51,21.51,21.51,0,0,0
08/07/2024,22.07,4,21.51,21.51,21.51,0,0,0
05/07/2024,22.07,16,21.51,21.51,21.51,0,0,0
04/07/2024,21.51,0,21.51,21.51,21.51,0,0,0
03/07/2024,21.51,10,21.51,21.51,21.51,0,0,0
02/07/2024,22.07,648,18.76,22.07,18.76,0,0,0
01/07/2024,21.98,0,21.98,21.98,21.98,0,0,0
28/06/2024,21.98,0,21.98,21.98,21.98,0,0,0
27/06/2024,22.36,800,18.95,22.36,18.95,0,0,0
26/06/2024,22.55,"1,101",18.95,22.55,18.95,0,0,0
25/06/2024,22.26,155,22.26,22.26,22.26,0,0,0
