Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,5.20,0,5.20,5.20,5.20,0,0,0
20/03/2025,5.30,700,5.10,5.30,5.10,0,0,0
19/03/2025,5.10,100,5.10,5.10,5.10,0,0,0
18/03/2025,5.10,"4,700",5.20,5.20,5.10,0,0,0
17/03/2025,5.30,"1,500",5.40,5.40,5.30,0,0,0
14/03/2025,5.20,"5,000",5.20,5.20,5.20,0,0,0
13/03/2025,5.40,700,5.40,5.40,5.40,0,0,0
12/03/2025,5.40,"3,600",5.40,5.50,5.40,0,0,0
11/03/2025,5.40,"6,500",5.40,5.40,5.40,0,0,0
10/03/2025,5.90,"1,000",5.90,5.90,5.90,0,0,0
07/03/2025,5.30,"5,200",6,6,5.30,0,0,0
06/03/2025,5.20,200,5.40,5.40,5.20,0,0,0
05/03/2025,5.30,"13,300",5.70,5.70,5.30,0,0,0
04/03/2025,5.40,"10,300",5.80,5.80,5.20,0,0,0
03/03/2025,5.20,"4,200",5.20,5.20,5.20,0,0,0
28/02/2025,5.10,"4,600",5,5.10,5,0,"1,000",-0.0
27/02/2025,5,100,5,5,5,0,0,0
26/02/2025,4.80,"1,800",5,5,4.80,0,0,0
25/02/2025,5,"2,000",5,5,5,0,0,0
24/02/2025,4.90,300,4.90,4.90,4.90,0,0,0
21/02/2025,4.90,"1,000",4.90,4.90,4.90,0,0,0
20/02/2025,5,"2,600",5.50,5.50,5,0,0,0
19/02/2025,4.90,100,4.90,4.90,4.90,0,0,0
18/02/2025,5.10,700,4.90,5.10,4.90,0,0,0
17/02/2025,5,"1,000",5,5,5,0,0,0
14/02/2025,5.10,600,5.20,5.20,5.10,0,0,0
13/02/2025,4.90,"1,000",5,5,4.90,0,0,0
12/02/2025,5.10,600,5.10,5.10,5.10,0,0,0
11/02/2025,5.20,0,5.20,5.20,5.20,0,0,0
10/02/2025,5.20,100,5.20,5.20,5.20,0,0,0
07/02/2025,4.90,"7,916",5.40,5.40,4.90,0,0,0
06/02/2025,4.90,0,4.90,4.90,4.90,0,0,0
05/02/2025,4.90,"1,200",4.90,4.90,4.90,0,0,0
04/02/2025,5.10,0,5.10,5.10,5.10,0,0,0
03/02/2025,5.10,900,5.20,5.20,5.10,0,0,0
24/01/2025,5,"2,100",5.10,5.20,4.90,0,0,0
23/01/2025,4.90,0,4.90,4.90,4.90,0,0,0
22/01/2025,4.90,500,4.90,4.90,4.90,0,0,0
21/01/2025,4.90,100,4.90,4.90,4.90,0,0,0
20/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
17/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
16/01/2025,5.30,0,5.30,5.30,5.30,0,0,0
15/01/2025,5.50,600,5.20,5.50,5.20,0,0,0
14/01/2025,4.90,"1,700",4.90,4.90,4.90,0,0,0
13/01/2025,5.10,0,5.10,5.10,5.10,0,0,0
10/01/2025,5.10,100,5.10,5.10,5.10,0,0,0
09/01/2025,4.80,"12,401",4.90,4.90,4.80,0,0,0
08/01/2025,4.90,"1,200",5.20,5.20,4.90,0,0,0
07/01/2025,4.90,"5,600",4.90,5,4.70,0,0,0
06/01/2025,5.30,"1,000",5.30,5.30,5.30,0,0,0
03/01/2025,5.40,0,5.40,5.40,5.40,0,0,0
02/01/2025,5.40,100,5.40,5.40,5.40,0,0,0
31/12/2024,5.20,300,5.20,5.20,5.20,0,0,0
30/12/2024,5.40,115,5.40,5.40,5.40,0,0,0
27/12/2024,5.10,"9,700",5.10,5.10,5.10,0,0,0
26/12/2024,5.30,"10,200",5.40,5.50,5.10,0,0,0
25/12/2024,5.40,100,5.40,5.40,5.40,0,0,0
24/12/2024,5.20,200,5.40,5.40,5.20,0,0,0
23/12/2024,5.20,603,5.20,5.20,5.20,0,0,0
20/12/2024,5.50,100,5.50,5.50,5.50,0,0,0
