Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,2.60,"5,900",2.50,2.60,2.50,0,0,0
20/03/2025,2.60,"82,500",2.60,2.60,2.50,0,0,0
19/03/2025,2.60,"32,300",2.60,2.70,2.50,0,0,0
18/03/2025,2.60,"463,800",2.50,2.70,2.50,0,0,0
17/03/2025,2.50,"67,900",2.40,2.50,2.30,0,0,0
14/03/2025,2.50,"22,200",2.40,2.50,2.40,0,0,0
13/03/2025,2.50,"88,500",2.50,2.50,2.40,0,0,0
12/03/2025,2.50,"87,700",2.50,2.50,2.40,0,0,0
11/03/2025,2.50,"113,100",2.50,2.50,2.50,0,0,0
10/03/2025,2.50,"149,600",2.50,2.50,2.40,0,0,0
07/03/2025,2.50,"65,900",2.50,2.50,2.40,0,0,0
06/03/2025,2.50,"154,000",2.50,2.50,2.40,0,0,0
05/03/2025,2.50,"16,500",2.50,2.50,2.30,0,0,0
04/03/2025,2.50,"49,100",2.40,2.50,2.40,0,0,0
03/03/2025,2.50,"59,400",2.50,2.50,2.40,0,0,0
28/02/2025,2.50,"240,200",2.50,2.50,2.30,0,0,0
27/02/2025,2.50,"232,600",2.50,2.50,2.40,0,0,0
26/02/2025,2.60,"165,600",2.60,2.60,2.50,0,0,0
25/02/2025,2.60,"123,000",2.60,2.70,2.50,0,0,0
24/02/2025,2.70,"247,100",2.70,2.70,2.60,0,0,0
21/02/2025,2.60,"178,100",2.60,2.70,2.60,0,0,0
20/02/2025,2.70,"295,800",2.70,2.70,2.60,0,0,0
19/02/2025,2.70,"233,100",2.60,2.80,2.60,0,0,0
18/02/2025,2.60,"110,600",2.60,2.70,2.50,0,0,0
17/02/2025,2.60,"429,700",2.60,2.60,2.50,0,0,0
14/02/2025,2.60,"149,800",2.60,2.70,2.50,0,0,0
13/02/2025,2.60,"45,600",2.60,2.60,2.50,0,0,0
12/02/2025,2.60,"67,602",2.60,2.70,2.50,0,0,0
11/02/2025,2.70,"119,900",2.60,2.70,2.50,0,0,0
10/02/2025,2.60,"598,600",2.60,2.80,2.40,0,0,0
07/02/2025,2.60,"438,201",2.60,2.70,2.50,0,0,0
06/02/2025,2.60,"318,641",2.40,2.60,2.40,0,0,0
05/02/2025,2.30,"145,100",2.40,2.50,2.30,0,0,0
04/02/2025,2.40,"454,023",2.30,2.50,2.30,0,0,0
03/02/2025,2.30,"95,300",2.10,2.30,2.10,0,0,0
24/01/2025,2.20,"233,100",2.10,2.20,2.10,0,0,0
23/01/2025,2.20,"87,903",2.20,2.30,2.10,0,0,0
22/01/2025,2.20,"16,500",2.30,2.30,2.10,0,0,0
21/01/2025,2.20,"50,200",2.10,2.30,2.10,0,0,0
20/01/2025,2.20,"135,100",2.20,2.30,2.10,0,0,0
17/01/2025,2.30,"128,000",2.30,2.30,2.10,0,0,0
16/01/2025,2.30,"341,700",2,2.40,2,0,0,0
15/01/2025,2.10,"54,724",2.10,2.10,2,0,0,0
14/01/2025,2,"25,605",2,2.10,2,0,0,0
13/01/2025,2.10,"28,815",2.10,2.10,2,0,0,0
10/01/2025,2.10,"86,001",2.10,2.20,2,0,0,0
09/01/2025,2.10,"44,000",2.10,2.10,2,0,0,0
08/01/2025,2,"14,000",2,2.10,2,0,0,0
07/01/2025,2.10,"72,345",2.10,2.20,2,0,0,0
06/01/2025,2,"14,000",2.10,2.10,2,0,0,0
03/01/2025,2.10,"83,700",2.10,2.10,2,0,0,0
02/01/2025,2.10,"97,400",2.10,2.20,2.10,0,0,0
31/12/2024,2.10,"12,100",2.10,2.20,2.10,0,0,0
30/12/2024,2.10,"35,646",2.20,2.20,2.10,0,0,0
27/12/2024,2.20,"166,901",2.20,2.30,2.20,0,0,0
26/12/2024,2.20,"45,000",2.10,2.20,2.10,0,0,0
25/12/2024,2.10,"278,600",2,2.20,2,0,0,0
24/12/2024,2,"58,200",2,2,1.90,0,0,0
23/12/2024,2,"26,303",2,2.10,2,0,0,0
20/12/2024,2,"54,309",2,2.10,2,0,0,0
19/12/2024,2,"42,700",2,2,1.90,0,0,0
18/12/2024,2,"23,403",2,2,2,0,0,0
17/12/2024,2,"21,700",2,2,2,0,0,0
16/12/2024,2,"62,303",1.90,2,1.90,0,0,0
13/12/2024,2,"150,604",2.10,2.10,2,0,0,0
12/12/2024,2,"25,701",2,2.10,2,0,0,0
11/12/2024,2,"38,700",2,2,2,0,0,0
10/12/2024,2,"43,900",2,2.10,1.90,0,0,0
09/12/2024,2,"30,600",2,2,2,0,0,0
06/12/2024,2,"63,001",2,2.10,2,0,0,0
05/12/2024,2,"46,827",2.10,2.10,2,0,0,0
04/12/2024,2,"36,100",2,2,1.90,0,0,0
03/12/2024,2,"24,900",2,2,1.90,0,0,0
02/12/2024,2,"12,300",2.10,2.10,2,0,0,0
29/11/2024,2.10,"79,000",2.10,2.10,1.90,0,0,0
28/11/2024,2,"15,000",2,2.10,2,0,0,0
27/11/2024,2.10,"30,834",2,2.10,1.90,0,0,0
26/11/2024,2,"127,700",2,2,1.90,0,0,0
25/11/2024,1.90,"50,000",2,2,1.90,0,0,0
22/11/2024,2,"67,301",2.10,2.10,2,0,0,0
21/11/2024,2.10,"62,000",2.10,2.10,2,0,0,0
20/11/2024,2,"15,000",2.10,2.10,2,0,0,0
19/11/2024,2,"113,400",2,2,1.90,0,0,0
18/11/2024,2,"67,100",2,2.10,2,0,0,0
15/11/2024,2,"36,500",2,2.10,2,0,0,0
14/11/2024,2.10,"14,100",2.10,2.10,2,0,0,0
13/11/2024,2.10,"39,512",2,2.10,2,0,0,0
12/11/2024,2.10,"41,353",2.10,2.20,2.10,0,0,0
11/11/2024,2.10,"8,700",2,2.10,2,0,0,0
08/11/2024,2.10,"13,200",2.10,2.10,2.10,0,0,0
07/11/2024,2.10,"7,801",2.10,2.20,2.10,0,0,0
06/11/2024,2.10,"37,612",2.10,2.20,2,0,0,0
05/11/2024,2.10,"80,601",2.10,2.20,2.10,0,0,0
04/11/2024,2.10,"115,200",2.10,2.10,2.10,0,0,0
01/11/2024,2.10,"77,700",2.10,2.20,2.10,0,0,0
31/10/2024,2.10,"20,300",2.10,2.20,2.10,0,0,0
30/10/2024,2.20,"53,000",2.20,2.30,2.10,0,0,0
29/10/2024,2.20,"141,408",2.20,2.20,2.20,0,0,0
28/10/2024,2.20,"69,200",2.10,2.20,2.10,0,0,0
25/10/2024,2.20,"80,800",2.20,2.20,2.10,0,0,0
24/10/2024,2.20,"29,600",2.20,2.20,2.10,0,0,0
23/10/2024,2.20,"11,700",2.20,2.20,2.10,0,0,0
22/10/2024,2.10,"4,400",2.10,2.20,2.10,0,0,0
21/10/2024,2.10,"59,175",2.10,2.20,2.10,0,0,0
18/10/2024,2.20,"42,435",2.20,2.20,2.10,0,0,0
17/10/2024,2.20,"33,300",2.20,2.30,2.20,0,0,0
16/10/2024,2.20,"10,600",2.20,2.20,2.20,0,0,0
15/10/2024,2.20,"59,500",2.20,2.30,2.10,0,0,0
14/10/2024,2.20,"132,449",2.30,2.30,2.10,0,0,0
11/10/2024,2.30,"160,403",2.40,2.40,2.20,0,0,0
10/10/2024,2.40,"74,804",2.40,2.50,2.30,0,0,0
09/10/2024,2.40,"541,726",2.20,2.50,2.10,0,0,0
08/10/2024,2.20,"12,300",2.20,2.20,2.10,0,0,0
07/10/2024,2.20,"63,500",2.20,2.20,2.10,0,0,0
04/10/2024,2.10,"32,700",2.20,2.20,2.10,0,0,0
03/10/2024,2.20,"45,234",2.20,2.20,2.10,0,0,0
02/10/2024,2.20,"75,100",2.10,2.20,2.10,0,0,0
01/10/2024,2.20,"50,000",2.20,2.20,2.20,0,0,0
30/09/2024,2.10,"58,500",2.20,2.30,2.10,0,0,0
27/09/2024,2.10,"144,003",2.20,2.30,2.10,0,0,0
26/09/2024,2.20,"50,300",2.30,2.30,2.20,0,0,0
25/09/2024,2.20,"33,002",2.30,2.30,2.20,0,0,0
24/09/2024,2.30,"136,800",2.20,2.30,2.20,0,0,0
23/09/2024,2.20,"46,001",2.20,2.20,2.10,0,0,0
20/09/2024,2.20,"182,600",2.30,2.40,2.10,0,0,0
19/09/2024,2.20,"81,500",2.30,2.30,2.20,0,0,0
18/09/2024,2.30,"278,304",2.20,2.40,2.20,0,0,0
17/09/2024,2.10,"70,701",2.10,2.10,2.10,0,0,0
16/09/2024,2.10,"45,000",2.20,2.20,2.10,0,0,0
13/09/2024,2.20,"102,800",2.10,2.20,2,0,0,0
12/09/2024,2.10,"28,801",2.10,2.10,2,0,0,0
11/09/2024,2.10,"25,900",2,2.10,2,0,0,0
10/09/2024,2.10,"65,000",2.10,2.10,2.10,0,0,0
09/09/2024,2.10,"91,900",2.10,2.20,2,0,0,0
06/09/2024,2.10,"42,100",2.20,2.20,2.10,0,0,0
05/09/2024,2.10,"25,206",2.10,2.20,2.10,0,0,0
04/09/2024,2.10,"50,403",2.20,2.20,2.10,0,0,0
30/08/2024,2.20,"78,100",2.10,2.20,2.10,0,0,0
29/08/2024,2.20,"119,001",2.30,2.30,2.20,0,0,0
28/08/2024,2.30,"60,200",2.20,2.30,2.20,0,0,0
27/08/2024,2.30,"3,900",2.30,2.30,2.20,0,0,0
26/08/2024,2.20,"58,400",2.30,2.40,2.20,0,0,0
23/08/2024,2.30,"10,300",2.30,2.30,2.20,0,0,0
22/08/2024,2.30,"183,100",2.30,2.40,2.20,0,0,0
21/08/2024,2.30,"51,000",2.30,2.30,2.30,0,0,0
20/08/2024,2.30,"62,000",2.30,2.30,2.20,0,0,0
19/08/2024,2.30,"105,913",2.30,2.30,2.30,0,0,0
