Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,14.80,"1,600",14.80,14.80,14.80,0,0,0
20/03/2025,14.80,"5,900",14.80,14.90,14.80,0,0,0
19/03/2025,14.50,"17,100",15,15,14.50,0,0,0
"18/03/2025: Quyá»n mua cá» phiáº¿u:  21/4  GiÃ¡:  10 (Volume + 19.05%, Ratio=0.19)",,,,,,,,
18/03/2025,14.90,"45,200",15,15.70,14.70,0,0,0
17/03/2025,14.45,"36,000",14.92,15.02,14.45,"4,600",0,0
14/03/2025,14.45,"21,400",14.92,15.02,14.45,0,0,0
13/03/2025,15.02,"39,500",14.55,15.11,14.55,"2,000",0,0.0
12/03/2025,14.64,"19,800",14.64,14.74,14.45,0,0,0
11/03/2025,14.74,"6,600",14.55,14.83,14.36,0,0,0
10/03/2025,14.64,"21,800",14.45,14.64,14.45,0,0,0
07/03/2025,14.45,"6,600",14.45,14.64,14.45,0,0,0
06/03/2025,14.64,"4,400",14.45,14.64,14.17,"2,500",0,0.0
05/03/2025,14.45,"12,100",14.64,14.64,14.45,0,0,0
04/03/2025,14.64,"7,700",14.92,14.92,14.64,0,0,0
03/03/2025,14.64,"1,300",14.83,14.83,14.64,0,0,0
28/02/2025,14.74,"10,500",15.02,15.02,14.55,"1,500",0,0.0
27/02/2025,15.02,"8,600",15.30,15.30,14.74,0,0,0
26/02/2025,14.74,"10,100",14.92,14.92,14.64,500,0,0.0
25/02/2025,15.02,"5,700",15.30,15.30,14.83,300,0,0.0
24/02/2025,15.02,"9,100",14.92,15.11,14.83,0,0,0
21/02/2025,14.83,"25,900",14.83,14.83,14.64,"4,200",0,0.1
20/02/2025,14.83,"22,600",14.64,14.83,14.55,"18,101",0,0.3
19/02/2025,14.45,"18,300",14.64,15.02,14.26,"6,700",0,0.1
18/02/2025,14.64,"11,600",14.36,14.83,14.26,0,0,0
17/02/2025,14.36,"24,500",14.26,14.45,14.17,0,"1,000",-0.0
14/02/2025,14.17,"14,200",14.07,14.26,13.98,0,0,0
13/02/2025,14.07,"2,500",14.26,14.26,14.07,0,0,0
12/02/2025,13.98,"3,345",14.36,14.36,13.98,0,0,0
11/02/2025,14.17,"4,320",13.98,14.17,13.89,0,0,0
10/02/2025,13.98,"10,022",14.07,14.07,13.70,500,0,0.0
07/02/2025,14.07,"7,614",14.07,14.07,13.89,0,0,0
06/02/2025,14.17,"3,046",14.07,14.26,14.07,0,0,0
05/02/2025,14.17,"4,200",14.17,14.26,14.17,0,0,0
04/02/2025,14.17,"4,815",14.17,14.26,14.17,0,0,0
03/02/2025,14.17,800,14.45,14.45,14.17,0,0,0
24/01/2025,14.26,"1,112",14.17,14.26,13.60,0,0,0
