Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,7.80,"7,900",8.30,8.50,7.80,0,"4,200",0
20/03/2025,8.20,"9,100",8.70,8.80,8.20,200,"2,000",-0.0
19/03/2025,8.90,"1,100",8.60,8.90,8.60,0,0,0
18/03/2025,8.60,"6,300",8.50,8.60,8.30,0,0,0
17/03/2025,8.50,"3,100",8.20,8.70,8.10,0,0,0
14/03/2025,8.90,"6,500",8.50,8.90,8.40,0,"2,000",-0.0
13/03/2025,8.50,"53,700",7.80,8.50,7.70,0,900,-0.0
12/03/2025,7.80,"14,000",7.50,8,7.40,0,0,0
11/03/2025,8.20,"15,500",8.20,8.40,7.60,"12,000","12,000",0
10/03/2025,8.30,"60,800",8.50,8.90,7.30,"470,900",0,3.4
07/03/2025,8.10,"5,800",8.20,8.90,8.10,"1,300",0,0.0
06/03/2025,8.90,"11,700",8.90,9,8,0,200,-0.0
05/03/2025,8.80,"9,200",9.20,9.20,7.80,"4,000",0,0.0
04/03/2025,8.60,"2,000",8.50,9,8.40,0,0,0
03/03/2025,8.50,"10,200",9,9.20,8.40,0,0,0
28/02/2025,8.40,"12,600",8.80,9,7.40,"3,400",100,0.0
27/02/2025,8.20,900,8.20,8.30,8,0,0,0
26/02/2025,8,"65,100",7.40,8,7.40,"41,800",200,0.3
25/02/2025,7.30,"2,700",8.10,8.10,7.10,0,0,0
24/02/2025,7.80,200,7.60,7.80,7.60,0,0,0
21/02/2025,7.60,"13,300",7.80,8,6.60,0,400,-0.0
20/02/2025,7.30,"49,800",6.80,7.30,6.80,0,200,-0.0
19/02/2025,6.70,"2,900",6.60,6.70,6.40,700,0,0.0
18/02/2025,6.90,0,6.90,6.90,6.90,0,0,0
17/02/2025,6.90,"7,200",6.90,7,6.30,100,0,0.0
14/02/2025,6.90,300,6.80,6.90,6.80,300,0,0.0
13/02/2025,7,0,7,7,7,0,0,0
12/02/2025,7,"2,930",6.60,7,6.40,0,0,0
11/02/2025,6.90,"2,200",7,7,6.60,0,0,0
10/02/2025,6.90,201,6.70,6.90,6.70,0,0,0
07/02/2025,6.90,"1,550",7,7,6.50,0,0,0
06/02/2025,6.90,"1,400",6.80,7,6.80,0,100,-0.0
05/02/2025,7,0,7,7,7,0,0,0
04/02/2025,7,"1,000",6.80,7,6.80,0,0,0
03/02/2025,6.90,0,6.90,6.90,6.90,0,0,0
24/01/2025,6.90,100,6.90,6.90,6.90,0,0,0
23/01/2025,6.90,100,6.90,6.90,6.90,0,0,0
22/01/2025,6.90,"5,325",6.30,6.90,6.30,"1,500",0,0.0
21/01/2025,6.90,410,6.40,6.90,6.40,100,0,0.0
20/01/2025,7,"1,200",7,7,6.60,0,0,0
17/01/2025,6.90,"1,000",6.80,6.90,6.80,0,0,0
16/01/2025,6.80,209,6.50,6.80,6.50,0,0,0
15/01/2025,7,0,7,7,7,0,0,0
14/01/2025,7,"2,100",7,7.10,6.80,0,100,-0.0
13/01/2025,6.90,"13,100",6.50,6.90,6.50,"3,300",200,0.0
10/01/2025,6.70,"79,000",6.40,6.80,6.40,"75,300",0,0.5
09/01/2025,6.60,"8,200",6.70,6.70,6.30,"1,000",200,0.0
08/01/2025,6.50,"2,000",6.20,6.70,6.20,"1,000",0,0.0
07/01/2025,6.70,500,7.10,7.10,6.70,0,0,0
06/01/2025,6.50,"2,335",6.70,6.70,6.40,0,0,0
03/01/2025,7.10,0,7.10,7.10,7.10,0,0,0
02/01/2025,7.10,871,7.50,7.50,6.30,0,0,0
31/12/2024,6.90,0,6.90,6.90,6.90,0,0,0
30/12/2024,6.90,110,6.90,6.90,6.90,0,0,0
27/12/2024,6.60,"3,221",7,7,6.50,0,0,0
26/12/2024,6.80,"9,800",6.90,7.40,6.50,0,0,0
25/12/2024,6.90,"13,001",6,6.90,6,"9,800",100,0.1
24/12/2024,6.50,"3,320",6.90,6.90,6.40,0,0,0
23/12/2024,6.60,"3,636",6.50,6.60,6.40,0,0,0
20/12/2024,6.70,"3,400",6.40,6.70,6.40,"1,600",0,0.0
19/12/2024,6.90,"8,801",6.40,6.90,6.40,400,0,0.0
18/12/2024,7,"1,400",7,7.10,6.80,0,0,0
17/12/2024,6.90,"33,507",6.70,6.90,6.40,"20,700",0,0.1
16/12/2024,6.70,"13,902",6.40,6.70,6.30,"8,600",0,0.1
13/12/2024,6.30,"11,700",6.20,6.50,6.20,"1,700",0,0.0
12/12/2024,6.20,"23,500",6.10,6.60,6.10,"9,000",0,0.1
11/12/2024,6.50,"2,419",6.50,6.90,6.40,0,0,0
10/12/2024,6.50,210,6.30,6.50,6.30,0,0,0
09/12/2024,6.20,"9,598",6.30,6.30,6.20,"1,800",0,0.0
06/12/2024,6.70,"1,300",6.50,6.90,6.40,700,0,0.0
05/12/2024,6.70,"1,175",6.70,6.90,6.20,0,0,0
04/12/2024,6.70,"1,220",6.80,6.80,6.30,0,100,-0.0
03/12/2024,6.60,"1,900",6.80,6.80,6.40,0,0,0
02/12/2024,6.50,"5,500",6.70,6.90,6.40,"1,000",0,0.0
29/11/2024,6.50,"6,501",6.50,6.60,6.30,"4,400",0,0.0
28/11/2024,6.50,"11,706",6.40,6.50,6.10,"7,200",0,0.0
27/11/2024,6.20,"9,030",6.70,6.90,6.20,"8,000",0,0.0
26/11/2024,6.60,905,6.20,6.70,5.90,100,100,0
25/11/2024,6.20,"12,037",6.20,6.20,6.10,"2,000",0,0.0
22/11/2024,6.70,"10,054",7,7,6.50,"4,600",0,0.0
21/11/2024,7.20,"1,300",6.90,7.20,6.90,0,0,0
20/11/2024,6.90,"32,860",6.20,6.90,6,"4,800",0,0.0
19/11/2024,6.60,"16,169",7,7,6.50,"6,100",0,0.0
18/11/2024,7.10,"27,100",7.60,7.60,6.90,0,0,0
15/11/2024,7.60,"5,643",7.80,8.20,7.40,0,0,0
14/11/2024,7.50,"14,746",7.20,7.60,7.20,100,200,-0.0
13/11/2024,7.10,"7,753",7.20,7.40,6.80,0,0,0
12/11/2024,7.10,"27,328",6.90,7.20,6.90,"3,100",200,0.0
11/11/2024,6.90,"44,841",6.30,6.90,6.30,"18,700",400,0.1
08/11/2024,6.30,"23,274",6.10,6.30,6,"5,000",0,0.0
07/11/2024,6.20,"12,101",5.90,6.30,5.80,"3,400",0,0.0
06/11/2024,5.90,"11,517",6,6.20,5.90,0,0,0
05/11/2024,6.40,"22,307",6.30,6.80,5.80,0,200,-0.0
04/11/2024,6.30,"18,801",6.30,6.30,5.90,0,0,0
01/11/2024,5.80,"44,074",5.70,5.80,5.70,"13,500",300,0.1
31/10/2024,5.30,"30,000",5,5.30,4.80,0,0,0
30/10/2024,4.90,"19,530",5.20,5.20,4.80,0,0,0
29/10/2024,5.10,"35,771",5.20,5.20,4.80,0,"904,600",-4.5
28/10/2024,5.20,"28,600",5.20,5.70,4.80,0,100,-0.0
25/10/2024,5.20,"6,541",5.50,5.50,4.70,0,0,0
24/10/2024,5,"7,900",5.20,5.50,4.90,0,0,0
23/10/2024,5.20,"68,765",5.20,5.20,5,0,0,0
22/10/2024,4.80,"49,702",4.50,4.80,4.50,0,0,0
21/10/2024,4.40,"75,828",4,4.40,3.60,0,0,0
18/10/2024,4,100,4,4,4,0,0,0
17/10/2024,3.80,"66,507",3.60,3.80,3.50,0,0,0
16/10/2024,3.50,"38,710",3.40,3.50,3.40,0,0,0
15/10/2024,3.60,"20,400",3.20,3.60,3.20,0,0,0
14/10/2024,3.40,"15,799",3.30,3.40,3.20,0,0,0
11/10/2024,3.20,"24,203",3.10,3.30,3.10,0,0,0
10/10/2024,3.10,"4,266",3,3.10,2.90,0,0,0
09/10/2024,3.10,"9,715",3.10,3.10,3,0,0,0
08/10/2024,3,900,3,3.10,3,0,0,0
07/10/2024,3.10,100,3.10,3.10,3.10,0,0,0
04/10/2024,3.10,"1,723",3.30,3.30,3,0,0,0
03/10/2024,3.20,"2,800",3.10,3.20,3,0,0,0
02/10/2024,3,"12,201",3.10,3.20,3,0,0,0
01/10/2024,3.10,"8,727",3.10,3.10,2.90,0,0,0
30/09/2024,3.10,403,3.10,3.10,3.10,0,0,0
27/09/2024,3,"3,600",2.90,3.30,2.90,0,0,0
26/09/2024,3.20,"10,520",3.20,3.40,2.90,0,0,0
25/09/2024,3.10,"50,800",3.10,3.20,2.90,0,0,0
24/09/2024,3.10,"15,060",3,3.10,3,0,0,0
23/09/2024,2.90,"11,702",3.10,3.10,2.90,0,0,0
20/09/2024,3.10,"2,000",3.10,3.20,3,0,0,0
19/09/2024,3.10,"20,802",3,3.10,3,0,0,0
18/09/2024,3.10,"15,700",3,3.10,3,0,0,0
17/09/2024,3.30,"27,013",3,3.40,3,0,0,0
16/09/2024,3.30,"1,601",3.20,3.30,3.20,0,0,0
13/09/2024,3.10,"13,400",3.40,3.40,3.10,0,0,0
12/09/2024,3.40,"2,800",3.20,3.40,3.20,0,0,0
11/09/2024,3.30,638,3.20,3.30,3.20,0,0,0
10/09/2024,3.30,"1,505",3.30,3.30,3.10,0,0,0
09/09/2024,3,"5,500",3.10,3.10,3,0,0,0
06/09/2024,3.10,"45,597",3.40,3.50,3.10,0,0,0
05/09/2024,3.40,"2,700",3.50,3.50,3.30,0,0,0
04/09/2024,3.50,93,3.50,3.50,3.50,0,0,0
30/08/2024,3.50,"4,726",3.30,3.50,3.30,0,0,0
29/08/2024,3.50,"6,400",3.40,3.50,3.30,0,0,0
28/08/2024,3.40,"4,000",3.40,3.40,3.30,0,0,0
27/08/2024,3.40,"10,600",3.40,3.40,3.30,0,0,0
