Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,28.50,100,28.50,28.50,28.50,0,0,0
20/03/2025,28.30,0,28.30,28.30,28.30,0,0,0
19/03/2025,28.30,0,28.30,28.30,28.30,0,0,0
18/03/2025,28.30,300,28.30,28.30,28.30,0,0,0
17/03/2025,28.30,200,28.30,28.30,28.30,0,0,0
14/03/2025,28,0,28,28,28,0,0,0
13/03/2025,28,100,28,28,28,0,0,0
12/03/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  15%,,,,,,,,
12/03/2025,27.70,500,31,31.90,27.70,200,100,0.0
11/03/2025,29.00,"2,400",28.52,29.00,28.52,0,0,0
10/03/2025,29.48,"4,800",29.48,29.48,29.48,0,0,0
07/03/2025,30.33,100,30.33,30.33,30.33,0,0,0
06/03/2025,30.43,0,30.43,30.43,30.43,0,0,0
05/03/2025,30.43,"1,000",31.47,31.47,29.95,0,0,0
04/03/2025,32.80,0,32.80,32.80,32.80,0,0,0
03/03/2025,32.80,"1,000",32.80,32.80,32.80,0,0,0
28/02/2025,33.09,100,33.09,33.09,33.09,0,0,0
27/02/2025,33.28,100,33.28,33.28,33.28,0,0,0
26/02/2025,31.00,500,31.00,31.00,31.00,0,300,-0.0
25/02/2025,30.90,"2,400",31.00,31.00,30.90,0,0,0
24/02/2025,31.00,600,30.81,31.00,30.81,0,100,-0.0
21/02/2025,30.71,500,30.71,30.71,30.71,0,0,0
20/02/2025,30.52,"1,200",31.85,33.47,30.52,0,500,-0.0
19/02/2025,30.43,800,33.28,33.47,30.43,0,0,0
18/02/2025,30.43,800,30.24,30.43,30.24,0,0,0
17/02/2025,30.24,600,30.24,30.24,30.24,0,0,0
14/02/2025,27.67,200,27.57,27.67,27.57,0,100,-0.0
13/02/2025,27.57,0,27.57,27.57,27.57,0,0,0
12/02/2025,27.57,501,27.29,27.57,27.29,0,100,-0.0
11/02/2025,30.24,101,30.24,30.24,30.24,0,0,0
10/02/2025,27.67,600,27.67,27.67,27.48,0,0,0
