Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,24,500,24,24,24,0,0,0
20/03/2025,24,"6,700",24.10,24.10,24,0,0,0
19/03/2025,26.30,"1,200",24.10,26.30,24,0,0,0
18/03/2025,25,"6,900",24.50,25.20,24,0,0,0
17/03/2025,24.50,"3,300",24.80,24.80,24.50,0,0,0
14/03/2025,25.70,"3,600",25.20,25.80,24.50,0,0,0
13/03/2025,25.60,"3,700",25.80,25.80,25,0,0,0
12/03/2025,25.80,"1,600",25.60,26.60,25.60,0,0,0
11/03/2025,26.10,"4,700",26,26.20,25.60,0,0,0
10/03/2025,26.40,"2,000",25.60,26.80,25.60,0,0,0
07/03/2025,25.70,"10,500",26.90,26.90,25.70,0,0,0
06/03/2025,26,"3,700",26,26.70,26,0,0,0
05/03/2025,26.20,"16,300",27,27.10,26.20,0,0,0
04/03/2025,28,"4,200",29.10,29.10,27.80,0,0,0
03/03/2025,28.30,"40,200",27,28.40,26.90,0,0,0
28/02/2025,27,"28,800",26.50,27.30,26.20,0,0,0
27/02/2025,26.50,"13,700",26,26.90,25.30,0,0,0
26/02/2025,25.70,"3,400",25.20,25.70,25.20,0,0,0
25/02/2025,25.30,"4,800",25,25.30,24.80,0,0,0
24/02/2025,25,"18,100",25.10,25.10,25,0,0,0
21/02/2025,25.10,"14,700",24.10,25.90,24.10,0,0,0
20/02/2025,25,"27,300",24.70,25.20,24.70,0,0,0
19/02/2025,24.60,"36,200",25.70,25.70,24.60,0,0,0
18/02/2025,24.90,"14,000",25.70,25.70,24.10,0,0,0
17/02/2025,25.80,"8,300",25.20,26.90,24.90,0,0,0
14/02/2025,25.80,"59,300",25.20,26,24.70,0,0,0
13/02/2025,24.90,"10,500",26,26,24.50,0,"1,000",-0.0
12/02/2025,25.90,"53,392",24.60,27.30,24.60,0,800,-0.0
11/02/2025,23.70,"25,203",23.60,24.40,23.50,0,0,0
10/02/2025,23.80,"112,331",26,26,23.50,0,200,-0.0
07/02/2025,25,"12,297",25.50,26.50,24.60,0,"2,000",-0.1
06/02/2025,25.40,"185,109",23,25.40,23,0,0,0
05/02/2025,22.60,"37,540",21.10,22.70,21.10,0,0,0
04/02/2025,21.40,"12,700",22,22,21.20,0,0,0
03/02/2025,21,"45,000",21.60,21.60,20.20,0,0,0
24/01/2025,21.60,"45,600",21,22.30,21,0,0,0
23/01/2025,21.20,"62,755",21.10,21.70,20.60,0,0,0
22/01/2025,20.20,"2,000",20,20.20,20,0,0,0
21/01/2025,20,0,20,20,20,0,0,0
20/01/2025,20,"1,100",20.10,20.10,20,0,0,0
17/01/2025,20.50,0,20.50,20.50,20.50,0,0,0
16/01/2025,20.50,0,20.50,20.50,20.50,0,0,0
15/01/2025,20.50,300,20.50,20.50,20.50,0,0,0
14/01/2025,21.20,"1,804",18.90,21.20,18.90,0,0,0
13/01/2025,19.30,"1,400",19.50,20.20,19.30,0,0,0
10/01/2025,19.50,"8,710",20.60,20.60,19.50,0,0,0
09/01/2025,19.30,100,19.30,19.30,19.30,0,0,0
08/01/2025,19.60,"17,800",19.50,19.60,19.50,0,0,0
07/01/2025,19.50,0,19.50,19.50,19.50,0,0,0
06/01/2025,19.40,"7,043",19.50,19.50,19.40,0,0,0
03/01/2025,19.40,"11,500",19.30,19.40,19.30,0,0,0
02/01/2025,19.30,"13,000",19.30,19.30,19.30,0,0,0
31/12/2024,19.30,702,19.20,19.30,19.20,0,200,-0.0
30/12/2024,19.20,714,19.30,19.30,19.20,0,300,-0.0
27/12/2024,20.90,"5,904",19.10,20.90,18.60,0,0,0
26/12/2024,19.20,"4,204",19,19.20,19,0,200,-0.0
25/12/2024,20.10,201,20.10,20.10,20.10,0,0,0
24/12/2024,20.10,0,20.10,20.10,20.10,0,0,0
23/12/2024,20.10,"13,801",20,20.10,20,0,0,0
20/12/2024,19.80,"19,801",20,20.80,19.80,0,0,0
19/12/2024,21.20,200,21.20,21.20,21.20,0,0,0
18/12/2024,20.60,"32,901",19.50,20.60,19.50,0,0,0
17/12/2024,19.60,603,21.20,21.20,18.20,0,200,-0.0
16/12/2024,19.10,453,19.10,19.10,19.10,0,0,0
13/12/2024,19,"16,501",21.20,21.20,19,0,0,0
12/12/2024,19.10,"2,421",19,19.10,19,0,0,0
11/12/2024,19.70,"1,801",19.70,19.70,19.70,0,0,0
10/12/2024,19.70,"14,501",19.70,19.80,19.70,0,0,0
09/12/2024,19.70,"5,005",19.70,19.70,19.70,0,0,0
