Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8.40,0,8.40,8.40,8.40,0,0,0
20/03/2025,8.40,200,8.40,8.40,8.40,0,0,0
19/03/2025,8.30,100,8.30,8.30,8.30,0,0,0
18/03/2025,8.30,"1,500",8.30,8.30,8.30,0,0,0
17/03/2025,8.30,"2,200",8.30,8.30,8.30,0,0,0
14/03/2025,8.30,"5,000",8.30,8.30,8.20,0,0,0
13/03/2025,8.30,"1,500",8.30,8.30,8.30,0,0,0
12/03/2025,8.30,0,8.30,8.30,8.30,0,0,0
11/03/2025,8.30,"15,100",8.30,8.30,8.30,0,0,0
10/03/2025,8.20,100,8.20,8.20,8.20,0,0,0
07/03/2025,8.30,0,8.30,8.30,8.30,0,0,0
06/03/2025,8.30,"5,200",8.50,8.50,8.30,0,0,0
05/03/2025,8.30,"11,800",8.30,8.40,8.30,0,0,0
04/03/2025,8.50,"2,000",8.40,8.50,8.40,0,0,0
03/03/2025,8.40,"1,100",8.40,8.40,8.40,0,0,0
28/02/2025,8.40,600,8.50,8.50,8.40,0,0,0
27/02/2025,8.30,700,8.40,8.40,8.30,0,0,0
26/02/2025,8.40,"3,700",8.40,8.40,8.30,0,0,0
25/02/2025,8.30,0,8.30,8.30,8.30,0,0,0
24/02/2025,8.40,"4,900",8.30,8.40,8.20,0,0,0
21/02/2025,8.60,"1,400",8.60,8.60,8.60,0,0,0
20/02/2025,8.70,600,8.70,8.70,8.70,0,0,0
19/02/2025,8.60,"1,400",8.70,8.70,8.60,0,0,0
18/02/2025,8.50,"1,900",8.40,8.50,8.40,0,0,0
17/02/2025,8.30,"2,000",8.30,8.30,8.30,0,0,0
14/02/2025,8.40,"2,700",8.40,8.40,8.30,0,0,0
13/02/2025,8.40,"4,600",8.40,8.40,8.40,0,0,0
12/02/2025,8.40,"6,300",8.40,8.40,8.40,0,0,0
11/02/2025,8.40,0,8.40,8.40,8.40,0,0,0
10/02/2025,8.40,"3,100",8.40,8.40,8.40,0,0,0
07/02/2025,8.40,"2,000",8.40,8.40,8.40,0,0,0
06/02/2025,8.40,0,8.40,8.40,8.40,0,0,0
05/02/2025,8.40,"1,300",8.30,8.40,8.30,0,0,0
04/02/2025,8.40,100,8.40,8.40,8.40,0,0,0
03/02/2025,8.30,"1,200",8.50,8.50,8.30,0,0,0
24/01/2025,8.50,100,8.50,8.50,8.50,0,0,0
23/01/2025,8.10,"7,690",8.70,8.70,8,0,0,0
22/01/2025,8.60,0,8.60,8.60,8.60,0,0,0
21/01/2025,8.60,0,8.60,8.60,8.60,0,0,0
20/01/2025,8.60,0,8.60,8.60,8.60,0,0,0
17/01/2025,8.60,0,8.60,8.60,8.60,0,0,0
16/01/2025,8.60,0,8.60,8.60,8.60,0,0,0
15/01/2025,8.60,200,8.60,8.60,8.60,0,0,0
14/01/2025,8.50,0,8.50,8.50,8.50,0,0,0
13/01/2025,8.50,20,8.50,8.50,8.50,0,0,0
10/01/2025,8.50,0,8.50,8.50,8.50,0,0,0
09/01/2025,8.50,0,8.50,8.50,8.50,0,0,0
08/01/2025,8.50,10,8.50,8.50,8.50,0,0,0
07/01/2025,8.50,4,8.50,8.50,8.50,0,0,0
06/01/2025,8.50,0,8.50,8.50,8.50,0,0,0
03/01/2025,8.50,0,8.50,8.50,8.50,0,0,0
02/01/2025,8.50,2,8.50,8.50,8.50,0,0,0
31/12/2024,8.50,100,8.50,8.50,8.50,0,0,0
30/12/2024,8.30,17,8.30,8.30,8.30,0,0,0
27/12/2024,8.30,700,8.30,8.30,8.30,0,0,0
26/12/2024,8.30,125,8.30,8.30,8.30,0,0,0
25/12/2024,8.40,100,8.40,8.40,8.40,0,0,0
24/12/2024,8.30,"3,600",8.60,8.80,7.30,0,0,0
23/12/2024,8.30,0,8.30,8.30,8.30,0,0,0
20/12/2024,8.30,100,8.30,8.30,8.30,0,0,0
19/12/2024,8.20,100,8.20,8.20,8.20,0,0,0
18/12/2024,8.10,905,8.10,8.10,8.10,0,0,0
17/12/2024,8.30,42,8.30,8.30,8.30,0,0,0
16/12/2024,8.30,7,8.30,8.30,8.30,0,0,0
13/12/2024,8.30,0,8.30,8.30,8.30,0,0,0
12/12/2024,8.30,500,8.30,8.30,8.30,0,0,0
11/12/2024,8.10,500,8.50,8.50,8,0,0,0
10/12/2024,8.20,"2,910",8,8.20,8,0,0,0
09/12/2024,8,"2,861",7.10,8,7.10,0,0,0
06/12/2024,8.20,"6,500",8.40,8.40,8.20,0,0,0
05/12/2024,9,100,9,9,9,0,0,0
04/12/2024,8.30,100,8.30,8.30,8.30,0,0,0
03/12/2024,8.30,0,8.30,8.30,8.30,0,0,0
02/12/2024,8.30,0,8.30,8.30,8.30,0,0,0
29/11/2024,8.30,"1,011",8.30,8.30,8.30,0,0,0
28/11/2024,8.30,100,8.30,8.30,8.30,0,0,0
27/11/2024,8.10,"2,303",8.10,8.10,8.10,0,0,0
26/11/2024,8.30,600,8.30,8.30,8.30,0,0,0
25/11/2024,8.10,"1,600",8.20,8.20,8.10,0,0,0
22/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
21/11/2024,8.30,319,8.50,8.50,8.30,0,0,0
20/11/2024,8.30,142,8.30,8.30,8.30,0,0,0
19/11/2024,8,200,8,8,8,0,0,0
18/11/2024,8.30,0,8.30,8.30,8.30,0,0,0
15/11/2024,8.30,14,8.30,8.30,8.30,0,0,0
14/11/2024,8.30,5,8.30,8.30,8.30,0,0,0
13/11/2024,8.30,500,8.20,8.30,8.20,0,0,0
12/11/2024,8.30,10,8.30,8.30,8.30,0,0,0
11/11/2024,8.30,100,8.30,8.30,8.30,0,0,0
08/11/2024,8.30,700,8.20,8.30,8.10,0,0,0
07/11/2024,8.40,"2,527",8.40,8.40,8.40,0,0,0
06/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
05/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
04/11/2024,8.40,0,8.40,8.40,8.40,0,0,0
01/11/2024,8.40,100,8.40,8.40,8.40,0,0,0
31/10/2024,8.40,"3,388",8.30,8.40,8.30,0,0,0
30/10/2024,8.40,200,8.20,8.40,8.20,0,0,0
29/10/2024,8.20,"2,478",8.20,8.20,8.20,0,0,0
28/10/2024,8.30,12,8.30,8.30,8.30,0,0,0
25/10/2024,8.30,900,8.30,8.30,8.30,0,0,0
24/10/2024,8.40,"2,488",8.40,8.40,8.40,0,0,0
23/10/2024,8.40,100,8.40,8.40,8.40,0,0,0
22/10/2024,8.30,"2,701",8.20,8.30,8.20,0,0,0
21/10/2024,8.20,"8,501",8.30,8.30,8.20,0,0,0
18/10/2024,8.40,"2,478",8.40,8.40,8.40,0,0,0
17/10/2024,8.40,800,8.40,8.40,8.40,0,0,0
16/10/2024,8.30,"1,900",8.30,8.30,8.30,0,0,0
15/10/2024,8.50,"3,878",8.40,8.50,8.40,0,0,0
14/10/2024,8.40,"1,715",8.30,8.40,8.30,0,0,0
11/10/2024,8.70,0,8.70,8.70,8.70,0,0,0
10/10/2024,8.70,214,8.70,8.70,8.70,0,0,0
09/10/2024,8.50,2,8.40,8.40,8.40,0,0,0
08/10/2024,8.50,"4,003",8.50,8.50,8.40,0,0,0
07/10/2024,8.30,"1,500",8.30,8.30,8.30,0,0,0
04/10/2024,8.60,120,8.60,8.60,8.60,0,0,0
03/10/2024,8.60,200,8.60,8.60,8.60,0,0,0
02/10/2024,8.40,"2,200",8.50,8.50,8.40,0,0,0
01/10/2024,8.50,5,8.50,8.50,8.50,0,0,0
30/09/2024,8.50,100,8.50,8.50,8.50,0,0,0
27/09/2024,8.50,"10,300",8.30,8.60,8.30,0,0,0
26/09/2024,8.40,"2,000",8.40,8.40,8.40,0,0,0
25/09/2024,8.50,112,8.50,8.50,8.50,0,0,0
24/09/2024,8.40,"1,301",8.30,8.40,8.30,0,0,0
23/09/2024,8.30,"2,700",8.30,8.40,8.30,0,0,0
20/09/2024,8.40,"1,100",8.40,8.40,8.40,0,0,0
19/09/2024,8.40,0,8.40,8.40,8.40,0,0,0
18/09/2024,8.40,"6,103",8.30,8.40,8.30,0,0,0
17/09/2024,8.40,300,8.40,8.40,8.40,0,0,0
16/09/2024,8.50,0,8.50,8.50,8.50,0,0,0
13/09/2024,8.50,800,8.50,8.50,8.50,0,0,0
12/09/2024,8.30,0,8.30,8.30,8.30,0,0,0
11/09/2024,8.50,"2,800",8.30,8.50,8.30,0,0,0
10/09/2024,8.40,707,8.20,8.60,8.20,0,0,0
09/09/2024,8.50,0,8.50,8.50,8.50,0,0,0
06/09/2024,8.50,2,8.50,8.50,8.50,0,0,0
05/09/2024,8.50,100,8.50,8.50,8.50,0,0,0
04/09/2024,8.40,"1,300",8.30,8.40,8.30,0,0,0
30/08/2024,8.50,0,8.50,8.50,8.50,0,0,0
29/08/2024,8.50,100,8.50,8.50,8.50,0,0,0
28/08/2024,8.50,"1,029",8.50,8.50,8.50,0,0,0
27/08/2024,8.40,0,8.40,8.40,8.40,0,0,0
26/08/2024,8.40,0,8.40,8.40,8.40,0,0,0
23/08/2024,8.40,0,8.40,8.40,8.40,0,0,0
22/08/2024,8.40,"3,608",8.50,8.50,8.40,0,0,0
21/08/2024,8.50,"1,400",8.40,8.50,8.40,0,0,0
20/08/2024,8.60,"6,113",8.50,8.60,8.50,0,0,0
19/08/2024,8.50,"2,210",9.70,9.70,8.50,0,0,0
16/08/2024,8.50,"3,700",8.50,8.50,8.50,0,0,0
15/08/2024,8.50,100,8.50,8.50,8.50,0,0,0
14/08/2024,8.40,34,8.40,8.40,8.40,0,0,0
13/08/2024,8.40,"5,000",8.50,8.50,8.40,0,0,0
12/08/2024,8.40,"2,000",8.40,8.40,8.40,0,0,0
09/08/2024,8.40,"2,310",8.40,8.40,8.40,0,0,0
08/08/2024,8.40,"2,601",8.40,8.40,8.40,0,0,0
07/08/2024,8.40,0,8.40,8.40,8.40,0,0,0
