Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11.70,"305,200",11.90,11.90,11.65,"9,600","75,200",0
20/03/2025,11.85,"470,500",11.65,11.90,11.65,"30,100","49,645",-0.2
19/03/2025,11.65,"227,600",11.65,11.80,11.65,"45,200","45,300",-0.0
18/03/2025,11.65,"465,500",11.70,11.80,11.60,"27,500","49,900",-0.3
17/03/2025,11.60,"317,500",11.55,11.60,11.50,"1,300","55,450",-0.6
14/03/2025,11.55,"255,600",11.60,11.70,11.50,"6,500","50,200",-0.5
13/03/2025,11.60,"489,300",11.75,11.90,11.60,"15,900","40,900",-0.3
12/03/2025,11.70,"364,700",11.55,11.70,11.55,"67,900","48,100",0.2
11/03/2025,11.55,"236,600",11.45,11.65,11.40,"25,000","59,250",-0.4
10/03/2025,11.45,"386,100",11.50,11.60,11.45,"6,300","106,300",-1.2
07/03/2025,11.55,"331,600",11.60,11.60,11.45,"18,900","45,700",-0.3
06/03/2025,11.55,"112,100",11.55,11.65,11.50,"9,000","54,100",-0.5
05/03/2025,11.55,"243,000",11.50,11.65,11.50,"1,700","74,000",-0.8
04/03/2025,11.55,"326,200",11.65,11.65,11.50,"12,800","56,700",-0.5
03/03/2025,11.65,"317,700",11.75,11.80,11.60,"27,000","38,800",-0.1
28/02/2025,11.70,"203,800",11.70,11.80,11.65,"1,500","52,000",-0.6
27/02/2025,11.70,"284,400",11.80,11.80,11.65,"31,300","48,600",-0.2
26/02/2025,11.70,"371,500",11.80,11.85,11.70,"29,700","47,000",-0.2
25/02/2025,11.75,"283,000",11.90,11.95,11.75,"27,000","70,700",-0.5
24/02/2025,11.85,"508,600",11.70,11.95,11.65,"31,600","55,900",-0.3
21/02/2025,11.70,"407,300",11.80,11.80,11.65,"62,600","53,100",0.1
20/02/2025,11.75,"449,000",11.95,11.95,11.75,"18,500","52,500",-0.4
19/02/2025,11.85,"518,900",11.90,12,11.85,"56,100","48,100",0.1
18/02/2025,11.90,"439,800",11.80,12.05,11.80,"71,200","44,590",0.3
17/02/2025,11.75,"408,500",11.75,11.90,11.75,"52,500","90,100",-0.4
14/02/2025,11.75,"733,200",11.90,12.10,11.75,"67,100","68,800",-0.0
13/02/2025,11.80,"890,600",11.60,11.80,11.50,"67,400","47,100",0.2
12/02/2025,11.55,"402,600",11.60,11.60,11.45,"21,079","46,320",-0.3
11/02/2025,11.55,"298,100",11.45,11.55,11.45,100,"54,900",-0.6
10/02/2025,11.45,"416,400",11.65,11.70,11.45,"1,000","109,100",-1.2
07/02/2025,11.70,"444,800",11.60,11.70,11.55,"1,100","48,050",-0.5
06/02/2025,11.60,"315,200",11.60,11.60,11.45,"6,000","75,000",-0.8
05/02/2025,11.55,"204,400",11.75,11.75,11.50,"2,700","48,700",-0.5
04/02/2025,11.65,"587,000",11.45,11.75,11.35,"18,200","52,500",-0.4
03/02/2025,11.30,"195,000",11.45,11.45,11.30,"15,500","63,200",-0.5
24/01/2025,11.30,"215,600",11.35,11.40,11.25,"12,800","46,970",-0.4
23/01/2025,11.30,"147,900",11.40,11.45,11.30,"21,400","63,100",-0.5
22/01/2025,11.35,"151,300",11.40,11.40,11.30,"5,600","45,500",-0.5
21/01/2025,11.35,"339,300",11.25,11.50,11.20,"9,200","63,531",-0.6
20/01/2025,11.25,"196,700",11.20,11.40,11.20,"1,000","51,500",-0.6
17/01/2025,11.15,"213,800",11.05,11.25,11,"16,900","44,300",-0.3
16/01/2025,11,"99,400",11.10,11.10,11,"25,100","46,300",-0.2
15/01/2025,11,"137,200",11.05,11.10,11,"6,600","43,900",-0.4
14/01/2025,11,"127,300",11,11.10,11,"13,300","41,100",-0.3
13/01/2025,11,"267,300",11,11.05,10.95,"16,200","81,100",-0.7
10/01/2025,11,"237,200",10.90,11.05,10.90,0,"4,100",-0.0
09/01/2025,10.90,"106,800",10.90,11,10.90,"18,300","40,900",-0.2
