Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,29.90,"28,000",29.70,30,29.40,0,0,0
20/03/2025,29.70,"13,500",29.70,30,29.60,0,0,0
19/03/2025,29.70,"25,100",29.80,29.80,29.50,0,0,0
18/03/2025,29.80,"18,000",29.60,30,29.60,0,0,0
17/03/2025,29.60,"16,000",29.60,29.70,29.50,0,0,0
14/03/2025,29.70,"11,600",29.90,29.90,29.60,0,0,0
13/03/2025,29.80,"56,000",29.90,30.10,29.70,0,0,0
12/03/2025,29.90,"43,700",29.90,29.90,29.70,0,0,0
11/03/2025,29.70,"30,700",29.90,29.90,29.50,0,0,0
10/03/2025,29.80,"22,300",30,30,29.80,0,0,0
07/03/2025,30,"40,400",30,30.10,29.90,0,0,0
06/03/2025,30,"26,300",30,30,29.80,0,0,0
05/03/2025,29.90,"22,500",30.10,30.10,29.80,0,0,0
04/03/2025,30,"64,000",30.10,30.40,29.90,0,0,0
03/03/2025,30.10,"35,500",30,30.10,29.90,0,0,0
28/02/2025,29.90,"33,300",30,30.20,29.90,0,0,0
27/02/2025,30,"23,300",30.10,30.10,29.90,0,0,0
26/02/2025,30.10,"46,800",30.30,30.30,30,0,0,0
25/02/2025,30.20,"33,600",30.50,30.50,30.10,0,0,0
24/02/2025,30.50,"42,000",30.40,30.60,30.20,0,0,0
21/02/2025,30.50,"20,500",30.80,30.80,30.40,0,0,0
20/02/2025,30.50,"43,200",30.90,30.90,30.30,0,0,0
19/02/2025,30.80,"16,400",30.50,31,30.40,0,0,0
18/02/2025,30.40,"34,900",30.30,31.20,29.60,0,0,0
17/02/2025,31,"63,100",30.50,32,30.50,0,0,0
14/02/2025,30.20,"76,000",29.60,30.90,29.50,0,0,0
13/02/2025,29.50,"52,300",29.50,29.70,29.10,0,0,0
12/02/2025,29.30,"74,125",29.70,29.70,29.30,0,0,0
11/02/2025,29.60,"71,011",29.80,29.90,29.50,0,0,0
10/02/2025,29.80,"49,826",30.50,30.50,29.80,0,0,0
07/02/2025,30.50,"50,801",30.10,30.80,30.10,0,0,0
06/02/2025,30.10,"24,171",30.30,30.30,29.60,0,0,0
05/02/2025,29.60,"83,311",29.40,30.40,29.40,0,0,0
04/02/2025,29.40,"44,131",29.40,29.70,29.20,0,0,0
03/02/2025,29.40,"58,800",28.70,29.50,28.70,0,0,0
24/01/2025,28.60,"22,800",28.50,28.60,28.50,0,0,0
23/01/2025,28.50,"15,100",28.50,29,28.30,0,0,0
22/01/2025,28.40,"28,340",28.60,28.60,28.40,0,0,0
21/01/2025,28.30,"31,721",28.80,28.90,28.30,0,0,0
20/01/2025,28.80,"15,950",29,29,28.60,0,0,0
17/01/2025,28.60,"22,731",28.90,28.90,28.60,0,0,0
16/01/2025,28.90,"18,000",28.80,29,28.70,0,0,0
15/01/2025,28.80,"16,907",29,29,28.50,0,0,0
14/01/2025,29,"26,309",29.30,29.30,28.60,0,0,0
13/01/2025,29.30,"24,200",29.90,29.90,29.20,0,0,0
10/01/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  14%,,,,,,,,
10/01/2025,29.70,"19,500",31,31,29.60,0,0,0
09/01/2025,29.80,"67,300",28.65,29.99,28.65,0,0,0
08/01/2025,29.61,"47,717",29.51,29.80,29.23,0,0,0
07/01/2025,29.61,"18,100",29.61,29.70,29.51,0,0,0
06/01/2025,29.42,"37,974",29.70,29.90,29.32,0,0,0
03/01/2025,29.61,"26,800",29.80,29.80,29.61,0,0,0
02/01/2025,29.80,"24,400",29.42,29.80,29.42,0,0,0
31/12/2024,29.42,"41,600",29.51,29.51,29.13,0,0,0
30/12/2024,29.70,"33,000",29.61,29.70,29.61,0,0,0
27/12/2024,29.70,"44,700",29.90,29.90,29.51,0,0,0
26/12/2024,29.61,"62,248",29.99,29.99,29.51,0,0,0
25/12/2024,29.99,"63,400",30.37,30.47,29.70,0,0,0
24/12/2024,29.99,"148,931",30.09,30.56,29.80,0,0,0
23/12/2024,29.90,"222,320",29.13,30.09,29.13,0,0,0
20/12/2024,28.84,"82,100",28.46,29.13,28.46,0,0,0
19/12/2024,28.27,"39,200",28.27,28.37,28.18,0,0,0
18/12/2024,28.46,"71,810",28.37,28.65,28.08,0,0,0
17/12/2024,28.37,"16,901",28.37,28.46,28.18,0,0,0
16/12/2024,28.27,"36,003",28.56,28.65,28.18,0,0,0
13/12/2024,28.46,"36,400",28.27,28.75,28.27,0,0,0
12/12/2024,28.56,"94,912",27.79,28.56,27.79,0,0,0
11/12/2024,27.79,"26,000",27.79,27.89,27.70,0,0,0
10/12/2024,27.89,"22,701",27.70,27.89,27.70,0,0,0
09/12/2024,27.79,"20,408",27.89,27.89,27.70,0,0,0
06/12/2024,27.79,"24,500",27.79,27.79,27.70,0,0,0
05/12/2024,27.79,"1,700",27.89,27.89,27.79,0,0,0
04/12/2024,27.79,"10,700",27.70,27.79,27.60,0,0,0
03/12/2024,27.70,"42,710",27.89,27.89,27.60,0,0,0
02/12/2024,27.70,"18,502",27.79,27.79,27.70,0,0,0
29/11/2024,27.79,"17,801",27.89,27.89,27.70,0,0,0
28/11/2024,27.89,"19,500",27.79,27.99,27.70,0,0,0
27/11/2024,27.89,"9,301",27.89,27.89,27.70,0,0,0
26/11/2024,27.79,"19,000",27.79,27.89,27.70,0,0,0
25/11/2024,27.70,"13,300",27.89,27.89,27.60,0,0,0
22/11/2024,27.89,"13,235",27.70,27.99,27.70,0,0,0
21/11/2024,27.70,"17,100",27.70,27.79,27.60,0,0,0
20/11/2024,27.79,"37,000",27.70,27.79,27.60,0,0,0
19/11/2024,27.79,"25,400",27.89,27.89,27.79,0,0,0
