Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,11.50,"1,600",11.80,11.80,11.50,0,0,0
20/03/2025,11.80,900,11.80,11.80,11.80,0,0,0
19/03/2025,11.80,"2,100",11.80,11.80,11.80,0,0,0
18/03/2025,11.80,"1,800",11.80,11.80,11.80,0,0,0
17/03/2025,11.50,"2,700",11.70,11.80,11.50,0,0,0
14/03/2025,11.50,0,11.50,11.50,11.50,0,0,0
13/03/2025,11.50,"12,600",11.80,12,11.50,"2,800",0,0.0
12/03/2025,11.70,0,11.70,11.70,11.70,0,0,0
11/03/2025,11.70,100,11.70,11.70,11.70,0,0,0
10/03/2025,11.70,"7,500",11.50,11.70,11.40,0,0,0
07/03/2025,11.40,0,11.40,11.40,11.40,0,0,0
06/03/2025,11.40,"3,900",11.40,11.40,11.40,0,0,0
05/03/2025,11.40,"4,900",11.40,11.40,11.40,0,0,0
04/03/2025,11.40,"5,000",11.40,11.40,11.40,0,0,0
03/03/2025,11.70,"4,900",11.40,11.80,11.40,0,0,0
28/02/2025,11.40,"1,000",11.40,11.40,11.40,0,0,0
27/02/2025,11.60,0,11.60,11.60,11.60,0,0,0
26/02/2025,11.60,"3,200",11.50,11.70,11.50,0,0,0
25/02/2025,11.70,"1,900",11.70,11.80,11.70,0,0,0
24/02/2025,11.70,600,11.60,11.70,11.60,0,0,0
21/02/2025,11.60,800,11.60,11.60,11.60,0,0,0
20/02/2025,11.60,200,11.60,11.60,11.60,0,0,0
19/02/2025,11.60,"1,000",11.30,11.60,11.30,0,0,0
18/02/2025,11.60,600,11.70,11.70,11.60,0,0,0
17/02/2025,11.30,"7,300",11.30,11.40,11.30,0,0,0
14/02/2025,11.30,"1,200",10.80,11.30,10.60,0,0,0
13/02/2025,11.30,"2,500",11.40,11.40,11.30,700,0,0.0
12/02/2025,11.30,400,11.30,11.30,11.30,0,0,0
11/02/2025,11.30,"5,600",11.20,11.30,11.20,"4,000",0,0.0
10/02/2025,11.10,"2,700",11.50,11.50,11.10,0,0,0
07/02/2025,11.50,"3,300",11.50,11.50,11.40,0,0,0
06/02/2025,11.40,400,11.40,11.40,11.40,0,0,0
05/02/2025,11.40,"1,000",11.20,11.40,11,0,0,0
04/02/2025,11.20,"2,800",11.20,11.20,11.20,0,0,0
03/02/2025,11.10,"1,700",11.20,11.20,10.80,0,0,0
24/01/2025,10.90,"1,800",10.90,10.90,10.90,0,0,0
23/01/2025,10.80,"7,000",10.70,10.80,10.70,0,0,0
22/01/2025,10.70,"1,000",10.80,10.80,10.70,0,0,0
21/01/2025,10.70,0,10.70,10.70,10.70,0,0,0
20/01/2025,10.70,100,10.70,10.70,10.70,0,0,0
17/01/2025,11,0,11,11,11,0,0,0
16/01/2025,11,200,10.70,11,10.70,0,100,-0.0
15/01/2025,11.30,600,10.60,11.30,10.60,0,0,0
14/01/2025,10.80,"2,000",10.80,10.80,10.70,0,0,0
13/01/2025,10.80,700,10.80,10.80,10.70,0,0,0
10/01/2025,10.80,500,10.80,10.80,10.80,0,0,0
09/01/2025,11.30,400,10.70,11.30,10.70,0,100,-0.0
08/01/2025,11.60,200,10.70,11.60,10.70,0,0,0
07/01/2025,10.70,"1,100",10.80,10.80,10.70,0,0,0
06/01/2025,11,"3,700",10.80,11,10.80,0,100,-0.0
03/01/2025,11.30,"1,000",11.30,11.30,11.30,0,0,0
02/01/2025,11.30,"3,102",10.80,11.30,10.80,0,100,-0.0
31/12/2024,11.40,"1,701",10.80,11.40,10.80,0,100,-0.0
30/12/2024,11.50,"1,100",10.80,11.50,10.80,0,100,-0.0
27/12/2024,11.60,500,11.60,11.60,11.60,0,0,0
26/12/2024,11.20,"1,600",10.90,11.20,10.90,400,0,0.0
25/12/2024,11,"11,306",10.70,11,10.60,"7,000",0,0.1
24/12/2024,10.70,"6,800",10.80,10.90,10.70,0,0,0
23/12/2024,10.90,"1,300",11.60,11.60,10.90,0,0,0
20/12/2024,10.70,"2,000",10.70,10.70,10.70,0,0,0
19/12/2024,10.70,"3,800",10.90,10.90,10.60,"2,000",0,0.0
18/12/2024,10.60,"5,700",10.50,10.80,10.50,"2,200",0,0.0
17/12/2024,10.90,"6,200",11,11,10.50,0,0,0
16/12/2024,10.70,500,11,11,10.70,0,0,0
13/12/2024,10.60,"3,000",10.80,10.80,10.60,0,0,0
12/12/2024,10.70,"5,000",10.80,10.80,10.70,0,0,0
11/12/2024,10.90,600,11,11,10.90,0,0,0
10/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
09/12/2024,10.80,0,10.80,10.80,10.80,0,0,0
06/12/2024,10.80,"1,200",10.70,10.90,10.70,0,100,-0.0
05/12/2024,11.60,"1,300",10.90,11.60,10.70,0,0,0
04/12/2024,10.70,"5,200",10.90,10.90,10.70,0,0,0
03/12/2024,10.90,400,11,11,10.90,0,0,0
02/12/2024,11,0,11,11,11,0,0,0
29/11/2024,11,"2,700",11,11.10,11,0,0,0
28/11/2024,11.10,700,11.10,11.10,11.10,0,0,0
27/11/2024,11.30,400,11.30,11.30,11.30,0,0,0
26/11/2024,11.20,300,11.20,11.20,11.20,200,0,0.0
25/11/2024,11.20,"11,000",11.20,11.50,11,0,0,0
22/11/2024,11.20,0,11.20,11.20,11.20,0,0,0
21/11/2024,11.20,"1,600",11,11.20,11,0,0,0
20/11/2024,11,600,11,11,11,0,0,0
19/11/2024,11.10,0,11.10,11.10,11.10,0,0,0
