Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.50,"155,200",12.80,12.80,12.50,0,0,0
20/03/2025,12.60,"223,900",12.80,13,12.60,0,0,0
19/03/2025,12.80,"178,400",12.80,12.90,12.70,0,0,0
18/03/2025,12.70,"277,200",12.90,13.20,12.70,0,0,0
17/03/2025,12.80,"412,800",13.20,13.20,12.70,0,0,0
14/03/2025,12.90,"1,209,500",13.40,14.30,12.80,0,0,0
13/03/2025,13.40,"311,300",13.70,14,13.40,0,0,0
12/03/2025,13.70,"1,272,100",14.50,15.10,13.70,0,0,0
11/03/2025,14.80,"677,500",14.40,15,14,0,0,0
10/03/2025,14.50,"618,700",14.80,15.30,14,0,0,0
07/03/2025,14.80,"1,106,800",14.70,15.40,14.30,0,0,0
06/03/2025,14.30,"1,894,000",13.20,14.60,13,0,0,0
05/03/2025,13.40,"539,300",13.40,13.80,13,0,0,0
04/03/2025,13.50,"723,700",13,13.70,12.60,0,0,0
03/03/2025,13,"343,700",13,13.40,12.80,0,0,0
28/02/2025,13.10,"233,200",13.30,14.60,13.10,0,0,0
27/02/2025: Cá» tá»©c tiá»n máº·t tá» lá»:  10%,,,,,,,,
27/02/2025,13.30,"721,900",13.80,13.80,12.70,0,0,0
26/02/2025,13.50,"735,300",14.62,14.90,13.50,0,0,0
25/02/2025,14.52,"1,604,600",14.15,15.08,14.15,0,0,0
24/02/2025,13.78,"1,636,400",12.57,13.78,12.57,0,0,0
21/02/2025,12.57,"364,500",12.48,12.57,12.48,0,0,0
20/02/2025,12.48,"205,000",12.66,12.85,12.48,0,0,0
19/02/2025,12.66,"637,200",12.20,12.94,12.10,0,0,0
18/02/2025,12.10,"110,400",12.20,12.20,12.01,0,300,-0.0
17/02/2025,12.10,"268,800",12.20,12.29,12.01,0,0,0
14/02/2025,12.10,"108,700",12.10,12.20,12.01,0,0,0
13/02/2025,12.10,"60,800",12.20,12.20,12.10,0,0,0
12/02/2025,12.20,"93,638",12.29,12.29,12.10,0,0,0
11/02/2025,12.29,"110,653",12.29,12.29,12.20,0,0,0
10/02/2025,12.29,"211,854",12.29,12.48,12.29,0,0,0
07/02/2025,12.10,"74,001",12.20,12.20,12.01,0,0,0
06/02/2025,12.10,"68,308",11.08,12.29,11.08,0,0,0
05/02/2025,12.29,"231,706",12.20,12.29,12.10,0,0,0
04/02/2025,12.20,"82,075",12.10,12.20,11.82,0,0,0
03/02/2025,12.01,"48,700",12.01,12.10,11.92,0,0,0
24/01/2025,11.92,"75,610",12.10,12.10,11.92,0,0,0
23/01/2025,12.01,"79,100",12.01,12.10,11.92,0,0,0
22/01/2025,11.92,"107,900",11.92,12.01,11.82,0,0,0
21/01/2025,11.82,"90,320",11.73,12.01,11.73,0,0,0
20/01/2025,11.82,"140,296",11.92,11.92,11.82,0,0,0
17/01/2025,11.92,"54,100",12.10,12.20,11.92,0,0,0
16/01/2025,12.01,"24,305",12.01,12.01,11.92,0,0,0
15/01/2025,11.92,"433,906",12.01,12.01,11.82,0,0,0
14/01/2025,11.92,"135,826",12.29,12.29,11.82,0,0,0
13/01/2025,12.29,"167,100",12.29,12.38,12.01,0,0,0
10/01/2025,12.48,"137,401",12.29,12.57,12.20,0,0,0
09/01/2025,12.48,"850,808",12.20,12.94,12.10,0,0,0
08/01/2025,12.10,"11,952",12.10,12.10,12.01,0,0,0
07/01/2025,12.10,"89,800",12.10,12.20,12.10,0,0,0
06/01/2025,12.10,"94,600",12.10,12.20,12.10,0,0,0
03/01/2025,12.20,"74,700",12.29,12.29,12.10,0,0,0
02/01/2025,12.29,"33,350",12.29,12.38,12.20,0,0,0
31/12/2024,12.29,"38,900",12.29,12.29,12.20,0,0,0
30/12/2024,12.38,"122,400",12.29,12.38,12.20,0,"1,800",-0.0
27/12/2024,12.29,"143,222",12.38,12.57,12.29,0,0,0
26/12/2024,12.38,"82,730",12.20,12.66,12.20,0,0,0
25/12/2024,12.38,"321,726",12.38,12.85,12.38,0,0,0
24/12/2024,12.38,"354,891",12.10,12.38,12.01,0,"2,400",-0.0
23/12/2024,12.10,"23,204",12.10,12.20,12.01,0,0,0
20/12/2024,12.10,"69,622",12.01,12.10,11.92,0,0,0
19/12/2024,11.92,"33,465",11.92,12.10,11.92,0,0,0
18/12/2024,11.92,"49,775",11.92,12.10,11.92,0,0,0
17/12/2024,11.92,"21,121",11.92,12.01,11.92,0,0,0
16/12/2024,12.01,"40,200",12.01,12.10,11.92,0,0,0
13/12/2024,11.92,"144,642",12.01,12.01,11.92,0,0,0
12/12/2024,11.92,"91,736",11.82,12.01,11.82,0,36,-0.0
11/12/2024,11.82,"24,607",11.92,11.92,11.82,0,0,0
10/12/2024,11.92,"40,502",11.73,11.92,11.73,0,0,0
09/12/2024,11.82,"27,452",11.73,11.92,11.64,0,0,0
06/12/2024,11.73,"23,037",11.82,11.82,11.73,0,0,0
05/12/2024,11.82,"15,005",11.73,11.82,11.73,0,0,0
04/12/2024,11.73,"14,700",11.82,11.92,11.73,0,0,0
03/12/2024,11.92,"63,631",11.92,11.92,11.64,0,0,0
02/12/2024,11.92,"5,381",12.01,12.01,11.92,0,0,0
29/11/2024,12.01,"65,102",11.73,12.01,11.73,0,0,0
28/11/2024,11.82,"29,382",11.73,11.82,11.64,0,0,0
27/11/2024,11.73,"75,124",11.82,11.82,11.73,0,0,0
26/11/2024,11.82,"35,900",11.92,11.92,11.82,0,0,0
25/11/2024,11.92,"16,163",11.82,11.92,11.73,0,0,0
22/11/2024,11.92,"9,450",11.92,11.92,11.73,0,0,0
21/11/2024,11.82,"7,187",11.82,11.92,11.82,0,0,0
20/11/2024,11.82,"8,586",11.73,11.92,11.73,0,0,0
19/11/2024,11.82,"6,242",11.82,11.92,11.82,0,0,0
18/11/2024,11.92,"7,234",11.82,11.92,11.82,0,0,0
15/11/2024,12.01,"138,607",11.92,12.01,11.73,0,0,0
14/11/2024,11.92,"33,212",11.92,12.10,11.92,0,0,0
13/11/2024,11.92,"13,525",12.01,12.10,11.82,0,0,0
12/11/2024,12.01,"12,706",12.10,12.20,12.01,0,0,0
11/11/2024,12.10,"19,020",12.10,12.10,12.01,0,0,0
08/11/2024,12.01,"79,100",12.01,12.01,11.92,0,0,0
07/11/2024,11.92,"24,829",12.01,12.01,11.92,0,0,0
06/11/2024,11.92,"5,502",12.01,12.01,11.82,0,0,0
05/11/2024,11.92,"20,118",11.92,12.01,11.73,0,0,0
04/11/2024,11.73,"81,801",12.01,12.01,11.73,0,0,0
01/11/2024,12.01,"30,355",12.10,12.10,12.01,0,0,0
31/10/2024,12.10,"13,400",12.10,12.10,12.10,0,0,0
30/10/2024,12.10,"39,428",12.10,12.29,12.10,0,0,0
29/10/2024,12.01,"36,500",12.01,12.10,11.82,0,0,0
28/10/2024,11.92,"2,001",11.92,12.10,11.92,0,0,0
25/10/2024,12.20,"51,434",12.10,12.20,11.92,0,0,0
24/10/2024,12.10,"5,848",12.20,12.29,12.10,0,0,0
23/10/2024,12.38,"8,930",12.20,12.38,12.10,0,0,0
22/10/2024,12.20,"23,002",12.20,12.48,12.20,0,0,0
21/10/2024,12.38,"179,400",12.57,12.66,12.01,0,0,0
18/10/2024,12.29,"49,883",12.29,12.29,12.20,0,0,0
17/10/2024,12.10,"18,713",12.20,12.29,12.10,0,0,0
16/10/2024,12.20,"67,675",11.92,12.20,11.92,0,0,0
15/10/2024,12.10,"2,600",12.20,12.20,11.92,0,0,0
14/10/2024,12.20,"44,513",12.10,12.57,12.01,0,0,0
11/10/2024,12.01,"18,316",12.01,12.01,12.01,0,0,0
10/10/2024,12.01,"35,969",12.10,12.10,12.01,0,0,0
09/10/2024,12.10,"32,700",12.01,12.10,12.01,0,0,0
08/10/2024,12.01,"41,725",12.01,12.10,12.01,0,0,0
07/10/2024,11.92,"21,800",12.01,12.01,11.92,0,0,0
04/10/2024,12.01,"31,200",11.92,12.01,11.92,0,0,0
03/10/2024,11.92,"47,529",11.92,11.92,11.82,0,0,0
02/10/2024,12.10,"38,100",11.92,12.10,11.82,0,0,0
01/10/2024,12.10,"68,192",12.10,12.20,12.01,0,0,0
30/09/2024,12.10,"93,410",11.82,12.10,11.73,0,0,0
27/09/2024,11.82,"20,241",11.92,11.92,11.73,0,0,0
26/09/2024,11.92,"19,170",11.92,11.92,11.64,0,0,0
25/09/2024,11.92,"88,140",11.73,11.92,11.73,0,0,0
24/09/2024,11.82,"14,800",11.73,11.92,11.73,0,0,0
23/09/2024,11.92,"5,311",11.92,11.92,11.73,0,0,0
20/09/2024,11.92,"51,950",11.82,12.10,11.82,0,0,0
19/09/2024,11.82,"8,301",11.82,11.82,11.64,0,0,0
18/09/2024,11.73,"17,300",11.82,11.82,11.64,0,0,0
