Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,2.65,"60,200",2.60,2.65,2.60,0,0,0
20/03/2025,2.60,"11,200",2.62,2.62,2.60,0,0,0
19/03/2025,2.62,"7,900",2.65,2.65,2.61,0,0,0
18/03/2025,2.65,"27,700",2.66,2.69,2.65,0,0,0
17/03/2025,2.66,"7,100",2.68,2.70,2.65,0,0,0
14/03/2025,2.65,"19,900",2.66,2.66,2.61,0,0,0
13/03/2025,2.66,"79,000",2.67,2.67,2.58,0,0,0
12/03/2025,2.67,"24,100",2.68,2.68,2.63,0,0,0
11/03/2025,2.68,"37,800",2.64,2.69,2.64,0,0,0
10/03/2025,2.69,"29,900",2.71,2.71,2.63,0,0,0
07/03/2025,2.72,"21,300",2.66,2.72,2.60,0,0,0
06/03/2025,2.73,"50,800",2.66,2.73,2.66,0,0,0
05/03/2025,2.73,"3,500",2.73,2.73,2.70,0,0,0
04/03/2025,2.73,"12,400",2.73,2.77,2.68,0,0,0
03/03/2025,2.73,"25,400",2.72,2.79,2.69,0,0,0
28/02/2025,2.73,"72,400",2.74,2.75,2.73,0,0,0
27/02/2025,2.73,"56,800",2.78,2.78,2.69,0,0,0
26/02/2025,2.73,"74,400",2.78,2.78,2.68,0,0,0
25/02/2025,2.72,"33,400",2.72,2.74,2.69,0,0,0
24/02/2025,2.72,"36,200",2.71,2.78,2.71,0,0,0
21/02/2025,2.71,"61,200",2.76,2.76,2.66,0,0,0
20/02/2025,2.76,"51,000",2.73,2.76,2.70,0,0,0
19/02/2025,2.73,"153,700",2.69,2.73,2.66,0,0,0
18/02/2025,2.67,"76,200",2.65,2.67,2.62,0,0,0
17/02/2025,2.65,"83,500",2.65,2.65,2.60,0,0,0
14/02/2025,2.65,"33,700",2.64,2.65,2.59,0,"3,000",-0.0
13/02/2025,2.64,"53,100",2.63,2.64,2.58,0,0,0
12/02/2025,2.58,"150,000",2.62,2.63,2.55,0,0,0
11/02/2025,2.65,"57,100",2.64,2.65,2.59,0,0,0
10/02/2025,2.64,"62,100",2.65,2.65,2.52,0,0,0
07/02/2025,2.65,"59,400",2.61,2.66,2.58,0,0,0
06/02/2025,2.62,"26,800",2.66,2.66,2.55,0,0,0
05/02/2025,2.63,"48,400",2.63,2.65,2.58,0,0,0
04/02/2025,2.59,"50,200",2.55,2.64,2.53,0,0,0
03/02/2025,2.47,"69,700",2.60,2.62,2.45,0,0,0
24/01/2025,2.45,"75,700",2.60,2.60,2.43,0,0,0
23/01/2025,2.54,"126,900",2.60,2.69,2.54,0,0,0
22/01/2025,2.70,"31,500",2.70,2.76,2.64,0,0,0
21/01/2025,2.70,"53,400",2.74,2.75,2.61,0,0,0
20/01/2025,2.74,"38,800",2.70,2.80,2.70,0,0,0
17/01/2025,2.77,"188,700",2.74,2.80,2.57,0,0,0
16/01/2025,2.76,"32,100",2.80,2.80,2.70,0,0,0
15/01/2025,2.75,"15,500",2.78,2.80,2.70,0,0,0
