Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
20/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
19/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
18/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
17/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
14/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
13/03/2025,13.50,0,13.50,13.50,13.50,0,0,0
12/03/2025,13.50,100,13.50,13.50,13.50,0,0,0
11/03/2025,12.80,100,12.80,12.80,12.80,0,0,0
10/03/2025,13.40,"11,600",12,13.40,11.50,0,0,0
07/03/2025,13.20,"4,700",14.10,14.10,13.20,0,0,0
06/03/2025,15,700,17.30,17.30,15,0,0,0
05/03/2025,17.30,"5,600",15.70,17.30,13,0,0,0
04/03/2025,15.70,"11,800",11.80,15.70,11.80,0,0,0
03/03/2025,13.70,100,13.70,13.70,13.70,0,0,0
28/02/2025,12.30,300,12.30,13.30,12.30,0,0,0
27/02/2025,11.50,"3,200",13.50,14.20,11.50,0,0,0
26/02/2025,12.40,0,12.40,12.40,12.40,0,0,0
25/02/2025,12.40,100,12.40,12.40,12.40,0,0,0
24/02/2025,12.80,0,12.80,12.80,12.80,0,0,0
21/02/2025,12.80,100,12.80,12.80,12.80,0,0,0
20/02/2025,13.20,"1,100",11,13.20,11,0,0,0
19/02/2025,12.70,100,12.70,12.70,12.70,0,0,0
18/02/2025,12.80,400,12.80,12.80,11,0,0,0
17/02/2025,12.80,100,12.80,12.80,12.80,0,0,0
14/02/2025,12.80,900,12.80,12.80,12.80,0,0,0
13/02/2025,12.70,0,12.70,12.70,12.70,0,0,0
12/02/2025,12.80,200,12.50,12.80,12.50,0,0,0
11/02/2025,12.80,30,12.70,12.70,12.70,0,0,0
10/02/2025,12.80,400,12.50,12.80,12.50,0,0,0
07/02/2025,12.80,0,12.80,12.80,12.80,0,0,0
06/02/2025,12.80,10,12.80,12.80,12.80,0,0,0
05/02/2025,12.80,0,12.80,12.80,12.80,0,0,0
04/02/2025,12.80,400,12.90,12.90,12.60,0,0,0
03/02/2025,11.90,100,11.90,11.90,11.90,0,0,0
24/01/2025,12.50,818,12.20,12.50,10.60,0,0,0
23/01/2025,11,"1,400",11,11,11,0,0,0
22/01/2025,12,"3,300",10.50,12,10.50,0,0,0
21/01/2025,12,0,12,12,12,0,0,0
20/01/2025,11.10,"5,300",12.30,12.30,10.50,0,0,0
17/01/2025,12.20,0,12.20,12.20,12.20,0,0,0
16/01/2025,12.20,0,12.20,12.20,12.20,0,0,0
15/01/2025,12.20,0,12.20,12.20,12.20,0,0,0
14/01/2025,12.20,0,12.20,12.20,12.20,0,0,0
13/01/2025,12.20,100,12.20,12.20,12.20,0,0,0
10/01/2025,11.90,501,11.90,11.90,11.90,0,0,0
