Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,67.20,"33,300",67.20,67.20,66.30,263,"2,200",-0.1
20/03/2025,67.40,"14,400",67.30,67.40,66.60,"3,300","1,100",0.1
19/03/2025,67.30,"13,400",67.30,67.30,66.70,600,"2,300",-0.1
18/03/2025,67.30,"17,800",67.40,67.50,66.80,200,"4,000",-0.3
17/03/2025,67.40,"27,100",67.50,67.50,66,"9,100","3,200",0
14/03/2025,67,"64,700",65.20,67,65.10,100,"2,800",-0.2
13/03/2025,66.60,"38,900",66.70,66.70,65.60,"7,200","7,200",0.0
12/03/2025,66.70,"61,700",66.80,67,66.70,"4,000",0,0.3
11/03/2025,66.90,"49,200",67.70,67.70,66,"6,800",0,0.5
10/03/2025,67.80,"75,100",67.70,67.90,67.60,"3,800","5,400",-0.1
07/03/2025,67.60,"48,600",65.90,68,65,200,"3,600",-0.2
06/03/2025,66.90,"61,500",65.50,66.90,65.20,700,"2,101",-0.1
05/03/2025,65.90,"23,800",65.50,65.90,65.10,37,102,-0.0
04/03/2025,65.90,"32,700",63.20,65.90,63.20,200,313,-0.0
03/03/2025,66,"55,000",65.80,67,65.70,0,"2,800",-0.2
28/02/2025,66,"28,900",65.50,66,65.40,500,"2,200",-0.1
27/02/2025,66.40,"60,500",66.30,66.40,65,"1,500","2,900",-0.1
26/02/2025,66.70,"9,100",66.20,66.70,66.20,"1,100","1,700",-0.0
25/02/2025,67,"26,600",66.80,67,65.30,"2,300",800,0.1
24/02/2025,67.10,"44,900",67.30,67.40,66.20,300,"1,200",-0.1
21/02/2025,67.40,"21,000",68,68.10,67.10,0,"3,700",-0.3
20/02/2025,68,"107,300",66.60,68.60,66.40,"7,200","2,487",0.3
19/02/2025,66.60,"18,300",67,67,66,600,"4,900",-0.3
18/02/2025,66.90,"96,300",64.10,66.90,64.10,"4,000",100,0.3
17/02/2025,65.50,"55,600",65.50,65.50,64.30,700,800,-0.0
14/02/2025,65.50,"119,100",67.30,67.30,65,"29,800",800,1.9
13/02/2025,66,"112,500",67.10,67.30,65.10,600,"51,900",-3.4
12/02/2025,67.40,"17,617",68.50,68.50,66.80,0,700,-0.0
11/02/2025,67.40,"56,261",67.90,68.20,66.60,450,"6,300",-0.4
10/02/2025,67.90,"54,271",66.60,67.90,64.80,"13,800",100,0.9
07/02/2025,66.80,"31,878",69,69,66.80,"1,300","5,400",-0.3
06/02/2025,69,"90,524",63.30,69,62.70,"17,700","1,700",1.0
05/02/2025,63.50,"34,583",63.50,63.70,62.70,610,500,0.0
04/02/2025,63.50,"46,216",63.50,63.50,62,"1,100","5,600",-0.3
03/02/2025,63.50,"14,000",63,63.50,62.20,"2,100","3,000",0
24/01/2025,63,"84,855",63.50,63.50,62.20,"1,705","37,600",-2.2
23/01/2025,63.50,"64,085",63,63.50,62.30,"2,300","16,600",-0.9
22/01/2025,62.80,"87,083",61.90,63.10,61.40,"6,600","21,100",-0.9
21/01/2025,62,"30,829",61.60,62,61.20,"1,812",0,0.1
20/01/2025,62,"55,423",63.90,63.90,61.40,"3,100","1,500",0.1
