Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,3.60,"9,400",3.40,3.60,3.20,0,0,0
20/03/2025,3.70,"1,600",3.60,3.70,3.60,0,0,0
19/03/2025,3.70,"7,500",3.60,3.70,3.60,0,0,0
18/03/2025,3.60,"5,400",3.70,3.70,3.60,0,0,0
17/03/2025,3.60,"29,500",3.50,3.80,3.50,0,0,0
14/03/2025,3.40,"6,900",3.40,3.50,3.40,0,0,0
13/03/2025,3.50,"8,200",3.50,3.50,3.40,0,0,0
12/03/2025,3.50,200,3.50,3.50,3.50,0,0,0
11/03/2025,3.40,600,3.50,3.50,3.40,0,0,0
10/03/2025,3.50,"10,200",3.50,3.50,3.50,0,0,0
07/03/2025,3.50,"1,300",3.50,3.50,3.50,0,0,0
06/03/2025,3.50,"3,600",3.50,3.60,3.50,0,0,0
05/03/2025,3.50,"9,000",3.60,3.60,3.50,0,0,0
04/03/2025,3.50,"26,700",3.50,3.60,3.50,0,0,0
03/03/2025,3.50,"6,200",3.40,3.50,3.40,0,0,0
28/02/2025,3.50,"14,400",3.50,3.50,3.40,0,"1,000",-0.0
27/02/2025,3.50,"12,500",3.50,3.50,3.50,0,0,0
26/02/2025,3.50,"29,300",3.50,3.50,3.40,0,0,0
25/02/2025,3.50,"40,000",3.50,3.60,3.50,0,0,0
24/02/2025,3.50,"9,500",3.50,3.50,3.50,0,0,0
21/02/2025,3.70,800,3.70,3.70,3.60,0,0,0
20/02/2025,3.90,"54,100",3.50,3.90,3.50,0,0,0
19/02/2025,3.50,"5,800",3.60,3.60,3.40,0,0,0
18/02/2025,3.40,"3,000",3.40,3.40,3.40,0,0,0
17/02/2025,3.40,"6,600",3.40,3.40,3.40,0,0,0
14/02/2025,3.40,"12,800",3.40,3.40,3.40,0,0,0
13/02/2025,3.40,"8,400",3.50,3.50,3.30,0,0,0
12/02/2025,3.40,"4,754",3.60,3.60,3.40,0,0,0
11/02/2025,3.50,"12,800",3.50,3.50,3.40,0,0,0
10/02/2025,3.40,"25,000",3.40,3.40,3.40,0,0,0
07/02/2025,3.40,"24,025",3.50,3.50,3.40,0,0,0
06/02/2025,3.40,"7,250",3.40,3.40,3.40,0,0,0
05/02/2025,3.40,"1,400",3.50,3.50,3.40,0,0,0
04/02/2025,3.40,"27,000",3.40,3.40,3.40,0,0,0
03/02/2025,3.40,"16,000",3.40,3.40,3.40,0,0,0
24/01/2025,3.40,"18,700",3.30,3.40,3.30,0,0,0
23/01/2025,3.40,"13,900",3.40,3.40,3.40,0,0,0
22/01/2025,3.40,"11,000",3.40,3.40,3.40,0,0,0
21/01/2025,3.40,"56,500",3.30,3.60,3.20,0,0,0
20/01/2025,3.30,"9,600",3.30,3.30,3.30,0,0,0
17/01/2025,3.30,"2,000",3.30,3.30,3.30,0,0,0
16/01/2025,3.30,"1,400",3.30,3.30,3.30,0,0,0
15/01/2025,3.30,"1,001",3.30,3.30,3.30,0,0,0
14/01/2025,3.30,"12,400",3.30,3.30,3.30,0,0,0
13/01/2025,3.30,"10,400",3.30,3.30,3.30,0,0,0
10/01/2025,3.30,"5,400",3.20,3.30,3.20,0,0,0
09/01/2025,3.40,921,3.30,3.40,3.30,0,0,0
08/01/2025,3.30,"8,500",3.30,3.30,3.30,0,0,0
07/01/2025,3.30,"1,803",3.40,3.40,3.30,0,0,0
06/01/2025,3.40,"2,412",3.30,3.40,3.30,0,0,0
03/01/2025,3.40,"1,718",3.30,3.40,3.30,0,0,0
02/01/2025,3.40,300,3.40,3.40,3.40,0,0,0
31/12/2024,3.50,"1,758",3.40,3.50,3.30,0,0,0
30/12/2024,3.40,"16,600",3.40,3.40,3.30,0,0,0
27/12/2024,3.40,400,3.40,3.40,3.40,0,0,0
26/12/2024,3.40,"63,948",3.40,3.60,3.40,0,0,0
25/12/2024,3.40,"1,010",3.40,3.40,3.30,0,0,0
24/12/2024,3.30,"9,100",3.30,3.40,3.30,0,0,0
23/12/2024,3.40,"10,312",3.30,3.40,3.30,0,0,0
20/12/2024,3.30,"9,100",3.20,3.30,3.20,0,0,0
19/12/2024,3.30,"38,009",3.30,3.30,3.30,0,0,0
18/12/2024,3.40,"57,720",3.40,3.50,3.30,0,0,0
17/12/2024,3.40,"27,301",3.40,3.40,3.30,0,0,0
16/12/2024,3.40,"2,000",3.40,3.40,3.40,0,0,0
13/12/2024,3.40,800,3.40,3.40,3.30,0,0,0
12/12/2024,3.40,"26,301",3.40,3.40,3.40,0,0,0
11/12/2024,3.40,"31,800",3.40,3.40,3.40,0,0,0
10/12/2024,3.50,"25,403",3.40,3.50,3.20,0,0,0
09/12/2024,3.50,"5,500",3.50,3.50,3.50,0,0,0
06/12/2024,3.50,"33,100",3.40,3.50,3.40,0,0,0
05/12/2024,3.40,"22,525",3.40,3.40,3.40,0,0,0
04/12/2024,3.50,"42,200",3.40,3.50,3.40,0,0,0
03/12/2024,3.30,"33,000",3.30,3.30,3.30,0,0,0
02/12/2024,3.40,"9,100",3.40,3.40,3.40,0,0,0
29/11/2024,3.40,"41,200",3.50,3.50,3.40,0,0,0
28/11/2024,3.40,"34,600",3.40,3.40,3.30,0,0,0
27/11/2024,3.40,"24,000",3.40,3.40,3.30,0,0,0
26/11/2024,3.50,"34,191",3.40,3.50,3.30,0,0,0
25/11/2024,3.40,"3,001",3.40,3.40,3.40,0,0,0
22/11/2024,3.40,"3,200",3.40,3.50,3.40,0,0,0
21/11/2024,3.40,"25,727",3.60,3.70,3.40,0,0,0
20/11/2024,3.60,"98,800",3.40,3.60,3.40,0,0,0
19/11/2024,3.40,"118,700",3.40,3.40,3.40,0,0,0
18/11/2024,3.40,"98,509",3.40,3.40,3.30,0,0,0
15/11/2024,3.40,"43,000",3.40,3.40,3.30,0,0,0
14/11/2024,3.50,"116,200",3.50,3.70,3.30,0,0,0
13/11/2024,3.40,"11,700",3.30,3.40,3.30,0,0,0
12/11/2024,3.40,100,3.40,3.40,3.40,0,0,0
11/11/2024,3.30,"82,910",3.30,3.40,3.30,0,0,0
08/11/2024,3.40,"33,300",3.50,3.50,3.30,0,0,0
07/11/2024,3.50,"32,301",3.60,3.80,3.40,0,0,0
06/11/2024,3.60,"83,701",3.40,3.60,3.30,0,0,0
05/11/2024,3.30,"57,700",3.30,3.40,3.30,0,0,0
04/11/2024,3.30,"8,100",3.40,3.40,3.30,0,0,0
01/11/2024,3.30,"13,500",3.40,3.40,3.30,0,0,0
31/10/2024,3.40,"9,005",3.30,3.40,3.30,0,0,0
30/10/2024,3.40,"103,701",3.30,3.40,3.30,0,0,0
29/10/2024,3.40,"47,712",3.50,3.50,3.30,0,0,0
28/10/2024,3.50,"116,501",3.80,3.80,3.40,0,0,0
25/10/2024,3.80,"176,500",4.10,4.10,3.80,0,0,0
24/10/2024,3.90,"331,431",3.60,3.90,3.60,0,0,0
23/10/2024,3.60,"32,800",3.40,3.60,3.40,0,0,0
22/10/2024,3.50,"3,800",3.50,3.50,3.50,0,0,0
21/10/2024,3.50,718,3.50,3.50,3.50,0,0,0
18/10/2024,3.50,600,3.60,3.60,3.50,0,0,0
17/10/2024,3.50,"4,100",3.50,3.50,3.50,0,0,0
16/10/2024,3.50,"59,300",3.50,3.60,3.50,0,0,0
15/10/2024,3.60,"129,418",3.60,3.70,3.50,0,0,0
14/10/2024,3.60,"92,300",3.50,3.60,3.10,0,0,0
11/10/2024,3.60,"47,500",3.60,3.70,3.50,0,0,0
10/10/2024,3.50,"169,540",3.90,4,3.40,0,0,0
09/10/2024,3.90,"75,900",4.30,4.30,3.90,0,0,0
08/10/2024,4,"195,141",3.80,4,3.80,0,0,0
07/10/2024,3.70,"26,600",3.60,3.70,3.40,0,0,0
04/10/2024,3.60,500,3.60,3.60,3.60,0,0,0
03/10/2024,3.60,"12,300",3.70,3.70,3.60,0,0,0
02/10/2024,3.60,"40,200",3.50,3.70,3.50,0,0,0
