Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,15.30,"934,400",15.20,16,15.20,0,0,0
20/03/2025,15.10,"172,800",14.80,15.20,14.70,0,0,0
19/03/2025,14.80,"94,200",14.80,14.90,14.70,0,0,0
18/03/2025,14.70,"435,800",14.90,15.10,14.70,0,0,0
17/03/2025,14.80,"94,700",14.50,15,14.50,0,0,0
14/03/2025,14.50,"197,600",14.60,14.70,14.40,0,0,0
13/03/2025,14.60,"252,800",14.90,14.90,14.50,0,0,0
12/03/2025,14.90,"221,200",15,15.20,14.80,0,0,0
11/03/2025,14.90,"121,600",14.80,15,14.60,0,0,0
10/03/2025,14.80,"232,800",15.20,15.30,14.80,0,0,0
07/03/2025,15,"206,100",15.20,15.20,14.80,0,0,0
06/03/2025,15.10,"192,900",15,15.30,14.80,0,0,0
05/03/2025,14.90,"317,400",15.30,15.30,14.70,0,0,0
04/03/2025,15.40,"549,200",15.70,15.80,14.90,0,0,0
03/03/2025,15.60,"710,600",15.40,15.90,15.40,0,0,0
28/02/2025,15.40,"277,600",15.50,15.80,15.30,0,0,0
27/02/2025,15.50,"438,200",15.70,15.80,15.10,0,0,0
26/02/2025,15.70,"432,900",16,16.10,14.10,0,0,0
25/02/2025,15.90,"1,118,300",14.40,16,14.20,0,0,0
24/02/2025,14.20,"127,400",14.10,14.30,13.90,0,0,0
21/02/2025,14,"128,400",14.60,14.60,13.80,0,0,0
20/02/2025,14.40,"54,200",14.60,14.80,14.30,0,0,0
19/02/2025,14.50,"455,800",13.20,15,13.10,0,0,0
18/02/2025,13.10,"47,700",13.10,13.20,13,0,0,0
17/02/2025,13.10,"43,500",13.20,13.20,13.10,0,0,0
14/02/2025,13.20,"100,300",13.30,13.40,13,0,0,0
13/02/2025,13.10,"38,100",13,13.30,13,0,0,0
12/02/2025,12.90,"22,337",12.90,13.20,12.80,0,0,0
11/02/2025,13,"42,310",13.10,13.20,13,0,0,0
10/02/2025,13.10,"20,200",13.20,13.40,13,0,0,0
07/02/2025,13.30,"40,201",13.10,13.30,13.10,0,0,0
06/02/2025,13,"49,692",12.90,13.30,12.90,0,0,0
05/02/2025,12.90,"51,419",12.80,12.90,12.70,0,0,0
04/02/2025,12.80,"17,857",12.80,13,12.70,0,0,0
03/02/2025,12.80,"25,600",12.90,12.90,12.70,0,0,0
24/01/2025,12.90,"5,900",12.70,12.90,12.70,0,0,0
23/01/2025,12.80,"16,060",12.60,12.80,12.60,0,0,0
22/01/2025,12.50,"28,737",12.80,12.80,12.40,0,0,0
21/01/2025,12.70,"44,700",12.70,12.80,10.80,0,0,0
20/01/2025,12.80,"10,300",12.70,12.80,12.60,0,0,0
17/01/2025,12.70,"35,300",12.70,12.80,12.70,0,0,0
16/01/2025,12.80,"24,200",12.80,13,12.80,0,0,0
15/01/2025,12.80,"20,601",12.70,12.90,12.70,0,0,0
14/01/2025,12.70,"29,830",12.80,12.80,12.70,0,0,0
13/01/2025,12.80,"21,190",12.90,13,12.80,0,0,0
10/01/2025,12.80,"42,662",13,13,12.80,0,0,0
09/01/2025,12.90,"10,211",12.90,12.90,12.80,0,0,0
08/01/2025,12.90,"27,950",13,13,12.90,0,0,0
07/01/2025,13,"62,951",13,13.20,13,0,0,0
06/01/2025,13.10,"27,100",13.30,13.30,13.10,0,0,0
03/01/2025,13.40,"25,550",13.40,13.40,13.30,0,0,0
02/01/2025,13.50,"65,720",13.60,13.70,13.30,0,0,0
31/12/2024,13.60,"156,357",13.50,13.60,13.20,0,0,0
30/12/2024,13.40,"87,980",13.60,13.60,13.40,0,0,0
27/12/2024,13.70,"81,649",13.70,13.70,13.50,0,0,0
26/12/2024,13.50,"206,942",13.30,13.80,13.20,0,0,0
25/12/2024,13.10,"40,280",13,13.20,13,0,0,0
24/12/2024,13,"11,638",13.20,13.20,13,0,0,0
23/12/2024,13.20,"41,900",13.20,13.40,13.20,0,0,0
20/12/2024,13.20,"21,781",13.20,13.20,13.10,0,0,0
19/12/2024,13.20,"21,700",13.10,13.20,13,0,0,0
18/12/2024,13.10,"61,200",13,13.30,13,0,0,0
17/12/2024,13,"21,547",13.10,13.10,12.90,0,0,0
16/12/2024,13,"45,600",13,13.30,11.60,0,0,0
13/12/2024,13.20,"25,300",13.10,13.30,13.10,0,0,0
12/12/2024,13.20,"31,500",13.30,13.40,13.20,0,0,0
11/12/2024,13.30,"31,900",13.20,13.30,13.20,0,0,0
10/12/2024,13.20,"55,518",13.20,13.50,13.20,0,0,0
09/12/2024,13.30,"19,100",13.30,13.40,13.30,0,0,0
06/12/2024,13.30,"77,747",13.40,13.40,13.20,0,0,0
05/12/2024,13.50,"100,501",13.40,13.60,13,0,0,0
04/12/2024,13.30,"27,512",13.40,13.40,13.30,0,0,0
03/12/2024,13.40,"27,050",13.40,13.50,13.40,0,0,0
02/12/2024,13.40,"64,239",13.40,13.50,13.40,0,0,0
29/11/2024,13.40,"46,100",13.50,13.50,13.40,0,0,0
28/11/2024,13.50,"24,446",13.70,13.70,13.40,0,0,0
27/11/2024,13.60,"97,815",13.30,13.70,13.20,0,0,0
26/11/2024,13.20,"66,000",13,13.30,13,0,0,0
25/11/2024,13.10,"30,700",13.10,13.10,13,0,0,0
22/11/2024,13.30,"38,447",13,13.30,13,0,0,0
21/11/2024,13.20,"25,861",13.20,13.20,13,0,0,0
20/11/2024,13.20,"29,105",13.10,13.30,13,0,0,0
19/11/2024,13.20,"12,200",13.20,13.40,13.20,0,0,0
18/11/2024,13.20,"50,453",13.30,13.50,13.20,0,0,0
15/11/2024,13.30,"185,745",13.20,13.50,13.20,0,0,0
14/11/2024,13.20,"88,900",13.80,13.90,13.20,0,0,0
13/11/2024,13.90,"30,463",13.80,13.90,13.70,0,0,0
12/11/2024,13.90,"43,517",14,14,13.80,0,0,0
11/11/2024,14,"71,737",14,14.10,13.90,0,0,0
08/11/2024,14.10,"73,442",14.20,14.20,14.10,0,0,0
07/11/2024,14.20,"84,500",14.30,14.30,14.20,0,0,0
06/11/2024,14,"71,346",13.70,14.20,13.70,0,0,0
05/11/2024,13.50,"18,522",13.80,13.90,13.50,0,0,0
04/11/2024,13.50,"31,810",13.50,13.70,13.50,0,0,0
01/11/2024,13.60,"38,500",13.70,13.70,13.60,0,0,0
31/10/2024,13.80,"15,623",13.70,13.80,13.70,0,0,0
30/10/2024,13.70,"18,624",13.90,13.90,13.70,0,0,0
29/10/2024,13.80,"20,400",14,14,13.80,0,0,0
28/10/2024,13.90,"13,340",13.90,13.90,13.70,0,0,0
25/10/2024,13.90,"15,425",13.90,14,13.80,0,0,0
24/10/2024,13.80,"32,028",14.10,14.10,13.80,0,0,0
23/10/2024,14.10,"19,829",13.90,14.10,13.90,0,0,0
22/10/2024,14,"43,317",14.30,14.30,14,0,0,0
21/10/2024,14.20,"47,032",14.40,14.40,14.20,0,0,0
18/10/2024,14.40,"32,294",14.40,14.50,14.30,0,0,0
17/10/2024,14.50,"100,318",14.30,14.50,14.30,0,"40,000",-0.6
16/10/2024,14.40,"61,121",14.40,14.40,14.30,0,0,0
15/10/2024,14.40,"194,745",14.40,14.50,14.30,0,0,0
14/10/2024,14.40,"48,119",14.60,14.60,14.30,0,0,0
11/10/2024,14.50,"51,354",15,15,14.50,0,0,0
10/10/2024,14.50,"95,708",14.40,14.60,14.30,0,0,0
09/10/2024,14.50,"143,208",14.50,14.70,14.40,0,0,0
08/10/2024,14.60,"172,407",14.40,14.60,14.30,0,0,0
07/10/2024,14.20,"208,366",14.20,14.70,14.20,0,0,0
04/10/2024,14.10,"170,421",14.20,14.30,14,0,0,0
03/10/2024,14.10,"256,277",14.40,14.40,14,0,0,0
02/10/2024,14.40,"759,071",14,14.70,14,0,0,0
