Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.35,"802,400",12.45,12.85,12.35,"43,800","65,600",0
20/03/2025,12.20,"351,500",12.15,12.30,12.15,"169,000","15,600",1.9
19/03/2025,12.25,"544,800",12.20,12.30,12.20,"225,400",300,2.7
18/03/2025,12.30,"330,500",12.35,12.40,12.20,"2,600","4,400",-0.0
17/03/2025,12.30,"359,000",12.40,12.40,12.20,"91,700","3,900",1.1
14/03/2025,12.15,"396,100",12.20,12.30,12.10,200,"1,300",-0.0
13/03/2025,12.20,"742,300",12.10,12.55,12.10,"2,100","69,200",-0.8
12/03/2025,12.10,"848,900",12.25,12.40,12.10,"5,100","22,300",-0.2
11/03/2025,12.30,"1,220,100",12.15,12.30,12.10,"117,100","115,900",0.0
10/03/2025,12.45,"748,300",12.35,12.65,12.20,"46,200","106,800",-0.8
07/03/2025,12.40,"745,900",12.65,12.65,12.35,14,"117,500",-1.5
06/03/2025,12.65,"2,368,700",12.80,12.80,11.95,"10,500","321,100",-3.9
05/03/2025,12.80,"1,340,800",13.40,13.40,12.80,0,"253,700",-3.3
04/03/2025,13.40,"2,864,000",12.90,13.70,12.90,"357,600","88,735",3.6
03/03/2025,12.85,"899,200",12.75,12.90,12.60,"207,600","23,100",2.4
28/02/2025,12.55,"1,006,500",12.85,13.05,12.50,"31,500","162,900",-1.7
27/02/2025,12.70,"974,200",12.55,12.70,12.35,"34,700","51,900",-0.2
26/02/2025,12.55,"967,600",12.65,12.95,12.50,"70,900","54,700",0.2
25/02/2025,12.65,"1,054,700",12.80,12.85,12.55,"397,600","31,600",4.6
24/02/2025,12.80,"1,309,800",12.55,13.10,12.50,"276,500","41,600",3.0
21/02/2025,12.50,"654,700",12.45,12.65,12.30,"131,100","92,400",0.5
20/02/2025,12.45,"1,349,800",13.20,13.35,12.30,"15,400","237,800",-2.8
19/02/2025,12.90,"1,882,500",12.50,12.95,12.50,"759,100","78,100",8.8
18/02/2025,12.55,"1,834,700",12.40,13.05,12.25,"522,100","215,300",3.8
17/02/2025,12.25,"833,000",12.25,12.55,12.05,"243,100","5,800",2.9
14/02/2025,12.25,"625,100",12.60,12.60,12.15,"73,000","67,700",0.1
13/02/2025,12.20,"540,300",12.45,12.50,12.15,"60,700","31,300",0.4
12/02/2025,12.45,"392,300",12.30,12.50,12.05,"72,800","23,800",0.6
11/02/2025,12.30,"1,181,700",13,13.20,12.20,"62,100","104,200",-0.5
10/02/2025,12.95,"959,000",12.80,13.20,12.60,"20,800","94,200",-0.9
07/02/2025,12.65,"2,861,000",11.85,12.65,11.70,"237,100","106,800",1.6
06/02/2025,11.85,"628,700",12,12,11.60,"104,100","42,800",0.7
05/02/2025,11.80,"1,804,700",12.20,12.45,11.70,"63,500","224,300",-1.9
04/02/2025,11.90,"553,500",11.90,11.90,11.90,"40,000",0,0.5
03/02/2025,11.15,"548,000",10.95,11.15,10.90,"35,100","27,000",0.1
24/01/2025,10.45,"452,400",10.20,10.60,10.15,"81,800","2,300",0.8
23/01/2025,10.15,"358,300",10.05,10.25,10.05,"55,000","3,200",0.5
22/01/2025,10.15,"353,000",10.30,10.30,10.10,"21,300","29,300",-0.1
21/01/2025,10.30,"311,500",10.20,10.35,10.20,"20,800","20,000",0.0
20/01/2025,10.25,"227,100",10.20,10.40,10.20,"8,000","8,300",-0.0
17/01/2025,10.30,"293,500",10.50,10.50,10.25,"24,500","22,700",0.0
16/01/2025,10.50,"357,500",10.55,10.90,10.40,"13,300","1,400",0.1
15/01/2025,10.45,"492,600",10,10.50,10,"137,100",0,1.4
14/01/2025,10.05,"1,011,800",10.70,10.75,10,"62,435","90,200",-0.3
13/01/2025,10.75,"460,400",10.80,11,10.35,"1,400",0,0.0
10/01/2025,10.85,"498,000",11.30,11.30,10.85,0,"3,900",-0.0
09/01/2025,11.30,"413,100",11.45,11.55,11.20,"90,200","5,000",1.0
08/01/2025,11.45,"178,200",11.50,11.50,11.20,100,0,0.0
07/01/2025,11.50,"339,700",11.30,11.60,11.10,"2,800","5,700",-0.0
06/01/2025,11.30,"652,100",11.25,11.95,11.25,"6,100","22,300",-0.2
03/01/2025,11.25,"399,500",11.50,11.65,11.25,100,"44,700",-0.5
02/01/2025,11.50,"286,600",11.55,11.85,11.45,"5,700","7,700",-0.0
31/12/2024,11.70,"258,500",11.80,11.80,11.55,0,"5,600",-0.1
30/12/2024,11.75,"810,800",11.30,12.05,11.05,"57,400","32,600",0.3
27/12/2024,11.30,"371,100",11.55,11.55,11.30,"17,300","15,400",0.0
26/12/2024,11.50,"295,700",11.70,11.70,11.40,"5,600","23,400",-0.2
25/12/2024,11.70,"614,200",11.55,11.90,11.55,0,"2,700",-0.0
24/12/2024,11.70,"1,361,300",11.90,11.90,11.10,"21,000","47,200",-0.3
23/12/2024,11.75,"734,100",11.85,12.30,11.65,"16,400","67,400",-0.6
20/12/2024,12,"1,426,800",12.45,12.50,11.85,200,"18,300",-0.2
19/12/2024,12.45,"1,472,800",12.20,12.65,12.20,"36,700","122,300",-1.1
18/12/2024,12.10,"966,100",11.40,12.10,11.20,"115,100","33,500",0.9
17/12/2024,11.35,"214,900",11.30,11.45,11.25,"11,300","4,000",0.1
16/12/2024,11.45,"307,800",11.50,11.50,11.15,"64,000","1,000",0.7
13/12/2024,11.35,"468,200",11.60,11.60,11.25,"19,600",900,0.2
12/12/2024,11.55,"380,400",11.95,11.95,11.55,0,"23,300",-0.3
11/12/2024,11.75,"459,700",12.05,12.05,11.75,"1,000","12,000",-0.1
10/12/2024,11.85,"392,400",12,12.05,11.85,0,"56,300",-0.7
09/12/2024,12,"630,700",11.85,12.20,11.80,"27,700","45,800",-0.2
06/12/2024,11.85,"755,200",12.05,12.10,11.85,"8,200","116,600",-1.3
05/12/2024,12.05,"643,500",12,12.15,11.80,"95,200",500,1.1
04/12/2024,11.90,"400,300",12,12.20,11.80,"54,900","24,300",0.4
03/12/2024,12,"931,000",12.20,12.40,11.80,"76,800","24,000",0.6
02/12/2024,12.45,"745,500",13.30,13.30,12.25,0,0,0
29/11/2024,12.80,"532,000",12.80,13,12.60,"1,900","2,000",-0.0
28/11/2024,12.80,"2,437,300",13.40,13.40,12.50,"122,500","245,900",-1.6
27/11/2024,12.55,"234,600",12.55,12.55,12.55,0,0,0
26/11/2024,11.75,"167,100",11.75,11.75,11.75,0,0,0
25/11/2024,11,"1,142,800",11.75,11.85,10.95,"19,700","57,400",-0.5
22/11/2024,11.75,"642,800",12.20,12.45,11.70,"10,000","58,500",-0.6
21/11/2024,12.20,"1,684,100",10.80,12.30,10.75,"239,900","98,700",1.5
20/11/2024,11.55,"1,038,400",11.70,12,11.55,"17,100","1,600",0.2
19/11/2024,12.40,"1,894,100",12.70,13.05,12.40,"1,800","48,400",-0.6
18/11/2024,13.30,"964,600",12.85,13.40,12.65,"204,200","29,100",2.3
15/11/2024,12.80,"637,300",13.30,13.30,12.60,"4,800","14,000",-0.1
14/11/2024,13.10,"1,085,700",12.85,13.55,12.85,"29,000","70,700",-0.6
13/11/2024,12.80,"1,444,800",13.50,13.50,12.65,"38,500","42,400",-0.1
12/11/2024,13.55,"817,700",14.10,14.20,13.40,"10,900","70,800",-0.8
11/11/2024,13.85,"1,620,500",14.20,14.20,13.60,"38,500","132,600",-1.3
08/11/2024,13.30,"983,600",13.60,13.60,12.80,"49,600","110,900",-0.8
07/11/2024,13.60,"984,200",14.35,14.35,13.50,"2,000","180,000",-2.5
06/11/2024,13.65,"1,499,300",12.85,13.65,12.85,0,0,0
05/11/2024,12.80,"1,956,500",13.25,13.90,12.50,"80,500","126,600",-0.7
04/11/2024,13.05,"2,235,800",12.20,13.05,12.20,"172,000","33,800",1.8
01/11/2024,12.20,"969,000",11.80,12.50,11.80,"47,400","137,300",-1.1
31/10/2024,11.90,"1,377,400",11.95,11.95,11.55,"44,700","21,600",0.3
30/10/2024,11.20,"988,700",10.50,11.20,10.25,"103,800","57,300",0.5
29/10/2024,10.50,"1,091,400",10.90,10.90,10.45,"8,700","104,700",-1.0
28/10/2024,10.70,"877,400",10.60,10.90,10.50,"19,700","59,600",-0.4
25/10/2024,10.90,"803,500",11,11.50,10.70,"11,200","104,200",-1.0
24/10/2024,11,"2,603,500",9.60,11,9.60,"247,300","60,600",1.9
23/10/2024,10.30,"1,805,400",11.05,11.05,10.30,"72,400","97,200",-0.3
22/10/2024,11.05,"2,144,100",11.20,11.20,10.85,"53,800","176,500",-1.3
21/10/2024,10.50,"1,550,900",9.89,10.50,9.80,"66,000","1,000",0.7
18/10/2024,9.85,"1,014,400",9.85,9.90,9.63,"150,100","10,000",1.4
17/10/2024,9.60,"5,835,100",9.76,9.76,8.97,"171,700","496,500",-3.0
16/10/2024,9.13,"372,000",9.13,9.13,9.13,0,0,0
15/10/2024,8.54,"392,100",8.54,8.54,8.54,0,0,0
14/10/2024,7.99,"1,195,200",7.99,7.99,7.96,0,"5,900",-0.0
11/10/2024,7.47,"1,474,400",7.10,7.48,7.10,"249,800","19,600",1.7
10/10/2024,7.08,"877,400",7.01,7.17,7.01,"67,300","34,400",0.2
09/10/2024,7.01,"811,000",6.91,7.23,6.85,"18,600","81,300",-0.4
08/10/2024,6.81,"389,800",6.81,6.88,6.77,"13,900","70,500",-0.4
07/10/2024,6.81,"459,100",6.99,6.99,6.81,700,"98,400",-0.7
04/10/2024,6.81,"286,800",7.08,7.08,6.70,0,"92,500",-0.6
03/10/2024,6.90,"786,200",7.08,7.10,6.90,0,"156,200",-1.1
02/10/2024,7.09,"614,000",6.93,7.13,6.93,"24,300","73,400",-0.3
01/10/2024,7.14,"1,697,500",6.74,7.20,6.74,"159,500","3,000",1.1
30/09/2024,6.73,"446,700",6.66,6.78,6.66,"101,400",0,0.7
27/09/2024,6.73,"674,200",6.65,6.80,6.65,"128,000","8,900",0.8
26/09/2024,6.70,"503,200",6.79,6.80,6.66,"32,500","59,700",-0.2
25/09/2024,6.71,"372,800",6.62,6.80,6.62,"75,500","13,600",0.4
24/09/2024,6.61,"325,300",6.55,6.65,6.46,"1,100","61,800",-0.4
23/09/2024,6.55,"314,500",6.60,6.65,6.55,0,"63,900",-0.4
20/09/2024,6.60,"1,254,700",6.84,6.90,6.60,"47,300","135,000",-0.6
19/09/2024,6.83,"1,063,700",6.46,6.83,6.46,"211,300",0,1.4
18/09/2024,6.44,"417,500",6.33,6.60,6.33,"24,100","19,800",0.0
17/09/2024,6.35,"962,400",6.30,6.35,6.09,"48,900","17,000",0.2
16/09/2024,6.30,"926,100",6.42,6.42,6.27,"111,700","15,200",0.6
13/09/2024,6.35,"862,900",6.38,6.40,6.30,"103,600","3,200",0.6
12/09/2024,6.45,"359,000",6.33,6.67,6.33,"11,100","54,900",-0.3
11/09/2024,6.28,"490,800",6.28,6.38,6.22,"48,300","3,800",0.3
10/09/2024,6.36,"651,200",6.80,6.80,6.35,"10,600","69,800",-0.4
09/09/2024,6.75,"1,196,500",6.82,6.96,6.66,0,0,0
06/09/2024,6.56,"841,500",6.14,6.56,6.06,"22,100","59,100",-0.2
05/09/2024,6.14,"426,300",6.10,6.25,6.09,"72,300","23,000",0.3
04/09/2024,6.18,"423,000",5.99,6.20,5.99,"81,000","9,000",0.4
30/08/2024,6.20,"389,800",6.07,6.24,6.07,"23,300","16,600",0.0
29/08/2024,6.05,"687,900",6.40,6.40,6.05,0,"93,500",-0.6
28/08/2024,6.39,"495,500",6.41,6.56,6.30,0,"72,300",-0.5
27/08/2024,6.41,"234,000",6.49,6.49,6.34,"11,200","28,800",-0.1
26/08/2024,6.49,"515,700",6.36,6.60,6.36,"66,300","29,000",0.2
23/08/2024,6.38,"784,000",6.47,6.49,6.02,"93,000","21,700",0.5
22/08/2024,6.47,"815,100",6.83,6.83,6.40,"4,100","49,400",-0.3
21/08/2024,6.68,"936,400",6.93,6.94,6.62,"2,400","284,100",-1.9
20/08/2024,6.82,"930,200",6.76,7,6.64,"16,400","98,400",-0.6
19/08/2024,6.63,"1,877,700",6.15,6.63,6.15,"216,000","45,900",1.1
16/08/2024,6.20,"1,076,000",5.90,6.24,5.88,"291,600","102,400",1.2
15/08/2024,5.90,"384,000",6.08,6.08,5.86,"50,600","8,500",0.2
14/08/2024,6.07,"624,200",6.33,6.33,6.07,"3,400","18,900",-0.1
13/08/2024,6.07,"956,000",5.67,6.07,5.63,"119,200","63,600",0.3
12/08/2024,5.68,"621,100",5.70,5.79,5.59,"18,100","60,300",-0.2
09/08/2024,5.85,"595,700",5.88,5.98,5.70,"4,000","75,300",-0.4
08/08/2024,5.87,"786,500",6.16,6.16,5.85,"15,500","164,100",-0.9
07/08/2024,6.17,"692,900",6.15,6.20,5.91,"34,700","135,800",-0.6
06/08/2024,5.87,"1,809,700",5.95,6.16,5.73,"95,000","34,000",0.4
05/08/2024,6.16,"2,133,800",6.60,6.60,6.16,"60,300","79,700",-0.1
02/08/2024,6.62,"2,792,200",6.37,6.69,6.37,"223,000","89,700",0.9
01/08/2024,6.84,"1,489,400",7.37,7.38,6.84,"25,300","284,500",-1.8
31/07/2024,7.35,"6,231,500",7.74,7.74,7,"85,000","169,100",-0.6
30/07/2024,7.24,"757,000",7.24,7.24,7.01,"405,900","517,600",-0.7
29/07/2024,6.77,"7,507,900",5.89,6.77,5.89,"405,900","517,600",-0.7
26/07/2024,6.33,"124,300",6.33,6.33,6.33,0,0,0
25/07/2024,6.80,"51,000",6.80,6.80,6.80,0,0,0
24/07/2024,7.31,"65,900",7.31,7.31,7.31,0,0,0
23/07/2024,7.85,"321,100",7.85,7.85,7.85,0,0,0
22/07/2024,8.44,"59,700",8.44,8.44,8.44,"1,000",0,0.0
19/07/2024,9.07,"1,600,200",9.54,9.54,9.07,"37,200","14,100",0.2
18/07/2024,9.75,"2,569,200",10.30,10.40,9.54,"245,700","49,800",1.9
17/07/2024,10.25,"2,362,400",11,11.20,10.25,"363,400",0,3.8
16/07/2024,11,"658,200",10.75,11.40,10.75,"156,800","14,500",1.6
15/07/2024,11.25,"1,258,400",12.10,12.10,11.25,"64,700","46,700",0.2
12/07/2024,12,"371,700",12.45,12.45,12,0,"118,500",-1.4
11/07/2024,12.25,"582,500",12.35,12.75,12.20,"19,300","82,000",-0.8
10/07/2024,12.15,"317,300",12.10,12.30,11.85,"30,400","3,800",0.3
09/07/2024,12.10,"872,400",12,12.35,11.80,"175,400","5,300",2.0
08/07/2024,12.10,"471,600",12.40,12.70,12.10,"10,700","4,500",0.1
