Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,17.50,0,17.50,17.50,17.50,0,0,0
20/03/2025,17.50,0,17.50,17.50,17.50,0,0,0
19/03/2025,17.50,"3,900",17.40,18,16.40,0,0,0
18/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
17/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
14/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
13/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
12/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
11/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
10/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
07/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
06/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
05/03/2025,16.40,0,16.40,16.40,16.40,0,0,0
04/03/2025,16.40,900,16,16.40,16,0,0,0
03/03/2025,16.20,0,16.20,16.20,16.20,0,0,0
28/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
27/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
26/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
25/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
24/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
21/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
20/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
19/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
18/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
17/02/2025,16.20,0,16.20,16.20,16.20,0,0,0
14/02/2025,16.20,"4,300",17.90,18.70,16.20,0,900,-0.0
13/02/2025,18,0,18,18,18,0,0,0
12/02/2025,18,"1,200",16.30,18,16.20,0,0,0
11/02/2025,18,16,18,18,18,0,0,0
10/02/2025,18,0,18,18,18,0,0,0
07/02/2025,18,0,18,18,18,0,0,0
06/02/2025,18,0,18,18,18,0,0,0
05/02/2025,18,0,18,18,18,0,0,0
04/02/2025,18,"24,200",17.50,18,17.50,0,0,0
03/02/2025,17.50,0,17.50,17.50,17.50,0,0,0
24/01/2025,17.50,"28,600",15.30,17.50,15.30,0,100,-0.0
23/01/2025,17,0,17,17,17,0,0,0
22/01/2025,17,"44,500",16.50,17,16.50,0,0,0
21/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
20/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
17/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
16/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
15/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
14/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
13/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
10/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
09/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
08/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
07/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
06/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
03/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
02/01/2025,17.50,0,17.50,17.50,17.50,0,0,0
31/12/2024,17.50,200,17.50,17.50,17.50,0,200,-0.0
30/12/2024,16,0,16,16,16,0,0,0
27/12/2024,16,0,16,16,16,0,0,0
26/12/2024,16,0,16,16,16,0,0,0
25/12/2024,16,0,16,16,16,0,0,0
24/12/2024,16,0,16,16,16,0,0,0
23/12/2024,16,0,16,16,16,0,0,0
20/12/2024,16,"6,000",16,16,16,0,0,0
19/12/2024,15,0,15,15,15,0,0,0
18/12/2024,15,"1,700",13.50,15,13.50,0,200,-0.0
17/12/2024,14.20,300,14.20,14.20,14.20,0,0,0
16/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
13/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
12/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
11/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
10/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
09/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
06/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
05/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
04/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
03/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
02/12/2024,15.20,0,15.20,15.20,15.20,0,0,0
29/11/2024: Cá» tá»©c tiá»n máº·t tá» lá»:  6.5%,,,,,,,,
29/11/2024,15.20,"19,300",15.50,15.50,15.20,0,0,0
28/11/2024,14.85,500,14.85,14.85,14.85,0,0,0
27/11/2024,14.85,"11,200",14.85,14.85,14.85,0,0,0
26/11/2024,15.23,"44,950",15.33,15.33,15.23,0,0,0
25/11/2024,16.86,0,16.86,16.86,16.86,0,0,0
22/11/2024,16.86,0,16.86,16.86,16.86,0,0,0
21/11/2024,16.86,0,16.86,16.86,16.86,0,0,0
20/11/2024,16.86,"6,300",16.86,16.86,16.86,0,0,0
19/11/2024,15.33,100,15.33,15.33,15.33,0,0,0
18/11/2024,14.85,"11,500",14.85,14.85,14.75,0,0,0
15/11/2024,16.10,1,16.10,16.10,16.10,0,0,0
14/11/2024,16.10,"2,500",15.14,16.10,15.14,0,0,0
13/11/2024,15.14,0,15.14,15.14,15.14,0,0,0
12/11/2024,15.14,0,15.14,15.14,15.14,0,0,0
11/11/2024,15.14,"13,901",16.00,16.00,15.14,0,0,0
08/11/2024,14.95,"42,400",15.62,15.81,14.95,0,0,0
07/11/2024,14.95,"99,200",13.60,14.95,13.60,0,0,0
06/11/2024,13.60,0,13.60,13.60,13.60,0,0,0
05/11/2024,13.60,0,13.60,13.60,13.60,0,0,0
04/11/2024,13.60,0,13.60,13.60,13.60,0,0,0
01/11/2024,13.60,0,13.60,13.60,13.60,0,0,0
31/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
30/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
29/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
28/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
25/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
24/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
23/10/2024,13.60,0,13.60,13.60,13.60,0,0,0
22/10/2024,13.60,"15,700",12.93,13.60,12.93,0,0,0
21/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
18/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
17/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
16/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
15/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
14/10/2024,13.41,200,13.41,13.41,13.41,0,0,0
11/10/2024,13.22,"72,000",13.13,13.22,12.93,0,0,0
10/10/2024,13.70,"27,100",12.84,13.70,12.84,0,0,0
09/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
08/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
07/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
04/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
03/10/2024,13.41,0,13.41,13.41,13.41,0,0,0
02/10/2024,13.41,1,13.41,13.41,13.41,0,0,0
01/10/2024,13.41,"23,000",12.84,13.41,12.84,0,0,0
30/09/2024,13.41,"12,100",13.41,13.41,12.74,0,0,0
27/09/2024,13.70,0,13.70,13.70,13.70,0,0,0
26/09/2024,13.70,0,13.70,13.70,13.70,0,0,0
25/09/2024,13.70,"32,300",11.88,13.70,11.88,0,0,0
24/09/2024,12.93,0,12.93,12.93,12.93,0,0,0
23/09/2024,12.93,0,12.93,12.93,12.93,0,0,0
20/09/2024,12.93,400,12.84,12.93,12.84,0,0,0
19/09/2024,14.08,"26,300",12.93,14.08,12.84,0,0,0
18/09/2024,13.22,0,13.22,13.22,13.22,0,0,0
17/09/2024,13.22,0,13.22,13.22,13.22,0,0,0
16/09/2024,13.22,"35,600",13.03,13.22,12.74,0,0,0
13/09/2024,13.22,"8,000",13.22,13.22,13.22,0,0,0
12/09/2024,13.03,0,13.03,13.03,13.03,0,0,0
11/09/2024,13.03,0,13.03,13.03,13.03,0,0,0
10/09/2024,13.03,0,13.03,13.03,13.03,0,0,0
09/09/2024,13.03,0,13.03,13.03,13.03,0,0,0
06/09/2024,13.03,0,13.03,13.03,13.03,0,0,0
05/09/2024,13.03,"1,000",13.03,13.03,13.03,0,0,0
04/09/2024,14.28,"1,200",13.03,14.28,13.03,0,0,0
30/08/2024,14.28,0,14.28,14.28,14.28,0,0,0
29/08/2024,14.28,0,14.28,14.28,14.28,0,0,0
28/08/2024,14.28,0,14.28,14.28,14.28,0,0,0
27/08/2024,14.28,0,14.28,14.28,14.28,0,0,0
26/08/2024,14.28,"2,600",13.70,14.28,13.70,0,0,0
23/08/2024,14.28,"38,300",13.51,14.28,13.51,0,0,0
22/08/2024,14.18,0,14.18,14.18,14.18,0,0,0
21/08/2024,14.18,0,14.18,14.18,14.18,0,0,0
20/08/2024,14.18,"20,100",13.80,14.18,13.80,0,0,0
19/08/2024,14.37,"29,800",13.41,14.37,13.22,0,0,0
16/08/2024,14.37,"6,100",13.22,14.37,13.22,0,0,0
15/08/2024,13.60,"11,900",13.60,13.60,13.60,0,0,0
14/08/2024,14.37,"32,500",13.80,14.37,13.80,0,"14,900",-0.2
13/08/2024,13.89,"48,900",13.41,13.89,13.41,0,0,0
12/08/2024,13.41,"18,700",13.41,13.41,13.41,0,0,0
09/08/2024,13.89,"7,900",13.13,13.89,13.13,0,0,0
08/08/2024,12.93,"17,000",13.13,13.13,12.93,0,0,0
07/08/2024,13.70,0,13.70,13.70,13.70,0,0,0
06/08/2024,13.70,"4,800",13.70,13.70,13.70,0,0,0
05/08/2024,13.13,0,13.13,13.13,13.13,0,0,0
02/08/2024,13.13,"28,200",13.13,13.13,13.03,0,0,0
01/08/2024,11.98,"18,200",12.07,12.07,11.98,0,0,0
31/07/2024,12.36,0,12.36,12.36,12.36,0,0,0
30/07/2024,12.36,0,12.36,12.36,12.36,0,0,0
29/07/2024,12.36,0,12.36,12.36,12.36,0,0,0
26/07/2024,12.36,0,12.36,12.36,12.36,0,0,0
25/07/2024,12.36,"30,600",12.93,12.93,12.36,0,0,0
24/07/2024,12.65,"16,000",12.84,12.84,12.65,0,0,0
23/07/2024,12.93,"3,300",12.93,12.93,12.93,0,0,0
22/07/2024,12.84,"291,700",13.41,13.41,12.45,0,"362,475",-5.1
