Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13.90,"122,500",14,14,13.80,0,0,0
20/03/2025,14,"282,300",14,14,13.80,0,0,0
19/03/2025,14,"152,800",14,14,13.90,"30,000",0,0.4
18/03/2025,14,"300,400",13.90,14.10,13.80,0,0,0
17/03/2025,14,"138,000",13.90,14,13.80,0,0,0
14/03/2025,13.90,"158,500",13.80,14,13.80,0,0,0
13/03/2025,13.90,"1,731,100",14,14.10,13.80,0,0,0
12/03/2025,13.90,"511,400",13.70,14,13.40,0,0,0
11/03/2025,14,"385,500",13.90,14,13.80,0,0,0
10/03/2025,14,"722,400",14,14,13.80,200,0,0.0
07/03/2025,13.90,"171,600",13.90,13.90,13.80,0,0,0
06/03/2025,13.90,"274,300",13.90,14,13.80,0,0,0
05/03/2025,13.80,"1,094,300",14,14.10,13.80,0,0,0
04/03/2025,14,"341,700",13.80,14,13.80,"2,000",0,0.0
03/03/2025,13.90,"756,100",14.10,14.10,13.80,"1,000",0,0.0
28/02/2025,14,"1,023,500",13.90,14,13.80,0,0,0
27/02/2025,14,"643,400",14,14,13.80,0,0,0
26/02/2025,13.90,"182,900",14,14.10,13.90,0,0,0
25/02/2025,14,"2,041,500",14,14.20,13.90,0,0,0
24/02/2025,14,"362,400",14,14,13.80,0,0,0
21/02/2025,14,"269,300",14,14,13.90,0,"8,800",-0.1
20/02/2025,14,"512,000",14,14,13.90,0,"15,800",-0.2
19/02/2025,14,"1,553,400",13.80,14.20,13.80,0,0,0
18/02/2025,13.90,"269,600",13.90,14,13.70,0,0,0
17/02/2025,13.90,"271,200",13.90,14,13.90,0,"34,900",-0.5
14/02/2025,14,"348,300",13.90,14.10,13.80,100,0,0.0
13/02/2025,13.90,"618,800",13.80,14,13.60,0,0,0
12/02/2025,13.70,"215,402",13.60,13.80,13.60,0,0,0
11/02/2025,13.60,"212,878",13.80,13.80,13.60,0,0,0
10/02/2025,13.80,"877,061",13.60,14,13.60,0,300,-0.0
07/02/2025,13.60,"149,705",13.60,13.70,13.60,0,"1,000",-0.0
06/02/2025,13.60,"150,248",13.60,13.70,13.50,0,"8,000",-0.1
05/02/2025,13.60,"126,702",13.70,13.70,13.50,0,0,0
04/02/2025,13.60,"228,469",13.60,13.60,13.60,0,"69,800",-0.9
03/02/2025,13.60,"135,100",13.60,13.70,13.50,0,0,0
