Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,12.05,"4,200",12.20,12.20,11.30,0,0,0
20/03/2025,12.15,"1,200",12,12.15,12,0,500,-0.0
19/03/2025,12.20,0,12.20,12.20,12.20,0,0,0
18/03/2025,12.20,0,12.20,12.20,12.20,0,0,0
17/03/2025,12.20,600,12.20,12.20,12.20,0,0,0
14/03/2025,12.20,"5,200",12.20,12.20,12.20,0,0,0
13/03/2025,12.30,"2,200",12.30,12.30,12.30,0,0,0
12/03/2025,12.30,"1,300",12.20,12.30,12.20,0,0,0
11/03/2025,12.25,"5,900",12.20,12.25,12.20,0,0,0
10/03/2025,12.20,"2,800",12.20,12.20,12,0,0,0
07/03/2025,12.20,"5,900",12.20,12.20,12,0,0,0
06/03/2025,12.20,"5,000",12.20,12.20,12.05,0,500,-0.0
05/03/2025,12.15,"2,500",12.55,12.55,12.15,0,0,0
04/03/2025,12.55,300,12.10,12.60,12.10,0,0,0
03/03/2025,12.70,0,12.70,12.70,12.70,0,0,0
28/02/2025,12.70,"5,500",12.30,12.70,11.95,0,0,0
27/02/2025,12.80,"1,200",12.05,12.80,12.05,0,0,0
26/02/2025,12.85,0,12.85,12.85,12.85,0,0,0
25/02/2025,12.85,"16,800",12.70,12.85,12.60,0,100,-0.0
24/02/2025,12.50,"2,800",12.45,12.60,12.45,0,0,0
21/02/2025,12.40,700,12.35,12.40,12.35,0,0,0
20/02/2025,12.35,"3,900",12.65,12.65,12.35,0,0,0
19/02/2025,12.35,"2,300",12.35,12.35,12.20,0,100,-0.0
18/02/2025,12.35,"8,200",12.35,12.35,12.15,0,0,0
17/02/2025,12.35,"1,800",12.30,12.35,12.30,0,0,0
14/02/2025,12.30,"14,000",12.10,12.30,12.10,0,0,0
13/02/2025,12.10,"19,500",11.85,12.15,11.55,0,0,0
12/02/2025,11.90,"3,400",12.20,12.20,11.45,0,0,0
11/02/2025,11.85,"51,400",11.90,12,11.10,"1,800",800,0.0
10/02/2025,11.90,"16,500",12.50,12.50,11.90,0,0,0
07/02/2025,12.70,"8,200",12.85,12.90,12.60,0,0,0
06/02/2025,13.30,"62,400",14.15,14.20,13.20,800,0,0.0
05/02/2025,14.15,"2,300",13.80,14.70,13.80,0,0,0
04/02/2025,13.80,"3,200",13.70,13.80,13.65,0,0,0
03/02/2025,13.50,100,13.50,13.50,13.50,0,0,0
24/01/2025,13,"13,300",13,13.40,12.10,0,0,0
23/01/2025,12.85,"17,100",13.10,13.40,12.85,0,0,0
22/01/2025,13,"27,700",13.40,13.40,12.80,0,0,0
21/01/2025,13.40,"8,800",13.30,13.50,13.20,0,0,0
20/01/2025,13.40,"1,600",13.50,13.50,13.40,0,0,0
17/01/2025,13.50,"40,600",13.80,13.85,13.30,0,"10,000",-0.1
16/01/2025,13.80,"11,000",14,14,13.70,0,0,0
15/01/2025,13.80,"10,100",13.90,14,13.50,0,0,0
14/01/2025,13.80,"21,800",13.90,13.90,13.70,0,0,0
13/01/2025,13.90,"9,200",13.90,14,13.80,0,0,0
10/01/2025,13.90,"9,900",14.20,14.20,13.80,0,0,0
09/01/2025,14,"3,900",14,14.40,13.80,0,0,0
08/01/2025,14,"21,500",14.50,14.50,14,500,0,0.0
07/01/2025,14.50,"78,600",14.35,14.60,13.35,0,0,0
06/01/2025,14.35,"41,600",14.50,14.60,13.05,0,0,0
03/01/2025,14,"13,600",14.20,14.20,13.95,500,0,0.0
02/01/2025,14.20,"69,700",14.85,14.85,14.15,0,0,0
31/12/2024,14.85,"16,500",14.80,14.85,14.75,0,0,0
30/12/2024,14.75,"204,600",14.70,14.90,14.50,0,0,0
27/12/2024,14.70,"7,300",14.85,14.90,14.70,0,0,0
26/12/2024,14.85,"18,800",15,15,14.70,0,0,0
25/12/2024,15,"19,700",15,15,14.70,0,0,0
24/12/2024,15,"19,000",14.20,15.20,14.20,0,0,0
23/12/2024,15.20,"53,900",14.90,15.20,14.70,0,0,0
20/12/2024,14.70,"28,800",15.30,15.30,14.70,0,0,0
19/12/2024,15.40,"15,400",15.50,15.50,15.05,0,0,0
18/12/2024,15.55,"24,700",14.70,15.60,14.70,0,0,0
17/12/2024,15.45,"91,600",16.10,16.10,14.90,0,0,0
16/12/2024,16,"90,500",17.10,17.10,15.85,0,0,0
13/12/2024,17,"191,600",17,17.40,17,0,0,0
12/12/2024,17,"261,300",17.40,18,16.20,"10,000",0,0.2
30/11/-0001,11.90,"3,400",12.20,12.20,11.45,0,0,0
