Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,15.10,"27,100",15,15.10,14.90,0,0,0
20/03/2025,15,"10,200",14.90,15,14.80,0,0,0
19/03/2025,14.60,"31,300",15.10,15.10,14.60,0,0,0
18/03/2025,15,"46,300",15,15.10,14.90,0,0,0
17/03/2025,15.30,"24,900",14.90,15.30,14.90,0,0,0
14/03/2025,14.90,"16,300",14.70,14.90,14.40,0,0,0
13/03/2025,14.70,"1,900",14.80,14.80,14.70,0,0,0
12/03/2025,14.60,"33,700",15,15,14.60,0,0,0
11/03/2025,15,"5,500",15.10,15.10,14.70,0,0,0
10/03/2025,15,"114,300",13.90,15.80,13.90,0,0,0
07/03/2025,13.70,"9,800",13.70,13.80,13.70,0,0,0
06/03/2025,13.60,"9,500",13.70,13.80,13.60,0,0,0
05/03/2025,13.70,"5,200",13.60,13.70,13.60,0,0,0
04/03/2025,13.60,"1,500",13.70,13.70,13.60,0,0,0
03/03/2025,13.60,"10,300",13.80,13.80,13.60,0,0,0
28/02/2025,13.60,"18,700",13.60,13.70,13.50,0,0,0
27/02/2025,13.50,"19,200",13.60,13.60,13.40,0,0,0
26/02/2025,13.50,"12,500",13.60,13.70,13.50,0,0,0
25/02/2025,13.60,"87,500",13.50,13.80,13.40,"10,000",0,0.1
24/02/2025,13.50,"72,800",13.60,13.70,13.40,0,0,0
21/02/2025,13.60,"73,200",13.50,13.60,13.30,0,0,0
20/02/2025,13.60,"16,400",13.20,13.60,13.20,0,0,0
19/02/2025,13.20,"11,700",13.20,13.20,13.10,0,0,0
18/02/2025,13.20,"7,600",13.20,13.20,13.20,0,0,0
17/02/2025,13.20,"17,500",13.30,13.30,13.20,0,0,0
14/02/2025,13.20,"7,500",13.30,13.30,13.20,0,0,0
13/02/2025,13.30,"32,700",13.10,13.40,13.10,0,0,0
12/02/2025,13.30,"3,023",13.30,13.30,13.30,0,0,0
11/02/2025,13.30,"10,542",13.30,13.40,13.30,0,0,0
10/02/2025,13.40,"41,200",13.40,13.50,13.30,0,0,0
07/02/2025,13.40,"2,200",13.40,13.40,13.40,0,0,0
