Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,8,"15,700",7.90,8.10,7.90,0,0,0
20/03/2025,7.90,"26,000",7.90,8.50,7.90,0,0,0
19/03/2025,8.20,"4,000",8,8.20,8,0,0,0
18/03/2025,8,"18,400",8,8,8,0,0,0
17/03/2025,7.90,"7,800",8,8.10,7.90,200,0,0
14/03/2025,7.90,"27,300",7.90,8,7.80,0,0,0
13/03/2025,7.90,"28,400",8,8.10,7.90,0,0,0
12/03/2025,7.90,"10,300",8,8,7.90,0,0,0
11/03/2025,8,"13,500",8.10,8.10,7.90,0,0,0
10/03/2025,8,"21,300",8,8.10,8,0,0,0
07/03/2025,8,"15,700",8.20,8.20,8,0,0,0
06/03/2025,8.20,"36,800",8.10,8.20,8,0,0,0
05/03/2025,8,"16,700",8.10,8.10,8,500,0,0.0
04/03/2025,8,"47,900",8,8.10,7.90,500,0,0.0
03/03/2025,8,"38,900",8,8,8,0,0,0
28/02/2025,8,"22,300",8.10,8.10,8,0,0,0
27/02/2025,8.10,"14,100",8.10,8.10,8,0,0,0
26/02/2025,8.20,"28,100",8.10,8.20,8,0,0,0
25/02/2025,8.10,"29,800",8.20,8.20,8,0,0,0
24/02/2025,8.20,"21,700",8.20,8.30,8.10,0,0,0
21/02/2025,8.20,"55,900",8.50,8.60,8.10,0,"1,500",-0.0
20/02/2025,8.50,"36,400",9.20,9.20,8.50,0,0,0
19/02/2025,9,"546,000",7.90,9,7.90,"1,000","8,200",-0.1
18/02/2025,7.90,"67,200",8,8,7.80,500,0,0.0
17/02/2025,8.10,"51,000",8,8.20,7.90,"1,000",0,0.0
14/02/2025,8,"70,800",7.90,8.20,7.80,"2,000","24,000",-0.2
13/02/2025,7.90,"51,300",8,8,7.80,"5,200",0,0.0
12/02/2025,8,"22,000",7.90,8.10,7.90,0,0,0
11/02/2025,8,"26,100",7.90,8.20,7.90,"2,000",0,0.0
10/02/2025,8.30,"46,500",8.20,8.30,7.80,"7,200",0,0.1
07/02/2025,8,"87,233",8.20,8.40,7.90,0,0,0
06/02/2025,8.20,"21,200",8.20,8.20,7.90,0,0,0
05/02/2025,8,"37,200",8.10,8.20,8,0,0,0
04/02/2025,8.10,"58,700",8,8.20,7.90,"15,000",0,0.1
03/02/2025,7.90,"49,200",8.30,8.30,7.80,100,0,0
24/01/2025,8.30,"27,800",8.50,8.60,8.30,0,0,0
23/01/2025,8.50,"39,000",8.30,8.70,8.30,0,0,0
22/01/2025,8.50,"84,179",9,9.20,8.30,0,0,0
21/01/2025,9,"58,965",9.30,9.30,8.70,0,0,0
20/01/2025,9.10,"224,715",8.70,9.40,8.70,0,0,0
17/01/2025,8.70,"126,800",8,8.90,7.90,0,0,0
16/01/2025,7.90,"76,500",8.40,8.40,7.70,0,0,0
15/01/2025,8.30,"40,800",8.30,8.60,8.20,0,0,0
14/01/2025,8.50,"173,701",8,8.90,8,0,0,0
13/01/2025,7.90,"54,101",8,8,7.70,0,0,0
10/01/2025,7.90,"59,700",7.60,8,7.60,0,0,0
09/01/2025,7.50,"35,514",7.60,7.60,7.50,0,0,0
08/01/2025,7.60,"42,400",7.60,7.70,7.50,0,0,0
07/01/2025,7.60,"19,900",7.80,7.80,7.60,0,0,0
06/01/2025,7.80,"53,000",7.70,7.90,7.60,0,0,0
03/01/2025,7.70,"25,905",7.80,7.80,7.70,0,0,0
02/01/2025,7.90,"33,502",8,8.10,7.80,0,0,0
31/12/2024,7.90,"14,504",8,8,7.80,0,0,0
30/12/2024,8,"45,030",8,8.10,7.80,0,0,0
27/12/2024,8.10,"47,202",8,8.20,8,0,0,0
26/12/2024,8.10,"94,757",8.10,8.10,7.90,0,0,0
25/12/2024,8.20,"93,870",8.50,8.70,8,0,0,0
24/12/2024,8.50,"64,719",8.90,8.90,8,0,0,0
23/12/2024,8.60,"231,755",9.50,10,8.50,0,0,0
20/12/2024,9,"188,143",8.50,9,8.20,100,0,0.0
19/12/2024,8.50,"373,572",7.50,8.50,7.50,0,0,0
18/12/2024,7.60,"76,263",7.30,7.70,7.20,0,0,0
17/12/2024,7.30,"2,200",7.30,7.30,7.30,0,0,0
16/12/2024,7.30,"2,201",7.30,7.30,7.30,0,0,0
13/12/2024,7.30,"18,700",7.20,7.30,7.20,0,0,0
12/12/2024,7.30,"9,100",7.50,7.50,7.30,0,0,0
11/12/2024,7.50,"1,105",7.20,7.50,7.20,0,0,0
10/12/2024,7.20,"22,328",7.30,7.30,7.20,0,0,0
09/12/2024,7.30,"6,902",7.30,7.30,7.20,0,0,0
06/12/2024,7.30,"23,400",7.30,7.40,7.30,0,0,0
05/12/2024,7.30,"17,224",7.30,7.30,7.10,0,0,0
04/12/2024,7.30,"6,000",7.30,7.30,7.30,0,0,0
03/12/2024,7.30,"14,300",7.20,7.30,7.20,0,0,0
02/12/2024,7.30,"8,121",7.30,7.30,7.30,0,0,0
29/11/2024,7.20,"10,500",7.30,7.30,7.20,0,0,0
28/11/2024,7.30,"9,410",7.30,7.40,7.30,0,0,0
27/11/2024,7.20,"64,703",7.20,7.30,7,0,0,0
26/11/2024,7.20,"9,600",7.10,7.20,7.10,0,0,0
25/11/2024,7.10,"8,100",7.20,7.20,7.10,0,0,0
22/11/2024,7.20,"4,436",7.10,7.20,7,0,0,0
21/11/2024,7.20,"3,600",7.10,7.20,7,0,0,0
