Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,13.50,"18,100",13.40,13.60,13.30,0,0,0
20/03/2025,13,"1,700",13.60,13.60,12.90,0,0,0
19/03/2025,13.50,"7,300",13.30,13.80,13.30,300,0,0.0
18/03/2025,13.30,"2,000",13.30,13.30,13.30,0,0,0
17/03/2025,13.40,"6,600",13.30,13.50,13.30,0,0,0
14/03/2025,13.10,"2,100",13.30,13.30,13.10,0,0,0
13/03/2025,13.10,"2,700",13.20,13.20,13.10,0,0,0
12/03/2025,13.20,"1,100",13.20,13.50,13.20,0,0,0
11/03/2025,13.50,"1,200",13.50,13.50,13.20,0,0,0
10/03/2025,13.40,600,13.40,13.60,13.40,0,0,0
07/03/2025,13.10,"7,300",13.20,13.40,13.10,0,0,0
06/03/2025,13.40,"7,300",13.30,13.40,13.20,0,0,0
05/03/2025,13.50,900,13.60,13.60,13.20,0,0,0
04/03/2025,13.20,"50,600",13.50,13.50,13,0,0,0
03/03/2025,12.90,"8,400",13.10,13.40,12.90,0,0,0
28/02/2025,13.10,"12,500",13.10,13.10,13.10,0,"1,000",-0.0
27/02/2025,13.40,"16,200",13.10,13.40,13.10,0,0,0
26/02/2025,13.30,"3,100",13,13.40,13,0,0,0
25/02/2025,13.50,"64,300",13,13.50,13,0,0,0
24/02/2025,13,"19,800",12.80,13,12.70,0,0,0
21/02/2025,12.80,"13,300",12.90,13,12.80,0,0,0
20/02/2025,12.80,"8,300",12.60,12.90,12.60,0,100,-0.0
19/02/2025,12.80,"3,600",12.60,12.80,12.50,0,100,-0.0
18/02/2025,12.60,"1,100",12.70,12.80,12.60,0,0,0
17/02/2025,12.60,"1,900",12.80,12.80,12.60,0,0,0
14/02/2025,12.50,"1,500",12.70,12.70,12.50,0,0,0
13/02/2025,12.50,"2,800",12.70,12.70,12.40,0,200,-0.0
12/02/2025,12.50,"10,703",12.60,12.70,12.50,0,200,-0.0
11/02/2025,12.30,"8,000",12.60,12.60,12.30,0,0,0
10/02/2025,13,"30,235",12.90,13,11.60,100,"2,000",-0.0
07/02/2025,13,"25,114",13.30,13.50,13,0,0,0
06/02/2025,13,812,13.20,13.20,13,0,0,0
05/02/2025,13,"6,250",13.40,13.40,13,0,0,0
04/02/2025,13.40,"10,733",13.40,13.50,13.30,"1,300",0,0.0
03/02/2025,13.40,"23,600",13.30,13.40,13.20,0,0,0
24/01/2025,13.20,"17,281",12.80,13.20,12.50,"1,300",0,0.0
23/01/2025,12.40,405,13.30,13.30,12.40,0,0,0
22/01/2025,12.40,"16,405",12.30,12.40,12.20,0,0,0
21/01/2025,12.30,735,12.40,12.40,12.30,0,0,0
20/01/2025,12.40,"4,001",12.40,12.40,12.40,0,0,0
17/01/2025,12.40,"4,670",12.50,12.50,12.40,0,0,0
16/01/2025,12.50,"4,706",12.70,12.70,12.50,0,0,0
15/01/2025,12.50,"2,167",12.60,13,12.40,0,0,0
14/01/2025,12.40,"3,239",12.30,13,12.30,0,0,0
13/01/2025,12.70,"2,101",12.30,12.70,12.30,0,0,0
10/01/2025,12.40,"7,200",12.50,12.50,12.40,0,0,0
09/01/2025,12.60,"2,023",12.40,12.60,12.40,0,0,0
08/01/2025,12.50,"7,114",12.40,12.50,12.20,0,0,0
07/01/2025,12.40,"16,427",12.40,12.80,12.30,0,0,0
06/01/2025,12.30,"5,519",12.40,12.50,12.30,0,0,0
03/01/2025,12.30,"13,917",12.10,12.50,12.10,0,0,0
02/01/2025,12,"28,742",12.30,12.60,11.50,0,0,0
31/12/2024,12.60,613,12,12.60,12,0,0,0
30/12/2024,12.50,"1,000",12.50,12.50,12.50,0,0,0
27/12/2024,12.50,711,12.50,12.50,12.50,0,0,0
26/12/2024,12.50,927,12.50,12.50,12.50,0,0,0
25/12/2024,12.50,655,12.40,12.50,12.40,0,0,0
24/12/2024,12.50,949,12.50,12.50,12.50,0,0,0
23/12/2024,12.30,"2,004",12.20,12.30,12.10,0,0,0
20/12/2024,12.40,513,12.20,12.40,12.20,0,0,0
19/12/2024,12.40,"1,000",12,12.40,12,0,0,0
18/12/2024,12.10,718,12.50,12.50,12.10,0,0,0
17/12/2024,12.60,710,12.70,12.70,12.10,0,0,0
16/12/2024,12.20,"2,026",12.10,12.20,12,0,0,0
13/12/2024,12.70,"3,000",12.20,12.70,12,0,0,0
12/12/2024,12.90,"21,023",12.40,13.80,12.10,0,0,0
11/12/2024,12,"1,046",12.40,12.40,12,0,0,0
10/12/2024,12.30,"12,286",12.10,12.40,12,0,0,0
09/12/2024,12.20,"8,048",12,12.20,12,0,0,0
06/12/2024,12,"4,203",12.10,12.40,12,0,0,0
05/12/2024,12.20,"3,216",12.10,12.40,12.10,0,0,0
04/12/2024,12.40,100,12.40,12.40,12.40,0,0,0
03/12/2024,11.80,"6,514",12.10,12.10,11.80,0,0,0
02/12/2024,12,"1,240",12.10,12.10,12,0,0,0
29/11/2024,12.10,"3,910",12.30,12.30,11.90,0,0,0
28/11/2024,12.10,"1,120",12.30,12.30,12.10,0,0,0
27/11/2024,12.10,703,12.10,12.10,12.10,0,0,0
26/11/2024,11.90,"10,500",12.20,12.20,11.90,0,0,0
25/11/2024,12.10,"6,899",12.30,12.30,12.10,0,0,0
22/11/2024,12.10,"8,202",12.50,12.60,12.10,0,0,0
21/11/2024,12.50,"4,230",12.20,12.50,11.90,0,0,0
20/11/2024,12.50,550,12.50,12.50,12.50,0,0,0
