Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,116.70,"4,600",125.20,128.50,115.60,0,0,0
20/03/2025,125.40,"2,900",126.30,128.90,125.40,0,0,0
19/03/2025,125.60,100,125.60,125.60,125.60,0,0,0
18/03/2025,133.90,0,133.90,133.90,133.90,0,0,0
17/03/2025,133.90,500,135,135,133.90,10,0,0
14/03/2025,125.10,"1,900",128.90,128.90,125.10,0,0,0
13/03/2025,125.10,200,125.10,125.10,125.10,0,0,0
12/03/2025,126.80,100,126.80,126.80,126.80,0,0,0
11/03/2025,126.80,700,127.80,127.80,126.80,0,0,0
10/03/2025,127.90,"8,600",130,139.80,126,0,100,-0.0
07/03/2025,128,400,128,128,128,0,0,0
06/03/2025,130,0,130,130,130,0,0,0
05/03/2025,130,300,123.10,130,123.10,0,0,0
04/03/2025,135,0,135,135,135,20,0,0.0
03/03/2025,135,500,138,138,135,0,0,0
28/02/2025,138,0,138,138,138,0,0,0
27/02/2025,138,0,138,138,138,0,0,0
26/02/2025,138,100,138,138,138,100,0,0.0
25/02/2025,128.20,"3,000",126.50,128.20,126.40,0,200,-0.0
24/02/2025,139.50,100,139.50,139.50,139.50,0,0,0
21/02/2025,148.80,0,148.80,148.80,148.80,0,0,0
20/02/2025,148.80,0,148.80,148.80,148.80,0,0,0
19/02/2025,148.80,0,148.80,148.80,148.80,0,0,0
18/02/2025,148.80,"3,500",149.70,149.70,148.80,0,0,0
17/02/2025,149.90,0,149.90,149.90,149.90,0,0,0
14/02/2025,149.90,200,141.80,149.90,141.80,0,0,0
13/02/2025,141.80,0,141.80,141.80,141.80,0,0,0
12/02/2025,141.80,"5,500",131,144,131,200,0,0.0
11/02/2025,131,2,131,131,131,0,0,0
10/02/2025,131,"7,001",125.10,131,125,0,0,0
07/02/2025,134.70,"1,902",121.30,134.70,121.30,0,600,-0.1
06/02/2025,122.70,800,121.20,122.70,121.20,0,0,0
05/02/2025,121.40,"7,900",118.60,121.40,118.60,0,0,0
04/02/2025,118.60,600,123.90,123.90,118.60,0,0,0
03/02/2025,123.50,400,123.50,123.70,123.50,0,0,0
24/01/2025,137,110,137,137,137,0,0,0
23/01/2025,142,"3,100",141.90,142.90,141.90,0,0,0
22/01/2025,130,201,130,130,130,0,0,0
21/01/2025,130,"31,102",117.80,131.30,116,0,0,0
20/01/2025,119.50,"3,400",119.50,119.70,119.50,0,0,0
17/01/2025,117.60,"4,200",111,119.90,110.80,0,0,0
16/01/2025,117.60,101,117.60,117.60,117.60,0,0,0
15/01/2025,118,"1,100",116,118,115,0,0,0
14/01/2025,118.10,200,115.10,118.10,115.10,0,0,0
13/01/2025,118.30,100,118.30,118.30,118.30,0,0,0
10/01/2025,118.50,"1,300",118.60,118.60,116,0,0,0
09/01/2025,118.60,"2,500",118.70,121.50,115.80,0,0,0
08/01/2025,118.70,100,118.70,118.70,118.70,0,0,0
07/01/2025,118.80,"1,100",119,119,115,500,0,0.1
06/01/2025,119.80,103,119.80,119.80,119.80,0,0,0
03/01/2025,118.60,"3,500",118.60,118.60,118.60,0,0,0
02/01/2025,118.60,"3,100",122.90,122.90,118.30,0,0,0
31/12/2024,122.90,"1,600",118.60,123,118.60,0,0,0
30/12/2024,119,"2,500",120.10,120.10,119,0,0,0
27/12/2024,120.10,"1,202",120.60,121,120.10,0,0,0
26/12/2024,120.60,"13,800",120.60,120.60,120.60,0,0,0
25/12/2024,120.70,704,120.80,120.80,119.10,0,100,-0.0
24/12/2024,120.50,"20,400",118.10,120.50,118.10,0,0,0
23/12/2024,120,"14,601",118.10,120.20,118,0,0,0
20/12/2024,122,"4,907",120.50,124,117.20,0,0,0
19/12/2024,120.40,"4,200",118,120.50,118,0,0,0
18/12/2024,119.90,"1,114",116.80,119.90,113,100,0,0.0
