Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,86.80,"22,400",86.50,87,86,0,800,0
20/03/2025,86.50,"46,500",85.10,88.50,85.10,"5,800",0,0.5
19/03/2025,85.50,"75,900",85.90,86.40,84.90,"3,600","5,822",-0.2
18/03/2025,86.50,"119,800",88.10,88.40,85.40,"2,100","7,100",-0.4
17/03/2025,88.50,"33,900",89.60,89.70,88.50,0,100,-0.0
14/03/2025,89.30,"43,200",89.60,90.30,89.30,700,200,0.0
13/03/2025,90,"106,200",93.60,93.60,90,"1,000",100,0.1
12/03/2025,93.70,"42,900",94.60,94.60,92.50,0,0,0
11/03/2025,94.60,"12,500",94.90,95,94.20,0,300,-0.0
10/03/2025,95,"33,600",95,95.30,93.50,100,"1,203",-0.1
07/03/2025,94.30,"15,700",94.20,94.80,94,600,0,0.1
06/03/2025,94.20,"74,100",95,97,93,"2,600",100,0.2
05/03/2025,96,"49,800",96.90,97,95,0,"10,500",-1.0
04/03/2025,97,"53,400",96.40,98.40,96.30,"2,700",700,0.2
03/03/2025,96.30,"54,500",97.40,97.50,95.10,100,0,0.0
28/02/2025,96.20,"69,400",99,99.50,96.20,1,"5,200",-0.5
27/02/2025,98.90,"17,200",100.50,100.50,98,"1,200",500,0.1
26/02/2025,100.50,"344,200",99.50,105.30,99.50,"4,100","8,800",-0.5
25/02/2025,98.50,"16,600",97.40,98.50,96.40,0,100,-0.0
24/02/2025,97.40,"24,600",97,97.90,97,100,0,0.0
21/02/2025,97,"29,000",96,98.70,96,0,0,0
20/02/2025,96,"24,200",96.70,97.90,96,200,900,-0.1
19/02/2025,96.50,"34,800",93.50,96.70,93.50,"2,500",400,0.2
18/02/2025,95,"55,600",96.60,97,95,100,"2,400",-0.2
17/02/2025,97.90,"34,300",100.50,101.50,97.10,100,600,-0.1
14/02/2025,100.90,"63,800",99.10,102.90,99.10,"1,401",900,0.1
13/02/2025,98.90,"40,100",97.10,98.90,97.10,300,300,-0.0
12/02/2025,96.60,"25,800",99.30,99.30,96.30,600,"2,800",-0.2
11/02/2025,99,"41,400",95.80,100.50,94,801,"1,100",-0.0
10/02/2025,96,"113,400",101,101,94,700,"3,600",-0.3
07/02/2025,101,"35,600",102.50,105,99.10,0,"1,240",-0.1
06/02/2025,102.10,"47,200",99.90,105,95.10,"2,400","5,060",-0.3
05/02/2025,100.50,"136,100",94.50,101.10,94.50,"3,601","18,506",-1.4
04/02/2025,94.50,"36,700",93.90,96.50,93.80,200,"2,600",-0.2
03/02/2025,94.30,"86,100",88.30,94.30,87,"3,400","1,200",0.2
24/01/2025,88.20,"12,600",88.50,88.50,86,0,900,-0.1
23/01/2025,88.40,"30,300",91,91,88,200,"1,700",-0.1
22/01/2025,87.60,"83,100",81.90,87.60,81.80,800,"5,300",-0.4
21/01/2025,81.90,"23,600",81.50,81.90,81.10,700,"7,600",-0.6
20/01/2025,81.50,"14,400",82.10,82.10,81,0,"3,100",-0.3
17/01/2025,81.10,"7,000",82.50,82.50,80.50,0,900,-0.1
16/01/2025,81.50,"38,800",81.90,83,81.10,900,"8,000",-0.6
15/01/2025,82,"2,900",81.90,82,81.90,0,0,0
14/01/2025,82.20,"11,600",82,82.20,81.10,0,0,0
13/01/2025,82,"6,700",82.20,82.30,81.50,0,0,0
10/01/2025,82.20,"4,300",82,83,82,0,300,-0.0
09/01/2025,83,"6,500",83.30,83.30,83,0,0,0
08/01/2025,83.20,"18,500",82.50,83.50,82.20,"1,000",200,0.1
07/01/2025,83.40,"5,700",82.30,84,82.30,"2,800",0,0.2
06/01/2025,83.30,"40,400",83,83.30,82,"10,500",0,0.9
03/01/2025,83.30,"11,100",83,84.60,82.90,"2,700",100,0.2
02/01/2025,84.70,200,84.80,84.80,84.70,0,0,0
31/12/2024,84,"9,700",84.20,85.30,84,0,100,-0.0
30/12/2024,84,"14,100",84.70,85.40,83.80,0,0,0
